price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Hướng,Số toilet
"27,9 tỷ VNĐ","Lạc long quân, tây hồ, Hà Nội", 108m2,,"Nhà PHÂN LÔ –Thích Hợp  KINH DOANH ( Có VỈA HÈ - Ô TÔ vào được - SÁT PHỐ Võ chí công) - Nhà thuộc khu nhà đất phân lô víp của Lạc Long Quân. Cách mặt phố VÕ CHÍ CÔNG mỗi nhà là toà nhà văn phòng trc mặt. - Xung quanh là các toà nhà văn phòng và biệt thự. - Nhà đang kinh doanh cho thuê bán hàng tháng 30tr Thiết kế: - T1,2.,3,4: thông sàn, vs, cầu thang giữa. - T5: phòng thờ, sân vườn. - 📕: SDCC, vuông nét. dt 108m2 - 5 tầng - mt 6m. Giá: 27.9 tỷ LH: MR Hung  0916169081",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826771.4371784,,,,,
100 triệu VNĐ/m2,Phường Mỹ Đình, 30m2,,"Cực Hót..Bán nhà Mỹ Đình 30M2, 5Tầng.. Ô tô tránh xe máy . Giá nhỉnh 3 tỷ.+  Nhà xây thiết kế mới chắc chắn, công năng đầy đủ tiện ích.+ Nhà mặt tiền ngõ nông thông xe ô tô đỗ cửa.+ 01 phút ra UBND phường, ba bước chân ra chợ+Tuyến phố có nhiều Trường học các cấp, Dân cư tập trung đông đông đúc buôn bán tấp nập. + Nhà 5tầng 4p,ngủ wc khép kín xây dựng chắc chắn thiết kế đẹp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: Thỏa thuận.Liên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826772.3796577,,,,,
"6,6 tỷ VNĐ",Dương Quảng Hàm, 39m2, 6,"NHỈNH 6 TỶ - NHÀ QUẬN CẦU GIẤY- THANG MÁY 6 TẦNG - KINH DOANH - DT 40M - GIÁ 6.6 TỶ . Thiết kế : Tầng 1 : Sàn thông Kinh doanh tốt , Tầng 2,3,4,5 : Thông sàn , phòng ngủ rộng . Tầng 6 : Phòng thờ , sân phơi , cửa sổ trời ánh sáng tự nhiên . Mô tả : Nhà mới xây xong , vị trí đẹp , nhà 6 tầng thang máy , ngõ rộng , thoáng Kết nối cùng các tuyến phố : Cầu Giấy , Nguyễn Văn Huyên , Nguyễn Khánh Toàn … Tiện ích bán kính 1km gần các trường Đại học , nhà hàng ăn uống, Ngân hàng . Kinh doanh vô cùng tốt Dương Quảng Hàm là nơi Trung tâm phường Quan Hoa ,nơi tiện ích vô vàn , Kinh doanh phát triển ,giao thông thuận tiện . Để biết thêm thông tin chi tiết  liên hệ : 0363255077 - Mr Khải",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826773.6293166, 4,, 5,, 5
900 triệu VNĐ,"Yên Mỹ,Bình Yên,Thạch Thất", 70m2,,"-    DT :70,3m2, MT:5,35m-    Vị trí: Yên Mỹ, Bình Yên, Thạch Thất-    Tiềm năng:+ Đường oto 7 chô vào quay đầu, đường tỉnh lộ vào rộng 4-5m tùy từng vị trí+ Đường nội khu rộng 6m.+ Cách đường vành đài công nghệ cao 2.5 km ( 3p di chuyển)+ Từ tỉnh lộ 420 đi vào 500-700m ( Đường 4 làn xe oto chạy và 6m vỉa hè 2 bên)+ Bán kinh 2.5km hoặc 5p di chuyển vào tới các trường ĐH FPT,Việt Hàn,Việt Nhật,Việt Pháp ,ĐH khoa học và Công Nghệ và các nhà máy xí nghiệp như: Vinsmart, hanwa, nidec, nissan, sumito, viettel,…+ Đi ra tổ hợp làng đhqg chỉ khoảng 10p di chuyển ( 5km)+ Đầy đủ tiện ích sống: Bán kính 1km có chợ, trường mần non, cấp 1,2,3… Bệnh viện, ủy ban xã,..Giá chỉ 9xx(tiểu học) liên hệ mr.Hùng: 0387507522",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826774.6286407, 6, 7,,,
"3,8 tỷ VNĐ","Hồ Tùng Mậu, Cầu Giấy", 36m2, 6,"+ Chủ chuyển nhà bán gấp nhà đường Hồ Tùng Mậu, Cầu Giấy 36m2 X 6 tầng, MT: 3.5m, ô tô đỗ cổng, ngõ thông. + Nhà phân lô kiên cố chắc chắn đầy đủ công năng sử dụng, phòng khách, 6 phòng ngủ to, chỗ để xe, sân phơi. Chủ đang cho thuê 15 triệu/ tháng, đi lại thuận tiện. + Ngõ thông cách mặt đường Hồ Tùng Mậu 100m, gần nhiều trường học, Đại học, siêu thị, tiện ích xung quanh không thiếu gì. + Liên hệ Đức Anh để được xem nhà: 0975517689.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826775.6808257, 3,, 6,,
"15,5 tỷ VNĐ",Lạc Long Quân, 60m2, 5,"Cần bán nhà Lạc Long Quân mặt ngõ, ngõ oto tránh, nhà thiết kế thang máy hiện đại. Khu vực nhiều tiện ích, ngay gần Hồ Tây. Thiết kế 5.5 tầng: +Tầng 1: Gara kinh doanh +Tầng 2,3,4: Thiết kế thông sàn +Tầng 5:Bếp+khách +Tum: phòng thờ+sân phơi LH:0962370591-Nguyễn Phúc Lộc",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826776.9105365,,, 3,, 3
12 tỷ VNĐ,"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội", 71.1m2, 3,"Chính chủ bán nhà 2,5 tầng Đường Kim Giang, Phường Đại Kim, Quận Hoàng MaiDiện tích đất: 71,7m2.Diện tích sàn xây dựng: 180m2- Nhà xây 2,5 tầng - Mặt tiền: 5,2m - Sâu 14m.- Nhà có 2 nguồn điện. Trước cửa có cột điện 3 pha.- Nhà xây dựng cuối năm 2017 gồm: 1 gara oto, 1 phòng khách liền bếp, 1 phòng thờ, 3 phòng ngủ, 3 vệ sinh, 1 giếng trời.+ Ngõ rộng hai oto tránh nhau thoải mái, cách đường Kim Giang vài bước chân.+ Nhà thích hợp với làm văn phòng công ty, nhà ở.- Tiện ích xung quanh không thiếu thứ gì, gần chợ, siêu thị, gần trường học, UBND phường, trung tâm thương mại Royal City, gần bệnh viện và các trường đại học lớn.+ Gần các tuyến phố lưu thông nhiều đường trục chính như Nguyễn Xiển, Khương Đình, Định Công, Giải Phóng, thuận tiện cho việc di chuyển đi các tỉnh, và đi vào trung tâm thành phố.- Khu vực an ninh tốt, Giao thông đi lại thuận tiện, dân trí cao và thân thiện.- Sổ đỏ chính chủ.Giá bán: 12 tỷ (Có thương lượng)Liên hệ chủ nhà: Anh Hùng: 0986 652 539, Phương: 096 992 9090",26/03/2022,Tin thường,batdongsan_so_com_vn_1673826777.983665, 5, 7, 3, Đông nam, 3
"7,5 tỷ VNĐ",Phố Nguyễn Lân, 60m2,,"+ Nhà nằm vị trí vô cùng đẹp, yên tĩnh, dân trí cao, xung quanh toàn cán bộ, an ninh tuyệt vời.+ Ngõ trước nhà thông rộng, ô tô vào nhà, cách mặt phố Nguyễn Lân và bước chân thông đi các tuyến Phố rất tiện. + Giao với Lê Trọng Tấn, Phan Đình Giót, Trường Chinh, Giải Phóng, Ngã Tư Vọng… + Gần các trường Đại học hàng đầu cả nước như Đại học Y Hà Nội, Xây Dựng, Bách Khoa, Kinh tế Quốc dân và các bệnh viện tuyến đầu cả nước. +Sổ đỏ vuông đét, sẵn sàng giao dịch.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826779.0278726,,,,,
"7,5 tỷ VNĐ",Phố Nguyễn Lân, 60m2, 3,"+ Nhà nằm vị trí vô cùng đẹp, yên tĩnh, dân trí cao, xung quanh toàn cán bộ, an ninh tuyệt vời.+ Ngõ trước nhà thông rộng, ô tô vào nhà, cách mặt phố Nguyễn Lân và bước chân thông đi các tuyến Phố rất tiện. + Giao với Lê Trọng Tấn, Phan Đình Giót, Trường Chinh, Giải Phóng, Ngã Tư Vọng… + Gần các trường Đại học hàng đầu cả nước như Đại học Y Hà Nội, Xây Dựng, Bách Khoa, Kinh tế Quốc dân và các bệnh viện tuyến đầu cả nước. +Sổ đỏ vuông đét, sẵn sàng giao dịch.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826784.3380811, 5,, 4,,
"4,7 tỷ VNĐ","Cửa Bắc, Ba Đình", 33m2, 5,⭐ Vị trí  + Siêu hiếm ! Trung tâm hành chính quận ba đình trong lòng phố cổ cách mặt phố Cửa Bắc 20m ngõ thẳng thông phố Phạm Hồng Thái  ⭐ Mô tả :  + Diện tích sổ : 28m2 x 5 tầng  + Diện tích sử dụng : 33m  + Mặt tiền : 3.1m  ⭐ Thiết kế :  +Tầng 1 :để xe + Khách  + Tầng 2 : Bếp  + Tầng 3 + 4 : Tầng 2 ngủ + WC giữa  + Tầng 5 : Phòng thờ + Sân Phơi  ⭐ Sổ đỏ vuông vắn nở hậu  ⭐ Gía : 4.7 tỷ  ⭐ Liên Hệ: 0857.570.705 ,25/04/2022,Tin thường,batdongsan_so_com_vn_1673826786.2430496, 3,, 4, Bắc, 2
