price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Lộ giới
"8,6 tỷ VNĐ","NAM TỪ LIÊM, HN", 150m2, 13,,"+ Cần Bán Đất Lê Đức Thọ Mỹ Đình 150m MT13,5m  đang kinh doanh + Vị trí đẹp: Khu phát triển mạnh, Kinh doanh sầm uất,dân cư đông đúc, Gần nhiều trường Đại Học, ĐH Thương Mại, ĐH Quốc Gia , ĐH Sư Phạm, Gần bến xe Mỹ Đình, Đường Lớn Vành đai 3, Đường 32, Nguyễn Hoàng, Hồ Tùng Mậu, Lê Đức Thọ, Bệnh Viện 19-8, Chợ.. + Địa điểm : Hot kinh doanh. Đông Sinh viên, Công nhân. Học tập và làm việc + Tiện ích:  Xây CHMN , Chia lô  , Sổ đẹp, thông tứ phia rất nhiều lối vào +  Diện tích: 150m2  Sổ đỏ chính chủ, pháp lý sạch. Thủ tục nhanh gọn. + Giá Bán:  Thương Lượng Trực Tiếp Liên hệ: Đức Thổ Cư HN  0898839292",06/05/2022,Tin thường,batdongsan_so_com_vn_1673802602.467587,,
15 tỷ VNĐ,"nam từ liêm, hn", 130m2, 8, 8,"+ Bán nhà Mỹ Đình CHMN 130m2x7T MT 8m 30 phòng  Rộng đẹp như Chung Cư, Cho thuê kinh doanh tuyệt vời. + Vị trí rất đẹp: Điểm vàng cho thuê, Đường thông tứ phía,  Gần trung tâm, Vài bước ra phố Lớn. + Gần trường Khu đô thị gần trục đường chính,  Đường lớn Vành Đai 3, Đường Mễ Trì, Bến xe Mỹ Đình , ĐH Thương Mại, QUốc Gia, Sư PHạm.. + Địa điểm. Dân Cư đông đúc, Khu phố Kinh doanh cực kỳ phát triển. Đông học sinh, sinh viên, công nhân tìm thuê. Dịch vụ phát triển..+ Tiện ích: Lúc nào cũng kín phòng thuê. Như Chung Cư +  Diện tích: 130m2 Sổ Đỏ chính chủ, pháp lý sạch đẹp, sang tên nhanh gọn. +  Giá:  tỷ ( Có thương lượng ). + Liên hệ: Đức Thổ Cư HN 0898839292",05/05/2022,Tin thường,batdongsan_so_com_vn_1673802609.0016217,,
"8,6 tỷ VNĐ","HÀM NGHI, CẦU DIỄN,NAM TỪ LIÊM,HN", 90m2, 5, 5,"+ Bán nhà Hàm Nghi, Lê Đức Thọ, Hồ Tùng Mậu 90m2 MT 5m thông sàn, Ở , Khu phố Vip Cho thuê kinh doanh tuyệt vời.+ Vị trí rất đẹp:  Gần trung tâm Vài bước ra phố ô tô tránh đỗ nối với Lê Đức Thọ, Hồ Tùng Mậu+ Gần trường Khu đô thị gần trục đường chính, đường lớn. Bến xe Mỹ Đình, Gần Các trường học, ĐH Thương Mại, Tài Nguyên Môi Trường, Công Nghiệp HN, ĐH Quốc gia, Sư Phạm..+ Địa điểm. Khu phố Vip , Ngõ rộng  ô tô vào cửa.+ Tiện ích: Nhà mới xây, thiết kế sang trọng hiện đại, tinh tế đầy đủ công năng, Ở, Cho thuê Văn Phòng, Công ty, Ô tô vào nhà.+  Diện tích: 90m2+  Giá:  tỷ ( Có thương lượng ). Sổ đẹp, Pháp lý sạch sẽ, Sang tên nhanh gọn+ Liên hệ: Đức Thổ Cư HN 0898839292",05/05/2022,Tin thường,batdongsan_so_com_vn_1673802610.5095904, 3, 5
"7,2 tỷ VNĐ","ĐẠI MÔ, NAM TỪ LIÊM, HN", 100m2, 8,,"+ Cần Bán nhà Quang Tiến Đại Mỗ 100m2x3 tầng MT8m Biệt thự trong dân + Vị trí đẹp: Khu phát triển mạnh, Kinh doanh sầm uất,dân cư đông đúc, Ô tô chạy . + Địa điểm : Trung tâm phát triển, Thoáng rộng thuận tiện giao thông. + Tiện ích: Ngay bên cạnh Vincom mega Mall, Aeon Mall, 3 Master. +  Diện tích: 98m2  Sổ đỏ chính chủ, pháp lý sạch. Thủ tục nhanh gọn. + Giá Bán: 7,2 tỷ Liên hệ: Đức Thổ Cư HN  0898839292.",04/05/2022,Tin thường,batdongsan_so_com_vn_1673802612.2020617,,
10 tỷ VNĐ,"phú mỹ , nam từ liêm, hn", 98m2, 5, 5,"+ Không sử dụng đến Bán nhà Mỹ Đình 98m x 5 tầng MT5m 10 tỷ + Vị trí đẹp: Khu phát triển mạnh, Kinh doanh sầm uất,dân cư đông đúc, Ô tô chạy thông .+ Địa điểm : Hot kinh doanh. Đông Sinh Viên, Công nhân sống và làm việc.+ Tiện ích: Ô tô chạy, 6 phòng khép kín, Sổ đẹp.+ Diện tích: 98m2  + Sổ đỏ chính chủ, pháp lý sạch Thủ tục nhanh gọn.+ Giá Bán: 10 tỷ.+ Liên hệ: Đức Thổ Cư HN 0898839292.",03/05/2022,Tin thường,batdongsan_so_com_vn_1673802614.1359284, 6, 6
11 tỷ VNĐ,"LÊ ĐỨC THỌ, CẦU DIỄN, NAM TỪ LIÊM, HN", 98m2, 5, 5,"+ Không sử dụng đến Bán nhà Lê Đức Thọ 98m x 5 tầng MT5m + Vị trí đẹp: Khu phát triển mạnh, Kinh doanh sầm uất,dân cư đông đúc, Ô tô chạy . + Địa điểm : Hot kinh doanh. Đông Sinh viên, Công nhân. + Tiện ích: Ô tô chạy, 6 phòng khép kín, Sổ đẹp nở hậu. +  Diện tích: 98m2  Sổ đỏ chính chủ, pháp lý sạch. + Giá Bán: 11 tỷ Liên hệ: Đức CG  0898839292.",03/05/2022,Tin thường,batdongsan_so_com_vn_1673802616.3041158, 6,
"9,6 tỷ VNĐ","LÊ ĐỨC THỌ, CẦU DIỄN, NAM TỪ LIÊM, HN", 90m2, 4, 5,"+ Bán nhà Hồ Tùng Mậu 90m2 MT 4.5m thông sàn, Ở , Cho thuê kinh doanh tuyệt vời. + Vị trí rất đẹp:  Gần trung tâm Vài bước ra phố ô tô tránh đỗ. + Gần trường Khu đô thị gần trục đường chính, đường lớn. + Địa điểm. Khu phố thân thiện, Ngõ rộng  ô tô vào cửa.+ Tiện ích: Nhà mới xây, thiết kế sang trọng hiện đại, tinh tế đầy đủ công năng, Ô tô vào nhà. +  Diện tích: 90m2 +  Giá: 9,6 tỷ ( Có thương lượng ). + Liên hệ: Đức 0898839292",02/05/2022,Tin thường,batdongsan_so_com_vn_1673802618.8712485,, 10
"9,6 tỷ VNĐ","NGUYỄN CƠ THẠCH, CẦU DIỄN, NAM TỪ LIÊM, HN", 88m2, 4, 6,"+ Bán nhà Nguyễn Cơ Thạch 88m2 MT 4.5m thông sàn, Ở , Cho thuê kinh doanh tuyệt vời. + Vị trí rất đẹp:  Gần trung tâm Vài bước ra phố ô tô tránh đỗ. + Gần trường Khu đô thị gần trục đường chính, đường lớn. + Địa điểm. Khu phố thân thiện, Ngõ rộng  ô tô vào cửa.+ Tiện ích: Nhà mới xây, thiết kế sang trọng hiện đại, tinh tế đầy đủ công năng, Ô tô vào nhà. +  Diện tích: 88m2 +  Giá: 9,6 tỷ ( Có thương lượng ). + Liên hệ: Đức 0898839292",02/05/2022,Tin thường,batdongsan_so_com_vn_1673802620.7512193,, 10
"9,2 tỷ VNĐ","NAM TỪ LIÊM, HN", 90m2,,,"+ Bán nhà Hồ Tùng Mậu 90m2 MT 4.5m thông sàn, Ở , Cho thuê kinh doanh tuyệt vời. + Vị trí rất đẹp:  Gần trung tâm Vài bước ra phố ô tô tránh đỗ. + Gần trường Khu đô thị gần trục đường chính, đường lớn. + Địa điểm. Khu phố thân thiện, Ngõ rộng  ô tô vào cửa.+ Tiện ích: Nhà mới xây, thiết kế sang trọng hiện đại, tinh tế đầy đủ công năng, Ô tô vào nhà. +  Diện tích: 88m2 +  Giá: 9,6 tỷ ( Có thương lượng ). + Liên hệ: Đức 0898839292",02/05/2022,Tin thường,batdongsan_so_com_vn_1673802622.4975462,,
"3,969696969 tỷ VNĐ","CẦU DIỄN , NAM TỪ LIÊM, HN", 65m2, 4,,"+ Bán nhà 65m2 Mỹ Đình Đang cho thuê + Vị trí đẹp: Gần Các Trường Đại Học, Bến xe, Nhiều dịch vụ tiện ích. Dân cư đông, Dân trí cao nhiều người ngoại quốc sinh sống. + Địa điểm : Gần Bến xe Mỹ Đình, Thuận tiện Kinh doanh Cho thuê Rất tốt. + Tiện ích: Đang Kinh doanh cho thuê rất tốt, Dân trí cao, thân thiện, Gần Trung tâm nhộn nhịp phát triển rất mạnh, Gần các trường Đại Học, cơ quan, công ty.. +  Diện tích: 65m2  Sổ đỏ chính chủ, pháp lý sạch. + Giá Bán: 4 tỷ Liên hệ: Đức  0898839292.",02/05/2022,Tin thường,batdongsan_so_com_vn_1673802623.8739035,, 10
