price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
"6,6 tỷ VNĐ",Tô Hiệu - Hà Đông, 40m2,,,,"Bán đất lô góc ô tô kinh doanh Tô Hiệu, 40m, mặt tiền 4m hơn 6 tỷ Bán mảnh đất vàng phố Tô Hiệu, Hà Đông với thông số vàng diện tích 40m mặt tiền 4m kinh doanh sầm uất, cả khu chỉ có duy nhất 1 mảnh còn sót lại rất hiếm. Nhà 2 mặt tiền một mặt lô góc vài bước ra Phố Tô Hiệu. Một mặt phân lô vỉa hè ô tô tránh kinh doanh cạnh dãy Vila HuynDai Hà Đông. Giao thông thuận tiện giáp Bà Triệu và bước ra Hà Cầu gần Lê Lợi cắt Tản Đà sang Lê Hồng Phòng ra Văn Quán. Sổ vuông sẵn sàng giao dịch. Giá: 6.6 tỷ ( gia lộc) Liên hệ : Em Huyền cháu gái chủ nhà ( 0363703491- 0965472910) gặp trực tiếp chính chủ.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790751.1353812, 4,,
"6,6 tỷ VNĐ",Kiến Hưng- Hà Đông, 63m2,,,,"Bán đất đấu giá Kiến Hưng, Hà Đông kinh doanh 63m, MT 5M hơn 6 tỷ Chính chủ bán mảnh đất đẹp khu đấu giá Kiến Hưng, Hà Đông với thông số vàng diện tích 63m mặt tiền khủng 5.5m đường to ô tô tránh phân lô vỉa hè kinh doanh bất chấp, xây 7 tầng thang máy như hàng xóm quá đẹp. Bán kính xung quanh đầy đủ tiện ích gần trường học các cấp, chợ, bệnh viện, siêu thị, ngân hàng. Giao thông giáp các Khu đô thị Xa La hàng xóm Thanh Hà gần Văn Phú ra Phú Lương. Sổ vuông sẵn sàng giao dịch. Giá: 6.6 tỷ ( gia lộc) Liên hệ : Em Huyền cháu gái chủ nhà ( 0363703491- 0965472910) gặp trực tiếp chính chủ.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790752.5316448, 5,,
"2,8 tỷ VNĐ",Đa Sỹ - Hà Đông, 45m2,,,,"Bán đất Đa Sỹ, Hà Đông 45m, mặt tiền 4m cách phố 20m hơn 2 tỷ Bán đất chính chủ sổ vuông chỉ 20m ra mặt phố gần chợ Đa Sỹ, các trường học cấp 1, cấp 2 rất gần với thông số vàng diện tích 45m với mặt tiền rộng 4m, ngõ thoáng xây nhà 5 tầng như hàng xóm quá đẹp. Khu vực tầm tiền không có căn thứ 2, chủ nhà trẻ tuổi thành đạt rất hiểu chuyện cần bán nhanh mở rộng kinh doanh, đất thổ rất lộc. Giao thông thuận tiện giáp Hà Trì xuống Mậu Lương gần Văn Phú sang Tô Hiệu qua Bà Triệu hàng xóm Xa La. Sổ vuông sẵn sàng giao dịch. Giá: 2.8 tỷ ( gia lộc) Liên hệ : Em Huyền cháu gái chủ nhà ( 0363703491- 0965472910) gặp trực tiếp chính chủ.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790753.8521118, 4,,
"2,75 tỷ VNĐ",Đa Sỹ - Hà Đông, 46m2,,,,"Bán đất Đa Sỹ, Hà Đông 46m, MT 4m ngõ thông cách phố 20m hơn 2 tỷ Chị gái tôi có mảnh đất tại Đa Sỹ, Hà Đông cần bán giá đầu tư sinh lời quá tốt với diện tích rộng 46m, mặt tiền khủng 4m xây nhà 5 tầng lên quá đẹp. Nhà bán cách mặt phố chỉ 20m ngõ thông rộng xung quanh đầy đủ tiện ích gần trường chợ, bệnh viện, ngân hàng. Giao thông thuận lợi giáp Hà Trì xuống Mậu Lương gần Văn Phú sang Tô Hiệu qua Bà Triệu hàng xóm Xa La. Gia chủ thành đạt đất thổ rất có lộc. Sổ vuông sẵn sàng giao dịch. Giá: 2.75 tỷ ( gia lộc) Liên hệ : Em Huyền cháu gái chủ nhà ( 0363703491- 0965472910) gặp trực tiếp chính chủ.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790755.155625, 4,,
120 triệu VNĐ,ĐÔNG ĐA, 100m2,,,,"Tôi cần cho thuê gấp Tòa nhà 9 tầng mặt phố An Trạch – Cát Linh, vị trí đắc địa.Diện tích 100m2, Mặt tiền 6m, Đường nhựa 20m, Vỉa hè rộng 4m.Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm, Thiết kế hiện đại, Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN, Tầng 8 là 1 phòng ăn kết hợp phòng khách sang trọng, toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi 800kg, Thiết bị vệ sinh American Standard, Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy hiện đại.GIÁ CHO THUÊ : 120 Triệu/ThángLiên Hệ: A TRƯỞNG ,,,0912,129,926......0912.729.926( Để được tư vấn và xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị đã xem qua tin đăng này!",28/07/2022,Tin thường,batdongsan_so_com_vn_1673790756.5479028,,,
67 tỷ VNĐ,ĐỐNG ĐA, 100m2,,,,"Tôi cần bán gấp tòa nhà văn phòng vip 9 tầng xây mới mặt phố Tôn Đức Thắng. Vị trí đắc địa. Lô góc 2 mặt tiềnDiện tích 100m2, Mặt tiền 6m, đường lớn, vỉa hè rộng.Tòa nhà xây mới 9 tầng thiết kế văn phòng và để ở– Tầng 1: Hầm để xe.– Tầng 2 7: Thiết kế thông sàn văn phòng– Tầng 8 : Thiết kế 2 phòng ngủ vệ sinh khép kín– Tầng 9 : Thiết kế nhà ăn kết hợp với phòng khách sang trọngThiết bị hiện đại với hệ thống điều hoà trung tâm Daikin, toàn bộ đá ốp mặt tiền và thang máy là đá Granit nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi, Thiết bị vệ sinh American Standard, Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy hiện đại.Sổ đỏ chính chủ.Giá Bán = 67 tỷ (có thương lượng).Liên Hệ: A TRƯỞNG . 0912.129.926....0912.729.926( Để được tư vấn và xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị đã xem qua tin đăng này!",28/07/2022,Tin thường,batdongsan_so_com_vn_1673790757.6738968,,,
85 tỷ VNĐ,cầu giấy, 190m2,,,,"Tôi cần bán gấp Tòa Nhà Văn Phòng 9 tầng xây mới mặt phố Quan Hoa - Nguyễn Khánh Toàn. Vị trí rất đắc địa.Diện tích 190m2, Mặt tiền 9.5m. Vỉa hè rộng 4mNhà xây mới 7 tầng nổi 1 tum và 1 tầng hầm.Thiết kế hiện đại, Mỗi tầng là 1 sàn Văn Phòng rộng với hệ thống điều hòa âm trần DAIKIN.Toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil.2 Thang máy nhập khẩu chính hãng Mitsubishi 1000kg.Thiết bị vệ sinh American Standard.Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy hiện đại.Sổ đỏ chính chủ.GIÁ BÁN: 85 Tỷ ( có thương lượng )Liên Hệ: A Trưởng . 0912.129.926....0912.729.926( Để được tư vấn và xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị đã xem qua tin đăng này!",30/07/2022,Tin thường,batdongsan_so_com_vn_1673790758.831792,,,
10 tỷ VNĐ,Nguyễn Đình Chiểu Hai Bà Trưng Hà Nội, 52m2,, 5, 5,"+ Vị trí cực đẹp, cách mặt phố Nguyễn Đình Chiểu vài bước chân, ngay công viên Thống Nhất, khu vực trung tâm, hiếm nhà bán. + Diện tích 52m2, xây 5 tầng, mặt tiền 4m, tổng có 4 phòng ngủ, thoáng trước sau. + Nhà xây cực chắc chắn để ở, khách về ở ngay. + Sổ đỏ vuông đẹp. + Giá 10 tỷ. + Liên hệ: Nguyễn Minh Quang + Điện thoại: 0327085656",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790760.3786526, 4,,
"3,99 tỷ VNĐ",Phân lô Cổ Nhuế 35m 6 tầng giá 3.99 tỷ, 35m2,,,,"Phân lô Cổ Nhuế 35m 6 tầng giá 3.99 tỷ  + Nhà xây 5 tầng 1 tum mới nguyên, trang trí nội thất sang trọng phong cách hiện đại, nhà sàn gỗ, cầu thang đá tay vịn gỗ, tủ bếp gỗ, trần thạch cao nóng lạnh, thiết bị wc cao cấp. + Đáp ứng 4 ngủ khép kín + Nhà nằm trong khu phân lô dân trí cao an ninh tốt giao thông đi lại thuận tiện, SĐCC.  Liên hệ: Kim Hạnh 0946 553 655 ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790761.6871524,,,
67 tỷ VNĐ,ĐỐNG ĐA, 100m2,,,,"Tôi cần bán gấp tòa nhà văn phòng vip 9 tầng xây mới mặt phố Tôn Đức Thắng. Vị trí đắc địa. Lô góc 2 mặt tiềnDiện tích 100m2, Mặt tiền 6m, đường lớn, vỉa hè rộng.Tòa nhà xây mới 9 tầng thiết kế văn phòng và để ở– Tầng 1: Hầm để xe.– Tầng 2 7: Thiết kế thông sàn văn phòng– Tầng 8 : Thiết kế 2 phòng ngủ vệ sinh khép kín– Tầng 9 : Thiết kế nhà ăn kết hợp với phòng khách sang trọngThiết bị hiện đại với hệ thống điều hoà trung tâm Daikin, toàn bộ đá ốp mặt tiền và thang máy là đá Granit nhập từ Brazil, Cửa gỗ Lim và Nhôm Xingfa, Thang máy nhập khẩu chính hãng Mitsubishi, Thiết bị vệ sinh American Standard, Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy hiện đại.Sổ đỏ chính chủ.Giá Bán = 67 tỷ (có thương lượng).Liên Hệ: A TRƯỞNG . 0912.129.926....0912.729.926( Để được tư vấn và xem nhà hoàn toàn miễn phí).Trân trọng cảm ơn Anh/Chị đã xem qua tin đăng này!",28/07/2022,Tin thường,batdongsan_so_com_vn_1673790763.4893334,,,
