price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"3,6 tỷ VNĐ",Xa La- Hà Đông, 48m2, 4,"Siêu Hiếm,Nhà khu Phùng Hưng, Xa La – Hà Đông, Tặng Nội Thất, Ở Luôn, DT 48m2x 3T. Chỉ 3.6 Tỷ. Vị trí: Nhà nằm ngay Học Viện Quân Y 103, An Ninh tốt, 50m ra đường ô tô, 300m ra khu đô thị Xa La, gần chợ xung quanh đầy đủ tiện ích, nhiều trường học từ Mầm Non tới THPT. Thiết kế: Nhà xây 3 tầng đầy đủ công năng sử dụng, tầng 1 phòng khách + Bếp + WC -Tầng 2 có 2 phòng ngủ + WC, - Tầng 3 có 1 phòng ngủ + Phòng Thờ + Sân Phơi Pháp lý; Sổ đỏ chính chủ giao dịch ngay Liên Hệ Mr Luyện thổ cư: 0911779569 để được xem nhà miễn phí 24/7 “TRAO GỬI NIỀM TIN _ NHẬN LẠI YÊU THƯƠNG”",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821738.566606, 3, 2, 3, 2, Đông nam
"5,4 tỷ VNĐ",Đường Ngô Đình Mẫn phường La Khê, 50m2, 5,"
    Mô tả: S: 50m2, 5 tầng, giá 5.4 tỷ.Nhà cách mặt phố Lê Trọng Tấn 100 m , thông đi các ngả Phan Đình Giót, Khu đấu Giá Ngô Thì Nhậm, Ngô Quyền, Tố Hữu.Nhà chủ tự xây tâm huyết.- Diện tích rộng thiết kế - Tầng 1: Phòng khách, Bếp ,WC- Tầng 2:  2 Phòng ngủ, WC .- Tầng 3:  2 Phòng ngủ, WC .- Tầng 4:  2 Phòng ngủ, WC.- Tầng 5: Phòng thờ,  sân phơi.Sổ đỏ chính chủ giao dịch ngay( vuông đẹp)Liên hệ: Tôi Công thổ cư 0981795728.
",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821739.799317, 5, 4, 6, 5,
"1,95 tỷ VNĐ",Linh Lang, 60m2,,"LINH LANG - BA ĐÌNH - Ô TÔ - LÔ GÓC - FULL NỘI THẤT - BAN CÔNG ĐÔNG NAM - Ở LUÔN. + Do nhu cầu chuyển đổi Gia đình cần bán căn hộ tập thể, thiết kế: 02 Phòng ngủ, Phòng khách, vệ sinh, Bếp, Ban công… đầy đủ Điều Hòa, Nóng lạnh, đèn sưởi NVS, Tủ quần áo… Đường trước nhà rộng, ô chạy vòng quanh nhà, có chỗ đỗ xe ô tô.+ Vị trí gần mặt phố Linh Lang, tập thể Ban Dân Vận TW, vài bước chân ra Lotte, Vincom Metropolis, Hồ Tây… + Khu vực trung tâm, Hộ khẩu Ba Đình, nhiều TTTM, trường học: TT Lotte, Vincom, trường Thực Nghiệm… + Nhà Full nội thất đẹp, Khách nua chỉ cần xách vani về ở. + Khu tập thể Ban Dân Vận TW dân trí cực cao, an ninh tốt.Giá: 1.95 tỷ ( có gia lộc) Liên hệ 0988954278 - Hoàng Hưng để đi xem nhà miễn phí.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821740.8086147,,,,,
"5,5 tỷ VNĐ",Đường Phan Đình Giót phường La Khê, 52m2, 5,"
    
S: 52m2, 4 tầng, mt 5m, giá 5.5 tỷ.
 
- Nhà ngay sát chợ Bông Đỏ, KINH DOANH sầm uất.
- Khu vực dân trí cao, an ninh tốt sát ngay khu đất đấu giá Ngô Thì nhậm nên được hưởng rất nhiều tiện ích đô thị. Gần chợ, gần trường, … gần trung tâm..vv

-Nhà xây 5 tầng BTCT chịu lực, phong cách kiến trúc hài hòa, rất thoáng.

- Tầng 1: Phòng khách, bếp, wc, khu vực để xe.

- Tầng 2,3: Mỗi tầng 2 phòng, wc. 
- Tầng 4, phòng thờ, sân phơi.

-Sổ đỏ đẹp không lỗi phong thủy.
Liên hệ: Công Thổ Cư Hà Đông 0981795728
",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821741.9166503, 4, 4, 4, 4,
"3,8 tỷ VNĐ",Đường Xã Đàn phường Nam Đồng, 32m2, 3,+ Giá chào: chỉ nhỉnh 3 tỷ. ,03/06/2022,Tin thường,batdongsan_so_com_vn_1673821743.1573336, 4, 3, 3, 3,
"7,2 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 63m2, 5,"
    - Vị trí nằm giữa trung tâm quận Đống Đa, giao cắt Ô Chợ Dừa, La Thành, Hào Nam, Yên Lãng, Thái Hà, Tây Sơn, Nguyễn Lương Bằng, Đặng Tiến Đông... Đường đi thuận lợi, thông thoáng, vài phút ra đến hồ Hoàng Cầu, xung quanh cực nhiều quán cafe, quán ăn, nhà hàng với phong cảnh đẹp, cộng theo nhiều tiện ích xung quanh như siêu thị, trường học, bệnh viện, sân chơi lớn, sân tập thể thao- Nhà có diện tích 63m2, Mặt Tiền 5m với thiết kế 5 tầng hiện đại- Khu vực dân trí cao, nhiều cán bộ, an sinh xã hội tốt, hàng xóm láng giềng hòa thuận.- Nhà chủ tự xây kiên cố, 3 mặt thoáng, không chung tường, chung móng, mới sửa lại đẹp long lanh, nhiều cửa sổ, ánh sáng ngập tràn, chỉ cần xách va li về ở.- Sổ đẹp chính chủ vuông vắn sẵn sàng giao dịch ngay- Giá chỉ 7.2 tỷ- Liên hệ: Phúc Thịnh (Sđt/Zalo: 0946804420)
",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821744.288307, 5, 3, 4, 4,
"10,5 tỷ VNĐ",Đường Giáp Bát, 110m2,,"Chính chủ bán nhà Giáp Bát, Kim Đồng, phân lô ô tô vào nhà, kinh doanh sầm uất ngày đêm mọi loại hình. Thông các ngả. + Thiết kế 4 tầng, chủ tự xây chắc chắn, thoáng vĩnh viễn + Khu vực cán bộ dân trí cao, an sinh tuyệt vời. + Sổ đỏ chính chủ sẵn sàng giao dịch. + Diện tích: 110m + Giá: 10,5 tỷ có thương lượng. + Liên hệ: Em Phượng 0362368485 (không tiếp mô giới)",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821745.3125672,,,,,
"1,2 tỷ VNĐ","Ba Đình, HN", 45m2, 3,"NHÀ SIÊU ĐẸP - NGÕ THÔNG - KINH DOANH! C + Pháp lý: Sổ đỏ cất két. + Căn hộ tầng 1 cực đẹp, thiết kế cực đẹp đủ công năng, có thể kinh doanh Online hoặc kd nhỏ như hàng xóm bên cạnh. Phù hợp với gia đình trẻ, tài chính hạn chế.  HỘ KHẨU BA ĐÌNH - KHÔNG GIAN SỐNG TUYỆT VỜI GIỮA LÒNG PHỐ!  + Pháp lý: Sổ đỏ cất két. + Vị trí: Hãng xóm với Lăng Bác, 3 bước ra Hồ Tây, 5p xuống Phố Cổ. + Ngõ trước nhà cực rộng, Khuôn viên tập thể rộng, nhiều cây xanh, sân chơi >>> không gian sống tuyệt vời giữa nội đô. + Căn hộ tầng 4 cực đẹp, thiết kế cực đẹp đủ công năng, HỘ KHẨU BA ĐÌNH - KHÔNG GIAN SỐNG TUYỆT VỜI GIỮA LÒNG PHỐ!  + Pháp lý: Sổ đỏ cất két. + Vị trí: Hãng xóm với Lăng Bác, 3 bước ra Hồ Tây, 5p xuống Phố Cổ. + Ngõ trước nhà cực rộng, Khuôn viên tập thể rộng, nhiều cây xanh, sân chơi >>> không gian sống tuyệt vời giữa nội đô. + Căn hộ tầng 4 cực đẹp, thiết kế cực đẹp đủ công năng, ",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821746.3807511, 1,, 2, 2,
"7,5 tỷ VNĐ",Trung Kính - Yên Hòa - Cầu Giấy - Hà Nội, 62m2,,"+ Vị trí trung tâm Cầu Giấy, ngõ nông cực gần ô tô, hồ điều hòa, bán kính xung quanh tiện ích vô vàn. + Nhà thiết kế 5 tầng đẹp, chắc chắn, hiện đại, tổng 4 phòng ngủ, công năng sử dụng đầy đủ. + Giao thông kết nối Trần Duy Hưng, Vũ Phạm Hàm, Trung Hòa, Mạc Thái Tổ, Trung Yên... di chuyển đi lại thuận lợi. + Sổ đẹp chính chủ vuông đẹp, sẵn sàng giao dịch ngay. + Giá: 7.5 tỷ (thương lượng). + Liên hệ: Mr. Tiến Hoàng - 0976817296 - Tư vấn nhiệt tình, tận tâm, miễn phí 24/7.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821747.5546117,,,,,
"5,6 tỷ VNĐ","Thái Thịnh, Thịnh Quang", 38m2,,"LÕI ĐỐNG ĐA - NHÀ ĐẸP NHƯ NGỌC TRINH - 3 NGỦ ĐỦ CÔNG NĂNG - AN SINH TUYỆT VỜI - CÁCH Ô TÔ 20M - BÃI GỬI XE Ô TÔ RỘNG MÊNH MÔNG. + Phố Thái Thịnh có nhịp độ phát triển mạnh, các hoạt động kinh doanh buôn bán trên đường rất phát triển có nhiều siêu thị lớn, trung tâm thương mại, chợ...cung cấp đầy đủ các nhu yếu phẩm cần thiết cho đời sống. + Nhà bán nằm tại ngõ  ô tô tránh xe máy, có bãi gửi xe ô tô xe máy rất rộng đầu ngõ. Một bên ngõ là nhà tập thể và khu sân chơi cho dân cư của khu vực, an sinh rất lý tưởng, gần chợ, không thiếu thứ gì... + Nhà bán xây mới đẹp thiết kế hiện đại kiểu Châu Âu, nội thất xịn xò, cầu kỳ tỉ mỉ rất đẹp mắt. Bố cục ngôi nhà như sau: - Tầng 1: Phòng khách, bếp, vệ sinh. - Tầng 2,3,4: Mỗi tầng 1 ngủ rộng 1 vệ sinh. - Tầng 5: Phòng thờ sân phơi. + Sổ đỏ đẹp, chính chủ, sẵn sàng giao dịch. + Giá chỉ hơn 5 tỷ (có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821748.768381, 5,, 3,,
