price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"5,2 tỷ VNĐ","đường Minh Khai, phường Minh Khai , quận Hai Bà Trưng , Hà nội", 60m2,"Minh Khai, 60m,Gara ô tô tầng 1, giá bán 5.2 tỷ Nhà đẹp , siêu hiếm khu vực Minh Khai, chủ xây tâm huyết để ở. Nay muốn chuyển mua nhà to hơn. Mô tả  : + Diện tích mỗi sàn 60m , có gara ô tô tầng 1, đường trước mặt xe ô tô tránh nhau. + Nhà ở cực lộc , chủ tự xây nên khung BT chắc chắc, các phòng đủ ánh sáng thoáng, công năng đầy đủ sẵn vào ở luôn. + Trường học, siêu thị Vinmart xung quanh , vài bước tới Times City + Dân trí cao, hàng xóm thân thiện, ngõ sạch đẹp , an ninh đảmbảo. + Sổ đỏ chính chủ sẵn trong két ,giao dịch ngay trong ngày. + Giá bán : 5,2 tỷ ( khách gặp trực tiếp chủ nhà thương lượng) Liên hệ  : 0865456977 – Giang ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825883.067827, 4,,, 4, 4
"12,5 tỷ VNĐ",Đường Ngọc Khánh phường Ngọc Khánh, 62m2,"BÁN GẤP NHÀ ĐỘI CẤN LÔ GÓC, 3 THOÁNG: ĐẸP- ĐỘC- ĐỈNH- ĐẮC ĐỊA- ĐẲNG CẤP,  VIP BA ĐÌNH, GIÁ 12.5 TỶ Mô tả - Nhà lô góc 5 tầng- Diện tích 60m2 - Mặt tiền 12 m- Giá 12.5 tỷ - Ngõ thông sang Vạn Bảo, ô tô chạy qua nhà- Thiết kế theo ý tưởng con thuyền và cánh buồm theo phong cách Scadinavian, toàn bộ nội thất nhập khẩu gỗ tự nhiên. Chủ nhà cẩn thận tỉ mỉ từng chi tiết nhỏ tạo nên một căn nhà dành cho khách biết chơi, biết hưởng thụ theo đẳng cấp không trùng tần số với số đông. Giá - Thiết kế tầng 1: bể cá koi, chỗ để xe máy, hầm rượu. Tầng 2,3 mỗi tầng 1 phòng ngủ master. Tầng 4: Bếp, bàn ăn ngoài trời và trong nhà. Tầng 5: Bàn cafe rất chill phục vụ sống ảo. - Chủ nhà là việt kiều sinh sống ở Nga, dịch covid quyết định về Việt Nam lập nghiệp, do tính chất công việc nên ở SG nhiều hơn HN, đã tậu biệt thự Phú Mỹ Hưng, nên bán để dịch chuyển. Liên hệ gặp chủ: 0983416706",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825884.5667882, 6, 5, 2, 3, 3
"15,4 tỷ VNĐ",Đường Trần Quốc Hoàn phường Nghĩa Tân, 55m2,"
    
Nhà ĐẸP, MỚI phố Trần Quốc Hoàn 55m2 x 6T MT4.2m. Thang máy, ở sướng. Kinh doanh Spa, VP, 15.4 tỷ. 0836797686
 

+ Vị trí: Gần PHỐ, OTo vào nhà, ngõ thông vòng quanh. Khu vực dân trí cao, an ninh tốt.
 

+ Thiết kế ĐẸP, HIỆN ĐẠI, đầy đủ công năng. Phù hợp ở và kinh doanh.
 

+ Sổ phân lô, gần phố.
 

LH: 0836797686 - Ngọc Duyên - Chuyên Cầu Giấy
",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825885.622289, 6, 4, 5, 4, 4
"4,75 tỷ VNĐ",Hoàng Hoa Thám, 51m2,"Cần bán nhà Hoàng hoa thám gần phố, ngõ oto tránh, oto gửi khách sạn ngay gần nhà, mặt tiền rộng. Vị trí nhiều tiện ích xung quanh, gần các trường đh lớn, khu vực an sinh tốt. Thiết kế: - Nhà đẹp ở ngay chủ tặng lại nội thất + Tầng 1: bếp và khách + Tầng 2: 1 ngủ lớn, 1 phòng chơi nhỏ + Tầng 3-4: Mỗi tầng 2 ngủ + Tầng 5: Phòng thờ va sân phơi",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825886.9630115, 5,,, 5, 5
"4,1 tỷ VNĐ",KHƯƠNG TRUNG, 38m2,"- Vị trí: nhà nằm trên mặt ngõ Khương Trung thông tứ tung, ba gác tránh, dân trí ổn định, giao thông thuận tiện đi các hướng, xung quanh nhà tiện ích đầy đủ. - Nhà gần chợ, trường học các cấp, an sinh đỉnh, cách ô tô tránh 100m. - Nhà lô góc, thoáng sáng, nhà xây kiên cố chắc chắn, công năng đầy đủ. - Giá 4.1 tỷ thương lượng với chủ nhà. - Sổ đỏ chính chủ nét căng. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825888.0840123, 4,,, 3, 4
"1,55 tỷ VNĐ","Chính chủ bán nhà tập thể Tôn Đức Thắng, trung tâm quận Đống Đa, 1,55 tỷ, 0976433867", 55m2,"Chính chủ bán nhà tập thể Tôn Đức Thắng, trung tâm quận Đống Đa, 1,55 tỷ, 0976433867 - Diện tích sử dụng 55m2- Thiết kế gồm : 2 phòng ngủ, 1 phòng khách, 1 bếp, 1wc, 1 ban công (tất cả đều xinh xinh).- Đường rộng ô tô đỗ chân cầu thang- Căn hộ nằm vị trí đắc địa: gần trường học các cấp, các trường đại học, bệnh viện, siêu thị vinmart, chợ dân sinh, nhanh chóng ra Tôn Đức Thắng, Xã Đàn, La Thành, Hào Nam, Văn Miếu, Lăng Bác, ….- Sổ đỏ chính chủ, sẵn sàng giao dịch . - Giá bán : 1 tỷ 55 ( có thương lượng ) - Liên hệ chính chủ: Mrs Hương 0976433867 (không qua trung gian)       http://www.sanbatdongsanviet.com.vn",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825889.2369285,,,,,
24 tỷ VNĐ,Đường Phố Huế phường Hàng Bài, 70m2,"0965915886
",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825890.2771502, 1, 4, 15, 1, 1
"12,5 tỷ VNĐ",Đường Vạn Phúc phường Cống Vị, 60m2,"BÁN GẤP NHÀ ĐỘI CẤN LÔ GÓC, 3 THOÁNG: ĐẸP- ĐỘC- ĐỈNH- ĐẮC ĐỊA- ĐẲNG CẤP,  VIP BA ĐÌNH, GIÁ 12.5 TỶ Mô tả - Nhà lô góc 5 tầng- Diện tích 60m2 - Mặt tiền 12 m- Giá 12.5 tỷ - Ngõ thông sang Vạn Bảo, ô tô chạy qua nhà- Thiết kế theo ý tưởng con thuyền và cánh buồm theo phong cách Scadinavian, toàn bộ nội thất nhập khẩu gỗ tự nhiên. Chủ nhà cẩn thận tỉ mỉ từng chi tiết nhỏ tạo nên một căn nhà dành cho khách biết chơi, biết hưởng thụ theo đẳng cấp không trùng tần số với số đông. Giá - Thiết kế tầng 1: bể cá koi, chỗ để xe máy, hầm rượu. Tầng 2,3 mỗi tầng 1 phòng ngủ master. Tầng 4: Bếp, bàn ăn ngoài trời và trong nhà. Tầng 5: Bàn cafe rất chill phục vụ sống ảo. - Chủ nhà là việt kiều sinh sống ở Nga, dịch covid quyết định về Việt Nam lập nghiệp, do tính chất công việc nên ở SG nhiều hơn HN, đã tậu biệt thự Phú Mỹ Hưng, nên bán để dịch chuyển. Liên hệ gặp chủ: 0983416706",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825891.3522701, 6, 5, 2, 3, 3
100 triệu VNĐ/m2,Phường Mỹ Đình, 55m2," Cực Hót..Bán nhà Mỹ Đình 55M2 6 tầng MT 4.5m. Ô tô tránh, ngõ thông tứ tung. Giá hơn 100tr/m2.+  Nhà vị trí rất đẹp,  xây thiết kế mới chắc chắn, thông sàn cho thuê căn hộ hoặc văn phòng.+ Nhà 6 tầng thang máy , thang bộ cuối nhà, công năng đầy đủ tiện ích.+Tuyến phố có nhiều Trường học các cấp, bệnh viện, trung tâm siêu thị, Bén xe Mỹ Đình…. Dân cư tập trung đông đúc sinh sống khu văn hóa văn minh, an ninh tốt,nhiều sinh viên kinh doanh buôn bán tấp nập.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá:3 tỷ.Liên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7.  ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825892.4293883,,,,,
50 ngàn VNĐ,Đường Phạm Hùng phường Mỹ Đình 2, 108m2,- Số phòng ngủ: 3.* Chính sách bán hàng ưu việt.- Miễn phí dịch vụ quản lý trong vòng 2 năm.,06/05/2022,Tin thường,batdongsan_so_com_vn_1673825893.475591, 15,, 1, 3, 2
