price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng,Mặt tiền,Số toilet,Lộ giới
"1,75 tỷ VNĐ","Phường Yên Nghĩa, quận Hà Đông, Hà Nội", 33m2,,"Bán đất Yên Nghĩa-Hà Đông 33m2 có nhà C4 ở luôn,công viên Đô Nghĩa.1,75 tỷ - Chủ nhà làm ăn phát lộc chuyển căn nhà lớn hơn nhượng lại lô đất có nhà cấp 4 về ở luôn. - Nhà còn mới thiết kế hợp lý, không gian sử dụng tiện ích. - Khu vực phát triển mới của Quận Hà Đông, hàng xóm khu đô thị Đô Nghĩa, công viên nhạc nước Cây Đàn. - Sổ đỏ chính chủ, công chứng trong ngày. Gọi ngay em Dương: 091.445.0004.",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816226.273394,,,,,
"1,45 tỷ VNĐ","Giáp Nhất, Nhân Chính", 70m2,,"CĂN HỘ CHUNG CƯ TRUNG TÂM THANH XUÂN, TIỆN ÍCH NGẬP TRÀN, TƯƠNG LAI TƯƠI SÁNG. ĐỂ Ở HOẶC CHO THUÊ GIÁ CAO.- HIẾM CÓ KHÓ TÌM!!+ Vị trí trung tâm Vip nhất Thanh Xuân vài phút là ra Ngã Tư Sở. + Thiết kế cực đẹp, gọn gàng: 3pn cực thoáng, Phòng khách, bếp và vệ sinh riêng biệt. Nội thất siêu sang cực chất + Khách mua về chỉ việc dọn đến ở luôn, không cần mua sắm gì cả.+ Pháp lý sạch, sang tên trong 1 nốt nhạc.+ Giá chỉ hơn 1 tỷ (Có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816227.5181487, 3,,, 2,
"4,9 tỷ VNĐ","Quang Trung, Lê Trọng Tấn, La Khê, Hà Đông", 45m2, 3," # Tuyệt đẹp nhà Lê Trọng Tấn quận Hà Đông, nhà ô góc, xây chắc, đẹp độc thoáng, hiếm có khó tìm, ở sướng, ô tô vào nhà. Chủ mới nhanh nhanh, nhanh tay sở hữu. DT 45/60m, 3T, giá chỉ trên 4 tỷ. + Vị trí: sáng thoáng, ngõ rộng sạch đẹp, an ninh tốt, dân trí cao, gần đường lớn Lê Trọng Tấn, vài phút khởi động ra đường Nguyễn Thanh Bình, ngã tư Lê Trọng Tấn, Quang Trung, Văn Khê, KĐT Văn Phú, giao thông thuận lợi. + Chủ mới mua về đầu tư thêm chút đỉnh, nhà đẹp long lanh, an sinh tuyệt đỉnh, giá trị tiềm năng cao. + Sổ đỏ phân lô chính chủ, sẵn sàng giao dịch. # nhanh tay LH: 0983858722 Tình nhà phố ( chuyên bán và nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816229.212074, 3,,,, 5
6 tỷ VNĐ,la khê, 60m2, 5,"Bán Nhà, Lê Trọng Tấn, Hà Đông. Ô Tô Kinh Doanh 60m2 x 5 tầng. Mặt Tiền 4m Giá 6 Tỷ.   MẶT PHỐ - NHÀ MỚI ĐẸP LONG LANH – KINH DOANH SIÊU ĐỈNH  + Nhà mặt phố Lê Trọng Tấn, giao với các đường Quang Trung, Tố Hữu, Láng Hoà Lạc rất thuận tiện cho việc di chuyển đi các tỉnh lân cận. + Nhà gần trường học các cấp, gần Uỷ Ban Và Công An Phường La Khê, gần bệnh viện Hà Đông, siêu Thị MêTro Hà Đông, Trung Tâm Thương Mại AON, chợ đầu mối và rất nhiều các dịch vụ tiện ích xung quanh. + Nhà gồm 6 phòng ngủ có thể cho thuê hoặc ở rất hợp với các công năng. . Chủ ở căn nhà này rất có lộc làm ăn được nên bán để mua biệt thự.  + Nhà thiết kế 5 tầng khung cột bê tông chắc chắn                                                                                         - Tầng 1: Phòng khách, bếp, wc - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5: Phòng thờ và sân phơi.  Sổ đỏ chính chủ, sẵn sàng giao dịch ngay.   LH: E KHÁNH: 0984568179  ",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816230.5904408, 6,, 4, 4,
"2,95 tỷ VNĐ","Ngọc Hồi, thanh trì, HN", 35m2,,"_ Vị trí nhà đẹp và đắc địa, chỉ cách ngõ xe tải tránh 50m, 300 - 400m ra đường Giải Phóng . thuận tiện ra bến xe Nước Ngầm, Bến xe Giáp Bát, Linh Đàm, Vĩnh Quỳnh, Đại Áng, Liên Ninh, … _ Tiện ích xung quanh bạt ngàn, chợ buôn bán tấp nập chỉ cách vài bước chân, trường mầm non ngay sau nhà. _ Trước nhà còn 2 bãi đất trống, người dân thường dùng để sinh hoạt vui chơi chung * Thiết kế: _ Nhà chủ tự xây để ở nên rất tâm huyết, thiết kế khung cột bê tông chắc chắn - Tầng 1: Phòng bếp, WC - Tầng 1.5: Phòng khách ( có thể cải tạo thành phòng ngủ) _ Tầng 2: Phòng ngủ, WC _ Tầng 3: Phòng ngủ, WC _ Tầng 4: Phòng thờ, Sân phơi, Khu vực máy giặt Sổ đỏ vuông vắn đẹp như tờ A4, sẵn sàng giao dịch Liên hệ: Em Phượng: 0362368485; 0964399436",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816236.735039,,,,,
"3,4 tỷ VNĐ","Lê Quang Đạo, Nam Từ Liêm", 32m2, 6,"Bán nhà Lê Quang Đạo, ngõ thẳng, dt 32m2, 6T, giá 3.4 tỷ + Nhà nằm ở ngõ 8 Lê Quang đạo, oto tránh, kinh doanh sầm uất ngày đêm, thông khắp các ngả phường Phú Đô, gần trường học cấp 1,2 Phú Đô……Ba bước chân đầy đủ các tiện ích + Nhà Chủ tự xây tâm huyết + Chủ nhà trẻ tuổi, thiện trí bán Sổ đỏ chính chủ, sẵn sàng giao dịch Lh Mr Tùng 09695411111( Chuyên Thổ Cư Hà Nội)",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816238.301266, 4,,, 6,
"31,5 tỷ VNĐ",Cầu diễn, 315m2,,"""Bán nhà Cầu Diễn 315m cấp 4 mt 12m giá 31.5 tỷHÀNG TUYỂN TỪ LIÊM - ÔTÔ ĐỖ CỬA - NỞ HẬU - CÁCH MẶT PHỐ 1 NHÀ + Vị trí mặt ngõ Cầu Diễn, cách mặt phố chỉ 1 nhà. Đường rộng ôtô 4 chỗ đỗ cửa. + Hiện trạng nhà C4, thửa đất vuông vắn, nở hậu đẹp. """,05/07/2022,Tin thường,batdongsan_so_com_vn_1673816239.5614953,,, 12,, 3
"5,777777 tỷ VNĐ",Đường Lê Trọng Tấn phường La Khê, 35m2, 5,"NHÀ LÊ TRỌNG TẤN HÀ ĐÔNG-TIỆN ÍCH ĐẦY ĐỦ-NGÕ THÔNG-GẦN HỒ-GIAO THÔNG THUẬN TIỆN +Nhà nằm trong khu vực phát triển của Quận Hà Đông tiện ích không thiếu thứ gì, trường học, chợ, bệnh viện, trung tâm rất gần nhà, giao thông thuận tiện di chuyển +Nhà rất có lộc ,thiết kế đẹp, hiện đại, chắc chắn, 5 tầng đầy đủ công năng diện tích thoải mái, mặt tiền 4m rộng +Sổ đỏ sạch sẽ pháp lý-chủ nhà rất thiện trí bán",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816240.6317148, 4,, 4, 4, 15
"18,5 tỷ VNĐ",Phường Minh Khai, 126m2, 7,"Chủ gửi bán nhà căn Ccmn vị trí nằm trong tổng diện tích đất tại Cầu Diễn Phường Minh Khai Quận Bắc Từ Liêm hiện đưa vào kinh doanh tốt. Căn hộ được thiết kế 7 tầng có thang máy, ô tô đỗ cửa vài chiếc. + Thiết kế & Diện tích: Nhà 126.6m2, mặt tiền 14m, 7 tầng. + Tổng 35 phòng khép kín Full nội thất. + Doanh thu ước tính 120tr/1th. + Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền. Sổ đỏ vuông vắn, sẵn sàng giao dịch. Để biết thêm thông tin LH Mr Chính 0792122918 xem chi tiết nhà",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816241.9691403,,, 14,,
"9,6 tỷ VNĐ",cầu giấy, 50m2, 6,"Bán nhà Cầu Giấy 50m xây 6 tg, mt 4m giá 9.6 tỷ.🌹🌹🌹 NHÀ MỚI - Ô TÔ QUA NHÀ - KINH DOANH SẦM UẤT.+ Vị trí nằm ngay mặt ngõ 68 Cầu Giấy huyền thoại, kinh doanh sầm uất ngày đêm, gần ngay Quận Uỷ Cầu Giấy, khu vực trung tâm, ở, kinh doanh hoặc cho thuê đều tuyệt vời.+ Thiết kế 6 tầng, tổng 6 phòng khép kín.+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816243.3275154, 9,, 4, 6, 3
