price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Lộ giới
5 tỷ VNĐ,"XUÂN THỦY, CẦU GIẤY", 35m2, 5, 6,"+ Vị trí cực hiếm trong khu vực, ngõ thông, ô tô đỗ cửa, nhà mới đẹp lô góc 6 tầng, thang máy êm ru.+ Diện tích: 35m2, mặt tiền 5.5m, full nội thất.+ Nhà gần nhiều trường học , chợ Cầu Giấy, siêu thị Lotte, bệnh viện...., chỉ mấy phút ra các con đường lớn, Xuân thủy, Phạm Hùng, Tôn Thất Thuyết, Trần thái Tông.+ Sổ đỏ đẹp chính chủ sẵn sàng giao dịch.+ Anh chị nhanh tay gọi điện Em Đức Anh - 0975517689 để chốt sớm.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827105.9272847,,,,
"1,17 tỷ VNĐ","đình thôn, nam từ liêm, hà nội", 60m2,, 8,"
    Bán CCMN Full đồ Đình Thôn, Mỹ Đình, Nam Từ Liêm, HN
----------------------------------------------
- Diện tích: 60m2 + 2 ngủ + 1 WC
- Hướng: Đông Nam – Ban công: Tây Bắc
- Full đồ, cách mặt đường phạm hùng 50m, ngõ rộng ô tô đỗ cửa, đường thông tứ phía, 800m ra bến xe Mỹ Đình, khu đô thị mễ trì, the manor, big C garden. 5 phút đến chợ Đình Thôn, gần trường Cấp 1, 2, 3 Mỹ Đình. 30 phút đến sân bay Nội Bài
- Tiềm năng tăng giá, cho người nước ngoài thuê
- Giá: 1.17 tỷ (Bao phí sang tên)
-----------------------------------------------
Nhu cầu mua nhà liên hệ: 0368 668 876 (Call/Zalo)
",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827106.9405737, 2, 1, Đông nam,
"15,8 tỷ VNĐ",Hà Nội, 77m2,,,"Bán nhà phố Trung Hòa - SĐT: 0366 555 258.Diện tích 77 m2, 7 tầng thang máy, mặt tiền 5 m.Mô tả: + Mặt đường phân lô VIP vỉa hè ô tô dừng đỗ thoải mái, kinh doanh và ở đều rất tốt. + Đi lại tiện ra Nguyễn Chí Thanh, Trần Duy Hưng, Trần Kim Xuyến, Vũ Phạm Hàm, Đỗ Quang, Trung Kính... + Phố Trung Hòa, buôn bán sầm uất, toàn nhà hàng văn phòng, người nước ngoài và công dân Việt Nam ước ao sở hữu. + Dân trí cao, an sinh đỉnh, kinh doanh gì cũng rất tốt. + Thiết kế đẹp, thoáng trước sau, nội thất toàn đồ nhập khẩu cao cấp từ Âu châu. - Tầng 1: Gara ô tô, kinh doanh, vệ sinh. - Tầng 2, 3, 4, 5, 6: Các phòng, vệ sinh. - Tầng 7: Phòng thờ, tiểu cảnh sân phơi. + Sổ vuông đẹp, chủ thiện chí sang tên chủ mới tíc tắc. + Giá thiện chí hơn 15.8 tỷ thương lượng mạnh, tặng nội thất.Alo ngay Ms Thanh, chuyên nhà phố giá tốt - SĐT: 0366 555 258.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827108.025671,,,,
"7,8 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội.", 86m2,,,"✅Bán lô góc đất đấu giá Sơn Đồng Center, Hoài Đức, 80m2/3 mặt tiền/ mặt đường Song Phương. - Vị trí: Ngã tư đường Song Phương, Sơn Đồng và Trịnh Văn Bô kéo dài (40m).- Diện tích 86m2 - 1 lô duy nhất.- Mặt đường Song Phương - Trung tâm xã Sơn Đồng - Làng nghề thủ công mỹ nghệ.- Khu vực tiềm năng tăng giá cao, kinh doanh sầm uất.- Xây dựng 4 tầng, 1 tum, nhà ở thương mại shophouse.- Giá đất riêng, giá xây dựng riêng.- Sổ đỏ.- Hoài Đức lên Quận 2024.- Tiến độ thanh toán 3 tháng một lần mỗi lần 30%.- Pháp lí an toàn - sổ hồng lâu dài.Do chuyển đổi mục đích nên gia đình tôi cần bán lô đất đấu giá Sơn Đồng - Hoài Đức - Hà Nội. ———-------------------------------- ✔️ Liên hệ Hotline: : 0779273787",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827109.1765926,,,,
"5,45 tỷ VNĐ",Bán nhà ngõ 101 Thanh Nhàn, 55m2, 3, 4,"Bán  căn nhà dân ngay ngã tư Võ Thị sáu Thanh Nhàn, Hai bà Trưng Hà Nội.- Diện tích 55m2x4 tầng, thiết kế có sân riêng để xe  phía sau thoáng có tiểu cảnh:+ Tầng 1: Sân cổng để xe, Phòng khách, phòng bếp, wc phụ, tiểu cảnh.+ Tầng 2, 3: Mỗi tầng 2 phòng ngủ rộng + WC.+ Tầng 4: Phòng thờ + sân phơi.- Nội thất được gia đình lựa chọn kỹ lưỡng gồm: Cầu thang đá, tủ bếp gỗ sồi Nga, thiết bị vệ sinh ToTo, trần thạch cao phòng khách, phòng ngủ, các phòng được lát sàn gỗ công nghệ Đức.- Nhà nằm trong khu vực cán bộ dân trí cao, an ninh tốt. Gần công an, UBND phường, chợ, trường mầm non, tiểu học và các trường đại học.- Giá bán: 5.45 tỷ (có thương lượng) bao phí sang tên sổ đỏ.liên hệ chị Yến ĐT:0702138238",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827110.3075664, 4,, Đông nam, 3
"7,25 tỷ VNĐ",ngõ 68 Nguyễn An Ninh, 55m2, 3, 5,"Bán nhà phân lô cán bộ Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn Led trang trí hiện đại, tiết kiệm điện.- Tầng 1: Phòng Khách, vệ sinh, bếp ăn.- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh.- Tầng 5: Phòng thờ, sân phơi trước sau.Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 15m, gần đường Trần Đại Nghĩa kéo dài.Giao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích: Gần nhiều trường mầm non, cấp 1, cấp 2. Cách trường Bách Khoa, Xây Dựng, Kinh Tế 500m, gần nhiều bệnh viện lớn như Bạch Mai, Việt Pháp-Sổ đỏ chính chủ, pháp lý rõ ràng-Giá bán 7,25 tỷ ( Có thương lương) liên hệ chị Yến ĐT:0702138238",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827111.4255753, 6, 4, Đông nam, 3
"15,6 tỷ VNĐ",Hà Nội, 77m2,,,"Bán nhà làm văn phòng đường Hoàng Ngân, quận Cầu Giấy - 0856 968 656.Chủ nhà cần tiền gấp nên nhờ bán nhanh nhà đẹp, tiện kinh doanh phố Hoàng Ngân, trung tâm văn phòng sầm uất Hà Nội.Xung quanh nhiều tòa văn phòng, công viên, vườn hoa cây xanh, khu dân cư cao cấp, hàng xóm văn minh thân thiện.Thuận lợi đi sang Nguyễn Thị Định, Trung Hòa, Nguyễn Chí Thanh, Lê Văn Lương, Đỗ Quang... tiếp giáp Đống Đa, Ba Đình, Thanh Xuân...Diện tích: 77 m2.Mặt tiền: 6m.Nhà thiết kế 7 tầng thang máy, đầy đủ công năng, sử dụng luôn, làm văn phòng vừa ở vừa kinh doanh đẹp nhất khu vực.Giá chào chỉ 15.6 thương lượng cực mạnh, bao sang tên, tặng full nội thất xịn.Sổ đỏ chính chủ, cất két chờ giao dịch.Liên hệ ngay 24/7 Mr. Bình - 0856 968 656.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827112.5515637,,,,
"5,65 tỷ VNĐ",Phường Cổ Nhuế, 50m2,,,"Chính chủ cần Bán gấp nhà  đường Phạm Văn Đồng 50M2, 4Tầng. Nhà đẹp dọn về ở ngay. Giá nhỉnh 5 tỷ.+ Nhà mặt tiền ngõ, xe bag ac đỗ cửa, 20m ra  đường Phạm Van Đồng. + Gần ngay công viên Hòa Bình, khu Ngoại giao đoàn, đi Hoàng Quốc Việt, các trục tuyến phố nội đô, đi sân bay Nội Bài thuận tiện. + Nhà 2 mặt ngõ trước sau, mỗi tầng 2p,wc khép kín xây dựng chắc chắn thiết kế đẹp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 5.65 TỷLiên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.   ",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827113.55488,,,,
16 tỷ VNĐ,Hà Nội, 79m2,,,"Gia đình bán nhà phố Trung Hòa đẹp nhất quận Cầu Giấy - LH: 0856 968 656. + Nhà nằm trên mặt đường ô tô tránh, trung tâm khai thác các dịch cao cấp, nhà hàng 5 sao, karaoke... + Vỉa hè rộng xe ô tô để thoải mái 24/24 không cần bảo vệ, khu an ninh dân trí cực cao. + Nhà 7 tầng thang máy, diện tích 79 m2, mặt tiền 5 m.. + Sổ đỏ chính chủ.Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn cho khách hàng mua sớm.Liên hệ ngay - 0856 968 656.",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827118.580685,,,,
"4,8 tỷ VNĐ","Bồ Đề, Long Biên, Hà Nội", 38m2, 4, 5,"+ Chính chủ cần Bán gấp nhà phố Bồ Đề - Hồng Tiến (gần cầu Chương Dương), ô tô, ga ra gần hồ, ngõ thông tứ phía 38m2, 5 tầng xịn sò, MT 4.2m chỉ 4.85 tỷ. + Khu vực trung tâm: Gần hồ Bồ Đề, hồ sinh thái Lâm Du, bể bơi Phương Hiền Chi, gần cầu Trần Hưng Đạo; + Khu vực quy hoạch đẹp, gần trường Quốc tế Wellspring, gần công viên; Bệnh viện Tâm Anh, gần phố Nguyễn Văn Cừ, Hồng Tiến…  + Nhà xây toàn bộ khung cột bê tông chắc chắn, thông số chuẩn hoa hậu, mặt tiền rộng. Nội thất cao cấp. Liên hệ Vân “Ân cần” 0822.172.898 để được tư vấn và xem nhà Miễn phí. ",21/04/2022,Tin thường,batdongsan_so_com_vn_1673827121.969312, 3, 4,,
