price,address,Diện tích,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới
"6,3 tỷ VNĐ",Tô Hiệu- Hà Đông, 60m2,,,"Chính chủ bán nhà đẹp Tô Hiệu, Hà Đông, nở hậu, ô tô tránh, 60m2, nhỉnh 6 tỷ Phố Tô Hiệu, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành, dân trí cao quan chức về đây tụ họp rất nhiều như quần long tụ tụ, gần chợ lớn Hà Đông, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố ô tô tránh. Giao thông thuận lợi di chuyển các phố: Lê Lợi, Bà Triệu, Phùng Hưng, Văn Quán, Hà Cầu, Đa Sỹ, Lê Hồng Phong,...gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.3 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian. ",28/12/2021,Tin thường,batdongsan_so_com_vn_1673833836.6550016,,,
"6,33 tỷ VNĐ",Thanh Bình- Hà Đông, 63m2,,,"Nhỉnh 6 tỷ nhà đẹp gara ô tô, ngõ thông, Thanh Bình, Hà Đông, 63m2, dân xây Phố Thanh Bình nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, bệnh viện lớn,trục chính di chuyển thuận lợi:, Văn Quán, Vạn Phúc, Mỗ Lao,Nguyễn Khuyến, Ao Sen, Trần Phú, An Hòa, Nguyễn Văn Trỗi, Bà Triệu, Nhuệ Giang,Phùng Hưng... Nhà được xây dựng trên mảnh đất đẹp, vượng khí tài lộc, gia chủ làm ăn rất phất, nhiều nhà nay bán bớt để mở rộng kinh doanh. Nhà có gara ô tô, ngõ thông tứ tung, các phòng đẹp thoáng sáng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.33 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",30/12/2021,Tin thường,batdongsan_so_com_vn_1673833838.773129,,,
"6,31 tỷ VNĐ",An Hòa- Hà Đông, 63m2, 5,,"HOT! Trung tâm Quận Hà Đông, gara ô tô, ngõ thông ô tô tránh, 63m2x 5 tầng, nhỉnh 6 tỷ Người thân gửi bán nhà đẹp nằm vị trí đắc địa trung tâm nơi đáng sống bậc nhất Quận Hà Đông An Hòa, Hà Đông, ngõ thông muôn nơi, gần siêu thị, nhiều tiện ích xung quanh. Giao thông thuận lợi thông: Nguyễn Văn Lộc, Trần Phú, Phùng Khoang,xung quanh : ngân hàng, chung cư cao cấp, trường học các cấp tư nhân đến quốc tế. Nhà thiết kế khung cột chắc chắn, khu hiếm nhà bán ra căn nào hết căn đó, các phòng mở cửa sổ thoáng sáng, khu dân cư văn minh, hàng xóm quan chức. Giá: 6.31 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833841.5241618,,,
"6,33 tỷ VNĐ",Thanh Bình- Hà Đông, 63m2,,,"Nhỉnh 6 tỷ nhà đẹp gara ô tô, ngõ thông, Thanh Bình, Hà Đông, 63m2, dân xây Phố Thanh Bình nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, bệnh viện lớn,trục chính di chuyển thuận lợi:, Văn Quán, Vạn Phúc, Mỗ Lao,Nguyễn Khuyến, Ao Sen, Trần Phú, An Hòa, Nguyễn Văn Trỗi, Bà Triệu, Nhuệ Giang,Phùng Hưng... Nhà được xây dựng trên mảnh đất đẹp, vượng khí tài lộc, gia chủ làm ăn rất phất, nhiều nhà nay bán bớt để mở rộng kinh doanh. Nhà có gara ô tô, ngõ thông tứ tung, các phòng đẹp thoáng sáng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.33 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",30/12/2021,Tin thường,batdongsan_so_com_vn_1673833843.3473141,,,
"6,32 tỷ VNĐ",Ngô Thì Nhậm- Hà Đông, 62m2, 5,,"HOT! Trung tâm Quận Hà Đông, gara ô tô, ngõ thông ô tô tránh, 62m2x 5 tầng, nhỉnh 6 tỷ Người thân gửi bán nhà đẹp nằm vị trí đắc địa trung tâm nơi đáng sống bậc nhất Quận Hà Đông Ngô Thì Nhậm, Hà Đông, ngõ thông muôn nơi, gần chợ Bông Đỏ, nhiều tiện ích xung quanh. Giao thông thuận lợi thông: Phan Đình Giót, Ngô Quyền, Nguyễn Viết Xuân, Vạn Phúc, Quang Trung ...xung quanh : ngân hàng, chung cư cao cấp, trường học các cấp tư nhân đến quốc tế. Nhà thiết kế khung cột chắc chắn, khu hiếm nhà bán ra căn nào hết căn đó, các phòng mở cửa sổ thoáng sáng, khu dân cư văn minh, hàng xóm quan chức. Giá: 6.32 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673833845.6226678,,,
"6,65 tỷ VNĐ","Đống Đa, Hà Nội", 55m2, 5,,"Bán nhà 5 tầng Pháo Đài Láng, ô tô đỗ cổng. Khu vực lõi Đống Đa, gần các trường Đại học lớn như Đại Học Ngoại Thương, ĐH Luật, Học Viện Ngoại Giao, an sinh đỉnh. ở hoặc cho thuê đều tốt. + Nhà Thiết kế 5 tầng, thiết kế hiện đại, còn mới và chất lượng. - T1: PK, WC, Bếp - T2: PN + WC master rộng - T3,4: 4PN + 2WC - T5: Phòng thờ, sân phơi + Thông số: 55m x 5 tầng, MT 4 m. + Giá chào: 6.65 tỷ + Liên hệ anh Đức 0988484701",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833847.7822156, 4, 5, 3
"4,1 tỷ VNĐ",".             Đống Đa,Hà Nội", 38m2, 5, 4,"Mô tả: ngõ rộng thoáng ba gác đỗ cổng, cực gần phố, giao thông thuận tiện đi lại khắp ngả. + Nhà mình bán là trong cùng lợi thế để được xe bên ngoài. + Nhà xây 5 tầng mới đẹp, khách mua chuyển vào ở luôn, không cần sửa chữa gì. + Tầng 1 phòng khách và bếp. + Tầng 2 là 1 phòng ngủ và 1 phòng tắm Master. + Tầng 3,4 mỗi tầng 2 phòng. + Tầng 5 phòng thờ và sân phơi. Vệ sinh từng tầng. Sổ đỏ vuông đét đẹp. Sẵn sàng giao dịch. Liên hệ : 0966682624",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833849.9272866, 4, 5,
"3,7 tỷ VNĐ",".             Đống Đa,Hà Nội", 34m2, 5, 3,"TRUNG TÂM ĐỐNG ĐA - NHÀ ĐẸP Ở TẾT Mô tả: - Nhà xây 4 tầng + 1 gác lửng. - Tầng 1: Sân để xe + Phòng khách + Bếp. - Tầng lửng: Phòng khách nhỏ. - Tầng 2,3,4: Tổng 3 phòng ngủ + Wc + Sân phơi. * Sổ đỏ chính chủ nở Hậu. Sẵn sàng giao dịch. Liên hệ : 0966682624",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833852.4606323, 3, 3,
"59,9 tỷ VNĐ",Công viên Cầu Giấy, 135m2,,,"Chủ cần tiền đầu tư, muốn nhượng lại mảnh đất cực đẹp mặt phố Thọ Tháp. Ngay sát ngã 4 Khúc Thừa Dụ và cách công viên Cầu Giấy 50m. Vị trí cực kỳ đắc địa, mặt tiền lớn. Xây tòa văn phòng hoặc kinh doanh mọi loại hình.Diện tích: 135m2, mặt tiền 8m.Giá: 59.9 tỷ (còn thương lượng, làm việc trực tiếp chủ).Đất vàng mặt phố - mặt tiền lớn, vỉa hè rộng kinh doanh tốt - gần công viên.Liên hệ xem thực tế và nhận thông tin chi tiết: 0981367887.",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833855.194669, 8,, 15
"1,15 tỷ VNĐ",CẦN BÁN CHUNG CƯ KHÂM THIÊN - ĐỐNG ĐA - 0966234368, 65m2,,,"CẦN BÁN CHUNG CƯ KHÂM THIÊN - ĐỐNG ĐA - 0966234368  Chung cư mini 65m2 ngõ đại đồng - khâm thiên - hn - hoàng huy Chính chủ chung cư DT 65 m2 ở tầng 2 gồm 2 phòng ngủ (cả 2 phòng đều kê được giường đôi, không phải căn nào trong khu cũng kê được như vậy), 1 PK liền bếp, 1 vệ sinh khép kín, ban công.  - Căn hộ gồm 2 khối nhà 8 tầng chia thành 6 toà A1 đến A6 với 6 thang máy 6 thang bộ thoát hiểm, mỗi tầng chỉ có 2-3 căn chung 1 thang. Khuôn viên rộng 1500m2, gara 150m2, cách mặt phố Khâm Thiên 50m, điện nước riêng biệt theo giá nhà nước, có internet, thang máy chất lượng cao.  Khu trung tâm, dân trí cao, an ninh tốt, bảo vệ 24/24. Có 2 cổng riêng 2 đầu tòa nhà (ngõ Đại Đồng và ngõ Hoà Bình đều có thể đi vào ). Chung cư cho phép nuôi pet.  -Vị trí gần trung tâm Hoàn Kiếm, Hai Bà Trưng, Ba Đình nên rất thuận tiện, chợ xép , hàng tạp hoá ngay dưới cửa, trường, bệnh viện, dễ sống, đáp ứng nhanh tốt mọi nhu cầu sinh hoạt, ăn uống, mua sắm, vui chơi.  Nội Thất bao gồm: bếp ga âm, bình ga, Tủ bếp, đồ dùng bếp, kệ tivi, 1 tủ quần áo siêu to, bàn ăn kính luxfuni, 3 điều hòa, hút mùi Taka, giàn phơi thông minh, máy nóng lạnh.   - Giá: 1.150.000.000vnd ( giá sẽ giảm mạnh cho Ai thiện trí)  - LH chính chủ: Huy 0966.234.368 (miễn trung gian).  - Địa chỉ: căn hộ nhà A3 - 51 Đại Đồng, Khâm Thiên, Đống Đa, Hà Nội.       http://www.sanbatdongsanviet.com.vn",02/01/2022,Tin thường,batdongsan_so_com_vn_1673833859.0119028,,,
