price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"9,5 tỷ VNĐ",Đường Nguyễn Khang phường Dịch Vọng, 50m2, 6,"-DT 50*6T ,MT 5M  -căn nhà thiết kế thông sàn phòng vô cùng rộng rãi  -khu vực kinh doanh buôn bán xầm uất,giao thông di chuyển thuận tiện kết vài bước ra vành đai 2 ,trung kính cầu giấy  -ngõ vào thông thoáng ba gác tránh nhau vô tư  -lh : 0935777266 ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804726.2886984, 5, 5, 5, 3,
866 triệu VNĐ,"Tân phúc, ân thi, hưng yên", 80m2,,"🎉🎉 Cơ hội sở hữu đất nền dự án giá rẻ khu dân cư mới tự xây Tân Phúc sát nút giao cao tốc liền kề quy hoạch khu công nghiệp khu đất dịch vụ thương mại đô thị mới Hưng Yên giá chỉ từ 866 triệu♦️ Khu đất được phân lô bài bản, hạ tầng hoàn thiện.♦️ Liền kề Khu quy hoạch khu công nghiệp hàng nghìn ha được ưu tiên đầu tư xây dựng với hàng loạt khu dân cư , Cụm Công Nghiệp lớn bán kính chỉ vài chục mét.♦️ Vị trí đắc địa nằm tại thủ phủ khu công nghiệp với quy mô hơn 10.000 công nhân♦️ Diện tích từ 70-90 mét vuông ,Đường dải nhựa rộng từ 5-7 mét đủ hướng cho khách hàng đầu tư lựa chọn...👉Pháp lý rõ ràng-sổ đỏ đất ở lâu dài 💫 ❤ Khu dân cư mới tự xây Tân Phúc-Nút son nơi khởi nguồn thịnh vượng👉 Nắm bắt ngay Cơ hội đầu tư bất động sản ven các Khu Công Nghiệp tốt nhất năm 2022.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804727.6839662, 5,,, 7, Đông bắc
"3,6 tỷ VNĐ",Đường Âu Cơ phường Tứ Liên, 60m2, 1,"Bán nhà Tây Hồ ngõ 238 Âu Cơ 60m Cấp 4 MT6m ngõ ô tô, KD TỐT 3.6 tỷ >>> GỌI NGAY: 0904.768.468 – 0969.694.778 (Call or Zalo) cho Mr Phong bất cứ lúc nào: Xem nhà, tư vấn pháp lý MIỄN PHÍ <<< ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804729.211879, 6, 1, 1, 8,
"2,85 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội", 39m2,,"Chủ Cần Tiền Bán Mảnh Đất Phúc Lợi, Long Biên 39m2, R5m, chỉ 2,85 tỷ (ngõ ô tô) + Đất thuận tiện đi lại gần Trường học và chợ rất hợp lí ở gia đình, xung quanh trường cấp 1,2 Phúc Lợi, trường THCS Lê Quý Đôn. Ngay gần là Khu Biệt thự của Vin cách tầm 1km nên sẽ tiềm năng buôn bán cạnh khu dân trí tốt yên tĩnh mát mẻ thuận lợi đi lại !!! + Mảnh đất vuông vắn, pháp lý rõ ràng. + LH ngay Mr Tùng 0965 722 358",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804731.4698377,,,,,
866 triệu VNĐ,gia lâm hà nội, 90m2,,"🏆  nhanh tay sở hữu ngay “toạ độ vàng” ngay trung tâm Tân Phúc Ân Thi. Hạ tầng đồng bộ đẹp, quy mô nhất khu vực đường trải asphalt 5-7m. Giá chỉ từ 866triệu / lô sổ đỏ sẵn.🎯Vị trí siêu tiềm năng khi sở hữu và nằm cạnh hàng loạt quy hoạch khu công nghiệp lớn và khu đô thị mới với diện tích lên đến hàng trăm ha như:🔸 Kcn  Tân Phúc - Hoàng Hoa Thám quy mô 350ha bán kính chỉ khoảng 700m🔸 Cách kcn Bãi Sậy-Bắc Sơn-Phù Ủng quy mô 495ha chỉ 2km🔸 Cách kcn Văn Nhuệ-Hoàng Hoa Thám quy mô 268,99ha khoảng 2km💎 Đặc biệt cách nút giao Tân Phúc chỉ 800m và nằm ngay kế bên quy hoạch khu đô thị mới Tân Phúc.⛳  Vị trí đất đối diện khu giãn dân🔥  Bán kính =<1km tiện ích đầy đủ như trường học, ubnd, chợ...🔥  Diện tích đất rộng từ 70m2-90m2🔥  Đường trải rộng 5-7m🔥  Hạ tầng đồng bộ 💰  Chiết khấu 3% khi mua từ 2 lô trở lênLiên hệ ngay : 0866 478 590 để biết thông tin",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804736.274098, 5,,,,
"4,85 tỷ VNĐ",Đường Phương Liệt phường Hạ Đình, 30m2, 6,"Nhà mới đẹp trong khu phân lô 9 căn ở sướng và yên tĩnh, có 25m sân chung  + Ô tô đỗ cổng, ngõ thông đi các ngả thông sang ngõ 192 Lê Trọng Tấn đi lại rất thuận tiện.+ Mặt bằng 30m2 mặt tiền siêu rộng đẹp 6,3 mét + Nhà thiết kế 6 tầng , chủ mới về có thể tuỳ ý sắp xếp theo ý của mình đầy đủ mọi công năng mỗi tầng phòng khép kín.+ Sổ đỏ nét căng sẵn sàng giao dịch.+ Liên Hệ Ngọc Anh 0982832991",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804737.7531414, 6, 4,, 2,
4 tỷ VNĐ,Đường Bằng Liệt phường Hoàng Liệt, 61m2,,"Bán đất riêng đường Bằng Liệt, Hoàng Mai, 61m2 giá chỉ từ 70tr/m2  Thông số diện tich 61m2, mặt tiền 4m   ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804739.2581525, 5,,,,
,Thanh lâm- mê linh- hà nội, 92m2,,"🍀VỊ TRÍ ĐẸP—NGÕ THÔNG🍀🍀♻️ Bán 92m2- Full thổ cưVị trí: Mỹ Lộc- thanh lâm- mê linh- Hà Nội.Sổ vuông đẹp- Mtien 5m♻️ Cách đường Ql23B chỉ 500mĐường trước đất rộng 4,5mNgõ thông thoáng♻️ Giá 1,X TỶLH: 0989-726-892 Em Phượnghud mê linh centralđấu giá mê linhđấu giá chi đôngvành đai 4đất nền mê linh",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804740.442946,,,,,
"17,5 tỷ VNĐ",Quận Cầu Giấy, 35m2,,"NHÀ ĐẸP MẶT PHỐ TRẦN THÁI TÔNG. DT 35M2*4T.KINH DOANH CHỈ 17.5 TỶ. 0962745289.+Vị trí nhà mặt phố, KINH DOANH khu vực cực hiếm rất ít nhà bán. Phố Trần Thái Tông nổi tiếng với các nhà hàng, cửa hiệu, các quán KARAOKE được mệnh danh là Hồng Kông về đêm. Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Trong vòng bán kính 300m là các trường đại học, Học viện Báo chí, Đại học Sư phạm, Đại học Quốc gia..Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Sổ đỏ chính chủ vuông nét sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804741.663681,,,,,
,Thanh lâm - mê linh- hà nội, 105m2,,"❌ ❌ Bán đất đấu giá X5-Ngự tiền- thanh lâm- mê linh- Hà Nội ❌ ❌♻️ Bán 105m2. Mtien rộng 6mVỉa hè 2,5m♻️ Ngay cạnh đất là trường học.Dân cư xung quanh đông đúc.♻️Giá #Dưới_30tr/m2. Nhỉnh 3_Tỷ sở hữuLH: 0989-726-892 Em Phượng hud mê linh centralđấu giá mê linhđấu giá chi đôngvành đai 4đất nền mê linh",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804742.7866764,,,,,
