price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
"9,3 tỷ VNĐ",Phường Dịch Vọng Hậu, 40m2,,"PHÂN LÔ PHAN VĂN TRƯỜNG CHỢ NHÀ XANH Ô TÔ KINH DOANH TẤP NẬP NGÀY ĐÊM LH 0962745289+ DT. 40m2*5 tầng MT 4m. Giá. 9.3 tỷ Cầu Giấy.+ Vị trí trong khu phân lô Phan Văn Trường ba bước chân ra mặt phố Xuân Thủy - Phạm Văn Đồng, gần ĐH Quốc Gia, ĐH Thương Mại, HV Báo Chí và Tuyên Truyền. Tiện ích miễn bàn.+ Nhà 2 mặt thoáng, mặt sau khe thoáng 1m nhìn sang sân trường ĐH Sư Phạm 1.Tuyến phố kinh doanh sầm uất ngày đêm.+ Thiết kế tầng 1 thông sàn kinh doanh, + 4PN đầy đủ công năng tiện ích xung quanh không thiếu thứ gì + Sổ đỏ vuông đét A4 sẵn sàng giao dịch. + Giá thương lượng. + Liên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7.    ",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788662.8373249,,,,
35 tỷ VNĐ,Tô Ngọc Vân Tây Hồ, 119m2, 8,"- Diện tích 119m2 X5 Tầng. MT 8.2m Giá bán 35 tỷ ( có thương lượng )   - Nhà nằm Phố Tô Ngọc Vân ô tô 7 chỗ vào nhà, cách mặt phố Tô Ngọc Vân 50m, sân vườn gara rộng 3 xe ô tô đỗ thoải mái, nơi an sinh đáng sống nhất Hà Nội, khu vực nhiều người nước ngoài sinh sống, cách Hồ Tây chỉ vài phút đi bộ, tiện ích xung quanh bạt ngàn.  - Giao thông cơ sở hạ tầng cực tốt, đi lại rất thuận tiện chỉ 10p vào trung tâm Phố Cổ, Lăng Bác!  - Gần các phố sầm uất, hoa lệ như Xuân Diệu, Tây Hồ, Đặng Thai Mai, Từ Hoa, Quảng Bá, Quảng An, Quảng Khánh, Yên Hoa, Vũ Miên, Âu Cơ, Nhật Chiêu, Vệ Hồ!  Thiết kế : 5 tầng đầy đủ công năng sử dụng!  - Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ em Quân để được tư vấn và xem nhà!  0385 94 1802  Miễn ( TG Quảng Cáo )",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788664.0421019, 5,, 3, 3
"1,4 tỷ VNĐ","Đường Quốc lộ 21B, Phú La, Hà Đông", 40m2, 4,"
    Ga Hà Đông- Ô tô đỗ cửa- Khu dân trí cao 
50m2
4 tầng 
+ Ô tô tránh cách nhà 30m chỉ đi vài bước chân là ra ngã 3 Ba La, Trường Cao đẳng Thương mại, Đại học Đại Nam ....vv
Giá 1.4 tỷ có gia lộc 
Lh 0984065115 Dương chuyên thổ cư Hà Đông
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788665.1461487, 3, 3, 4, 3
"7,5 tỷ VNĐ","Phố Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội", 42m2, 3,"Nhà Việt Hưng, Long Biên 4T, 42m2 (Ô tô vào, Ngõ Rộng Thoáng) chỉ 7,5 tỷ         Mô tả: nhà 4 tầng cầu thang giữa Tầng 1: ga ra ô tô và bếp + 1wc Tầng 2: 1 ngủ + 1 phòng khách+ 1wc Tầng 3: 2 ngủ + 1wc Tầng 4: phòng thờ + phòng giặt+ sân phơi + Nhà thiết kế đẹp, hiện đại, ngõ rộng thoáng, ô tô vào nhà, kinh doanh đỉnh.  + Xung quanh chợ, trường học các cấp 1,2 đô thị Việt Hưng, kết nối các tuyến phố như Ngô Gia Tự, KĐT Việt Hưng, Vũ Đức Thận, Trường Lâm, Hoa Lâm, Ô Cách, Lệ Mật, Big C Long Biên thuận lợi.. + Sổ đẹp, pháp lý rõ nét , sẵn sàng giao dịch. + Lh : Mr Tùng 0965 722 358",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788666.1694112, 4,, 3,
50 tỷ VNĐ,"Đường Hàng Đậu, Đồng Xuân, Hoàn Kiếm", 90m2, 5, + Nhà mặt phố vị trí đặc địa của quận Hoàn Kiếm nhà hiện đang cho thuê dòng tiền 100tr/tháng  + Chủ cần bán gấp để chia tài sản cho các con  + Sổ đỏ 1 chủ  + Giá bán thương lượng  + Xem nhà liên hệ Mrs Phương mặt phố ,10/11/2022,Tin thường,batdongsan_so_com_vn_1673788667.2824342, 4, 1, 6, 6
5 tỷ VNĐ,17, 46m2, 10," Ô TÔ TRÁNH - KINH DOANH ĐỈNH - HAI THOÁNG - TRUNG TÂM QUẬN - CHỦ THIỆN CHÍ BÁN - Giao thông thuận lợi đi các ngả.. - Xác định bán đất + Nhà chủ tự xây, thiết kế cơ bản tầng 2 phòng rộng thoáng, công năng đầy đủ, khung cột bê tông, có thể thêm 1 tầng + Phố Bế Văn Đàn đẹp, ở sướng, dân trí cao, tiện ích đầy đủ, trung tâm Quận Hà Đông - Ô tô tránh, lô góc, siêu kinh doanh. - Lô góc, phân lô đua tầng 2 tầm 46m2, quá đẹp. - Khó tìm căn thứ 2 tại trung tâm Hà Đông. LH Tiến Dũng để xem nhà miễn phí",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788668.3894718,, 6,,
"2,25 tỷ VNĐ","Đường Đông Hội, Đông Hội, Đông Anh", 45m2, 5,"
    Chủ bán nhà Đông Hội, Đông Anh, phân lô, giá nhỉnh 2 tỷ, 0375555372
+ Vị trí : Đông Ngàn, Đông Hội, Đông Anh, Hà Nội.
+ Thông tin : - Vị trí gần cầu Đông Trù xã Đông Hội, Đông Anh, Hà Nội, gần ô tô đỗ, diện tích : 40 m2 sẵn nhà 3 tầng kiên cố, công năng đầy đủ.
- Thích hợp cho thuê, kinh doanh nhà trọ, ở sướng,...
- Sổ đỏ pháp lý chuẩn, sẵn sàng giao dịch công chứng ngay.
- Giá : 2.25 tỷ ( có gia lộc ).
- Liên hệ với em Hưng để làm việc trực tiếp với chủ nhà.
‐----------------
HƯNG THỔ CƯ - CHUYÊN BĐS CHÍNH CHỦ - 0375555372
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788669.5344098, 3, 3, 3, 2
66 tỷ VNĐ,"Đường Văn Quán, Văn Quán, Hà Đông", 225m2, 30,"
    💥 BIỆT THỰ VIEW HỒ VĂN QUÁN - LÔ GÓC CỰC HIẾM 225M2 3T MT 30M - GIÁ CHỈ 66 TỶ 💥 ⭕️ LH NGAY 0982833366 ---------------------------- BIỆT THỰ LÔ GÓC 3 MẶT THOÁNG - VIEW HỒ VĂN QUÁN - 225M2 MT 30M CHẠY VÒNG QUANHAN SINH ĐỈNH CAO - KHẲNG ĐỊNH ĐẲNG CẤP VƯỢT TRỘI- Khu vực VIP cực hiếm nhà bán View Hồ Văn Quán, lô góc cực đẹp.- Chủ là 1 doanh nghiệp thép lớn có tiếng trong làng kinh doanh.- Tổng 6 phòng ngủ.- Pháp lý chuẩn, sổ đẹp .- Sổ đỏ đẹp, sẵn sàng giao dịch.---------------------------- 🚀 GIÁ BÁN CHỈ: 66 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788670.8119912, 3, 15, 6, 6
11 tỷ VNĐ,"Đường Văn Cao, Liễu Giai, Ba Đình", 45m2, 4,"- Nhà nằm ngõ đẹp nhất nhì phố Văn Cao trung tâm chính trị của quận Ba Đình đường 2 ô tô tránh nhau, kinh doanh sầm uất gần Quận ủy Ba Đình, thuộc khu phân lô Vip an ninh tốt, dân trí cực cao. Ngay gần Sân vận động Quần Ngựa, hồ Tây, Metropolis Liễu Giai, Bệnh viện, trường học, UB phường … Tiện ích ngập tràn bán kinh chỉ 500m - Diện tích 45m2, mặt tiền 4.6m, NHÀ ĐẸP Ở NGAY, otô TRÁNH vào nhà, ngõ thông, khu phân lô dân trí cao, an ninh tuyệt vời - Giá 11 tỷ Liên hệ anh Thành 0373019999 chuyên nhà phân lô. Miễn trung gian, báo mạng và môi giới làm phiền.",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788671.876145, 5, 8, 5, 4
"24,6 tỷ VNĐ","Đường Phúc La - Văn Phú, Phú La, Hà Đông", 184m2, 8,"BIỆT THỰ VĂN PHÚ - VỊ TRÍ CỰC ĐẸP - KINH DOANH, VĂN PHÒNG ĐỈNH - ĐƯỜNG VÀI Ô TÔ TRÁNH - VỈA HÈ RỘNG - NHÀ ĐẸP +Chính chủ cần tiền nhờ bán gấp Biệt thự tại khu đô thị Văn Phú, Phú La, Hà Đông. + Diện tích: 184m, Nhà 4 tầng, Mặt tiền 8.2m + Giá chào để bán: 24.6 tỷ + Nhà vị trí rất đẹp nằm trên trục đường đẹp nhất kđt chạy thẳng từ đường Lê Trọng Tấn, phù hợp ở hoặc kinh doanh làm công ty. Đường to 3 ô tô tránh vỉa hè mênh mông.  + Tiện ích mọi mặt vài bước chân ra trường liên cấp Merry Cury, công viên, khu Lacasta kinh doanh sầm uất, gần chợ, TTTM, giao thông rất thuận tiện...  + Nhà đẹp chắc chắn thiết kế hiện đại khách mua về ở luôn hoặc sửa chữa tùy ý.  - Tầng 1: Gara ô tô để vài cái, sân vườn, 1 phòng to làm văn phòng, wc.  - Tầng 2: Phòng khách rộng, 2 phòng nhỏ, wc.  - Tầng 3: 3 phòng ngủ, bếp, wc  - Tầng 4: Phòng thờ, sân phơi, phòng làm kho.  + Sổ đỏ chính chủ, nở hậu đẹp. + Liên hệ xem nhà: 0902.083.139 Miễn phí xem nhà – Nguồn nhà phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24 ",10/11/2022,Tin thường,batdongsan_so_com_vn_1673788673.079924, 4, 22, 5, 5
