price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet
"3,25 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 28m2,, 3, 4,"Mô tả:  - Ngõ thông,ba gác nhỏ dừng trước cửa cách ô tô tránh, dừng đỗ 15m, khách mới mua về cũng có để xe tại bãi xe đó, chi phí chỉ 1 vài trăm ngàn.  -Thiết kế:  Tầng 1: Bếp + khách + WC.  Tầng 2, 3: 2 PN + WC.  Tầng 4: PN nhỏ + gian thờ riêng + ban công.  nhà mới đủ đồ khách về sẵn ở, giá trị chỉ ngang căn chung cư, tiềm năng tăng giá tốt  Sổ đẹp vuông trước sau.  Lh xem nhà 094 665 8282 em Hùng( Miễn trung gian)",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785517.0629535, 3, 3
175 tỷ VNĐ,"Phố Tràng Tiền, quận Hoàn Kiếm, Hà Nội", 198m2, 4, 15, 3,"CỰC HIẾM! MẶT PHỐ CỔ TRÀNG TIỀN- TRUNG TÂM QUẬN HOÀN KIẾM. DIỆN TÍCH SIÊU KHỦNG 175M2. MT ĐỈNH. VỈA HÈ RỘNG RÃI- Ô TÔ 2 CHIỀU DỪNG ĐỖ- KINH DOANH NHÀ HÀNG TÂY THƯƠNG HIỆU- KHÁCH SẠN 5 SAO- HỘI NHẬP GIỚI THƯỢNG LƯU HÀ NỘI- GIỮ TIỀN PHÁT TÀI.  + Vị trí tuyệt đẹp nhà mặt phố cổ Tràng Tiền trung tâm quận Hoàn Kiếm. Kề cận điểm đến du lịch nổi tiếng Hồ Hoàn Kiếm (300m). Khu vực cực hiếm nhà bán. Diện tích siêu khủng 175m2- Mặt tiền đẳng cấp 4.2m- độc nhất vô nhị. Kinh doanh phía ngoài nhà hàng Tây đặc sản thương hiệu, phía trong khách sạn 5 sao sang trọng. + Khi đã sở hữu ngôi nhà 175 tỷ, khi đã là chủ tổ hợp nhà hàng khách sạn danh tiếng, khi bạn đã quyết định hội nhập vào giới thượng lưu Thủ Đô- bạn sẽ có thêm nhiều bạn hàng đại tài chủ và nhiều cơ hội kỳ lạ cho sự nghiệp của bạn. + Bạn cũng có thể chỉ đến với ngôi nhà này với mục tiêu duy nhất là giữ tiền. Bạn sẽ rất vui lòng khi Bất động sản này là phương tiện giữ tiền- sinh lời 1 chiều cực chắc chắn, ổn định. Đặc biệt là khi thế giới chìm trong chiến tranh, lạm phát phi mã, đồng tiền mất giá, ngân hàng đang rất xao động và thị trường chứng khoán thê thảm như hiện nay.  + Nhà 3 tầng cũ chủ không sử dụng, chủ xác định BÁN ĐẤT tặng nhà. Nhà đã có Giấy phép xây dựng.  + Sổ đỏ chính chủ vuông vắn cực đẹp, nở hậu rất lộc. Sổ đỏ riêng đứng tên 1 chủ duy nhất, pháp lý sạch. Sổ chủ để trong két sắt, sẵn sàng giao dịch.  + Chủ nhà là Chủ tịch 1 công ty lớn có số má ở Hà Nội, chủ cần bán lấy vốn đầu tư Dự án Nghỉ dưỡng đang triển khai xây dựng. + Giá: 175 tỷ. _ LH: 0901985688 Phan Ước (Zalo cùng số) + Miễn Trung gian, Môi giới. ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673785518.230802, 4, 5
"9,2 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 60m2, 4, 6, 5,"Bán nhà Ngọc Lâm Ở ngay, Lô góc DT65m2x5T Ôtô vào nhà, kinh doanh nhỏ, tiện ích đầy đủ + 4 Phòng ngủ 4 WC vừa sinh gia đình nhỏ. + Sổ đỏ pháp lý rõ ràng sẵn giao dịch LH em Hoàn 0868.246.333 xem ngay miễn phí Miễn trung gian, môi giới",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785519.4445553, 5, 5
"3,7 tỷ VNĐ",Hà Trì - Hà Đông, 36m2,,, 5,"Bán nhà Hà Trì, Hà Đông 36mx5 tầng ô tô ngõ thông ở ngay hơn 3 tỷ Siêu hiếm nhà Hà Trì trung tâm Hà Đông ngõ thông ô tô đỗ cửa thiết kế 5 tầng hiện đại ban công đón nắng gió diện tích 36m o tô dừng đỗ ngày đêm, khu vực không có căn thứ 2, chỉ việc đến ở. Nhà bán nằm vị trí đẹp thuận lợi gần chợ, trường học các cấp, ngõ nông vài bước chân ra phố hưởng trọn tiện ích. Giao thông thuận tiện giáp Đa Sỹ xuống Mậu Lương sang Xa La ra các bệnh viện lớn Học viện Quân y, Viện Bỏng,…cạnh phố cổ Lê Lợi ra Tô Hiệu thông Bà Triệu. Sổ vuông sẵn sàng giao dịch. Giá: 3.7 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785520.648334,,
"14,5 tỷ VNĐ",Phú Lương - Hà Đông, 306m2,,,,"Chính chủ bán mảnh đất Phú Lương ô tô ngõ thông 306m chia 9 lô hơn 14 tỷ Tôi chính chủ bán mảnh đất đẹp hiếm có lô góc thoáng sáng tổng 306m đã tách sổ chia 9 lô, pháp lý đầy đủ. Chủ mới mua về xây hoặc chia theo ý mình, giá tốt nhất thị trường. Vị trí đắc địa gần trường chợ, khu vực phát triển bậc nhất Phú Lương, dân cư đông đúc kinh doanh sầm uất, ngõ ô tô thông sang Khu đô thị Thanh Hà. Gần quốc lộ 21B và Vành đai 4 đang xây dựng giá trị tăng lên gấp bội. Sổ vuông sẵn sàng giao dịch. Giá: 14.5 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat ( 0363703491- 0965472910) – Gặp trực tiếp chủ nhà. ",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785521.7095368,,
"3,35 tỷ VNĐ","Đường Chùa Láng, Láng Thượng, Đống Đa", 33m2, 4, 3, 2,"+ Chính chủ cần bán căn nhà 2 tầng tính giá đất, nhà cực hiếm cách mặt ngõ Ô TÔ tránh 50m lô góc diện tích 33m2 x 2 tầng giá 3,35 tỷ.  + Vị trí đắc địa, trung tâm Quận Đống Đa, Phố Pháo Đài Láng, rất tiện để ở và di chuyển, ngần nhiều trường Đại Học Giao Thông Vận Tải, Đại Học Sư Phạm Hà Nội Quận Cầu Giấy, cùng nhiều Bệnh Viện Lớn Trung Ương. + Nhà lô góc sáng thoáng, ngõ ba gác tránh, gần đường ô tô.  + Phù hợp cho hộ gia đình, hoăc 2 vợ chồng trẻ ở hoặcphá đi xây mới khu vực Sinh viên nhiều nhất Hà Nội, nên đầu tư cho Sinh viên thuê tuyệt vời. + Sổ đỏ đầy đủ, pháp lý minh bạc, sẵn sàng dao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785522.850483,,
15 tỷ VNĐ,"Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 60m2, 4, 20, 5,"Bán nhà mặt phố Ngọc Lâm, vỉa hè, Ôtô, Kinh Doanh Phố cổ. + Vị trí đắc địa view thoáng trước sau + DT 60M Mt gần 4.5M nhà sửa thông phòng giá trị cao hẳn. + Chủ bán Gấp trả nợ, chia tài sản con các con. + Sổ đỏ pháp lý rõ ràng. Liên hệ Em Hoàn 0868.246.333 tư vấn, xem nhà trực tiếp. Miễn trung gian, môi giới",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785523.9814627, 5, 5
45 tỷ VNĐ,"Đường Thanh Liệt, Thanh Liệt, Thanh Trì", 3000m2, 30,,,"Bán dự án trường học đã xây 2 tầng, diện tích đất 3000m2 Mật độ xây dựng 25% Tổng diện tích sàn xây dựng: 1500m2 Trường xây giống hình chiếc lá, kiến trúc rất đẹp Vị trí: đường Thanh Liệt, phường Thanh Liệt, Thanh Trì, Hả Nội Giá bán 45 tỷ Khu gần The Manor Central Park Nguyễn Xiển, cư dân cao cấp Phù hợp làm trường chất lượng cao Liên hệ: 0907023278",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785524.9359055,,
"24,5 tỷ VNĐ",Phương Mai Đống Đa Hà Nội, 85m2, 5,, 7,"- Diện tích 85m2 X7 Tầng, Mt 5.8m 24.5 tỷ ( có thương lượng ) - Vị trí đẹp gần phố, ngõ ô tô tránh, 2 vỉa hè, phù hợp với khách vừa ở vừa kinh doanh! - Thiết kế nhà hiện đại, sang trọng, nội thất cao cấp, thang máy, Chủ tự kinh doanh. - Thiết kế 7 Tầng 16 phòng cho thuê đầy đủ công năng sử dụng! - Giao thông kết nối : Phương Mai, Lương Định Của, Giải Phóng, - Sổ đỏ chính chủ, sẵn sàng giao dịch . ACE có nhu cầu liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802 Miễn TG ( Quảng Cáo )",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785525.9831026,,
"12,5 tỷ VNĐ","Đường Hoàng Ngân, Nhân Chính, Thanh Xuân", 45m2, 6, 30, 7,"+ Nhà vị trí đắc địa, siêu hiếm mặt phố Hoàng Ngân diện tích  45m2 x 7 tầng thang máy giá 12,5 tỷ, ô tô 7 chỗ vào nhà, kinh doanh đỉnh cao. + Trung tâm Quận Cầu Giấy, gần trường cấp 123, gần 4 chợ lớn, mặt phố kinh doanh sầm uất, nhà mới chỉ việc ở và kinh doanh, mặt tiền đẹp, thang máy nhập ngoại. Giáp Lê Văn Lương, Quan Nhân, Nguyễn Thị Định…  + Ngoài phục vụ nhu cầu sinh hoạt; tại đây con đường sầm uất mặt phố có thể kinh doanh, làm thẩm mỹ viện, spa, showroom, phòng khám, văn phòng,... + Với thiết kế nhập khẩu cơ bản cao cấp mỗi tầng mang lại 1 không gian hơi hướng mềm mại, độc đáo và không giống nhau. + Thiết kế: Tầng 1: Thông sàn kinh doanh + thang máy + wc. Tầng 2: Thông sàn kinh doanh hoặc khách + wc. Tầng 3: Phòng sinh hoạt chung + phòng ngủ + wc. Tầng 4,5: phòng ngủ master + wc. Tầng 6: Phòng ăn bếp + sân chơi + wc. Tầng 7: Phòng thờ + thượng sân phơi. - Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",28/11/2022,Tin thường,batdongsan_so_com_vn_1673785527.1829443, 6,
