price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet
"6,1 tỷ VNĐ",Kiến Hưng - Hà Đông, 60m2,, 4,"Bán nhà Kiến Hưng, Hà Đông phân lô vỉa hè ô tô 60mx4 tầng hơn 6 tỷ Bán nhà riêng tại Kiến Hưng, Hà Đông vị trí đắc địa gần chợ đường phân lô vỉa hè rộng ô tô chạy thông vòng quanh 60m nhà 4 tầng hiện đại ở ngay. Nhà bán gần các tiện ích xung quanh hưởng trọn lợi ích của Khu đô thị, hàng xóm cực thân thiện mua về ở ngay kết hợp kinh doanh văn phòng. Giáp Thanh Trì gần Xa La hàng xóm Đa Sỹ xuống Văn Phú. Chủ nhà cần bán trước Tết giá tốt nhất thị trường. Sổ vuông sẵn sàng giao dịch. Giá: 6.1 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783734.9343388,,,
"6,15 tỷ VNĐ",Kiến Hưng - Hà Đông, 60m2, 5,,"Bán nhà Kiến Hưng, Hà Đông 60m, mặt tiền 5m kinh doanh vỉa hè hơn 6 tỷ Cần bán mảnh đất trước Tết đầu tư sinh lời cao diện tích 60m nhà 4 tầng khu phân lô vỉa hè rộng đường ô tô tránh, các tầng thoáng sáng ở ngay. Xung quanh nhà đầy đủ tiện ích gần bệnh viện, trường học các cấp, ngân hàng, chợ, sân bóng, bến xe. Nhà vừa ở vừa làm văn phòng. Giáp Thanh Trì gần Xa La hàng xóm Đa Sỹ xuống Văn Phú. Cần bán nhanh trước Tết giá tốt nhất thị trường. Sổ vuông sẵn sàng giao dịch. Giá: 6.15 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ. ",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783736.0583305,,,
630 triệu VNĐ,trầm lộng, 73m2,,,"Cách trương THPT Ứng Hòa B chỉ 2 phút đi xeVị trí cực đẹp, tiềm năng, dân cư đông đúc, giao thông thuận tiện.Bán kính 300m tiện ích đầy đủ: Chợ , Trường Học, Trung Tâm Hành Chính Công.Giao thông thuận tiện kết nối nhanh chóng với trung tâm thủ đô Hà Nội, và các tỉnh lân cận.Sát tỉnh lộ 426 thông ra QL21B và tỉnh lộ 428Cách nút giao Pháp Vân - Cầu Giẽ chỉ 10 phút lái xeCách KCN Đồng Văn 4 tỉnh Hà Nam khoảng 5km.Cách siêu thị Hiền Lương và TT Đại Nghĩa, Tế Tiêu, Mỹ Đức 10 phút lái xe.Cách thị trấn Vân Đình 8km.Đất vuông vắn, mốc giới rõ ràng.Tiềm năng tăng giá nhanh, thanh khoản tốt.Sổ đỏ chính chủ sang tên trong ngày.Pháp lý minh bạch bán giá công khai niêm yết.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783736.8811688,,,
12 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 40m2, 4, 6,"CHÍNH CHỦ cần tiền bán gấp căn nhà mới xây tại ngõ 178 Thái Hà - Đống Đa cùng toàn bộ nội thất hiện đại. 2 thoáng trước sau vĩnh viễn. DT: 40m2 x 6 tầng. MT: 4m. Có thang máy. - Nhà mới xây, thuê kiến trúc sư nổi tiếng ở Hà Nội thiết kế với công năng sử dụng toàn diện. Thiết kế hiện đại, sang trọng. - Ngõ trước nhà rộng, thoáng, ô tô tránh, đỗ cửa. Ngõ thông các ngả, giao thông thuận tiện. - Xung quanh buôn bán sầm uất, có thể vừa ở vừa kết hợp kinh doanh hoặc cho thuê đa dạng các ngành nghề. - Nhà 2 thoáng trước sau vĩnh viễn, phòng nào cũng có cửa sổ đón ánh sáng ngập tràn, phong thủy và vượng khí đều tốt. Vị trí cực HIẾM nhà bán, trung tâm VIP của Quận Đống Đa, ở và kinh doanh đều đỉnh, tiện ích xung quanh bạt ngàn. + Sổ đỏ chính chủ, vuông đẹp, giao dịch ngay. Liên hệ ngay: em Hiếu 0076389206 (sms,zalo,viber) để biết thêm thông tin chi tiết. Xin cảm ơn!",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783738.1468203, 6, 5, 6
"2,35 tỷ VNĐ","Đường Nguyễn Văn Cừ, Bồ Đề, Long Biên", 28m2,, 3,"-Nhà đẹp trung tâm Long Biên, được rất nhiều khách hàng tìm mua, đừng bỏ qua hãy gọi cho em để sở hữu nhé. -Diện tích: 28m2, thực tế 30m, từ từng 2 cơi lới thêm nữa khá rộng. -Nhà xây làm 2 khối, 1 to 1 nhỏ. thích hợp với khách mua ở 1 căn cho thuê 1 căn, hoặc cho thuê cả 2  dòng tiền 7tr/th. -Nhà chính chủ tự xây rất chắc chắn, thiết kế 3 PN. -Ngõ nông,nhà thoáng, trước nhà để xe vô tư. -Sổ đỏ chính chủ, pháp lý an toàn.  -Liên hệ: 0357.16.2468. e Long để xem nhà. cám ơn.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783739.2449098, 3, 3,
"2,13 tỷ VNĐ","Đường Trần Hữu Dực, Mỹ Đình 2, Nam Từ Liêm", 60m2, 5, 6,"Quỹ căn hộ cần chuyển nhượng chung cư Iris Garden - 30 Trần Hữu Dực.Em hỗ trợ xem nhà 24/7 lúc nào cũng được.* Quỹ căn 2PN (60 - 61m² thông thuỷ), 2WC 2 logia.+ Căn 2PN nguyên bản: 2,4 tỷ.+ Căn 2PN full nội thất: Giá 2.6 tỷ.* Quỹ căn góc 3PN (103m² thông thuỷ), 2WC 3 logia 3 mặt thoáng.+ Căn 3PN, 2WC, nguyên bản: Giá từ 3,9 tỷ.+ Căn 3PN full đồ: Giá từ 4.3 tỷ.* Quỹ căn góc 3PN (135m² thông thuỷ), 2WC 3 logia 3 mặt thoáng.+ Căn 3PN nguyên bản: 4,4 tỷ.+ Căn 3PN full đồ: 4,6 tỷ.(Giá 100% căn hộ, đã có VAT, bao sang tên, nếu ưng có thể thương lượng về giá).Các căn hộ ở Iris chủ yếu đã có sổ rồi, khách hàng có thể vay ngân hàng được.Liên hệ để xem nhà, gặp trực tiếp chủ nhà và hỗ trợ thủ tục pháp lý.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783740.5165083, 12, 2, 2
5 tỷ VNĐ,"Đường Đặng Văn Ngữ, Trung Tự, Đống Đa", 35m2, 3, 6,"
    
CHÍNH CHỦ cần bán gấp nhà riêng tại phố Đặng Văn Ngữ - Đống Đa và toàn bộ nội thất, mua về chỉ việc xách valy về ở.
DT: 35m2 x 6 tầng, MT: 3.5m.
- Nhà tự xây tâm huyết và giữ gìn còn rất mới và đẹp, thiết kế hiện đại, sang trọng. Khung cột bê tông kiên cố, chắc chắn, công năng sử dụng đầy đủ.
- Tặng lại toàn bộ nội thất, đồ gỗ trong nhà, mua về chỉ việc ở.
- Trước cổng nhà ô tô tránh, đỗ thoải mái, ngõ thông các ngả chỉ vài bước chân là ra mặt hồ Đắc Di thoáng mát.
- Xung quanh vô vàn tiện ích cũng như bãi gửi xe máy, xe ô tô. Giao thông vô cùng thuận lợi.
Thiết kế:
+ Tầng 1: phòng khách + bếp + wc.
+ Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng + wc.
+ Tầng 5: phòng thờ + sân phơi.
+ Tầng 5: Tum + trồng cây cảnh, cây hoa.
- Sổ đỏ vuông đẹp, chính chủ, sẵn sàng giao dịch.
Giá chỉ 5 tỷ.
Liên hệ ngay em Hiếu (sms,zalo,viber) để biết thêm thông tin chi tiết. Xin cảm ơn !
",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783741.7332537, 4, 4, 5
"2,55 tỷ VNĐ","Đường tứ Hiệp, tứ Hiệp, Hoàn Kiếm", 96m2,,,"Cần bán căn hộ chung cư Tecco Garden, đường Tứ Hiệp, Xã Tứ Hiệp, Thanh TrìDiện tích gim tường 96m thông thủy 88.6 m2Căn hộ tầng trung thiết kế 2 phòng ngủ và 2 nhà vệ sinh, 2 logia ,phòng bếp riêng biệt không chung với phòng khách nên khu nấu ăn không bị mùi. Có ban công phơi quần áo riêng, Trước cửa phòng khách có ban công riêngNội thất cơ bản nhà mới hoàn toànXung quanh đầy đủ trường học, siêu thị, chợ, nhà thuốc, spa, các trung tâm thương mại, khu mua sắm sầm uất.Gần trường mầm non, cấp 1, 2, 3 và các trường Đại học, bệnh viện, siêu thị lớn.Tecco Garden là tòa nhà nằm ở trung tâm của huyện Thanh Trì, tương lai là Quận Thanh trì khi nằm ngay cạnh các công trình hành chính công của Huyện như: UBND, công an Huyện, Chi cục thuế, hệ thống trường học, bệnh viện.Gía bán:2.55 tỷ (có thương lượng cho khách hàng có thiện chí)Liên hệ chính chủ 0978371573",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783742.9250648, 6, 2, 2
"4,6 tỷ VNĐ",275 Nguyễn Trãi, 120m2,,,"Bán cccc Golden Land 120m2, gần Royal City,3PN+2VS, nội thất vip, 4tỷ6 DIỆN TÍCH KHỦNG – TIỆN ÍCH ĐỒNG BỘ - Ở KHÔNG CŨNG LÃI. Chính chủ đã cọc nhà mới gửi bán nhanh trước Tết căn hộ cao cấp bc Đông Nam 120m² 3 phòng ngủ  Goldend, sát Royal City, trục chính quận Thanh Xuân, gần Ngã Tư Sở, Nguyễn Trãi.Căn hộ view Thành phố , cạnh KĐT Vinhomes Cao Xà Lá đang triển khai và vành đai 2.5 hoàn thiện từng ngày. dt 120m2, tke 3 ngủ, 2 vs, 2 ban công..Tke hiện đại, hài hòa tối ưu công năng, từ PK – VS- Phòng ngủ Master, Bếp liên ban công có cửa ngăn cách, PK view panorama toàn thành phố.- Bồn cầu tự động, vệ sinh ốp gạch mới, hệ tủ gương mới, 2 bình nóng lạnh. Bộ bàn ăn, bàn thờ gỗ thật, đẹp mới.Hệ thống bếp hút mùi Pháp. Tủ lạnh side by side Samsung.Máy giặt sấy LG. Hệ thống tủ bếp, giường, giá sách, sofa, bàn, thảm, bàn trang điểm.Có lốt đỗ xe ô tô.4 điều hoà cho 3 ngủ, 1 khách. Siêu thị chân tòa nhà, gym, spa, trường mầm non, nhà hàng, sân chơi trẻ em rộng, phí dịch vụ hợp lý.+ SĐCC, giá 4tỷ6 full đồ bao phí và ra lộc ai thiện chí.(Khách ko lấy đồ rời (tivi, tủ lạnh, máy giặt) có thể sẽ giảm đi chi phí phần này.)",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783744.2166116,, 3, 2
"2,9 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 20m2, 3, 3,"CHÍNH CHỦ CẦN BÁN NHÀ RIÊNG PHỐ THÁI HÀ 20M x 3 TẦNG, MT 3.2M , ĐỂ LẠI TOÀN BỘ NỘI THẤT. - Nhà mới xây được 2 năm, giữ gìn cẩn thận nên còn rất mới, thiết kế đẹp. Đầy đủ nội thất mua về chỉ việc xách vali về ở. - Ngõ rộng, thông từ phố Thái Hà sang Trung Liệt ngõ trước nhà ba gác, đi 5m ra ngõ ô tô rất rộng. Nằm trong trung tâm quận Đống Đa xung quanh rất nhiều tiện ich, giao thông thuận lợi. Thiết kế: 3 tầng kèm 1 tầng lửng, tổng 2 ngủ, 2vs. + Thích hợp cho hộ gia đình nhỏ, ở lâu dài. Giá 2.9 tỷ, có thương lượng. Sổ đỏ chính chủ, giao dịch ngay. Liên hệ ngay: Hiếu Nguyễn (sms,zalo,viber) để biết thêm thông tin chi tiết.",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783745.259819, 2, 2, 2
