price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"2,236 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 82m2, 9,"Chỉ cách Hồ Gươm 10km,mà sở hữu ngay căn hộ 2PN2WC diện tích 82-89m2,có thể cải tạo lên 3PN2WC hoặc 2PN2WC+1.Khuân viên,tiện ích hiện hữu,4 Mặt giáp đường giao thông,3 to 1 nhỏ,rất thuận tiện.Chính sách ưu đãi lớn:-Hỗ trợ vay ngân hàng trả góp 60% giá trị căn hộ.-Hỗ trợ lãi suất 0%/12 tháng.-Miễn phí 1 chỗ gửi xe oto 1 năm.-Qùa tặng tân gia lên đến 25tr trừ thẳng vào giá mua bán.- Duy nhất trong tuần này,cơ hội rút thăm trúng thưởng tổng giá trị lên đến 55tr.Pháp lý:- 100% Căn hộ có cư dân ở đã có sổ hồng sở hữu lâu dài,sở hữu riêng dễ thanh khoản.- Sổ hồng sang tên sau 30 ngày kể từ khi ký HĐMB.- Sở hữu căn hộ sổ hồng lâu dài,sở hữu riêng trước năm 2023 là một lợi thế cho khách hàng mua ở và đầu tư.Liên Hệ để nhận nhiều ưu đãi và thông tin chi tiết:    Mr Mạnh",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799846.7445023, 10, 2, 2, 10,
"8,5 tỷ VNĐ",Đường Dã Tượng phường Trần Hưng Đạo, 36m2, 6,"
    *Thông số: Diện Tích :36m2x 4Tầng  *Mô tả: Nhà sổ đẹp nở hậu, nhà có gara ôtô riêng, ngay trung tâm, Phố Dã Tượng nối từ Trần Hưng Đạo lên Lý Thường Kiệt trung tâm nhất Hà Nội.+ Nhà có gara ô tô để riêng bên ngoài, rất tiện lợi.+ Vị trí tuyệt đẹp, mặt tiền 7m nhà lô góc 3 mặt thoáng nội thất cực xịn toàn bộ làm bằng gỗ lim Lào rất đẹp.* Thiết kế:- Tầng 1: Bếp hiện đại và phòng khách thang bộ, wc.- Tầng 2,3: Thiết kế 2 phòng ngủ đều khép kín tủ âm tường nội thất toàn bộ lim Lào .- Tầng 4: thiết kế phòng thờ sân phơi.Thủy BĐS-HK : 0857552222",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799847.9671974, 4, 3, 4, 4,
,Đường  phường Tân Mai, 30m2,,"- Chính chủ cần bán gấp căn nhà đẹp 4 tầng x30m2, tại Tân Mai, Hoàng Mai, Hà Nội. - Ngõ rộng ô tô đỗ cửa. Nhà xây còn mới, rộng dãi nhiều phòng. Dọn đến ở ngay. - Ngay mặt phố, dân cư tấp nập buôn bán, gần trường, bệnh viện, chợ, sẵn có rất nhiều tiện ích cho đời sống văn minh hiện đại. - Nhà thiết kế thực dụng, kiên cố, tận dụng hết diện tích và trang bị nội thất xịn. Phù hợp cho các gia đình lớn, cần cho con đi học gần trường, hoặc có người già cần chăm sóc sức khỏe tại bệnh viện. - Sẵn sổ hồng sang tên ngay, chủ nhà rất dễ tính và nhân hậu.  - Giá dưới 5 tỷ, thương lượng trực tiếp với chủ nhà. LH: O91. 2OO. 4648",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799849.545012,,,, 6,
17 tỷ VNĐ,Đường Quán Thánh phường Quán Thánh, 18m2, 3,"- Diện tích: 18m2, nhà xây 6 tầng, MT: 3,4 m - Sổ đỏ đẹp, chính chủ. => A Phong: 0354.118.288 (Miễn trung gian, môi giới) GỌI NGAY bất cứ lúc nào A. Phong: 0354.118.288 (Call or Zalo) ",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799850.7278624, 6, 6, 6, 10,
"3,9 tỷ VNĐ",Đường Minh Khai phường Minh Khai, 38m2, 4," + Nhà năm trên phố Minh Khai sầm uất, hiện đại, tiện ích và giao thông thuận tiện. + Gần các tuyến phố : Bạch Mai, Trương Định, Đại La, Kim Ngưu, Hoàng Mai.. + Nhiều tiện ích : Time City, Bệnh Viện Bạch Mai. Chợ Mơ.... + Gần nhiều đại học : Đại Học Bách Khoa, Kinh Tế Quốc Dân, Xây Dựng.. + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối. + Ngõ thông, 90 m ra phố Minh Khai + Diện tích  38m x 4 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Chủ TẶNG TOÀN BỘ NỘI THẤT. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 3 Tỷ 900 –Tặng chi phí sang tên.  Liên hệ: em Dũng - 0945676597 ",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799851.9495943, 4, 4, 4, 3,
"9,9 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 59m2, 6,"
    BÁN NHÀ GARA 7 CHỖ PHỐ HỒNG TIẾN QUẬN LONG BIÊN AN SINH HẾT Ý 60M+ Cách mặt phố Hồng Tiến chỉ vài nhà, ô tô 7 chỗ ra vào thoải mái, ngõ thông sang Nguyễn Văn Cừ.+ Gia chủ làm ăn có lộc bán nhà mua nhà lớn hơn, cực kì thiện chí bán.+ Khu dân trí an sinh tốt, nhà thiết kế ở sạch sẽ gọn gàng còn như mới.+ Tầng 1: Gara, bếp.+ Tầng 2: Khách, phòng ngủ.+ Tầng 3: 2 phòng ngủ.+ Tầng 4: phòng thờ, sân phơi.+ Chuyên môi giới nhà đất Long Biên với nhiều năm kinh nghiệm.+ Cam kết: TƯ VẤN, XEM NHÀ MIỄN PHÍ.+ KHÁCH HÀNG TRỰC TIẾP ĐÀM PHÁN VỚI CHỦ.+ UY TÍN - TẬN TÂM - CHUYÊN NGHIỆP.
",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799853.1274745, 4, 4, 4, 4,
31 triệu VNĐ/m2,quốc lộ 32, 120m2,,"Gia đình có việc cần bán gấp lô đất Đức Thượng, Hoài Đức DT 120m , MT 8m , giá 31 tr_ DT: 120m_ Mặt Tiền 8m_ Đường trước mặt 5m_ Cách đường tỉnh 336A mở rộng khoảng 200m-Cách đường liên khu 1 khoảng 400m_ 5’ ra nhà văn hóa thôn_ Gần trường học , UBND Xã_ Cách trung tâm thị trấn Trôi 2km _ Sổ đỏ pháp lý rõ ràng _ đường ngõ thông các ngả_ Giá 31trThông tin LH : E Vinh- 0916226107",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799854.7272274,,,,,
"4,15 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 35m2, 3,"- DIỆN TÍCH 35M  - Gần bệnh viện Bưu điện,Đại học y. Giao thông đi lại thuận tiện 👉 Địa chỉ nhiều chấm nhưng rất gần ô tô. Ngõ ba gác chạy thoải mái. 👉 Nhà lô góc 2 thoáng, phòng nào cũng có sửa sổ ánh sáng ngập tràn. 👉 Thiết kế đủ công năng, nội thất cơ bản, khách mới về ở ngay. + Tầng 1: Phòng khách + bếp + vệ sinh+ Tầng 2,3,4: Mỗi tầng 1 ngủ + vệ sinh+ Tầng 5: Phòng thờ + sân phơi rộng Lh Mr Thanh 0912587566",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799855.9010556, 5, 3, 4, 1,
"1,15 tỷ VNĐ",TT TRẠM TRÔI, 43m2,,BÁN MẢNH ĐẤT VÀNG TT TRẠM TRÔI - HOÀI ĐỨC ⭐ 50m2 MT5m 1.25Ty ⭐ 5M RA OTO   🔥  NGAY CẠNH UBND HUYỆN HOÀI ĐỨC - KHU ĐÔ THỊ LIDECO - ĐẠI HỌC THÀNH ĐÔ  🔥 NGÕ THÔNG 2 ĐẦU ĐƯỜNG LỚN 3 BƯỚC ĐẾN CHỢ  🔥 CHỦ BÁN ĐẤT LẤY TIỀN MỞ TRANG TRẠI PHÁP LÝ CHUẨN  🚀Lh: 08668.50.222 (zalo) ,23/09/2022,Tin thường,batdongsan_so_com_vn_1673799857.143729,,,,,
,thôn thượng thụy xã đức thượng, 117m2,,"Chính Chủ Cần Bán Đất Đức Thượng Hoài Đức Dt 117m, Mt 8.5m, Giá 35.5tr/m. + Vị Trí: Cách đường Ql32 ~200m. + Rất Gần Chợ, trường học các cấp mầm non, cấp 123, Ubnd, Trạm y tế xã, nhà văn hoá. + Sổ Đỏ Chính Chủ + ngõ thông, + Gần cảng cạn ICD lớn nhất miền bắc + Giá Bán 35.5tr/m2 Liên hệ: Mr.Nhất - 0858945796",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799859.0686245,,,,, Đông nam
