price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
10 tỷ VNĐ,Hà Nội, 70m2,,"Chính chủ cần bán nhà 4 tầng tại phố Thái Hà, quận Đống Đa - LH: 0856 968 656.Diện tích: 70m2, nhà 4 tầng, ngõ rộng 8 m.  - Mặt tiền: 5 m.  - Gía bán: 10 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.  - Sổ đỏ chính chủ, pháp lý sạch.Liên hệ miễn phí: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",05/02/2022,Tin thường,batdongsan_so_com_vn_1673832477.297239,,,,,
19 tỷ VNĐ,Hà Nội, 55m2,,"Gia đình cần bán gấp nhà mặt phố 5 tầng, quận Đống Đa.  - Nhà có 2 mặt tiền cực rộng và nằm ở vị trí trung tâm nhất quận Đống Đa rất thuận tiện cho mọi kiểu kinh doanh.  - Giá bán gấp chỉ 20 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Sổ đỏ chính chủ, pháp lý sạch.Liên hệ miễn phí: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",04/02/2022,Tin thường,batdongsan_so_com_vn_1673832478.326485,,,,,
20 tỷ VNĐ,Hà Nội, 60m2,," - Gia đình cần bán gấp nhà mặt phố quận Đống Đa 60m2. Mặt tiền 7m.  - Nhà nằm ở mặt phố đẹp nhất quận Đống Đa với 2 mặt thoáng và mặt tiền cực rộng rất thuận tiện cho kinh doanh và làm văn phòng.  - Giá bán gấp chỉ 20 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Sổ đỏ chính chủ, pháp lý sạch.Liên hệ miễn phí: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",04/02/2022,Tin thường,batdongsan_so_com_vn_1673832479.6130497,,,,,
"3,9 tỷ VNĐ",Ngô Thì Nhậm- Hà Đông, 38m2, 4,"SỐC! Kinh doanh, ô tô tránh, ngõ thông, lô góc, 38mx4T gần Ngô Thì Nhậm, Hà Đông Người quen gửi bán gấp nhà đẹp kinh doanh đỉnh, đường trước nhà ô tô tránh, lô góc rất lý tưởng buôn bán đa dạng các mặt hàng,vị trí đắc địa có 1-0-2, nhà 3 mặt thoáng, dân cư qua lại tấp nập, kinh doanh tấp nập ngày đêm. Nhà còn mới xây tâm huyết chắc chắn, đầy đủ công năng sử dụng vừa ở vừa kinh doanh rất hợp lý, các tầng thoáng sáng, môi trường trong lành , xung quanh đầy đủ tiện ích: Ngân hàng, trường học các cấp, siêu thị, bệnh viện, công viên,...không thiểu thứ gì. Dân cư qua lại đông đúc, vị trí thuận tiện đi lại. Giao thông di chuyển thuận lợi các phố: Ngô Quyền, Ngô Thì Nhậm, Lê Trọng Tấn, Quang Trung,...gần ga La Khê, bến xe bus rất gần, vài bước chân ra phố. Giá: 3.9 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",03/02/2022,Tin thường,batdongsan_so_com_vn_1673832480.6233478,,,,,
750 triệu VNĐ,0347173736, 55m2,," Địa chỉ 230/61 Định Công Thượng, Hoàng Mai, Hà Nội. Gần chợ, trường học, công an, uỷ ban…  Cách cầu lủ Kim Giang khoảng km. Nhà nho nhỏ xinh xinh, nhìn là ưng. Diện tích xây dựng 18,2m2 x 3 tầng. Diện tích sử dụng lên tới 55m2. Thiết kế 3 tầng, 2 ngủ (dưới tầng 1 có thể kê thêm giường ngủ nếu muốn) , 3 vệ sinh, có kho để đồ. Đầy đủ nội thât. (3 quạt treo tường, 1 quạt cây, 2 điều hoà, 1 nóng lạnh, bàn ghế, giường tủ quần áo, tủ lạnh, bếp ga, tất cả đồ dùng nhà bếp có đủ… ) Điện nước giá nhà nước. Chỉ việc sách quần áo tới là ở. Giấy tờ viết tay, có sơ đồ bản vẽ nhà đất, đứng tên chính chủ. Giá bán 750 triệu, bao gồm tất cả nội thất Giá cho thuê nguyên căn 3.5 triệu/tháng (ưu tiên cho thue dài hạn, ký hợp đồng cho thuê 1 năm 1 lần) Liên hệ chính chủ 0347173736.",03/02/2022,Tin thường,batdongsan_so_com_vn_1673832482.0275998,,,,,
"4,5 tỷ VNĐ","Nguyễn Văn Cừ, P Gia Thụy", 30m2,,"NHÀ SIÊU ĐẸP - CÁCH PHỐ 25M - Ô TÔ ĐỖ CỬA - MỚI KÍNH KOOG .+ Nhà cách phố Nguyễn Văn Cừ khoảng 25m, chủ xây dựng cực đẹp, nội thất nhập khẩu, sàn gỗ các tầng, cửa gỗ Lim. Chuẩn công năng sử dụng 5 tầng 3 ngủ 4 vệ sinh, phòng thờ, sân phơi, thiết kế cầu thang cuối.+ Vừa ở vừa làm văn phòng rất hợp lý. + Sổ đỏ cất két, sẵn sàng giao dịch. Lh: Ms Mai 0983724773.",03/02/2022,Tin thường,batdongsan_so_com_vn_1673832484.411296,,,,,
"3,9 tỷ VNĐ",Phùng Hưng- Hà Đông, 38m2, 4,"Bán nhà trước tết 38m2, ô tô tránh, kinh doanh,  nhỉnh 3 tỷ, Phùng Hưng, Hà Đông Do nhu cầu mở rộng kinh doanh tôi cần bán gấp nhà đẹp, lô góc 3 mặt thoáng kinh doanh rất lý tưởng, khu vực không có căn thứ 2, đường trước nhà ô tô tránh, ngõ thông muôn nơi, dân cư qua lại đông đúc, vài bước chân ra phố. Nhà thiết kế 4 tầng vừa kinh doanh vừa ở rất đẹp, phòng nào cũng thoáng sáng, đầy đủ công năng sử dụng. Mặt tiền rộng hiếm, vị trì đắc địa tiền vào như nước. Xung quanh đầy đủ tiện ích: Ngân hàng, siêu thị, sân bóng, chợ, trường học, bệnh viện,...dân cư văn minh , môi trường trong lành tuyệt vời. Giao thông di chuyển thuận lợi các phố: Đa Sỹ, Lê Lợi, Tô Hiệu, Bà Triệu, Văn Quán, Xa La, Yên Xá, Phúc La,.... Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.9 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",02/02/2022,Tin thường,batdongsan_so_com_vn_1673832491.3756928,,,,,
"3,89 tỷ VNĐ",Cầu Đơ- Hà Đông, 39m2, 4,"Bán gấp nhà  kinh doanh, ô tô tránh, ngõ thông, lô góc, 39mx4T gần ga Hà Đông Người thân gửi bán gấp nhà đẹp kinh doanh đỉnh, ngõ ô tô tránh, lô góc rất lý tưởng, khu vực tầm tiền không có căn thứ 2, nhà 3 mặt thoáng, dân cư qua lại tấp nập, kinh doanh tấp nập ngày đêm. Nhà xây tâm huyết chắc chắn, đầy đủ công năng sử dụng vừa ở vừa kinh doanh rất hợp lý, các tầng thoáng sáng, môi trường trong lành , xung quanh đầy đủ tiện ích: Ngân hàng, trường học các cấp, siêu thị, bệnh viện, công viên,...không thiểu thứ gì. Dân cư qua lại đông đúc, vị trí thuận tiện đia lại. Giao thông di chuyển thuận lợi các phố: Ngô Quyền, Ngô Thì Nhậm, Lê Trọng Tấn, Quang Trung,...gần ga Hà Đông  Cát Linh trên cao, bến xe bus rất gần, vài bước chân ra phố. Giá: 3.89 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",02/02/2022,Tin thường,batdongsan_so_com_vn_1673832493.0568411,,,,,
"5,1 tỷ VNĐ","Đường Đông Mỹ, Thanh Trì, Hà Nội", 90m2, 5,"NHÀ ĐẸP LUNG LINH –Ô TTÔ ĐỖ CỬA Ô TÔ VÀO NHÀ, KINH DOANH ĐỈNH . DIỆN TÍCH: 90 5 5.4 5.1 TỶ    +Nhà thiết kế 5 tầng khung cột rất chắc chắn, thửa đất vuông vắn như tờ A4, sổ đỏ chính chủ, pháp lý sạch sẽ, sẵn sàng giao dịch. +Tầng 1 là ga ra ô tô, phòng ăn, bếp, cầu thang và wc ở cuối bên phải. Có thang máy. +Tầng 2 là phòng khách, 2 phòng ngủ, wc chung. Tổng 2 phòng ngủ +Tầng 3,4,5 là thông sàn chủ đang làm xưởng may. + Chủ xây để ở rất tâm huyết với căn nhà.Trang thiết bị nội thất như cửa ra vào bằng gỗ Lim Lào, thiết bị vệ sinh nhập khẩu Châu Âu, sàn ốp gỗ tự nhiên của Đức. +Nhà nằm gần các khu thương mại, trường THPT, THCS... Nhà làm văn phòng công ty, xường sản xuất, siêu thị, trường mầm non... và để ở rất tuyệt +Gía : 5.1tỷ có thương lượng giữa chủ nhà với khách hàng. +Thông tin liên hệ: Anh Quyến số ĐT 0392668416/0399101066 để được tư vấn, và xem nhà miễn phí 24/7",03/10/2021,Tin thường,batdongsan_so_com_vn_1673832494.661554,, 5, 1, 6, 5
12 tỷ VNĐ,Hà Nội, 50m2,," - Cần bán tòa văn phòng quận Đống Đa chỉ 12 tỷ, siêu thoáng, giá siêu rẻ. - Tọa lạc ở vị trí trung tâm quận Đống Đa, xung quanh là các tòa nhà văn phòng và trung tâm thương mại rất sầm uất. - Tòa nhà được thiết kế gồm 7 tầng, kiến trúc vô cùng hiện đại, có hầm để xe và được lắp sẵn thang máy. - Giá bán gấp 12 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.  - Sổ đỏ chính chủ, pháp lý sạch.Liên hệ miễn phí: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",01/02/2022,Tin thường,batdongsan_so_com_vn_1673832495.693832,,,,,
