price,address,Diện tích,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Hướng
"3,2 tỷ VNĐ",Đường Đại Độ phường Võng La, 55m2,,,"CC cần tiền cho con đi du học bán rẻ 54,5m mặt đường nhựa Võng La-Đông Anh KD đỉnh- MT 4,3m nở hậu 4,5m- Hướng Nam, đường trước đất trải nhựa 6m có dư, kinh doanh buôn bán mọi mặt hàng được- Khu vực dân cư đông đúc, dân trí phát triển- Sổ đỏ chính chủ,pháp lý sạch- Cách KCN Bắc Thăng Long chỉ hơn 1km di chuyển- Giao thông đồng bộ, thuận tiện di chuyển mọi hướng- Bán kính 1km có đầy đủ trung tâm hành chính xã, trường học cấp 1,2... UBND... Sân Bóng, chợ lớn.....Anh chị quan tâm liên hệ e Thanh Lam  để xem đất và cọc trong ngày.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802422.8939273, 4,,,
120 tỷ VNĐ,"CHÍNH CHỦ BÁN BIỆT THỰ SONG LẬP CĂN GÓC 2 MẶT TIỀN DỰ ÁN VINHOMES GARDENIA, CẦU DIỄN, NAM TỪ LIÊM; 0964043266", 286m2,,,"CHÍNH CHỦ BÁN BIỆT THỰ SONG LẬP CĂN GÓC 2 MẶT TIỀN DỰ ÁN VINHOMES GARDENIA, CẦU DIỄN, NAM TỪ LIÊM; 0964043266  Dự án Vinhomes Gardenia, Đường Hàm Nghi, Cầu Diễn, Nam Từ Liêm, Hà Nội.- Song lập tây tứ mệnh căn góc 2 mặt tiền Vip - rộng 286m2, diện tích xây dựng:  154m2 x 3 tầng,  - Gồm 4PN - căn góc 2 mặt tiền nằm trên mặt đường Nguyễn Văn Giáp - Mỹ Đình - Nam Từ Liêm.Hoàn thiện đẹp đầy đủ nội thất, sân vườn như hình ảnh đã đăng!- Sổ đỏ sẵn sàng giao dịch
 
- Giá bán : 120 tỷ (có thương lượng) bao phí sang tên  - Chính chủ 0964043266 (không tiếp nhận môi giới).       http://www.sanbatdongsanviet.com.vn",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802424.0378673,,,,
"3,35 tỷ VNĐ",Đường Nguyễn Tuân phường Thanh Xuân Trung,,,,- Diện tích: 72 m2- 2pn2vsGiá: 3.35 tỷ ,12/09/2022,Tin thường,batdongsan_so_com_vn_1673802425.3922462,, 1,,
"5,685 tỷ VNĐ","Số 8 đường Lê Đức Thọ, Nam Từ Liêm, Hà Nội", 104m2, 3, 2," Em cần bán căn hộ cao cấp tại dự án The Zei số 8 Lê Đức Thọ Em có căn hộ 3 phòng ngủ diện tích lên tới 104m2 Với lối thiết kế “Gia đình sum họp” nên phòng khách của căn hộ sẽ rộng hơn các phòng khách của dự án khác Căn hộ ở tầng trung khá là đẹp có thể tận hưởng trọn vẹn toàn bộ view, giá cả hợp lí, tận hưởng không khí trong lành, giảm thiểu tiếng ồn và khói bụi. Căn hộ có ban công lô-gia phòng khách hướng Đông Bắc có thể giúp toàn bộ căn hộ bừng lên sức sống ấm áp của nắng sớm, mang lại cảm giác dễ chịu, trong lành. Ngoài ra, hướng Đông Bắc là hướng mặt trời mọc, biểu trưng cho sự sinh sôi, phát triển, đem lại nhiều nguồn năng lượng tốt cho không gian sống. Cửa nhà hướng Tây Nam hợp cho gia chủ tây tứ trạch Căn này đang là căn có giá tốt nhất trong các căn 3 phòng ngủ tại dự án The Zei Nội thất bàn giao là full nội thất liền tường cao cấp toàn bộ nhập khẩu. Anh chị quan tâm liên hệ em 0395.679.688 (Em Linh)",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802427.4178243,,,, Tây nam
"3,333333 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Quang Trung, 47m2,,,"Chính chủ chuyển nơi ở thuận tiện đi làm, cần bán nhà riêng phố Nguyễn Lương Bằng, phường QuangTrung, quận Đống Đa: 47m2, 3 ngủ, vài bước ra phố, nhà đẹp ở ngay. + Nhà ngay Xã Đàn, trung tâm quận Đống Đa, tiếp giáp phốlớn: Ô Chợ Dừa,Xã Đàn, Tôn Đức Thắng, Khâm Thiên… Ngay gần chợ , siêu thị to nhỏ, trường học các cấp, tiện ích không thiếu thứ gì. + Nhà xây khung cột, tầng 1 phòng 1 WC, các phòng có cửa sổ thoáng. + Sổ đỏ nét, giao dịch ngay. + Giá chào: 3.3 tỷ, có gia lộc nhẹ.: 0828137789, để xem nhà ngay.
",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802429.3905458, 4, 6, 4,
"3,333333 tỷ VNĐ",Đường Tây Sơn phường Quang Trung, 50m2,,,"Chính chủ chuyển công tác vào Nam, nay cần bán nhà riêng phố Tây Sơn, phường Quang Trung, quận Đống Đa: 50m2*4 tầng, ngõ thoáng, gần chùa gần phố + Vị trí trung tâm quận Đống Đa,. Tiếp giáp phố lớn: Thái Hà, Nguyễn Lương Bằng, Chùa Bộc, Tôn Đức Thắng, Hồ Đắc Di,…Gần THCS và Tiểu học Bế Văn Đàn, THCS Quang Trung. + Giá chào: 3,3 tỷ, có thương lượng",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802431.2735097, 4, 6, 4,
"3,222222 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Quang Trung, 47m2,, 4,"Chủ nhiều nhà ở không hết, này cần bán nhà riêng phố Nguyễn Lương Bằng, phường QuangTrung, quận Đống Đa: 47m2*4 tầng, 3 ngủ, ngõ thông, trước nhà thoáng mát. + Nằm ngay lõi quận Đống Đa, giáp ranh BaĐình. Vài bước ra Ô Chợ Dừa,Xã Đàn, gần các phố: TâySơn,Thái Hà, Hồ Đắc Di, Hoàng Cầu, Nguyễn Hy Quang... Xung quanh đủ chợ dân sinh, siêu thị to nhỏ và trường học các cấp. + Nhà xây khung cột, tầng 1 phòng 1 WC, các phòng có cửa sổ thoáng. + Pháp lý chuẩn, giao dịch ngay. + Giá chào: 3.2 tỷ, có gia lộc nhẹ.: 0828137789, để xem nhà ngay.
",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802433.6436841, 4, 6, 4,
7 tỷ VNĐ,"93 Láng Hạ, quận Đống Đa, Hà Nội", 110m2, 3, 2,"CĂN HỘ CAO CẤP GREEN DIAMOND - 93 LÁNG HẠ, Đống Đa, Hà Nội - Tên dự án: 𝙂𝙧𝙚𝙚𝙣 𝘿𝙞𝙖𝙢𝙤𝙣𝙙 - 93 Láng Hạ- Chủ đầu tư: Vinaconex- Quy mô dự án: 4 tầng hầm, 27 tầng căn hộ, 8 thang máy.- Bàn giao 2 loại: Đồ cơ bản hoặc full nội thất ( Tùy khách hàng lựa chọn) ✅ Thiết kế căn hộ:+ Loại 1 phòng ngủ: 46m2 + Loại 2 phòng ngủ: 70-92m2+ Loại 3 phòng ngủ: 110 -156m2+ Loại Penhous: 342 - 355m2- Nhà ở ngay. ☎  Anh/chị inbox em: 0977 568 223",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802440.887091,,,, Đông nam
"16,45 tỷ VNĐ",32 Nguyễn Thị Định, 44m2, 3, 5,"32 NGUYỄN THỊ ĐỊNH -  CẦU GIẤY, ÔTÔ TRÁNH  - VỈA HÈ, NGÕ THÔNG KINH DOANH, 44M2 - 6 TẦNG THANG MÁY, 16,45 TỶ - Vị trí cực đẹp phân lô bàn cờ, trước nhà ô tô tránh thoải mái, ô tô vào nhà, vỉa hè 2 bên rộng rãi, kinh doanh mọi loại hình. - Nhà 6 tầng mới chủ tự xây để ở, lắp đặt đầy đủ trang thiết bị cao cấp, mỗi tầng 1 phòng rộng: - Tầng 1: Thông sàn kinh doanh hoặc làm gara. - Tầng 2,3,4: Mỗi tầng 1 phòng rộng khép kín. - Tầng 5: Bếp  +Phòng ăn. - Tầng 6: Phòng thờ + sân phơi. - Cầu thang và thang máy cuối nhà. - Khu vực rất hiếm nhà bán, dân trí cao kinh doanh đỉnh, ở  văn minnh. Chủ hợp tác, thiện chí bán. - Liên hệ: K.S Phương – 0918120568 để được tư vấn về ngôi nhà và gặp chủ đàm phán trực tiếp",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802442.1676652,,, 6,
866 triệu VNĐ,"tân phúc, ân thi, hưng yên.", 80m2,,,"🌺 Bán lô đất gần QL38 cạnh nút giao cao tốc HN - HP🌿 Diện tích từ 70-90m2 phù hợp với thiết kế nhà hiện đại , sang tên công chứng chuyển nhượng ngay . 🌿💥 Đường 6m trải nhựa , đủ hướng cho các nhà đầu tư.🍀 Nằm trên trục đường huyết mạch Tân Phúc Võng Phan chạy qua các KCN như Ân Thi- Phù Cưd - Tiên Lữ - Bình Giang và các KCN lân cận .Thu hút các nhà đầu tư trong và ngoài nước tạo cho hàng nghìn lao động địa phương và các tỉnh lân cận đổ về.☘️ Nằm trong khu dân cư đông đúc đầy đủ các tiện ích như trường học , y tế , cửa hàng tiện ích bán kính không quá 1km.🍀 Cơ hội cho các nhà đầu tư , ưu đãi giảm 3% khi khách hàng mua từ 2 lô trở lên",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802444.1244302, 5, 7,, Đông nam
