price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
"1,99 tỷ VNĐ","Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội", 54m2,"Cần tiền bán gấp căn 54m2 2 phòng ngủ tại dự án Vinhomes Smart City, Tây Mỗ, Quận Nam Từ Liêm, HN. Chỉ cách sân vận động mỹ đình 10p đi xe.Để lại toàn bộ nội thất như ảnh.Giấy tờ pháp lý đầy đủ, không gian rộng thoáng, nhiều tiện ích cho dân cư kinh doanh, nghỉ ngơi, vui chơi, mua sắm...- Cảnh quan Vườn Nhật hơn 6 ha.- Bệnh viện Vinmec cạnh nhà- Hệ thống trường học Vinschool.- Trung tâm thương mại Vincom Mega Mall.- Công viên thể thao lớn nhất khu vực Đông Nam Á: Hệ thống 200 sân tập thể thao các loại (Tennis, Cầu lông, Bóng bàn, Bóng chuyền, Bóng rổ... ) miễn phí, 1000 máy tập gym miễn phí, vườn nướng BBQ.- Hệ thống bể bơi đạt tiêu chuẩn Olympic miễn phí.- Công viên chủ đề quy mô hàng đầu Đông Nam Á với 16 chủ đề hấp dẫn.- Dịch vụ xe bus điện Vinfast giúp kết nối Vinhomes Smart City tới các điểm trọng yếu khác trong thành phố.- Dịch vụ gia đình (giặt là, dọn dẹp) 24/7.- An ninh đa lớp bảo vệ 24/7.Vui lòng Liên hệ trực tiếp: 0911.40.6262",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782303.2258651,, 2,,, 2,
16 tỷ VNĐ,"Đường Trần Tử Bình, Nghĩa Tân, Cầu Giấy", 48m2,"BÁN NHÀ MẶT PHỐ TRUNG TÂM QUẬN CẦU GIẤY- VỈA HÈ RỘNG- THÔNG VỚI ĐƯỜNG HOÀNG QUỐC VIỆT, NGUYỄN PHONG SẮC, NGHĨA TÂN, TÔ HIỆU  VỊ TRÍ ĐẮC ĐỊA, NHÀ XÂY CHẮC CHẮN, VỪA Ở VỪA CHO THUÊ KINH DOANH TẦNG 1 + KHU VỰC KINH DOANH ĐA MẶT HÀNG SUỐT NGÀY ĐÊM , DÒNG TIỀN ỔN ĐỊNH + SỔ ĐỎ CẤT KÉT - CHỜ CHỦ MỚI GIAO DỊCH + GẦN CHỢ NGHĨA TÂN, GẦN CÁC TRƯỜNG HỌC LỚN + LH ; C HUYỀN 0912361312",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782307.5083039, 4, 4, 3, 30, 5,
"4,2 tỷ VNĐ","Giáp Bát,Hoàng Mai,Hà Nội", 30m2,"-Còn duy nhất căn đẹp,sổ đỏ sẵn sàng giao dịch Nhà xây kiên cố, chắc chắn , ốp gỗ,đá đẹp, nhà hiện đại, chỉ việc vào ở  -Đi 1 đoạn tới bến giáp bát tiện lợi Gần trường tiểu học Giáp bát, Trạm y tế, đi vài bước ra đường Giải phóng, Bệnh viện bạch mai, Viện tai mũi họng... - Sẵn sàng bán nếu hợp người mua có thể thương lượng ",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782308.5049949, 5, 4,,, 5,
"1,57 tỷ VNĐ","Đường Hồ Linh Đàm, Đại Kim, Hoàng Mai", 65m2,"
    
CHUNG CƯ HH 3A - LINH ĐÀM- BAN CÔNG HƯỚNG ĐÔNG  -  DIỆN TÍCH 65M - 2 PHÒNG NGỦ - TẶNG FULL ĐỒ -  GIÁ BÁN  1.57 tỷ.

+ Căn chung cư 65m gồm 2 Phòng ngủ- 2 WC đầy đủ đồ đẹp.
+ Nhà cửa hướng Nam, ban công hướng Đông
+ Tòa nhà có 41 tầng, 6 thang máy và thang bộ thoáng rộng. Chợ ngay chân tòa nhà cực tiện ích cho cư dân.
+ View thoáng mát ngắm nửa Thành phố về đêm..Liên hệ ngay.
",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782309.9756181, 1, 2, 6, 1, 2, Đông nam
5 tỷ VNĐ,"số 44 ngõ Nhân Hòa, phường Nhân Chính", 36m2,"Cần bán nhà riêng ngõ 44 phố Nhân Hòa, sổ đỏ chính chủ. Diện tích 36m2* 5 tầng. 3 mặt thoáng, 2 mặt ngõ (hướng Nam 9m, hướng Tây 4m) Nhà có 6 phòng ngủ, 4 WC, 2 bếp. Nhà có sẵn điều hòa, 2 công tơ điện. Phù hợp cho cả nhu cầu ở hoặc cho thuê. Tiện di chuyển đến trường học và chợ dân sinh. Cách Royal City chỉ 2km. Đặc biệt: Nhà vượng hướng sinh quý tử, vượng hướng phát tài. Chủ nhà cẩn thận trong bố trí theo phong thủy.",25/11/2022,Tin thường,batdongsan_so_com_vn_1673782311.2764788, 5, 6, 9, 2, 4, Nam
8 tỷ VNĐ,"Đường Lê Duẩn, Phương Liên, Đống Đa", 72m2,"MẶT PHỐ LÊ DUẨN- ĐỐNG ĐA- LÔ GÓC- NGAY CÔNG VIÊN THỐNG NHẤT- KINH DOANH ĐA LOẠI HÌNH- DÒNG TIỀN CAO
Diện tích 61/72m, 3 tầng, sát cạnh hồ 3 mẫu, đi bộ ra công viên Thống Nhất.
Giá: 8 tỷ có thương lượng
",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782312.439372, 3, 5, 5, 8, 3,
"3,2 tỷ VNĐ",Tô Hiệu - Hà Đông, 35m2,"Bán nhà Tô Hiệu, Hà Đông 35mx5 tầng ngõ nông ở ngay hơn 3 tỷ Nhà đẹp Tô Hiệu, Hà Đông cần bán trong tuần 35m nhà 5 tầng rộng thoáng sáng trước sau cực hiếm ngõ nông vài bước chân ra phố hơn 3 tỷ không có căn thứ 2. Bán kính xung quanh nhà đầy đủ tiện nghi trường học các cấp, ngân hàng, siêu thị, bến xe, chợ lớn Hà Đông. Khu vực sầm uất bậc nhất, dân cư đông đúc văn minh ở sướng gần phố Bà Triệu hàng xóm Lê Lợi ra Lê Hồng Phong sang Tản Đà đối diện Văn Quán. Sổ vuông sẵn sàng giao dịch. Giá: 3.2 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782314.0003757, 5,,,,,
"3,1 tỷ VNĐ",Phúc La - Hà Đông, 36m2,"Bán nhà Phúc La, Hà Đông 36mx5 tầng ngõ nông gần phố hơn 3 tỷ Siêu phẩm có 1 không 2 tại Phúc La, Hà Đông nhà xây kiên cố khung cột chắc chắn thoáng sáng đầy đủ công năng hiện đại cho khách hàng khó tính nhất 36m với 5 rộng nội thất xịn chỉ việc về ở. Nhà hưởng trọn tiện ích khu đô thị Văn Quán, gần bến xe, ga tàu điện, bưu điện, các bệnh viện lớn, an sinh đỉnh. Hàng xóm văn minh toàn cán bộ ở sướng. Giao thông thuận tiện di chuyển sang Văn Quán gần Thanh Trì cắt Quang Trung ra Mỗ Lao xuống Vạn Phúc. Sổ vuông sẵn sàng giao dịch. Giá: 3.1 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782315.234483, 5,,,,,
"11,4 tỷ VNĐ",Văn Khê - Hà Đông, 83m2,"Bán liền kề Văn Khê, Hà Đông kinhh doanh vỉa hè 83mx5 tầng hơn 11 tỷ Chị gái tôi cần nhượng lại căn liền kề Văn Khê, Hà Đông vị trí đắc địa sầm uất 83m nhà hoàn thiện đẹp, nội thất xịn 5 tầng rộng chỉ việc về ở. Nhà gần các chung cư, trường học quốc tế đối diện quần thể Khu đô thị Dương Nội, An Hưng và trung tâm thương mại Aeon Mall ra đường Tố Hữu- Vạn Phúc rất gần. Sổ vuông sẵn sàng giao dịch. Giá: 11.4 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782316.4158878, 5,,,,,
34 tỷ VNĐ,"Đường Dương Khuê, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội", 135.8m2,"Cần bán 2 lô đất đấu giá tái định cư X4 tại đường Dương Khuê, quận Cầu Giấy, Hà Nội, sổ đỏ chính chủ. Đường 2 ô tô 15,5m to rộng, gần đường lớn, khu vui chơi sầm uất của Quận Cầu Giấy. MT khủng lên đến 24m, làm gì cũng lợiLô 1: Lô E1 diện tích 59,2m2; lô góc 2 mặt tiền, tổng 14,17m mặt đường.Lô 2: Lô E2 diện tích 76,6m2, mặt tiền 9,87mTổng 2 lô 135,8m2 với mặt tiền khủng lên đến 24m2 ở trung tâm khu Mỹ Đình. Thuận lợi để kinh doanh các ngành hàng: siêu thị, nhà hàng, khách sạn, căn hộ cho thuê...Chủ nhà dân đầu tư, thoáng tính, vào việc nhanh.Giá: 250tr/m2Tổng cả 2 lô đất: 34 tỷ đồng",23/12/2022,Tin thường,batdongsan_so_com_vn_1673782317.7322292,,,,,,
