price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Hướng,Số toilet
"7,4 tỷ VNĐ",Nguyễn Khang, 40m2,"Vị trí đắc địa, khu vực Víp hiếm có, nhà cách mặt phố Nguyễn Khang 10m, cách phố Vũ Phạm Hàm 20m, ngõ rộng ô tô vào sát nhà - trước cửa nhà xe ba gác tránh xe máy. + Nhà xây mới 5 tầng, nội ngoại thất châu âu, khu vực an ninh tốt và dân trí cao, tiện ích ngập tràn. + Thiết kế: từ 4 phòng ngủ đến 5 phòng ngủ + 1 phòng khách + 1 phòng bếp + 1 phòng thờ + 1 sân phơi đồ và vườn cây, tầng nào cũng có từ 1 đến 2 nhà vệ sinh - Nhà chủ đầu tư phân lô xây bán rất đẹp và hợp lý. + Nội ngoại thất đầy đủ, ai mua về chỉ việc vào ở + Chủ nhà là dân đầu tư nên xây nhà chắc chắn, thiết kế đẹp, hợp lý & rất thiện chí bán. Sổ Đỏ vuông đẹp. Diện tích 40m2. Giá chỉ nhỉnh từ 7.4 tỷ sẵn sàng giao dịch + Khách hàng quan tâm liên hệ: Em Chính 0792122918 ",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827328.045304, 5, 5, 5, 3,, 5
"2,5 tỷ VNĐ","Trâu Quỳ, Gia Lâm, Hà Nội", 52m2,"Bán Nhanh Căn Nhà 52m2 Tại Chính Trung, Trâu Quỳ, Gia Lâm Chỉ 2.5 tỷ  Căn nhà còn mới, về ở ngay được. Diện tích: 52m2. Mặt tiền + Hậu 4m. Hướng Đông tứ mệnh Cách mặt phố Ngô Xuân Quảng chừng hơn 50m.  Đi bộ ra khu đô thị 31ha Trâu Quỳ chỉ mất vài phút. Gần trường Mầm Non Trâu Quỳ, Bán kính trường học các cấp 500m. Giao thông đi lại thuận tiện, phù hợp để ở và định cư lâu dài  Thiện chí gọi ngay: 0399 643 640 để xem nhà.",23/12/2021,Tin thường,batdongsan_so_com_vn_1673827329.2430987,,, 4,, Bắc,
26 triệu VNĐ,"Đa Tốn, Gia Lâm, Hà Nội", 65m2,"Em Cần Bán Mảnh Đất 65,5m2 Đất Đào Xuyên, Đa Tốn, Gia Lâm  DT: 65,5m2. MT: 4m Hậu 4m/ Vị trí cực kỳ đẹp Gần ngay đường ô tô tránh, cách mặt sông và công viên safari vài bước chân Đất vuông vắn đẹp. sổ đỏ chính chủ, khu dân cư thân thiện.  Bán Kính trường học, trạm Y tế chỉ 1,5km đổ lại. Giao thông đi lại thuận tiện, Gần đường LÝ THÁNH TÔNG.  Giá cực kỳ hợp lý chỉ 39tr/m2. Thiện chí đi xem Gọi ngay: 0399 643 640 để xem đất.  #đào_xuyên, #đa_tốn, #gia_lâm, #đất_thổ_cư, #đất_ở, #Đất_đầu_tư, #Đất_thuận_tốn, #chợ_bún, #congbdsgialam,",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827330.3112407,,, 4,,,
16 tỷ VNĐ,Hà Nội, 76m2,"Bán nhà sổ đỏ phố Trần Đại Nghĩa - SĐT: 0366 555 258.Diện tích 76 m2, 7 tầng thang máy, mặt tiền 5 m cực đẹp, khu dân trí cao, an ninh tốt, nhiều tiện ích. + Vị trí mặt ngõ ô tô tránh nhau, khu vực phân lô VIP, hạ tầng xịn, các nhà đều to cao đẹp, làm văn phòng, kinh doanh nhộn nhịp… + Ngõ ô tô tránh thông tứ phía, thoáng vĩnh viễn. + Chủ nhà là quan chức bên Bộ Xây Dựng Hà Nội, xây dựng chắc chắn, thiết kế hiện đại, nội thất xịn, sàn gỗ, phòng xông hơi…Chủ để lại tất cả đồ đạc cao cấp cho khách may mắn nhất. + Sổ đẹp, vuông vắn không lỗi phong thủy.Giá chào chỉ 16 tỷ thương lượng mạnh.Liên hệ ngay: 0366 555 258.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827331.3973355,,,,,,
"4,15 tỷ VNĐ","đường Bùi Xương Trạch, phường Khương Đình", 40m2,"Cần bán căn nhà 5 tầng, diện tích 40m2, mặt tiền 6m tại đường Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân. NHÀ ĐẸP Ở NGAY - LÔ GÓC - SỔ PHÂN LÔ - VỊ TRÍ ĐẸP NHẤT KHU PHÂN LÔ Nhà nằm ngay đầu dãy, lô góc cực thoáng, vị trí đẹp nhất khu. Cách bãi gửi ô tô vài chục mét. Nhà xây chất lượng, chủ ở giữ gìn, còn gần như mới kính coong. Từ tầng 2, diện tích là 40m2/tầng. Khách mua chỉ việc dọn về ở. + Tầng 1: để xe - Bếp - WC + Tầng 2: phòng khách - 1 ngủ nhỏ + Tầng 3: 1 phòng ngủ master + WC khép kín + Tầng 4: 2 phòng ngủ + 1 WC + Tầng 5: phòng thờ - sân phơi. Sổ đỏ phân lô, sẵn giao dịch Chủ thiện trí bán Giá: 4,15 tỷ VNĐ Thanh Xuân giờ giá lên vù vù, anh chị em cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (chuyên khu vực Bùi Xương Trạch). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827332.360794, 5, 5,,,,
"9,2 tỷ VNĐ",Phường Mỹ Đình, 60m2,"Bán Gấp nhà Đình - Thôn Nam Từ Liêm. 60m2, 4 tầng. Ngõ thông ô tô qua cửa,  nhỉnh 100tr/m2.+ Công năng tiện đầy đủ, tiện ích, ba bước chân ra chợ.+ Đường lớn,nhà sát ngay KĐT thông ra ngã tư Hoàng Trọng Mậu,  Phạm Hùng, Bến xe Mỹ Đình, Nguyễn Hoàng…  + Gần Khu đo thị. Trường học các cấp, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Giá: 9,2 tỷ.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.    ",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827333.395988,,,,,,
"5,45 tỷ VNĐ",ngõ 101 Thanh Nhàn, 55m2,"Bán  căn nhà dân ngay ngã tư Võ Thị sáu Thanh Nhàn, Hai bà Trưng Hà Nội.- Diện tích 55m2x4 tầng, thiết kế có sân riêng để xe  phía sau thoáng có tiểu cảnh:+ Tầng 1: Sân cổng để xe, Phòng khách, phòng bếp, wc phụ, tiểu cảnh.+ Tầng 2, 3: Mỗi tầng 2 phòng ngủ rộng + WC.+ Tầng 4: Phòng thờ + sân phơi.- Nội thất được gia đình lựa chọn kỹ lưỡng gồm: Cầu thang đá, tủ bếp gỗ sồi Nga, thiết bị vệ sinh ToTo, trần thạch cao phòng khách, phòng ngủ, các phòng được lát sàn gỗ công nghệ Đức.- Nhà nằm trong khu vực cán bộ dân trí cao, an ninh tốt. Gần công an, UBND phường, chợ, trường mầm non, tiểu học và các trường đại học.- Giá bán: 5.45 tỷ (có thương lượng) bao phí sang tên sổ đỏ.liên hệ chị Yến ĐT:0702138238",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827334.784276, 4, 4, 3, 3, Đông nam, 3
"7,25 tỷ VNĐ",ngõ 68 phố Nguyễn An Ninh, 55m2,"Bán nhà phân lô cán bộ Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn Led trang trí hiện đại, tiết kiệm điện.- Tầng 1: Phòng Khách, vệ sinh, bếp ăn.- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh.- Tầng 5: Phòng thờ, sân phơi trước sau.Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 15m, gần đường Trần Đại Nghĩa kéo dài.Giao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích: Gần nhiều trường mầm non, cấp 1, cấp 2. Cách trường Bách Khoa, Xây Dựng, Kinh Tế 500m, gần nhiều bệnh viện lớn như Bạch Mai, Việt Pháp-Sổ đỏ chính chủ, pháp lý rõ ràng-Giá bán 7,25 tỷ ( Có thương lương) liên hệ chị Yến ĐT:0702138238",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827335.858401, 5, 5, 3, 4, Đông nam, 4
"8,35 tỷ VNĐ",ngõ 33 Đền Lừ, 52m2,"Bán nhà KPL 333 Đền Lừ, Hoàng Mai, HN.DT 52m2 x 5 tầng mới , ngõ thông, ôtô tránh, vào nhàNhà xây khung cột, móng cọc kiên cố và chắc chắn. Diện tích 52m2, xây mới 5 tầng, ô tô  vào nhà, thích hợp để ở, làm văn phòng. Ngõ thông kinh doanh buôn bán tốt.Thiết kế hiện đại bao gồm: Tầng 1:  Gara ô tô, phòng bếp, phòng ăn, vệ sinh Tầng :2,3,4: mỗi tầng 2 phòng ngủ vệ sinh khép kínTầng 5 phòng thờ sân phơi.Nội thất cơ bản đầy đủ: Cửa cuốn, các cửa thông phòng toàn bộ làm bằng gỗ lim Nam Phi,  tủ bếp gỗ xoan đào, thiết bị vệ sinh Inax, dây điện trần phú…Khu phân lô ô bàn cờ, dân trí cao, an ninh tốt, hưởng đầy đủ tiện ích của khu đô thị đền lừ: hồ nước, công viên, trường học, khu vui chơi giải trí, nhà hàng….Sổ đỏ chính chủ, pháp lý rõ ràngGiá bán 8.35  tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827336.863711, 5, 6, 3, 5, Đông nam, 4
"4,5 tỷ VNĐ","Tô Vĩnh Diện, Thanh Xuân", 35m2,"CHÍNH CHỦ BÁN NHÀ PHỐ TÔ VĨNH DIỆN, THANH XUÂN, DT 35M2, MT 4,0M, Ô TÔ VÀO NHÀ, KINH DOANH, NGÕ THÔNG THOÁNG. + Vị trí trung tâm Thanh Xuân dân trí cao, gần chợ, trường học, bệnh viện, ngân hàng và giao thông thuận tiện. + Nhà 6 tầng cực đẹp mặt ngõ nông rộng, ô tô 7 chỗ thông phố Hoàng Văn Thái. Cách chỗ để ô tô chỉ vài bước chân. Nhà kinh doanh tốt hoặc cho thuê khoảng 15 triệu/tháng. + Sổ đỏ chính chủ, pháp lý sạch. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827340.886114,,,,,,
