price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Mặt tiền
"6,95 tỷ VNĐ","Nguyễn Văn cừ, Long Biên, Hà Nội", 45m2,,,,"Chủ nhà chuyển nơi sinh sống cần bán NHÀ CÁCH MẶT PHỐ 1 NHÀ, NỘI THẤT SANG XỊN MỊN,3 MẶT THOÁNG, NHÀ CỰC HIẾM - Mặt tiền rộng, 3 mặt thoáng, sân để xe riêng biệt - Trang thiết bị toàn hàng cao cấp nhập khẩu - Xung quanh tiện ích không thiếu thứ gì : gần TTTM, chợ, bệnh viện, trường học... - Di chuyển sang Phố cổ chưa đầy 10p - Thiết kế hiện đại, cầu thang gỗ Nam Phi - Tầng 1: sân, phòng khách, bếp, phòng ăn - Tầng 2,3 : Phòng ngủ, Wc - Tầng 4: Phòng thờ, sân phơi, sân thượng view xịn ngồi cf Sổ đỏ chính chủ giao dịch ngay Liên hệ xem nhà : Phương Quỳnh - 0337594758",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822316.1625552,,
"4,527 tỷ VNĐ",Đường Võ Nguyên phường Tiên Dương, 92m2,,,,"- Chính chủ gửi bán lô đất đẹp tại thôn Lễ Pháp, Tiên Dương, Đông Anh- Dt 92,4m2+ MT 4.45m- Cách đường vỏ làng đang làm chỉ 50m- Đường trước đất rộng 4,5m ô tô 7 chỗ chạy thông vù vù- Cách đường gom Võ Nguyên Giáp 300m- Cách tổ hợp y tế công nghệ cao TH và khu đấu giá mới 300m.- Cách Công Viên Kim Quy 300m- Cách trung tâm Đông Anh 1km- Khu vực dân cư đông đúc an ninh tốt dân trí cao- Gần chợ gần trường học các cấp-Giá bán cho nhà đầu tư đây ạAnh Chị quan tâm liên hệ em Xuân 0362608492 để xem đất và nhận giá tốt nhất",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822317.1937933,, 4
"12,5 tỷ VNĐ","Dự án Kim Văn, Phường Đại Kim, Quận Hoàng Mai", 82.5m2, 4,,,"Chính chủ bán nhà 4 tầng thuộc dự án Kim Văn, Phường Đại Kim, Quận Hoàng MaiDiện tích đất: 82,5m2 - Diện tích vỉa hè riêng :35 m2Diện tích sàn xây dựng: 330m2- Nhà xây 4 tầng - Mặt tiền: 6,82m - Sâu 11,75 m2 - Đất nở hậu- Nhà đã có ô chờ thang máy, Có 2 nguồn điện. Trước cửa có cột điện 3 pha. Nhà xây trên đất dự án Năm 2012+ Ngõ rộng 6 m,Nhà cách đường Kim Giang 50 m.+ Nhà này thích hợp với làm văn phòng công ty, Nhà ở và khách sạn-  Gần khu đô thị Linh Đàm và liền kề đại học Thăng Long- Tiện ích xung quanh không thiếu thứ gì, gần chợ, gần trường, UBND phường, trung tâm thương mại, gần bệnh viện, các trường đại học lớn.+ Gần các tuyến phố lưu thông nhiều đường trục chính như Nguyễn Xiển, Khương Đình, Định Công, Giải Phóng, thuận tiện cho việc di chuyển đi các tỉnh, và đi vào trung tâm thành phố.- Khu này an ninh tốt, Giao thông đi lại thuận tiện, Dân trí cao và thân thiện.Giá bán: 12,5 Tỷ (Có thương lượng)Liên hệ chủ nhà: Anh Hòa: 0903419435 - Miễn trung gian  Nguồn:  http://nhadathanoi.net.vn/",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822318.5063684,, 6
"5,5 tỷ VNĐ",Đường Tôn Thất Tùng phường Khương Thượng, 70m2, 1, 2, 2,"+ Nhà nằm trong khu trung tâm quận Đống Đa, an ninh tốt, giao thông thuận tiện gần phố Chùa Bộc, Khương Thượng, Trường Chinh, Tây Sơn.  + Hiện trạng nhà C4 chủ đang cho thuê, xác định bán đất, bán vị trí, anh em khảo sát chào khách đầu tư bất chấp ạ. ",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822319.5455909, 3, 4
2 tỷ VNĐ,"Phường Hàng bột , Đống đa", 30m2, 4, 3, 3,"+ Chính chủ cần bán nhà ngõ Văn Chương, Đống Đa, nhà lô góc, cực thoáng, ngõ xe máy tránh thoải mái, nhà chủ xây 4 tầng chắc chắn, mặt tiền 3m tầng nào cũng có ban công thoáng, sáng. + Nhà Trung tâm quận Đống Đa, cách phố Tôn Đức Thắng 80m, tiện lợi ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ. + Sổ đỏ đẹp, sẵn sàng giao dịch + Giá thoả thuận Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0857747473",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822320.6875362, 2, 3
"4,898 tỷ VNĐ",Đường Đường 131 phường Quang Tiến, 155m2,,,,"Lô góc 2 mặt tiền đấu giá Bắc Hạ - Quang Tiến view đồng- Tổng diện tích: 155.5m2 - Mặt tiền 8m, hậu 8m dài 20m, hướng Đông Bắc + Đông Nam- Chỉ giới xây dựng lùi 3m tầng 1, chiều cao 5 tầng 1 tum- Vị trí làn 1 khu đấu giá, đường 9m cả vỉa hè, view đồng thông thoáng có chỗ để xe oto. Thích hợp để mở hàng quán kinh doanh- Cách khu công nghiệp Nội Bài 1km***Liên hệ xem đất ms Hằng",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822321.753682,, 8
"4,5 tỷ VNĐ","Chiến Thắng, Văn Quán, Hà Đông, Hà Nội.", 40m2, 4, 3,," # Bán nhà riêng mặt ngõ ô tô đỗ đường Chiến Thắng, Văn Quán, Hà Đông, Hà Nội. Nhà thiết kế đẹp 15m ra phố, Full trang thiết bị + nội thất, khu dân trí cao, an sinh đỉnh, đảm bảo không có căn thứ 2. DT 36/40m, 4T giá chỉ 4.5 tỷ. + Vị Trí: tiếp giáp quận Thanh Xuân và Thanh Trì tọa lạc tại đường Chiến Thắng phường Văn Quán. + Tiện ích: nằm cạnh KĐT Văn Quán, nhiều TTTM, Ngân hàng, khu vui chơi, hồ điều hòa...trung tâm phố tiện ích. + Giao thông: 3 bước chân ra mặt đường chính Chiến Thắng di chuyển Nguyễn Khuyến, 19/5, Phùng Hưng, Vũ Trọng Khánh, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà mới kính koong 4T khung cột chắc, thiết kế hiện đại các phòng thoáng sáng, công năng đầy đủ, Chủ mới mua về chỉ việc đến ở. + Giá chỉ 4.5 tỷ. ( Nhà Thật Như Ảnh ) + Sổ vuông đỏ đẹp chính chủ, sang tên nhanh. # HotLine: 0906113879 Tình nhà phố ( chuyên bán và nhận ký gửi nhà đất quận Hà Đông – Hà Nội ).",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822323.024284,,
"12,68 tỷ VNĐ",Đường Xuân La phường Xuân La, 60m2, 5, 5, 4,"
    + Vị trí Nhà Phân lô Tổng cục II, ô tô tránh, ô tô vào nhà, gần Hồ Tây 150m, khu ngoại giao đoàn.
+ Gần Công viên Hoà Bình, trường liên cấp Xuân La, gần chợ, Đại học Nội Vụ...
Thiết kế:
- Tầng 1: Gara+ Kho
- Tầng 2: phòng khách + bếp ăn
- Tầng 3+ 4: 2 phòng ngủ 
- Tầng 5: phòng thờ + Sân phơi. 
Cầu thang giữa, 3 vệ sinh, giếng trời, sau nhà có khe thoáng 50cm. 
Giá 12.8 tỷ ( Thương lượng tốt)
Liên hệ tôi 090.1617.686 ( KIM CƯƠNG - Để mua nhà giá tốt nhất)
",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822324.2889009, 9, 4
"31,44505 tỷ VNĐ",Đường Lê Quang Đạo phường Mễ Trì, 199m2, 3, 2, 2,"✅ng ệch mặn t✅ hâi ầ cộng ng✅ng 1-2 lặng cho thu✅ hớn tó,Ngà trản 70% trong 24 thãt. Link FB: https://www.facebook.com/latte.ngotngao.9",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822325.2812445, 40, 8
5 tỷ VNĐ,Nguyễn Trãi - Thanh Xuân, 62m2, 5, 10,,"+Cần bán nhà Nguyễn Trãi - Thanh Xuân, 62m2, 5 Tầng, Mặt tiền 5m, Ô TÔ, KINH DOANH, Nhỉnh 5 Tỷ.+Vị trí đắc địa, đi bộ 5 phút ra Royal City, đường trước nhà rộng 3m, thoáng thông tứ tung.+Nhà chủ xây tâm huyết để ở, 10 PN để ở hoặc cho thuê kinh doanh.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822326.3134832,, 5
