price,address,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"7,4 tỷ VNĐ","Đường Cự Lộc, Hạ Đình, Thanh Xuân", 10, 5,"+ Chính chủ cần bán nhà, 34 m2 x4 tầng giá 4,7 tỷ, vị trí nhà cực đẹp, cách mặt phố Vũ Hữu vài bước chân.  + Nhà chủ xây tâm huyết chắc chắn. Gần nhà có sân chơi nhỏ, khách đến để xe thoải mái, gần bãi đỗ ô tô ngày đêm.  + Phố Vũ Hữu thông Tố Hữu, Lương Thế Vinh, Khuất Duy Tiến... Giao thông thuận tiện. Trung tâm giao thoa 3 quận: Thanh Xuân, Từ Liêm, Hà Đông... Đi đâu cũng tiện, dân trí cao tiện ích quanh nhà. + Pháp Lý: Sổ đỏ đẹp sẵn sàng giao dịch.  +LH: Hoàng Bắc, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791778.118433, 35m2, 5, 4,,
1 tỷ VNĐ,"Đường Lê Đức Thọ, Mỹ Đình 1, Nam Từ Liêm", 4, 5,"BÁN NHÀ MỸ ĐÌNH, QUẬN NAM TỪ LIÊM 30M2 5 TẦNG LÔ GÓC CỰC ĐẸP -Vị rí gần đường Lê Đức Thọ, Khu đô thị Mỹ Đình 2, ngõ rộng oto con đỗ cửa. -Nhà 2 mặt ngõ rất thoáng sáng tự nhiên. -TK mỗi tầng 1 phòng, full nội thất gia đình đang ở. -Sổ đỏ chính chủ.  -Gia đình thiện chí bán, Giá cả thỏa thuận. Chi tiết liên hệ:Mr Tùng (1979) để xem nhà. ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791780.1869051, 30m2, 4, 3, 4,
136 tỷ VNĐ,"Đường Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm", 30, 4,"Bán căn Biệt thự lô góc dự án The Zei, gần dự án Vinhomes Gardenia Hàm Nghi.Căn biệt thự góc, 1 mặt đường đôi 30m, 1 mặt đường 13.5m.Hướng cửa chính Tây Nam, má Đông Nam.Trước mỗi căn Chủ đầu tư trồng 2 cây hoa Mộc cổ, trị giá hàng tỷ đồng/ cây.Nhà xây kiến trúc Tân cổ điển vô cùng đẹp mắt. Từng chi tiết được Chủ đầu tư thi công chăm chút, tỉ mỉ. Hệ thống cổng vào, hàng rào đều là cổng đồng sang trọng.Diện tích đất 312m², tổng diện tích sàn xây dựng 608m².Giá bán: 136 tỷ.Biệt thự xây 3 tầng, 1 tum, 1 hầm. Hầm để được 2 xe SUV.Cạnh nhà là hồ điều hòa và công viên rộng 15ha. Không khí trong lành, mát mẻ quanh năm.Có thể nhận nhà ngay.Tiện ích: Trường Quốc tế Nhật, Liên cấp Lê Quý Đôn, Đoàn Thị Điểm, Vinschool, Newton; Bể bơi, sân chơi thể thao, trung tâm mua sắm...Bệnh viện Bộ công an, Y Học Cổ Truyền...- Chính sách bán hàng:+ Thanh toán sớm 95%: Chiết khấu 8%.+ Thanh toán tiến độ: Chiết khấu 5% (chia làm 5 đợt, 3 tháng/ đợt).Liên hệ tham quan dự án, xem thực tế Biệt thự: 0907023278",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791782.151643, 312m2, 17, 5, 7, Tây nam
31 tỷ VNĐ,"Đường Hoàng Hoa Thám, Ngọc Hà, Ba Đình", 40, 16,"Chủ nhà ở Châu Âu, ít khi về Việt Nam gửi bán căn Duplex dự án ở 162A Hoàng Hoa Thám.Dự án nằm trên 2 mặt đường: Hoàng Hoa Thám - Thụy Khuê. Đi 100m ra hồ Tây.Thông tin căn Duplex: Rộng 310m², trong đó 250m² là nhà ở, còn lại là sân vườn (sân ở đây 100% là sân vườn ngoài trời, không phải logia như các căn hộ thông thường).Giá: 125tr/m², tổng giá 31.25 tỷ.Khu dân trí cao, 100% cư dân đều là Doanh nhân hoặc cán bộ các cơ quan Trung Ương. Quận Ba Đình là nơi đặt trụ sở các cơ quan Trung Ương: Văn phòng Quốc Hội, Văn phòng Chính phủ, Văn phòng Chủ tịch nước, Bộ Nông nghiệp...Khách hàng muốn xem thực tế căn hộ phải hẹn trước để chủ nhà sắp xếp người mở cửa: 0907023278",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791784.5434847, 310m2, 31, 3, 3, Đông nam
"3,1 tỷ VNĐ","Lệ Mật, Việt Hưng",, 3,"- Vị trí đẹp, cách mặt phố Lệ Mật vài chục mét. - Khu vực dân cư đông đúc, Lệ Mật con đường nối từ KĐT Việt Hưng, Vinhome riverside, kinh doanh sầm uất, tiện ích xung quanh đầy đủ, gần Big C, TTTM Savico Long Biên, trường học, bệnh viện, đi bộ sang Ô Cách, Việt Hưng. - Rất gần Trường mầm non Việt Hưng, khu dân trí tốt, tiện ích thì khỏi bàn, Bệnh viện Đa Khoa Đức Giang, Quận ủy Long Biên, Trường học... bán kính chỉ có 300m + Tầng 1: PK, bếp, WC. + Tầng 2;3;4: Mỗi tầng 01 PN, WC. + Tầng 5: Phòng thờ, sân phơi. - Sổ đỏ vuông vắn, cất két giao dịch ngay. - Lh Mr Trác: 0965492571 ( xem nhà và tư vấn miễn phí) ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791788.2844768, 30m2, 4, 3, 3,
3 tỷ VNĐ,"Đường Ngọc Trục, Đại Mỗ, Nam Từ Liêm", 3, 5,"+ Vị trí đắc địa, hiếm nhà bán, diện tích    35 m2 x 5 tầng giá nhỉnh 3 tỷ.  + Khu dân trí cực cao xung quanh toàn toà nhà và CC cao cấp, giáp đường Lê Văn Lương, Hà Đông, Thanh Xuân. + Nhà lô góc thoáng sáng thiết kế công năng sử dụng rất hợp lý  + Sổ đỏ phân lô trước sau như 1, giao dịch ngay. + LH;Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791791.607642, 35m2, 4, 4,,
"7,35 tỷ VNĐ","Đường Láng Thượng, Láng Thượng, Đống Đa", 4, 5,"+ Chủ cần bán nhà Phố Đường Láng Quận Đống Đa diện tích 50 m2 x 5 tầng MT rộng giá 7,35 tỷ, cách nhà 10m ra Măt Phố ô tô tránh, kinh doanh sầm uât.  + Phù hợp kinh doanh tạp hoá, tiệm làm tóc móng, hàng ăn uống, văn phòng Công ty...  + Nhà chính chủ dân xây cực kỳ kiên cố chắc chắn, thiết kế 5 tầng, mỗi tầng 2 phòng, tổng 4 ngủ đầy đủ công năng.  + Sổ đỏ chính chủ vuông A4, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791797.8968194, 50m2, 4, 6,,
"16,5 tỷ VNĐ","Đường Nghĩa Đô, Nghĩa Đô, Cầu Giấy", 1, 4,"NÔ TẢ: VỈA HÈ RỘNG - KINH DOANH VÔ ĐỊCH - PHÙ HỢP MỌI LOẠI HÌNH - THÔNG SỐ LÝ TƯỞNG - KV HIẾM NHÀ BÁN - CHÀO LÀ BAY. 🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾 . SAU QUY HOẠCH NHÀ LÔ GÓC SIÊU ĐẸP TƯƠNG LAI TĂNG GIÁ RẠNG NGỜI. 🥇 Vị trí siêu đắc địa, quá đẹp, ngõ mà to hơn phố, 3 ô tô tránh - dừng đỗ ngày đêm, vỉa hè rộng, thông bàn cờ, giáp ranh Tây Hồ Tây kv phát triển mạnh nhất Thủ đô.  🥇 Nhà 4 tầng chắc chắn, thiết kế tầng 2 phòng, cầu thang wc giữa, công năng thoải mái. Lên tòa 8 tầng như hàng xóm kd đỉnh khỏi bàn, phù hợp mọi loại hình.  Hiện chủ đang cho thuê cả nhà giá hữu nghị 17 triệu một tháng.  📕 Sổ phân lô hoa hậu, chuẩn tờ A4, giao dịch ngay. LIÊN HỆ MR YÊN ĐỂ BIẾT THÊM THÔNG TIN,",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791799.1883612, 50m2, 5, 4, 4,
"6,5 tỷ VNĐ","Đường Hoàng Ngân, Nhân Chính, Thanh Xuân", 6, 5,"+ Chính chủ cần bán nhà Phố Hoàng Ngân 40 m2 x5 Tầng giá 6,5 Tỷ. + Vị trí ĐẸP, HIẾM, khu đất QUAN LỘC. - Cách mặt phố ô tô tránh, dừng đỗ ngày đêm 20m. Trước nhà xe 3 gác đỗ. Ngay sát mặt phố Láng Hạ. Khu vực tiện ích đủ thừa, giao thông thuận tiện. - Thuộc phường Nhân Chính, khu đất quan lộc, đắt giá vào bậc nhất quận Thanh Xuân. - Yên tĩnh, dân trí cao, lô góc 3 mặt thoáng. Mở được cả 2 cửa đi.  + Nhà xây chắc chắn, thiết kế hợp lý, Tầng 1: Khách, bếp. Tầng 2, 3, 4: Tổng 6PN, vs giữa.  Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ sẵn sàng giao dịch. + LH: Hoàng Bắc,",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791801.254834, 40m2, 5, 6, 5,
"16,8 tỷ VNĐ","ĐƯỜNG LÊ TRỌNG TẤN, PHƯỜNG KHƯƠNG MAI, QUẬN THANH XUÂN, HÀ NỘI", 7, 6,"NHÀ ĐẸP PHÂN LÔ THÔNG SỐ VÀNG. DT KHỦNG 102M2 - MT SIÊU ĐỈNH- MẶT NGÕ- NGÕ Ô TÔ TRÁNH, VÀO NHÀ- KINH DOANH SẦM UẤT: ĐÃ CÓ SẴN DÒNG TIỀN CHO THUÊ 50TR/ THÁNG- VỊ TRÍ TUYỆT ĐẸP PHỐ VIP LÊ TRỌNG TẤN TRUNG TÂM QUẬN THANH XUÂN.  + Mô tả: + Vị trí cực đẹp đoạn giữa phố Lê Trọng Tấn (nhà gần mặt phố). Ngõ 7m ô tô tránh. Diện tích khủng 102m2. Mặt tiền khủng luôn 6.5m. + Giá rẻ hiếm tìm 165 triệu/m2 Lê Trọng Tấn. + Nhà cực chất. Mặt trước tòa nhà được thiết kế với vẻ đẹp hiện đại bắt mắt. Trong nhà trang thiết bị chất lượng. + Toà nhà 6 tầng xây khung bê tông chắc chắn, còn mới đẹp. Chủ đang cho thuê cả nhà, tổng có 13 phòng. Dòng tiền hiện đang cho thuê 50tr/ tháng. + Khách mua có thể cho thuê tiếp hoặc lấy lại nhà luôn.  + Khu Phân lô Quân đội, hàng xóm toàn tướng tá. Tiện ích cao cấp đa dạng. An ninh dân trí khỏi bàn.  ++ Bố trí: + Tầng 1: Lễ tân, Để xe, 1 Phòng Kinh doanh và 1 Kho. + Tầng 2,3,4,5: Mỗi tầng 3 phòng khép kín (1 phòng đôi và 2 phòng đơn). + Tầng 6: có 1 phòng làm kho còn lại là sân phơi.  + Ưu điểm: Có sẵn ô chờ thang máy.  + Sau nhà có khe thoáng nên phòng nào cũng sáng thoáng.  + Sổ đỏ chính chủ vuông vắn, pháp lý chuẩn.  -         Giá tốt: 16.8 tỷ.  _ LH: 0901985688 Phan Ước (Zalo cùng số)  + Miễn Trung gian, Môi giới. ",03/04/2022,Tin thường,batdongsan_so_com_vn_1673791802.721909, 102m2, 6, 10, 10,
