price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Hướng
13 tỷ VNĐ,"Trường Chinh, Thanh Xuân, Hà Nội", 88m2,"Bán nhà phân lô Trường Chinh, quận Thanh Xuân 88m, 5m mặt tiền, nhỉnh 13 tỷ. Vị trí: Cách phố Trường Chinh vài bước chân, vị trí cực đẹp cực đắc địa, vài bước sang quận Đống Đa. Tiện ích: Gần phố, ngõ phố rộng rãi vừa ở vừa kinh doanh, vài bước sang đại học, bệnh viện Y Hà Nội, gần Phòng Không Không Quân, Big C Lê Trọng Tấn,…vv. Kinh doanh đa dạng. Giao thông: Đường Trường Chinh kêt nối Ngã tư Sở, Tôn Thất Tùng, Lê Trọng Tấn…vv. Pháp lý: sổ đỏ đẹp phân lô phù hợp tòa nhà 8 tầng sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831939.519972, 5, 6, 5,
26 tỷ VNĐ,Văn khê, 166m2,"Bán biệt thự khu đô thị mới Văn Khê, Hà Đông kinh doanh tốt. Diện tích 166m2, mặt tiền 10m, view nhìn toà chung cư, xây thô 4 tầng, có thiết kế sẵn chờ thang máy. Kinh doanh sầm uất, đắc địa. Giá bán trao đổiLiên hệ ☎️ 097.8080.326",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831940.5940993,,,,
15 tỷ VNĐ,Việt Hưng, 83m2,"Nhà dân tự xây 6 tầng 1 hầm, thang máy, móng ép cọc bê tông kiên cố, thiết kế tất cả các phòng thông sàn, cầu thang cuối rất phù hợp cho kính doanh, văn phòng, phòng khám và cho thuê.  Chủ trước đặt văn phòng tại nhà. + Tầng 1 : Gara để xe ô tô và xe máy. + Tầng 2 + 3 + 4 + 5 : Thông sàn + wc. + Tầng 6 : Phòng ăn + Bếp + sân vườn. +Vị trí hàng xóm Vinhomes riverside, ngõ 11 thông phố Việt Hưng, Đào Văn Tập, cạnh Vinhomes, Khu ĐT Việt Hưng, xung quanh toàn nhà hàng, văn phòng, kinh doanh sầm uất.  Ngõ thông vỉa hè ô tô tránh, kinh doanh đỉnh. + Khu vực Hot hiếm nhà đất bán, nhiều khách quan tâm và săn tìm. + Liên hệ/zalo Đức Ánh 0968669038 (Làm việc chính chủ)",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831941.8277977, 6,, 5,
"15,5 tỷ VNĐ",Hà Nội, 60m2," + Quá đẹp cho căn nhà lô góc phố Tôn Thất Tùng mặt ngõ phân lô ô tô tránh đỗ, thông tứ tung - SĐT: 0366 555 258. + Cách mặt phố vài bước chân, tiện ích vô vàn, bao vây bởi các trường đại học, cao đẳng chợ và hàng loạt TTTM lớn... + Nhà 60m2, thiết kế 6 tầng, cầu máy, nội thất đẹp.   - Tầng 1: Kinh doanh, gara ô tô & xe máy + bếp + WC.   - Tầng 2, 3, 4, 5: Nhiều phòng + WC.  - Tầng 6: Phòng thờ, sân phơi. + Sổ phân lô vuông đẹp.Giá: 15.5 tỷ thương lượng sâu.LH 0366 555 258 em Thanh.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831943.7000978,,,,
"16,5 tỷ VNĐ",Hà Nội, 63m2,"Siêu phẩm ô tô tránh phố Đặng Tiến Đông, Đống Đa - SĐT: 0366 555 258. Phố kinh doanh sầm uất bậc nhất Hà Nội, diện tích 63m, mặt tiền 6 m - Nằm trung tâm Hà Nội, thông các phố lớn như Thái Hà, Hoàng Cầu, Trần Quang Diệu, Tây Sơn, Giảng Võ... - Nhà thiết kế siêu hiện đại, 7 tầng, thang máy nhập khẩu, full nội thất cao cấp. - Sổ đỏ chính chủ, giao dịch ngay. Giá linh động. - Giá chào 16.5 tỷ thương lượng sâu.LH 0366 555 258 em Thanh.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831945.332729,,,,
17 tỷ VNĐ,Hà Nội, 62m2,"Bán gấp nhà phố Hoàng Ngọc Phách, phân lô ô tô tránh, kinh doanh đỉnh, Đống Đa - LH: 0856 968 656. + Diện tích 62m2, 6 tầng, mặt tiền 6m, thang máy xịn, kinh doanh đỉnh. + Vị trí phố Hoàng Ngọc Phách, con phố VIP quận Đống Đa, vô vàn tiện ích xung quanh. + Chủ nhà bác Lộc cán bộ viên chức nhà nước xây tâm huyết, kiên cố, nội thất toàn bộ nhập ngoại. + Tầng 1 hiện đang cho 1 đơn vị thuê kinh doanh.Thiết kế: + Tầng 1: Thông sàn + WC. + Tầng 2, 3, 4, 5: Các phòng + WC. + Tầng 6: Phòng thờ + Sân phơi.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Giá chào bán: 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.LH 24/7 em Bình xem nhà và tư vấn miễn phí - 0856 968 656.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831946.775222,,,,
"15,8 tỷ VNĐ",Hà Nội, 85m2,"Bán nhà lô góc vị trí đẹp, kinh doanh tốt, ô tô tránh phố Chùa Bộc, quận Đống Đa - LH: 0856 968 656. - Nhà 5 tầng, thiết kế đẹp tối ưu công năng. - Trang bị thang máy nhập khẩu và toàn bộ nội thất cao cấp. - Lô góc thoáng mát, diện tích 85m2. - Nhà 2 mặt ngõ ô tô tránh. - Đường đi lại giao thông thuận tiện gần trường học các cấp, chợ, TTTM, bệnh viện... - Giá chào bán chỉ 15.8 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ chính chủ 0856 968 656.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831948.0498111,,,,
"3,78 tỷ VNĐ",Văn Phú- Hà Đông, 36m2,"Văn Phú, Hà Đông, 2 thoáng, ô tô gần, dân xây, tặng nội thất, 36mx5 tầng Cần bán gấp nhà đẹp khu vực đáng sống bậc nhất Hà Đông - Văn Phú, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nhà như biệt thự, nội thất sang xịn đẹp nhất khu, với 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện, chuyển nhà rộng hơn bán đi rất tiếc. Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, nằm cạnh Khu đô thị Văn Phú xa hoa đẹp bậc nhất, tiện ích không thiếu thứ gì, nhà rất mới chỉ xách vali đến ở. Giao thông di chuyển thuận lợi: Quang Trung, Trần Đăng Ninh, Lý Thường Kiệt, Hà Cầu, Cầu Đơ.... Sổ đỏ vuông, pháp lý sạch. Giá: 3.78 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",11/02/2022,Tin thường,batdongsan_so_com_vn_1673831949.3513663, 5,,,
"3,81 tỷ VNĐ",Văn Phú- Hà Đông, 37m2,"Bán nhà Văn Phú, Hà Đông, ngõ thông thoáng, dân xây, nội thất xịn, 37mx5 tầng Người thân gửi bán nhà đẹp tự xây chắc chắn với 5 tầng rộng đầy đủ công năng sử dụng, nội thất gỗ Lim xịn xò, ban công đón nắng gió, ngõ thông , ô tô gần. Xung quanh đầy đủ tiện ích: Trường học, gần Quận ủy, siêu thị Metro, ngân hàng, chợ...khu văn minh, hiện đại, dân cư đông đúc. Giao thông di chuyển tuận lợi: Hà Cầu, Quang Trung, Văn La, Phú La, Lý thường Kiệt, Trần Đăng Ninh.... Chủ nhà dân kinh doanh rất có lộc của, lộc con, nay chuyển sang ở biệt thự rộng hơn, thiện chí bán cho khách thực sự yêu nhà. Sổ đỏ vuông, pháp lý sạch. Giá: 3.81 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",11/02/2022,Tin thường,batdongsan_so_com_vn_1673831950.66554, 5,,,
"4,5 tỷ VNĐ",Cầu Am- Hà Đông, 45m2,"Bán nhà dân xây, lô góc, ngõ thông, ô tô gần, Cầu Am, Hà Đông, 45mx5 tầng Cần bán gấp nhà trong tháng, nhà tự mua đất xây đẹp long linh với 5 tầng thoáng sáng, lô góc, ngõ thông tứ tung, tổng 6 phòng ngủ rộng, nội thất xịn toàn gỗ lim Lào, chủ nhà dân chuyển xây dựng, nhà còn mới, ở có vài năm, chỉ việc xách vali đến ở, chủ tặng toàn bộ nội thất. Xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, chợ, vài bước chân ra phố, hàng xóm văn minh, môi trường trong lành tĩnh. Giao thông di chuyển thuận lợi: Ngô Quyền, Chu Văn An, Yết Kiêu, Thanh Bình, Văn Quán, Nguyễn Trãi, Phùng Hưng, Quang Trung,... Chủ nhà con cháu đuề hòe, nhiều lộc nhiều của muốn chuyển nhà rộng hơn. Giá: 4.5 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",10/02/2022,Tin thường,batdongsan_so_com_vn_1673831951.7885385, 5,,,
