price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới
"8,1 tỷ VNĐ","Nguyễn Thái Học, phường Yết Kiêu, Hà Đông", 55m2, 10,"CẦN TIỀN GẤP. Bán nhà gần chợ Vồ, đường Nguyễn Thái Học Hà Đông. KINH DOANH & CHO THUÊ DÒNG TIỀN siêu đỉnh.- 10 tầng thang máy. 55m2 - Chỉ 8.1 tỷ.- KINH DOANH SIÊU ĐỈNH.- CHO THUÊ 50tr/ tháng- TRUNG TÂM HÀ ĐÔNG, tiện ích không thiếu bất cứ thứ gì.- Thiết kế:+ Tầng 1: Gara ô tô, vs + Tầng 2: PK + Bếp + vs+ Tầng 3, 4: Mỗi tầng 1 PN Master + vs VIP (bồn tắm + xông hơi).+ Tầng 5 - 8: Mỗi tầng 2 phòng + vs riêng từng phòng+ Tầng 9: 2PN + vs chung+ Tầng 10: P.Thờ + Vườn thượng uyển (có bếp phụ để tổ chức tiệc nhỏ). - Sổ đỏ chính chủ. Sẵn sàng trao tay. ***Liên hệ xem nhà miễn phí: Mr. Tuấn: 0978275753 - 0945149988",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830293.8476167,,,, 5,
6 tỷ VNĐ,105 Xuân La, 40m2,,"Vị trí đẹp, gần phố, gần chợ, nhà nằm trong khu phân lô quân đội thuộc tổng cục 2 an ninh, phân lô bàn cờ, oto tránh, vỉa hè. Nhà xây khung cột kiên cố chắc chắn, chủ tự xây ở tâm huyết. Vài phút ra các tuyến đường lớn: Lạc Long Quân, Hồ Tây, cạnh ngay Khu Ngoại Giao Đoàn, Xuân Đỉnh, Võ Chí Công, Nguyễn Văn Huyên, gần trường Đại Học Nội Vụ...Sổ đỏ chính chủ, pháp lý rõ ràng, chủ thiện chí bán. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830294.9573047,,,,,
"5,4 tỷ VNĐ",Thạch Bàn - Sài Đồng, 48m2,,"BÁN GẤP NHÀ THẠCH BÀN – SÀI ĐỒNG. 1 BƯỚC RA PHỐ - GẦN Ô TÔ – NHIỀU TIỆN ÍCH – DÂN TRÍ CAO + Diện tích 48 m2, 5 tầng. + Vị trí tuyệt đẹp, một bước ra mặt phố Thạch Bàn, đường vào nhà ô tô 4 chỗ vào nhà được. + Khu dân trí cao, an sinh tuyệt đỉnh, thừa hưởng mọi tiện ích như Aeon Mall, Chợ Thạch Bàn, Trường C1,2,3 Thạch Bàn, Vinhomes… + Nhà được xây khung cột bê tông kiên cố, thiết kế hiện đại với cầu thang giữa, tổng 6 phòng ngủ cực thoáng sáng. + Sổ đỏ chính chủ, pháp lý chuẩn chỉ, sẵn sàng giao dịch ngay. +Liên hệ: Em Quân ; 0987353408. Để được hỗ trợ miễn phí ạ. ",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830296.130168,,,,,
16 tỷ VNĐ,Hà Nội, 71m2,," + Nhà mới đẹp khu phân lô phố Láng Hạ trung tâm quận Đống Đa - SĐT: 0366 555 258. + Diện tích 71 m2, 5 tầng mới, đẹp thiết kế hiện đại, nội thất Pháp, thang máy cao cấp… + Khu dân trí cao, hàng xóm toàn quan chức, nhiều tiện ích. + Tầng 1: Phòng khách, bếp, gara ô tô, WC. + Tầng 2, 3, 4: Nhiều phòng, WC. + Tầng 5: Phòng thờ, sân phơi. + Nhà mới xây đầu năm 2020 ở hay cho thuê đều cực đẹp, đầy đủ công năng. + Nhà chủ tự xây tâm huyết, tỉ mỉ khung cột bê tông chắc chắn. + Giá bán chỉ 16 tỷ thương lượng mạnh. + Sổ đỏ chính chủ, pháp lý đầy đủ sẵn sàng giao dịch. + Quý khách liên hệ sớm để được tư vấn và xem nhà miễn phí: em Thanh - 0366 555 258.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830297.2401984,,,,,
22 triệu VNĐ/m2,"Bán đất vị trí đẹp Xã thọ xuân, Đan Phựơng, 22tr/m2; 0856315555", 68m2,,"Bán đất vị trí đẹp Xã thọ xuân, Đan Phựơng, 22tr/m2; 0856315555  - Diện tích: 67,8m2 - Đường to Ôtô vào tận cửa  - Gần chợ gần trường cấp c1, C2,  Gần bưu điện ngân hàng 
- Khu đông dân cư an ninh đảm bảo 
 -  Giá: 22 triệu /1 m2 - Liên hệ chính chủ: 0856315555        http://www.sanbatdongsanviet.com.vn",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830298.2494972,,,,,
14 tỷ VNĐ,Hà Nội, 48m2,," + Nhà phố Trần Hữu Tước, quận Đống Đa, ngõ rộng, vỉa hè ô tô tránh - SĐT: 0366 555 258. + Trung tâm quận Đống Đa sầm uất, tiện ích đầy đủ. + Diện tích sổ đỏ: 48m2 x 6 tầng thang máy. Kinh doanh đủ loại. + Nhà ở kết hợp kinh doanh hay cho thuê đều cực đẹp, dòng tiền cao. + Nhà chủ tự xây dựng rất tâm huyết khung cột bê tông chắc chắn. + Giá bán: 14 tỷ thương lượng mạnh. + Pháp lý đầy đủ, sổ đỏ chính chủ sẵn sàng giao dịch. + Quý khách liên hệ 24/7 để được tư vấn và xem nhà miễn phí: 0366 555 258.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830299.414381,,,,,
32 triệu VNĐ/m2,"Bán đất lô góc 2 mặt tiền xã Thọ An, Đan Phựơng, 32tr/m2; 0856315555", 73m2,,"Bán đất lô góc 2 mặt tiền xã Thọ An, Đan Phựơng, 32tr/m2; 0856315555  Diện tích:  73.4 m - Đường to 2 Ôtô chánh nhau thoải mái - Đường liên thông xã - Gần chợ gần trường cấp, C2, C3, Ngân hàng bưu điện  - Giá: 32 triệu /1 m2 - Liên hệ chính chủ: 0856315555       http://www.sanbatdongsanviet.com.vn",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830300.4805295,,,,,
70 tỷ VNĐ,Hồ Tây, 160m2,,"Chủ gom tiền đầu tư, cần nhượng lại mảnh đất mặt phố đường ven Hồ Tây. Thửa đất vị trí cực hiếm, đẹp nhất phố. Mặt tiền lớn, lô cạnh gọc.Diện tích: 155m2 , mặt tiền 6mGiá: 70 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)ĐẤT MẶT ĐƯỜNG HỒ TÂY - DIỆN TÍCH LỚN - MẶT TIỀN RỘNG - HỒ TÂYLiên hệ xem thực tế và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830301.670352,,,, 6, 15
17 tỷ VNĐ,Hà Nội, 60m2,,"Bán nhà lô góc có hai mặt tiền view vườn hoa sân chơi khu phân lô VIP phố Võ Văn Dũng, quận Đống Đa - LH: 0856 968 656.  - Diện tích xây dựng 60 m2, mặt tiền 5.8 m, vuông vắn, có vỉa hè rộng. - Trước nhà là sân chơi công viên vườn hoa mini, tập thể dục lúc bình minh và thể thao khi hoàng hôn. Rất thích hợp cho những gia đình có người già và trẻ nhỏ hít thở không khí trong lành, nâng cao sức khỏe, đánh tan mọi muộn phiền… - Ngõ to rộng 2 ô tô tránh nhau, rất sáng thoáng.Khu phân lô bàn cờ thông các tuyến phố Trần Quang Diệu, Thái Hà, Tây Sơn, Hoàng Cầu, Hào Nam... + Quy hoạch ổn định. + Khu thủ phủ tập trung các cơ quan, doanh nghiệp lớn, hội tụ các trường đại học danh giá bậc nhất của cả nước. + Kinh doanh đông vui nhộn nhịp cả ngày lẫn đêm, bất chấp mọi loại hình, cho thuê không cần quảng cáo.  + Khu dân trí cao văn minh lịch sự đáng sống nhất thủ đô Hà Nội. - Nhà gia chủ tự xây để ở nên rất chắc chắn khung cột bê tông kiên cố, móng ép cọc bê tông, thiết kế hài hoà, đẹp phong thủy. + Tầng 1: Là gara ô tô, kinh doanh được đa dạng ngành nghề mọi lĩnh vực mở cửa là có tiền, hoặc cho thuê nhẹ 40tr/th. + Tầng 2, 3, 4: Là các phòng và wc. + Tầng 5: Là phòng thờ sân phơi, tiểu cảnh. + Nhà có thang máy nhập khẩu. + Trang bị đầy đủ nội thất xịn. - Vị trí trung tâm đắc địa, rất thuận lợi giao thông, nơi hội tụ đầy đủ các tiện ích dân sinh. + Mua để ở hoặc giữ tiền rất tốt, tự kinh doanh thì thu nhập tháng không dưới 50tr/th. + Nay gia chủ cần tiền trang trải nên bán giá 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.LH miễn phí 24/7: 0856 968 656.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830302.681641,,,,,
620 triệu VNĐ,"Bán đất  Trung Châu A, Đan phựơng, 620tr; 0856315555", 40m2,,"Bán đất  Trung Châu A, Đan phựơng, 620tr; 0856315555  Diện tích: 40m2 - Đường to Ôtô vào tận cửa  - Gần chợ gần trường nhà văn hoá kề bên - Đi 800 m ra tỉnh lộ 417  - Giá bán: 620 triệu - Liên hệ chính chủ: 0856315555       http://www.sanbatdongsanviet.com.vn",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830303.5572987,,,,,
