price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet,Số tầng,Lộ giới
"6,6 tỷ VNĐ",Triều Khúc- Hà Đông, 62m2,"HÀNG HIẾM! CCMN NHỈNH 6 TỶ, 18pkk, 7 TẦNG THANG MÁY, FULL NỘI THẤT, MẶT NGÕ THÔNG, Vị trí: thuộc phố Triều Khúc trung tâm quận Thanh Xuân, mặt ngõ rộng thông thoáng, vài bước chợ, 1 phút ra trường Đại học lớn: Học viện An ninh, Kiến Trúc, Công nghệ Bưu chính Viễn thông, Nhạc họa trung ương. ... Diện tích: 62m2, nhà có 18 phòng khép kín đã cho thuê kín, 7 tầng thang máy hiện đại, doanh thu tối đa 55- 65 triệu/ tháng, dòng tiền ổn định. Khu đông dân cư, nhiều sinh viên các trường Đại học, dân văn phòng nhu cầu thuê nhà cá nhân và gia đình rất nhiều. Nội thất: Điều hòa, thang máy, bình nóng lạnh, giường, tủ, rèm, tủ bếp, cục phát wifi, camera, cửa các phòng đều thiết kế hiện đại, đèn điện trần thạch cao, thiết bị nhà vệ sinh cao cấp, điện nước đầy đủ. Có ban công phơi đồ. Pháp lý đầy đủ, sổ vuông vắn. Giá: 6.6 tỷ ( có thương lượng). Liên hệ: Em Huyền ( 0965472910)- Chuyên Chung cư mi ni khu vực: Mỗ Lao, Văn Quán, Tân Triều, Triều Khúc, Yên Xá, Thanh Xuân phân khúc từ 5 đến 100 tỷ. Trân trọng cảm ơn quý bạn đã đọc tin!",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828864.38346,,,,, 7,
"13,4 tỷ VNĐ",Văn Quán- Hà Đông, 111m2,"Tòa CCMN 111m2x8Tx26PKK gần hồ Văn Quán, Hà Đông. DT 1,2 tỷ/năm.  - Bán tòa chung cư diện tích 111m2, 8 tầng , 26 PKK đối diện hồ Văn Quán, Hà Đông. Doanh thu 1,2 tỷ/năm, thu nhập khủng mỗi tháng lên tới 95 tr/tháng, ngõ thông 2 mặt thoáng  - Đã lắp đặt toàn bộ hệ thống mạng cáp quang tốc độ cao, mạng truyền hình... Mỗi phòng có hệ thống điện, nước riêng biệt. - Thang máy nhập khẩu, cầu thang bộ có khe thoáng rộng. Thiết kế và xây dựng cẩn thận, tâm huyết, làm tỉ mỉ đến từng chi tiết. - Diện tích mỗi phòng khoảng 23m2 - 26m2 đều có 2 mặt thoáng nhiều ánh sáng tự nhiên, đầy đủ nội thất (giường tủ, điều hòa nóng lạnh, máy giặt, tủ lạnh... ) tổng 26 phòng khép kín cho thuê 3,5 - 4 triệu/ tháng.  -  Vị trí: Gần ngay trục đường chính Trần Phú. Thông ra các trục đường lớn Nguyễn, Tố Hứu, Quang Trung, Ao Sen, Nguyễn Văn Lộc,Nguyễn Khuyến, Chiến Thắng... Dân cư đông đúc, xung quanh nhiều trường học, văn phòng lớn  nhu cầu rất cao về thuê nhà trọ, đặc biệt là hộ gia đình nhỏ và sinh viên. -  Giá: 13,4 tỷ. Có thượng lượng với khách có thiện trí (Miễn trung gian môi giới). - Quý khách quan tâm vui lòng liên hệ: Mss Huyền ( 0965472910)- Chuyên Chung cư mi ni khu vực: Mỗ Lao, Văn Quán, Tân Triều, Triều Khúc, Yên Xá, Thanh Xuân phân khúc từ 5 đến 100 tỷ. - Trân trọng cảm ơn quý bạn đã đọc tin!",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828865.798676,,,,, 8,
"7,75 tỷ VNĐ",Tăng Bạt Hổ Hai Bà Trưng Hà Nội, 80m2,"+ Phố Cổ trung tâm hành chính, vị trí đẹp, gần ngay vườn hoa, diện tích rộng, mặt tiền đẹp mà chưa đến 100tr/m. + Khu vực cực hiếm nhà bán, số nhà bán chỉ đếm trên đầu ngón tay, xung quanh toàn cơ quan nhà nước, cực hiếm nhà riêng bán. + 2 bác đều là công chức nhà nước, vì 2 bác đã có tuổi việc đi lại khó khăn nên cần bán để chuyển lên chung cư cho tiện sinh hoạt.  + Diện tích 80m2, mặt tiền hơn 7 mét, thiết kế hợp lý tổng 4 phòng ngủ rộng rãi thoáng mát vô cùng. + Sổ riêng chính chủ, sang tên ngay. + Giá: 7.75 tỷ. + Quan tâm xin liên hệ: Minh Quang 0327085656 Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828867.1959355,, 7, 4,, 4,
"2,2 tỷ VNĐ",Long Biên Hà Nội, 33m2,"Bán đất Phúc Lợi ,đất vuông vắn,tiện ích xung quanh,gần ô tô, trường học, giá rẻ. +Vị trí tuyệt đẹp, Cách ô tô chưa đầy 50m.  + Thừa hưởng mọi tiện ích dân sinh như công viên, Trường C1,Lê Quý Đôn, cấp 2,3 Phúc Lợi hàng xóm Vinhomes..  + Thừa đất vuông vắn, phù hợp cho cả khách đầu tư cũng như xây ở, xây dựng nhà 5 tầng ở không hết. + Sổ đỏ chính chủ, pháp lý chuẩn chỉ, sẵn sàng giao dịch ngay. + Liên hệ: Anh Quân: 0987353408 để được tư vấn miễn phí.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828868.3299024,, 4,,,, 3
"8,5 tỷ VNĐ",Phố Cảm Hội Hai Bà Trưng Hà Nội, 72m2,"+ Phân Lô Víp của phố Cảm Hội quận Hai Bà Trưng, khu vực cực hiếm nhà bán, nhà bán chỉ đếm trên đầu ngón tay. + Khu vực dân sinh cực tốt, an ninh đảm bảo, chỉ vài bước thôi là ra tới mặt phố Lò Đúc. + Xung quanh tiện ích khỏi bàn, đi đâu cũng tiện, ở cực kỳ thích. + Nhà mình thiết kế rất hợp lý lại thoáng trước sau, có cả chỗ để xe rộng rãi. + Khu vực cực hiếm nhà bán, vì 2 bác đã có tuổi, việc đi lại khó khăn nên cần bán để chuyển lên chung cư cho tiện sinh hoạt. + DT 72m2 xây 4 tầng, mặt tiền 4m, thiết kế cơ bản mỗi tầng 2 phòng và vệ sinh. + Sổ đỏ đẹp, nở hậu. + Giá: 8.5 tỷ. + Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn. )",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828869.3641367,,,,,,
"6,9 tỷ VNĐ","Phố Mỗ Lao, Phường Mỗ Lao, Quận Hà Đông, HN", 50m2,"HIẾM! TRUNG TÂM MỖ LAO - PHÂN LÔ - Ô TÔ VÒNG QUANH - KINH DOANH SẦM UẤT + Chính chủ cần bán nhà tại KĐT Mỗ Lao, Hà Đông với diện tích 50m² nhà 4 tầng, mặt tiền 3.2m giá 6 tỷ 9. + Vị trí nhà nằm đối diện Big C Hà Đông, khu vực kinh doanh sầm uất, đường thông các ngả ra Trần Phú, Ngõ 108, Vũ Trọng Khánh, Nguyễn Văn Lộc ...  + Là khu đất vàng của quận Hà Đông, kinh doanh sầm uất và phát triển nhất quận.  + Tiện ích xung quanh gần rất nhiều trường đại học, trường cấp 1,2,3, cách chợ Mỗ Lao 100m, trước nhà là TTTM Big C, dân trí cao, sinh hoạt vô cùng thuận lợi.  + Nhà hoàn thiện rất đẹp, thiết kế lệch tầng với 4 phòng ngủ, đầy đủ công năng. + Sổ đổ vuông đẹp sắn sàng giao dịch. + Giá 6 tỷ 9 ( Có thương lượng) + Liên hệ xem nhà: 0902.083.139",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828870.4145646,, 3, 4, 4, 4,
"1,25 tỷ VNĐ",Thủy Xuân TIên - Chương Mỹ - Hà Nội, 80m2,"CẦN BÁN LÔ ĐẤT CỰC ĐẸP TẠI khu phân lô sĩ quan đặc công CK2 Thủy Xuân Tiên khu vực trung tâm cách QL21 vài chục met+ Diện tích 80m full thổ cư+ Mặt tiền 5m+ Hậu 5m + sâu 16m + Đường rộng 6m thông tứ phía Lô đất cực đẹp thích hợp khách mua đầu tư giữ tiền hoặc mua xây ở, tương lai cực kỳ phát triển, Khu vực dân trí cao, an ninh đảm bảo, gần nhiều tiện íchGiao thông thuận tiện thông các ngả.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Giá bán 1,25 tỷ Quý khách quan tâm liên hệ Đỗ Vĩnh 0984845398 chuyên gia môi giới đất thổ cư Hà Nội.    Tư vấn miễn phí.    Hỗ trợ pháp lý.    Hỗ trợ đàm phán giá.    Hỗ trợ tài chính vay vốn ngân hàng.Xin cảm ơn!",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828871.5764573,, 5,,,, 16
"1,25 tỷ VNĐ",khu phân lô sĩ quan đặc công CK2 Thủy Xuân Tiên, 80m2,"CẦN BÁN LÔ ĐẤT CỰC ĐẸP TẠI khu phân lô sĩ quan đặc công CK2 Thủy Xuân Tiên khu vực trung tâm cách QL21 vài chục met+ Diện tích 80m full thổ cư+ Mặt tiền 5m+ Hậu 5m + sâu 16m + Đường rộng 6m thông tứ phía Lô đất cực đẹp thích hợp khách mua đầu tư giữ tiền hoặc mua xây ở, tương lai cực kỳ phát triển, Khu vực dân trí cao, an ninh đảm bảo, gần nhiều tiện íchGiao thông thuận tiện thông các ngả.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Giá bán 1,25 tỷ Quý khách quan tâm liên hệ Đỗ Vĩnh 0984845398 chuyên gia môi giới đất thổ cư Hà Nội.    Tư vấn miễn phí.    Hỗ trợ pháp lý.    Hỗ trợ đàm phán giá.    Hỗ trợ tài chính vay vốn ngân hàng.Xin cảm ơn!",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828872.6356235,, 5,,,, 16
15 tỷ VNĐ,Hà Nội, 71m2,"Bán nhà phố Liễu Giai quận Ba Đình - LH: 0856 968 656.Nhà phân lô khu văn phòng chính phủ cực VIP cực hiếm nhà bán.Diện tích 71m2, 6 tầng, mặt tiền 5m, đường nhựa 8m.Chủ tự xây rất tâm huyết, thiết kế nội thất đẹp, về ở luôn.Khu dân trí cực cao, tiện kinh doanh, làm văn phòng đại diện…Nhiều tiện ích, gần chợ, nương tựa trịnh văn quyết trường học, bệnh viện, công viên, vườn hoa...Sổ đỏ chính chủ.Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7: 0856 968 656.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828873.5761087,,,,,,
"3,8 tỷ VNĐ",Xã Yên Bài huyện Ba Vì thành phố Hà Nội, 807m2,Cần bán lô đất chính chủ diện tích 807 mét vuông cách thủ đô Hà Nội 37kmCách làng dân tộc Việt Nam 5km cách ủy ban nhân dân xã Yên Bài 2kmXung quanh là khu nghỉ dưỡng vị trí lưng tựa núi view cánh đồng đẹp Địa chỉ xã Yên Bài Ba Vì Hà Nội sdt (08) 7984 3666,30/03/2022,Tin thường,batdongsan_so_com_vn_1673828874.8516946,,,,,,
