price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"12,2 tỷ VNĐ",135 Trường Chinh, 34m2,"MẶT ĐƯỜNG TRƯỜNG CHINH – ĐỐNG ĐA, 5 TẦNG MẶT TIỀN 8M, 2 MẶT PHỐ - VỈA HÈ, 12.2 TỶ+ Vị trí vip, 2 mặt phố, vỉa hè rộng, kinh doanh vô địch… + Khu vực trung tâm 3 quận: Đống Đa – Thanh Xuân – Hai Bà Trưng, thuận tiện di chuyển đường Giải Phóng, Nguyễn Trãi, đường Láng, Lê Trọng Tấn, đại học Y …. - Diện tích tầng 1 – 34m2. Từ tầng 2 đua ra 2 phía rỗng rãi. Chủ đang cho người quen thuê để kinh doanh với giá ưu đãi 35tr/tháng. Khách mua chủ lấy lại nhà hoặc khách tiếp tục cho thuê tuỳ ý.  - Sổ đỏ chính chủ, sẵn sàng giao dịch + Liên hệ: K.S Phương – 0918120568 để được tư vấn về ngôi nhà và gặp chủ đàm phán trực tiếp",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803424.835901, 5, 8, 4, 4,
"4,2 tỷ VNĐ",Đường Tây Sơn phường Quang Trung, 50m2,"+ phân lô, ô tô quân đội đẹp nhất phố Tây Sơn, vô cùng thoáng mát, dân trí cao, an ninh tốt.Nhà thiết kế bê tông cốt thép vô cùng chắc chắn, ở ngay.- Tầng 1: Phòng khách, bếp, vệ sinh.- Tầng 2,3,4: Mỗi tầng 1 phòng vệ sinh khép kín.- Tầng 5: Phòng thờ, sân phơi.+ Sổ đỏ phân lô nở hậu siêu đẹp+ Sổ đỏ, chính chủ, sang tên nhanh.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803426.542335, 4, 5, 3, 4, 15
12 tỷ VNĐ,Lê Hồng Phong- Hà Đông, 58m2,"Bán nhà mặt phố Lê Hồng Phong, Hà Đông, kinh doanh 58mx 5T hơn 12 tỷ Bán nhà mặt phố kinh đô thời trang Lê Hồng Phong, Hà Đông, diện tích lớn 58m với 5 tầng đẹp có ô chờ thang máy, vỉa hè rộng trung tâm gần sân bóng và trường học. Vị trí đắc địa gần các toà chung cư, dân cư, trường học. Phù hợp tất cả loại hình kinh doanh: thời trang, spa, siêu thị, phòng khám, quán ăn, café, hoa quả, hiệu thuốc, điện tử điện lạnh, văn phòng phẩm,… Giao thông thuận lợi trục chính đi các phố Tô qua qua Bà Triệu cắt Lê Lợi sang Nhuệ Giang ra Trưng Nhị vào Hoàng Hoa Thám vài bước ra Quang Trung. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 12 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803427.8598907, 5,,,,
12 tỷ VNĐ,Trưng Nhị- Hà Đông, 58m2,"Bán nhà mặt phố Trưng Nhị, Hà Đông 58mx5T kinh doanh hơn 12 tỷ Bán nhà mặt phố vip Trưng Nhị, Hà Đông, ô chờ thang máy diện tích rộng 58m thiết kế 5 tầng hiện đại, thông các tuyến phố sầm uất bao quanh chợ lớn Hà Đông Lê Lợi ra Hoàng Hoa Thám cắt ngang Nguyễn Trãi sang Tô Hiệu qua Bà Triệu. Phù hợp kinh doanh các loại hình: Thời trang, siêu thị, café, quán ăn, điện tử điện lạnh, hiệu thuốc, văn phòng phẩm, hoa quả, phòng khám, spa, tóc, … Sổ vuông đẹp sẵn sàng giao dịch. Giá: 12 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803430.8830125, 5,,,,
"3,35 tỷ VNĐ",La Khê- Hà Đông, 40m2,"Bán nhà La Khê, Hà Đông 40mx4 tầng, 2 mặt thoáng ở ngay hơn 3 tỷ - Vị trí: Nhà phố La Khê gần chợ Bông Đỏ, diện tích 40m thiết kế 4 tầng hiện đại ,2 mặt thoáng vĩnh viễn các phòng ngập tràn ánh sáng, chỉ việc đến ở. - Giao thông vô cùng thuận lợi thông các phố Quang Trung sang Lê Trọng Tấn qua Ngô Thì Nhậm sang Hoàng Đôn Hoà hàng xóm Ngô Quyền. - Tiện ích: Gần siêu thị Metro, Quận uỷ và nhà thi đấu, ngân hàng, trường học, bệnh viện,…. Nằm trong khu dân cư toàn cán bộ rất văn minh, an ninh tuyệt đối. - Sổ đỏ vuông, sẵn sàng giao dịch. - Giá chỉ có 3.35 tỷ ( có gia lộc). - Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803432.3745956, 4,,,,
"3,35 tỷ VNĐ",Hà Trì- Hà Đông, 40m2,"Bán nhà Hà Cầu, Hà Đông 40mx4T ngõ nông 2 mặt thoáng hơn 3 tỷ + Bán nhà riêng Hà Trì, Hà Đông, diện tích 40m với 4 tầng mới hiện đại, nhà 2 mặt thoáng vĩnh viễn, dân xây chắc chắn chỉ việc đến ở. + Nhà bán thông các phố Đa Sỹ sang Lê Lợi cắt Bà Triệu gần Tô Hiệu sang Lê Hồng Phong hàng xóm Đa Sỹ gần bệnh viện lớn Quân y 103, viện Bỏng Quốc Gia. + Tiện ích nhiều trường học các cấp, chợ, ngân hàng, siêu thị khu vực trung tâm bậc nhất Quận. + Sổ đỏ vuông sẵn sàng giao dịch. + Giá chỉ 3.35 tỷ ( có gia lộc). -Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803433.799415, 4,,,,
11 tỷ VNĐ,"Trâu Quỳ, Gia Lâm, hà Nội", 42m2,"Cần Bán Nhanh 42m2 Đất Mặt Phố Thành Trung, Tt Trâu QUỳ, Gia Lâm Kinh Doanh Sầm Uất  DT: 42m2. MT: 4m Hậu 4m Đường trước đất 30m. Vẻ hè rộng, kinh doanh tốt nhất. Mặt phố đông đúc, giao thông tấp nập.  Đường trung tâm kinh tế của Gia Lâm. Đất có sẵn sổ đỏ, sẵn sàng giao dịch Gần ngay Học viện nông nghiệp, gần Khu đô thị 31ha. Gần Uỷ Ban…  Hotlinie: 0399 643 640 gặp Công để xem đất #congbdsgialam #trâu_quỳ #gialam",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803435.1488671,, 4,,,
"1,3 tỷ VNĐ",Đường Quốc lộ 3 phường Nguyên Khê, 56m2,"RẺ NHẤT NGUYÊN KHÊ - ĐÔNG ANH  - Diện tích: 56.5m - Mặt tiền: 4.2m - Dài: 13.3m - Đường gần 3m ô tô vào đến đất.  - Cách đường QL3 200m, cách đường Võ Nguyên Giáp 1,5km. - Cách chợ Lắp Ghép 700m, cách bệnh viện Bắc Thăng Long 1km. - Cam kết đất không tranh chấp, không vướng quy hoạch, sổ đỏ sẵn sàng giao dịch.  LH Mr Huy: 0979.696.848",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803436.7675376,, 4,,,
63 tỷ VNĐ,Nguyễn Khắc Nhu Ba Đình Hà Nội, 172m2," - Diện tích đất 172m2, Mt 7.5m Giá bán 63 tỷ ( có thương lượng ) - mảnh đất nằm ở vị trí cực đẹp, khu vực kinh doanh sầm uất. - Giao thông thuận tiện di chuyển các tuyến phố lân cận như phố Hàng Than, Hàng Bún, Phạm Hồng Thái, Nguyễn Trường Tộ, Quán Thánh, Yên Ninh, Cửa Bắc, Nguyễn Thi Phương, Phố Cổ, Hồ Tây, Hồ Gươm - Nhà lâu năm chủ xác định bán đất.Khách mua về phù hợp xây toà building, căn hộ apartment, nhà hàng, coffee! - Sổ đỏ đẹp, sẵn sàng giao dịch.  - ACE Có nhu cầu liên hệ với em để được tư vấn! ",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803438.5816832,, 7,,,
"5,1 tỷ VNĐ",Đường Lạc Long Quân phường Bưởi, 35m2,"CỰC HIẾM NHÀ ĐẸP TÂY HỒ - DT35M2X5TẦNG - Ô TÔ - NGÕ THÔNG - KINH DOANH - NHỈNH 5TỶ 0976106636 Vị trí đắc địa, nhà cách mặt phố 20m, ngõ thông Võng Thị, Thụy Khuê, ô tô dừng đỗ ngày đêm. Gần trường học các cấp, an sinh cực đỉnh. Khu vực giao thông thuận tiện, chủ nhà quan chức, gia đình con cái thành đạt, cực kỳ có lộc, chủ để lại toàn bộ nội thất. Thiết kế 5 tầng hiện đại. Tầng 1: Khách + Bếp + Để xe. Tầng 2,3,4: Mỗi tầng 1 phòng. Tầng 5: Sân phơi. Pháp lý: Sổ đỏ chính chủ, giao dịch ngay. Giá chào: Nhỉnh 5 tỷ. Liên hệ: Mr Vượng thổ cư Tây Hồ để được tư vấn và xem nhà miễn phí. 0976106636",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803440.0467632, 5, 3, 3, 3, 3
