price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet,Mặt tiền,Lộ giới
,LONG BIÊN, 84m2,,,"+Bán nhà phố Bát Khối DT84m2 x 3T, Ô tô vào nhà, giá nhỉnh 6 tỷ. +  Vị trí: Cách cầu Trần Hưng Đạo 500m, cách cầu Vĩnh Tuy 300m, cách TTTM Aeon 500m. Gần ủy ban nhân Phường Long Biên và Trường PTTH cơ sở Long Biên. + Nhà xây 3 tầng rất chắc chắn, thoáng trước sau, đường trước nhà ô tô tránh. Khách đồng ý mua chủ sẽ tách sổ theo đúng thông số như trên. - Tầng 1: Phòng khách + bếp ,có thể thiết kế 1 P ngủ. - Tầng 2: 2 phòng ngủ + WC - Tầng 3: phòng ngủ + WC - Sổ đỏ chính chủ, pháp lý chuẩn ss giao dich. - Liên hệ: Anh Quân: 0987353408 để được tư vấn miễn phí.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829377.775851,,,,
"4,95 tỷ VNĐ","Lạc Long Quân, Tây Hồ", 33m2, 5, 6,"NHÀ ĐẸP TÂY HỒ - 5 TẦNG, 6 NGỦ - ĐẦY ĐỦ CÔNG NĂNG – 4.950 tỷ Nhà tự xây nên rất chắc chắn , thiết kê 5 tầng, mỗi tầng 2 phòng hợp lý. Khu vực gần trường, chợ , trung tâm thương mại … tiện ích đầy đủ không thiếu gì . Sổ đỏ chính chủ, đẹp Liên hệ  Em Hằng ☎️ 0989918103 ",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829378.6066315,, 4,,
,SÀI ĐÔNG LONG BIÊN, 55m2, 5, 5,"Bán nhà phố Sài Đồng, ngõ ô tô vào nhà DT55m2 x 5tầng, giá hơn 6 tỷ. + Vị trí nhà rất đẹp, đường trước nhà 5m ô tô vào nhà thoải mái. + Cách mặt phố Sài Đồng khoảng 200m, tiện ích bạt ngàn xung quanh. + Nhà chủ tự xây 5 tầng rất đẹp, nội thất xịn xò, chủ tặng lại cho khách thiện chí. Tầng 1: Gara ô tô, bếp và phòng ăn. Tầng 2: Phòng khách rộng và 01 phòng ngủ. Tầng 3,4: Mỗi tầng chia 2 phòng. Tầng 5: Sân phơi và sân trồng cây cảnh. + Sổ đỏ chính chủ, siêu đẹp,  chủ đang nhờ Ngân hàng giữ hộ. + Liên hệ: Quân: 0987353408 để xem nhà miễn phí.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829379.8612714,, 5, 4, 5
19 tỷ VNĐ,Hà Nội, 61m2,,,"Bán nhà đường Nguyên Hồng ô tô tránh, thang máy - SĐT: 0366 555 258. - Vị trí đắc địa, tiện ích vô vàn, giao thông thuận tiên thông các phố Láng hạ, Thái Hà, Hoàng Cầu, Thành Công, Huỳnh Thúc Kháng, nga ukraine, Hoàng Ngọc Phách… - Thiết kế đẹp, xây dựng tâm huyết, nội thất nhập khẩu, tặng hết cho khách. - Diện tích 61m2, 7 tầng, mặt tiền 5m. + Tầng 1: Bếp, phòng ăn, WC, gara ô tô. + Tầng 2, 3, 4, 5, 6: Nhiều phòng, WC. + Tầng 7: Phòng thờ, sân phơi. + Thang máy xịn. - Sổ đỏ chính chủ, vuông đẹp, không lỗi phong thủy. - Giá chào 19 tỷ thương lượng mạnh. - Miễn phí dịch vụ 100% cho khách hàng. - Hỗ trợ hết mình các thủ tục liên quan: Công chứng, sang tên và vay vốn ngân hàng. - Liên hệ ngay Nguyễn Thanh để được tư vấn 24/7 và xem chi tiết - SĐT: 0366 555 258.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829380.7808118,,,,
"1,45 tỷ VNĐ","Xuân Thủy, Thủy Xuân Tiên, Chương Mỹ, HN", 108m2,,,"
    em cần bán mảnh đất tại Xuân Thủy Thủy Xuân Tiên Chương Mỹ Hà Nội
diện tích 108m full thổ cư . mặt tiền 4m . hậu 4m .
cách trục chính Xuân Thủy 50m
Cách QL21a 200m
gần chợ Bê Tông . xung quanh dân cư văn minh thân thiện
giá đầu tư chỉ 1.450tr
LH : Em Vĩnh 0984845398 zalo
",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829381.9786077,,, 4, 27
"7,4 tỷ VNĐ",Đường Trương Định- Hai Bà Trưng- Hà Nội, 62m2, 5, 6,"*Nhà mới, ngõ thông các ngả, kinh doanh đỉnh, nội thất nhập khẩu. +Thiết kế: 5 tầng, 6 ngủ, phòng thờ, sân phơi, ô tô vào nhà. +Diện tích: 62m2, mặt tiền 4.3 +Giá thương lượng 7.4 tỷ. +Sổ đỏ đẹp, pháp lý sạch. *Liên hệ em Bình để được tư vấn, xem nhà hoàn toàn miễn phí. 0345752279 *Không tiếp môi giới.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829383.036778,, 6, 4, 5
"1,45 tỷ VNĐ","Xuân Thủy, Thủy Xuân Tiên, Chương Mỹ, HN", 108m2,,,"
    em cần bán mảnh đất tại Xuân Thủy Thủy Xuân Tiên Chương Mỹ Hà Nội
diện tích 108m full thổ cư . mặt tiền 4m . hậu 4m .
cách trục chính Xuân Thủy 50m
Cách QL21a 200m
gần chợ Bê Tông . xung quanh dân cư văn minh thân thiện
giá đầu tư chỉ 1.450tr
LH : Em Vĩnh 0984845398 zalo
",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829384.2495327,,, 4, 27
18 tỷ VNĐ,Hà Nội, 68m2,,,"Bán nhà ngõ Thái Hà - SĐT: 0366 555 258.Ngõ đẹp nhất phố Thái Hà, ô tô tải đỗ cửa, tiếp giáp các phố Thái Thịnh, Láng Hạ, Tây Sơn, nga ukraine, Yên Lãng, Chùa Bộc…Diện tích 68 m2, nhà đẹp 7 tầng, mặt tiền 6m, nội thất Italya, thang máy cao cấp.Thiết hiện đại, lô góc, đường trước nhà ô tô tránh, phòng nào cũng ngập tràn ánh sáng tự nhiên.Khu vực đất lành, vượng khí, dân trí cao, an ninh tốt.Kinh doanh buôn bán tấp nập, phù hợp vừa ở vừa kinh doanh hoặc cho thuê.Chủ nhà cần tiền bán gấp giá chào chỉ 18 tỷ thương lượng chính chủ, giá chốt linh động.Sổ đỏ đẹp sẵn sàng giao dịch.Liên hệ 24/7 Mrs Thanh chuyên nhà đẹp - SĐT: 0366 555 258.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829385.3116906,,,,
"3,65 tỷ VNĐ","734 Kim Giang, Thanh Liệt", 40m2,,,"Bán nhà Kim Giang, vị trí đẹp, chủ tự xây, để lại toàn bộ nội thất, gần phố vừa tầm tiền. Diện tích 40m2 x 5 tầng, giá 3.65 có thương lượng.  Mô tả: + Thanh Liệt Kim Giang gần KĐT Linh Đàm và KĐT Bitexco công viên Chu Văn An giá đất tăng mạnh. Nhá ngõ nông rộng đẹp khách xem ưng. + Nhà đẹp chủ tư xây, mới xây đượ 2 năm.  Thiết kế đẹp khách chi mang đồ về ở và hưởng thụ. + Chủ thừa nhà nên bán, đầu tư lĩnh vực khác.  +  T1 để làm kho và khách, Tầng lửng bếp, + T2,3,4 1 ngủ khép kín rộng, + T5 phòng thờ sân phơi.  + Sổ đẹp nở hậu sang tên ngay. Giá 3.65 tỷ có thương lượng.  LH: 0367819123 để làm việc trực tiếp với chủ nhà  ( miễn MG)",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829386.507492,,,,
"6,38 tỷ VNĐ","Ngõ Phố Kim Mã Thượng, Ba Đình, Hà Nội", 48m2, 5, 5,"✅  Bán nhà thiết kế cực đẹp, công năng tiện nghi, thoáng mát. Sân để xe trước nhà siêu rộng 25m2. Vị trí dân trí cao, an ninh rất tốt, tiện nghi đi lại và sinh hoạt. Khu đất được mệnh danh là đất Tài Lộc để gia chủ An Cư. Diện tích 48m2 x 5 tầng. --------------------------------------------------------- ✔️  Thiết kế, công năng: Kiến trúc Tân cổ điển.  - Diện tích 48m2, 5 tầng mới rất đẹp, 5 phòng ngủ. - Tầng 1: Phòng khách VIP + Phòng bếp và ăn. - Tầng 2, 3: 2 Phòng ngủ + Vệ sinh. - Tầng 4: Phòng làm việc, Phòng ngủ + Vệ sinh. - Tầng 5: Phòng thờ.Tiểu cảnh ngoài trời, kho, sân phơi. ✔️  Vị trí: - Nhà ở vị trí dân trí cao, an ninh cực tốt, khu vực có nhiều người nước ngoài sinh sống. Nằm trên đất Tài Lộc Kim Mã Thượng. - Nhà gần các khu trung tâm thương mại, trường học THCS, THPT. Cơ quan Quận Ba Đình. Ngần bệnh viện Quân Y, ngân hàng. - Một vị trí đáng an cư lập nghiệm cho sự thịnh vượng của gia đình. ✔️  Nội thất: - Được làm tỉ mỉ với chủ đạo là gỗ: Các cửa, cầu thang, tủ bếp. Sàn gỗ Malaysia chống trơn trượt nên rất sang trọng và đẳng cấp. - Thiết bị điện cao cấp, dây Trần Phú đi GEN cẩn thận.Đèn LED. Thiết bị vệ sinh TOTO nhập khẩu, vách tắm đứng. ✔️  Cam kết sổ đỏ chính chủ, Giấy phép xây dựng. ✔️  Giá chỉ: 6.38 tỷ (có thương lượng, bao sang tên). ✔️  Liên hệ xem nhà trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG, MG)",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829387.6924107,, 4, 4, 3
