price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Lộ giới,Hướng
,"VĨNH LỘC, CỔ ĐÔNG , SƠN TÂY, HÀ NỘI", 60m2, 5,,,"Bán đất cách QL 21 100m, ở Cổ Đông giá chỉ từ 9,5 Triệu/m2 -Diện tích đa dạng: 60 - 500m2 -Cách QL 21 100m, 7' di chuyển đến CNC, ĐHQG, ĐH FPT... -Đối diện sân Golf BRG Đồng Mô, gần Biệt Thự Phan Thị, gần trường sĩ quan Lục Quân.. -Xung quanh dân cư đông đúc, tiện ích nghỉ dưỡng -Trung tâm của 3 khu đô thị Vệ Tinh Xuân Mai-Hòa Lạc-Sơn Tây Liên hệ ngay 0978862329",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821992.4558845,, 5,
"5,75 tỷ VNĐ","phố Chiến Thắng, Văn Quán", 35m2,, 5, 3,"Mô tả:+ Cần bán gấp nhà Chiến Thắng-phường Văn Quán 35m2*5tầng chỉ 5,xtỷ + nhà có Ô tô tránh, ô tô dừng đỗ thoải mái, CỰC HIẾM, với tầm tiền này+ kinh doanh đỉnh, cho thuê, văn phòng,làm gì cũng có dòng tiền khủng+ gần chợ chiến thắng, KĐT Văn Quán, Yên Phúc, Yên Xá…+ tiện ích công năng sử dụng đầy đủ,3 phòng ngủ, 4 wc…+ sổ đỏ đẹp chính chủ sẵn sàng giao dịch + giá tham khảo 5,75tỷ(có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821993.6018178, 4,,
"2,3 tỷ VNĐ",tòa S205 vinhomes ocean Park, 69m2,,,,"Tôi chính chủ cần bán căn hộ ở khu đô thị Vinhomes ocean Park tầng trung,,tầm view rộng,tiện ích đầy đủ,sạch sẽ.Hướng Đông bắc ,Tây Nam, Đông nam -Căn hộ nằm ở vị trí đẹp.lô góc,có 2PN,phòng khách,nhà vệ sinh riêng biệt,có ban công thông thoáng để nhìn vị trí đẹp. -có đầy đủ nội thất (rèm,điều hòa,tủ bếp,giường,tủ,sofa,tủ lạnh) - Có Sổ đỏ đẹp -Giá từ 2 tỷ 300 triệu,(Bao phí)",16/05/2022,Tin thường,batdongsan_so_com_vn_1673821994.7557712,,,
"4,95 tỷ VNĐ",Đường Tôn Thất Tùng phường Khương Thượng, 40m2, 4, 4, 4,"
    - Ngõ trước nhà thông sang Trường Chinh vị trí kinh doanh tốt khu vực đông người qua lại.- Xung quanh tiện ích tràn ngập gần trường học, gần chợ , Gần Chùa Bộc Phạm Ngọc Thạch..- Nhà mới thiết kế hiện đại chắc chắn khách mua chỉ sách vali về ở,- Tầng 1 Kinh doanh.- Tầng 2,3 : Mỗi tầng 1 phòng + Wc.- Tầng 4 : Bếp + Sân Phơi.- SỔ đỏ chính chủ giao dịch ngay.",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821995.9934595, 1, 1,
"5,1 tỷ VNĐ","Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 148m2,,, 4,"
    Siêu Phẩm 4N Giá Chỉ 35tr/m2 Giá Đang Tốt Nhất Khu Vực Tây Hồ.
Nhân viên tư: 0977568223
- Địa chỉ: Tòa Udic Westlake đường Võ Chí Công, phường Phú Thượng, Tây Hồ, Hà Nội
- Diện tích: 148m2 thông thủy, 4 phòng ngủ, 2 vệ sinh, 1 phòng khách, 1 bếp, 2 ban công
- Cửa Đông nam, Ban công hướng Tây bắc
- Tầng 4, view nội khu
- Tiện ích: Đối diện Lotte Mall, 00m, nằm trên mặt đường Võ Chí Công, cách bệnh viện Tim 500m. Siêu thị Winmat, trường mầm non, bể bơi 4 mùa trong nhà
- Sổ hồng vĩnh viễn
- Bàn giao gồm: Nóng lạnh, Điều hòa, Tủ bếp, Sàn Gỗ, Trần thạch cao, Hút mùi, Thiết bị vệ sinh, Thiết bị điện
- Giá bán: 5 tỷ 1 triệu
Lh em Vân Anh: 0977568223
",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821997.0153596, 2,, Đông nam
"8,65 tỷ VNĐ","đường Văn Khê, phường La Khê", 50m2, 5, 5, 4,"Mô tả:+ Cần bán gấp nhà Dọc Bún- phường La Khê 50m2*5tầng mt5m- nhà đẹp tuyệt vời,ở sướng. + trước nhà đường rộng 8m, vỉa hè 2 bên, + ô tô tránh,ô tô dừng đỗ thoải mái, ô tô vào nhà+ Kinh doanh đỉnh, đang kinh doanh với dòng tiền khủng + tiện ích xung quanh ngập tràn, ngay cạnh nhà là chợ, trường học Văn Khê,Trường Vạn Bảo Vạn Phúc, KĐT Văn Khê,KĐT Dương Nội…+ các chung cư xung quanh nên người qua lại tấp nập, nhộn nhịp + chủ thiện chí muốn bán nhanh để chuyển đổi, Đất vượng khí tài,làm ăn có Lộc….+ sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch + giá tham khảo 8,65tỷ(có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821998.2171438, 4,,
"3,95 tỷ VNĐ",108 Trần Phú - Hà Đông, 32m2, 3, 5, 3,"BÁN NHÀ NGÕ 108 TRẦN PHÚ – HÀ ĐÔNG, Ô TÔ, 5 TẦNG 32M2 - 3.95 TỶ - Nhà 5 tầng 3 ngủ đẹp, về ở luôn , Ô tô nhỏ đõ cửa, ô tô tải tránh cách 10m. - Khu vực đô thị đáng sống, văn minh, hạ tầng hoàn thiện. Ngõ thông Trần Phú, Vũ Trọng Khánh, Thanh Bình, Tố Hữu Liền kề khu đô thị Mỗ Lao, Văn Quán. Gần kề các trường Kiến Trúc, Bưu Chính viễn thong, Học Viện An ninh … - Sổ đỏ vuông, chính chủ. Thương lượng trực tiếp. - Liên hệ: KS. Phương - 0918120568",02/06/2022,Tin thường,batdongsan_so_com_vn_1673821999.3261762, 4,,
5 tỷ VNĐ,"Phường Khương Thượng, Đống đa.", 56m2, 4, 4, 4,"+ Chính chủ cần bán nhà đường Trường Chinh, Đống Đa, nhà được thiết kế cực thoáng, vài bước ra đường Trường chinh diện tích 56 m2, mặt tiền 4m, nhà 4 tầng. + Nhà Trung tâm quận Đống Đa, Ngõ nông, ba gác tránh xe máy, tiện lợi ra đường Trường Chinh, ra phố Tôn Thất Tùng, đi đâu cũng tiện. + Gần chợ, siêu thị tiện ích, bệnh viện, khu vui chơi, giải trí, thuận lợi kinh doanh online, xây thêm tầng cho thuê, cách trường học các cấp chỉ vài phút đi bộ không phải sang đường. + Sổ đỏ đẹp, sẵn sàng giao dịch  + Giá thoả thuận + Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.",02/06/2022,Tin thường,batdongsan_so_com_vn_1673822000.3743718, 4, 2,
,Đường Quốc lộ 21 phường Liên Quan, 200m2,,,," CHỦ NHÀ CẦN TIỀN BÁN GẤP LÔ ĐẤT THÔN GÒ MÈ - TIẾN XUÂN - THẠCH THẤT- HN
 Tổng DT 200m2 có 100m2 vuông thổ cư mặt tiền lên đến 9m mặt tiền 4m 
 Mảnh đất cách Ngã Tư Miễu chỉ vài trăm mét , Cách ĐHQG Hà Nội chỉ 4 trăm mét đi ra các Khu Công Nghệ Cao Hoà Lạc cực kì thuận tiện chỉ 5p
 Giá chỉ 26 triệu xxx 1/m2 cực kì đẹp và tuyệt vời   Lô đất cực kì tiềm năng dễ sinh lời cho các nhà đầu tư   Quý Anh Chị quan tâm LH em sơn theo số zalo fb   ",02/06/2022,Tin thường,batdongsan_so_com_vn_1673822001.4066112,,,
"3,3 tỷ VNĐ",279 Đường Hoàng Mai - Hà Nội, 78m2,,,,"☄️☄️☄️ SIÊU PHẨM #ZEN_TOWER phong cách 5🌟 💎 Toà tháp căn hộ “Hàng hiệu“, #Đẳng_Cấp - #Sang_Trọng bậc nhất dự án Feliz Homes❗️ --------------🔹------------— ✅ 𝐃𝐢𝐞̣̂𝐧 𝐭𝐢́𝐜𝐡 𝐜𝐚̆𝐧 𝐡𝐨̣̂ đ𝐚 𝐝𝐚̣𝐧𝐠: 🏡 Căn Hộ 1PN: 45m2 GIÁ TỪ 1,9 TỶ 🏡 Căn Hộ 2PN: 64-73-78m2 GIÁ TỪ 2,7 TỶ 🏡 Căn Hộ 3PN: 90-114m2 GIÁ TỪ 4,1 TỶ --------------🔹------------— 🎁𝐔̛𝐔 Đ𝐀̃𝐈 Đ𝐀̣̆𝐂 𝐁𝐈𝐄̣̂𝐓 𝐂𝐇𝐈́𝐍𝐇 𝐒𝐀́𝐂𝐇 Đ𝐎̛̣𝐓 Đ𝐀̂̀𝐔: 💥Chiết khấu ngay 2% KPBT + 1 năm phí dịch vụ 💥Chỉ cần thanh toán trước 10%. 💥Hỗ trợ vay tới 75% GTCH, lãi suất 0% trong 18 tháng, ân hạn nợ gốc --------------🔹------------— ✨Vị trí đắc địa: ĐẤT VÀNG ""QUẬN HOÀNG MAI"": 🔻Sát kề đường Minh Khai sầm uất - Kết nối tuyến đường vành đai 2,5 Tân Mai, Kim Đồng, Tam Trinh 🔻Kế cận vành đai 2 - Bắt nhịp nhanh chóng với xu thế dịch chuyển tương lai. 🔻Phong cách Resort giữa lòng Hà Nội --------------🔹------------— ✨✨✨𝐃𝐢̣𝐜𝐡 𝐯𝐮̣ 𝐭𝐢𝐞̣̂𝐧 𝐢́𝐜𝐡 đẳng cấp! 🔰Thiết kế căn hộ cảm hứng 5 sao sang trọng. 🔰Sảnh lễ tân kiến trúc khách sạn. 🔰Bể bơi, hồ cảnh quan ngay chân tòa nhà 🔰Phòng tập Gym ngoài trời 🔰Lối dạo bộ, vườn cây 🔰Nhà đỗ xe cơ khí 6 tầng 🔰Khu vui chơi trẻ em, TTTM 5000m2 --------------🔹------------— 🌳FELIZ HOMES - XANH MÁT NGHỈ DƯỠNG – TRỌN VẸN TIỆN NGHI🌳 ☎️ 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: 0944570096 🏡 Địa chỉ: VPBH Feliz Homes, Ngõ 92 Mai Động, Quận Hoàng Mai, Hà Nội",02/06/2022,Tin thường,batdongsan_so_com_vn_1673822002.5011983,,,
