price,address,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Diện tích,Hướng,Mặt tiền
"9,25 tỷ VNĐ","Đường Trần Vỹ, Mai Dịch, Cầu Giấy", 4, 5, 5, 4,"
    BÁN Nhà Phố TRẦN VỸ, MAI DỊCH , CẦU GIẤY 60M 5T 9,x tỷ.
- Vị trí siêu vip, Ô tô, Liền kề Đại Học Thương Mại, Đại Học Sư Phạm, Đại Học Quốc Gia.
- Đường thông các ngả Trần vỹ, Mai dịch, Doãn Kế Thiện, Hồ Tùng Mậu..
- Trung tâm phát triển.
- Sổ Đẹp như Hoa Hậu, pháp lý rõ ràng, sẵn sàng giao dịch.
- Giá thương lượng, Chủ cực thiện chí.- Xem nhà, tư vấn, Gọi em Đức 0898839292- 0812212525.
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791677.6980553, 60m2,, 4
6 tỷ VNĐ,Nguyễn Trãi,,,,,"Cần bán nhà riêng Ngõ 262 Nguyễn Trãi,Thanh Xuân Diện tích 40m x 5 tầng,mặt tiền 5,50m Nhà cách mặt phố Nguyễn Trãi vài chục mét đi đâu cũng tiện. Gần Royal City bạt ngàn tiện ích Thiết kế: Nhà 5 tầng mới đẹp. Tầng 1: phòng khách, bếp, WC. Tầng 2: hai phòng ngủ + WC. Tầng 3 + 4: Mỗi tầng 1 phòng ngủ+kk Tầng 5: Phòng thờ + Sân phơi,Sổ đỏ chính chủ Giá 6 tỷ có thương lượng Liên Hệ Tùng 0981 669 144 - Chuyên nhà thổ cư Hà Nội",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791679.2598772, 40m2,,
"13,8 tỷ VNĐ",Nguyễn Khang,,,,,"Bán nhà riêng ngõ 115 Nguyễn Khang,Cầu Giấy Diện tích 65m x 4 tầng,mặt tiền 4m Vị trí nhà mình nằm trên mặt ngõ 115 Nguyễn Khang thông sang Phố Nguyễn Bá Khoản, Trung Yên 9, vài bước ra khu đô thị Trung Yên, kinh doanh Văn Phòng, giao thông thuận tiện. Nhà thiết kế 4 tầng đã lâu, Chủ mới về sơn sửa có thể ở tốt hoặc đập đi xây 1 toà nhà thì tuyệt vời. Tầng 1: Phòng khách, Bếp, Vệ sinh. Tầng 2, 3: Mỗi tầng 2 phòng rộng, Vệ sinh giữa. Tầng 4: Phòng thờ, sân phơi, tiểu cảnh Sổ đỏ chính chủ,giao dịch ngay Giá 13.8 tỷ có thương lượng Liên Hệ Tùng 0981 669 144 - Chuyên nhà thổ cư Hà Nội",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791680.284244, 64m2,,
"6,5 tỷ VNĐ","Đường Nguyễn Khánh Toàn, Pháo Đài Láng, Cầu Giấy",,,,,"
    + Bán mảnh đất Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy, Hà Nội,Chỉ có 1 không có 2 để có 1 mảnh đất, kinh doanh tuyệt vời. Qua đường bên kia là Đại Học Thủ Đô, Chợ Quan Hoa,Trường Cấp 3 Cầu Giấy, 3 bước ra Công Viên Nghĩa Đô, Trường Câp 1 va 2 Dịch Vong, tiện ích an sinh cực đỉnh.+ Diện tích 37m2+ Giá : 6.5 tỷ ( có thương lượng với khách thiện chí )+ Pháp lý: Sổ đỏ Cất Két, sẵn sàng giao dịch. +  Vui lòng không tiếp trung gian, môi giới,+  Liên hệ Mr Tiến thổ cư 0972713827 để gặp chủ ngay.
",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791681.2127678, 37m2,, 3
"5,9 tỷ VNĐ","Đường Nguyễn Khang, Yên Hòa, Cầu Giấy", 4, 5, 6,,"+ Chính chủ cần bán nhà Phố Nguyễn Khang diện tích 45 m2 x 5 tầng MT rộng giá 5,9 tỷ. + Vị trí: Đẹp của đẹp. Gần phố - ô tô vào nhà - kinh doanh. + Sổ vuông như tờ A4, không lỗi phong thuỷ.  Thiết kế: - Tầng 1: Để xe, phòng khách và bếp. - Tầng lửng: làm kho - Tầng 3: 1 phòng ngủ + vệ sinh và 1 phòng đọc sách. - Tầng 4: 2 phòng ngủ + vệ sinh. - Tầng 5: sân phơi. + Nhà gần Công viên Cầu Giấy, đường Nguyễn Văn Huyên kéo dài, tương lai rộng mở. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7              ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791682.405614, 45m2,, 4
10 tỷ VNĐ,"Đường Bạch Mai, Thanh Nhàn, Hai Bà Trưng", 7, 4, 4, 3,"
    Nhà 105 Đường BẠch Mai Thông Sang Võ Thị Sáu Ô Tô, Kinh Doanh  Nhà Còn Mới  S=72m2 x 4 tầng 4 ngủ Mặt Tiền 5m giá yêu thương. Mr Tùng 0978683258- Vị trí: Nhà mặt chợ kinh doanh nhiều ngành nghề, đường thông tứ tung, dân cư đông, 1 phút đi bộ gia hồ Võ Thị Sáu tận thể dục.- Pháp lý của ngôi nhà đầy đủ các  loại giấy tờ sổ đỏ, không có tranh chấp. - Mr Tung 0978683258 trờ điện thoại của AC.",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791687.8011124, 72m2,, 5
"41,5 tỷ VNĐ","Đường Trần Xuân Soạn, Bùi Thị Xuân, Hai Bà Trưng", 15, 7, 7, 7,"Bán gấp MP HPhố Trần Xuân Soạn DT 68m x 7 T, MT 5.3m, giá 41.5  tỷ . + Vị trí Trung tâm quận HBT, phố kinh doanh nhà hàng, ẩm thực, CF sầm uất ngày đêm.- Khu vực toàn nhà hàng, thẩm mỹ tên tuổi nổi tiếng.+ Thiết kế 7 tầng thang máy, thang bộ.- Tầng hầm ga ra,xe máy.- Tầng 1 phòng khách.- Tầng 2, 3, 4, 5 thông sàn kinh doanh.- Tầng 6 khu vực bếp.- Tầng 7 văn phòng điều hành.+ Pháp lý sổ đỏ chính chủ. LH 0961924899",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791688.8463213, 68m2, Đông nam, 5
"7,85 tỷ VNĐ","Đường Láng Hạ, Giảng Võ, Ba Đình", 3, 5, 4, 4,"Quá đẹp: +Nhà mặt ngõ to ô tô, kinh doanh cực kì sầm uất xung quanh rất nhiều tòa nhà VP, Khách Sạn phù hợp với kinh doanh hàng ăn, tiệm tóc, spa, nail… + Nhà siêu thoáng vị trí Hiếm có mặt ngõ rộng, lô góc thoáng sáng vô cùng. + Vị trí trung tâm, gần rất nhiều trường học: Mầm non, cấp 2, cấp 3, chợ, siêu thị, công viên Cực kì phù hợp để vừa ở vừa có thể cho thuê hoặc kinh doanh. + Thông số nhà cực kì hợp lý, vuông vắn: 36x5T. + Nhà mới đẹp LONG LANH xem phát thích mê. xem phát thích mê. + Thiết kế: + Tầng 1: Thông sàn kinh doanh + WC cuối nhà.  + Tầng 2: Phòng khách + Khu bếp + WC.  + Tầng 3+4: Mỗi tầng 2 phòng + WC.  + Tầng 5: Phòng thờ + Sân phơi.  + Sổ đỏ chính chủ sẵn sàng giao dịch.  Liên hệ ngay lập tức khi còn: 0902 800 686 = GẤP!!!",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791689.8326826, 36m2,, 3
"3,85 tỷ VNĐ","Hồng Tiến, Bồ Đề, Long Biên",, 5, 3, 3,"+ Nhà xây khung cột bê tông cốt thép, chắc chắn, vuông vắn, đẹp, mới kính koong, xây uy tín và có tâm, khách yên tâm chỉ cần xách vali về ở ạ. + Vị trí gần ngay phố, trung tâm sầm uất, lô góc, ô tô đỗ cửa, 20m ô tô tránh đỗ ngày đêm, khu vực dân trí cao, gần và thông với các khu phố chính: Nguyễn Sơn, Hoàng Như Tiếp, Bồ Đề, Hoàng Minh Đạo, Nguyễn Văn Cừ. - Thiết kế: - Tầng 1: Phòng khách + Bếp + WC. - Tầng 2: 1 ngủ rộng + WC khép kín. - Tầng 3: 1 phòng ngủ + WC khép - Tầng 4 : 1 phòng ngủ+ Phòng Thờ - Tầng 5: sân phơi - Tổng: 1 phòng khách, 3 phòng ngủ, 3 phòng vệ sinh, 1 phòng thờ, 1 sân phơi + Vị trí gần ngay phố, trung tâm sầm uất, lô góc, ô tô đỗ cửa, 20m ô tô tránh đỗ ngày đêm, khu vực dân trí cao. + Gần vườn hoa công viên, trường học các cấp, BV…… + Sổ vuông vắn đẹp, sẵn sàng giao dịch. - Lh Mr Trác: 0965492571 ( tự tay thiết kế và xây dựng ) ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791690.8788872, 30m2, Đông nam, 3
23 tỷ VNĐ,"Đường Lạc Long Quân, Bưởi, Tây Hồ", 6, 7, 30, 30,"-Thiết kế dạng Apartment với 30 căn hộ khép kín, sang trọng full nội thất khách thuê chỉ xác vali về ở. Ngõ thông Võ Chí Công, gần khu liên cơ Tây Hồ, vài bước chân ra mặt phố lớn, 2p ra Hồ Tây lộng gió -Diện tích 200m2, sổ đẹp thiết kế hiện đại phục vụ kháchTây thuê, nội thất như KS 5* khách thuê chỉ việc xách vali về ở. -Khu vực toàn gần toàn phục vụ khách Tây nhiều hơn khách ta, lúc nào cũng kín phòng, dòng tiền luôn ổ định. -Tòa nhà bề thế, doanh thu tháng không dưới 1.7 tỷ / năm,chưa kể phụ phí. -Giá 23 tỷ có thương lượng.  ",29/10/2022,Tin thường,batdongsan_so_com_vn_1673791691.7445679, 200m2,, 9
