price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số tầng,Số toilet
"5,4 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 55m2, 5,"+ Vị trí tuyệt đẹp, ngay gần Chung cư Quân Đội Thạch Bàn, Chợ Thạch Bàn, Aeon Mall.+ Khu vực sống thoáng mát, nhiều đường vào nhà, ngõ thông, ô tô đỗ cửa.+ Nhà đẹp dân xây vô cùng chắc chắn, thiết kế cầu thang cuối, mỗi tầng 2 phòng ngủ vô cùng thoáng mát.+ Sổ đỏ chính chủ, giá bán 5.4 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792289.3561132, 3, 3, 4, 3
"3,4 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 30m2, 4,"+ Vị trí nhà gần ngay chợ Ngọc Thụy, ngõ ô tô thông ra Ngọc Lâm, cách 20m ô tô.+ Khu dân trí cao, hàng xóm Khai Sơn, trường quốc tế Việt Pháp, gần nhiều tiện ích, chợ, công viên, trường học các cấp, cầu Long Biên.+ Nhà lô góc, 4 tầng cực thoáng sáng, nhiều cửa sổ, nhà nhỏ xinh mà không hề bí bách, thiết kế phòng ngủ rộng rãi, hưởng trọn ánh sáng tự nhiên, ở cực thích. + Sổ đỏ chính chủ, giá 3.4 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792290.9877489, 3, 3, 4, 3
1 ngàn VNĐ,Đường Mỹ Đình phường Mỹ Đình 2, 38m2, 5,"
    Siêu hiếm Mỹ Đinh Nam Tư Liêm 38Mx5T mặt tiền 5M nhiều ngủ đủ công năng 0845681666Nhà đẹp Mỹ Đình 5 tầng đẹp nhiều phòng ngủ phù hợp vừa ở vừa cho thuê dòng tiền tốtVị trí nhà trung tâm Mỹ Đình Nam Từ Liêm rất nhiều tiện ích, an sinh tốt, đáng sốngNgõ to rộng, đi lại dễ dàng, nối với nhiều đường như Mỹ Đình, Phạm Hùng, Lê Đức Thọ...Với nguồn hang 5000 căn nhà quanh các Quân Cầu Giấy , Nam Bắc Từ Liêm có già từ 3 tỷ đến 50 tỷSổ đỏ chính chủ sẵn sàng dao dịch ngayLH Trần Hảo 845681 666 để có giá tốt nhất tư vấn xem nhà miễn phí 24/7
",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792292.2793028, 3, 5, 5, 5
123 ngàn VNĐ,Đường Phú Diễn phường Phú Diễn, 65m2, 4,"
    Siêu phẩm phân lô ô tô tranh KD thang máy vỉa hè Phú Diễn Bắc Từ Liêm 65Mx7T 0845681666Nhà mới phân lô vỉa hè kinh doanh thang máy thoáng trước sau, phù hợp văn phòng, vừa ở vừa cho thuê nha nội tất toàn đồ sịnNhà Phú Diễn phân lô oto chạy vòng quanh, sau này qui hoạch xong giá trị nhà càng tăng hơn nữaVới nguồn hang 5000 căn nhà quanh các Quân Cầu Giấy , Nam Bắc Từ Liêm có già từ 3 tỷ đến 50 tỷSổ đỏ chính chủ sẵn sàng dao dịch ngayLH Trần Hảo 845681 666 để có giá tốt nhất tư vấn xem nhà miễn phí 24/7
",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792293.292589, 10, 8, 7, 9
"2,85 tỷ VNĐ",Hà Trì- Hà Đông, 45m2, 4,"Bán đất Hà Trì, Hà Đông 45m, mặt tiền 4m, ô tô gần phố hơn 2 tỷ Bán đất vuông đẹp chính chủ với thông số lý tưởng diện tích 45m, mặt tiền rộng 4.1m, cách phố ô tô tránh chỉ 10m có hơn 2 tỷ quá hiếm. Vị trí đắc địa gần chợ, trường học các cấp, ngân hàng, bệnh viện, bưu điện, bến xe không thiếu. Giao thông thuận lợi giáp Xa La lên Hà Trì ra các phố cổ Tô Hiệu cắt Lê Lợi với Bà Triệu ra Nhuệ Giang sang Văn Quán. Sổ vuông sẵn sàng giao dịch. Giá: 2.85 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792294.4185765,,,,
"2,85 tỷ VNĐ",Đa Sỹ- Hà Đông, 45m2, 4,"Bán đất Đa Sỹ, Hà Đông 45m, mặt tiền 4m cách mặt phố 10m hơn 2 tỷ Chính chủ bán đất thổ cư khu vực trung tâm Đa Sỹ, Hà Đông với thông số vàng hiếm có diện tích 45m, mặt tiền 4m, ngõ rộng, cách mặt phố chỉ 10m. Bán kính xung quanh chợ Đa Sỹ, Trường học cấp 1, cấp 2 Kiến Hưng, trường mầm non, bệnh viện, ngân hàng, giá tốt nhất khu vực xây lên cao tầng như hàng xóm tuyệt vời, an sinh đỉnh, hàng xóm thân thiện, giá đầu tư dễ chốt. Giao thông thuận lợi giáp Xa La lên Hà Trì ra các phố cổ Tô Hiệu cắt Lê Lợi với Bà Triệu ra Nhuệ Giang sang Văn Quán. Sổ vuông sẵn sàng giao dịch. Giá: 2.85 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792295.5006835,,,,
12 tỷ VNĐ,Nguyễn Trãi- Hà Đông, 60m2,," Bán nhà mặt phố Nguyễn Trãi, Hà Đông 60mx5T kinh doanh vỉa hè chỉ 12 tỷ Bán nhà mặt phố Nguyễn Trãi, Hà Đông thông số lý tưởng 60m với 5 tầng rộng đẹp, có vỉa hè ô tô tránh phù hợp nhiều loại hình kinh doanh cho dòng tiền lớn. Khu vực dân cư đông đúc tuyến phố tấp nập ngày đêm gần trường chợ, bệnh viện, bến xe, tàu điện trên cao, bưu điện, khu vực gần các trường đại học lớn trung tâm kinh tế- chính trị của Quận. Giao thông thuận lợi giáp Lê Lợi gần Nguyễn Trãi thông ra Nhuệ Giang sang Bà Triệu cắt Tô hiệu ra Hoàng Hoa Thám gần Văn Quán vài bước ra Quang Trung. Sổ vuông sẵn sàng giao dịch. Giá: 12 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792296.5877738,,, 5,
12 tỷ VNĐ,Phùng Hưng- Hà Đông, 60m2,,"Bán nhà mặt phố Phùng Hưng, Hà Đông 60m, 5T vỉa hè kinh doanh chỉ 12 tỷ Chủ nhà mở rộng kinh doanh cần bán nhà đẹp mặt phố Vip Phùng Hưng, Hà Đông thông số lý tưởng diện tích 60m, mặt tiền rộng nhà 5 tầng thoáng sáng ở kết hợp kinh doanh. Khu vực trung tâm gần nhiều bệnh viện lớn Học viện quân y 103, Viện Bỏng, Đa khoa Hà Đông, trường học các cấp, toà chung cư cao tầng nhiều văn phòng lớn nhỏ. Phù hợp làm hiệu thuốc, phòng khám, hoa quả sạch, quán ăn, café, … Giao thông giáp Văn Quán sang Mỗ Lao gần Yết Kiêu xuống Vạn Phúc hàng xóm Yên Phúc vài bước ra trục chính Quang Trung. Sổ vuông sẵn sàng giao dịch. Giá: 12 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792297.9890268,,, 5,
"4,6 tỷ VNĐ",Cầu Đơ- Hà Đông, 47m2,,"Bán nhà Cầu Đơ, Hà Đông 47mx5 tầng, ngõ thông gần phố hơn 4 tỷ Bán nhà trung tâm phố cổ Cầu Đơ, Hà Đông khu vực dân trí cao phố xá sầm, thiết kế 5 tầng rộng thoáng sáng, diện tích 48m ngõ thông nông vài bước ra phố. Khu vực trung tâm phố cổ bán kính xung quanh đầy đủ tiện ích chợ, siêu thị, ngân hàng, trường học các cấp, bệnh viện, bến xe bus, tàu điện. Giao thông thông muôn nơi cắt Lê Lợi sang Tản Đà qua Hoàng Diệu sang Tô Hiệu xuống Bà Triệu ra Lê Hồng Phong. Sổ vuông sẵn sàng giao dịch Giá: 4.6 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792299.3344567,,, 5,
"4,6 tỷ VNĐ",Cầu Đơ- Hà Đông, 47m2,,"Bán nhà Cầu Đơ, Hà Đông 47mx5 tầng, ngõ thông gần phố hơn 4 tỷ Bán nhà trung tâm phố cổ Cầu Đơ, Hà Đông khu vực dân trí cao phố xá sầm, thiết kế 5 tầng rộng thoáng sáng, diện tích 48m ngõ thông nông vài bước ra phố. Khu vực trung tâm phố cổ bán kính xung quanh đầy đủ tiện ích chợ, siêu thị, ngân hàng, trường học các cấp, bệnh viện, bến xe bus, tàu điện. Giao thông thông muôn nơi cắt Lê Lợi sang Tản Đà qua Hoàng Diệu sang Tô Hiệu xuống Bà Triệu ra Lê Hồng Phong. Sổ vuông sẵn sàng giao dịch Giá: 4.6 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",27/10/2022,Tin thường,batdongsan_so_com_vn_1673792300.4304943,,, 5,
