price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
"4,5 tỷ VNĐ","Bạch Mai, Phường Trương Định", 67m2,, 3, 4, 3,"☆ Lãi ngay sau công chứng.☆ Nhà mới, SIÊU ĐẸP, gần phố.☆ DT: 67m x 3T (5.5x12.), mặt tiền 5.5m.☆ SỔ ĐỎ CHÍNH CHỦ, GIAO DỊCH NGAY.☆ Giá chào 4.5 tỷ, thương lượng với khách thực sự muốn sở hữu.☆ Tổng 4 phòng ngủ, 3 WC, công năng đầy đủ.☆ phố Trung tâm, giao thông rất thuận tiện.☆ Gần trường học các cấp 1,2,3, Các trương đại học BK, XD, KTQD, và bệnh viện lớn là Bạch Mai, Việt Pháp, BV Bưu điện...☆ Khách thực sự quan tâm muốn sơ hữu thì Liên hệ Mr Dương -0825920555.",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807062.770928, 5, 2
"11,8 tỷ VNĐ",Đường Lạc Trung  phường Vĩnh Tuy, 70m2,, 6, 11, 11,"CHUNG CƯ MINI MỚI PHỐ LẠC TRUNG - THANG MÁY XỊN SÒ - FULL NỘI THẤT - DOANH THU KHỦNG + Diện tích 70m - Giá : 11.8 tỷ + Doanh thu : 80tr/ tháng  + Vị trí đẹp nhất khu Lạc Trung - Hai Bà Trưng , xung quanh nhu cầu thuê cao. Dân đi làm và sinh viên các trường ĐH lớn : Bách Khoa ; Kinh Tế Quốc Dân ; Kinh doanh công nghệ ; Xây dựng ....  + Nhà bố trí full nội thất : giường tủ, bình nóng lạnh, điều hòa . Khách chỉ việc vào ở. + Thiết kế phòng khép kín với 11 phòng đã full khách ở. Sổ đỏ nét căng sẵn sàng giao dịch . Liên hệ :  Trang bđs 0904604669 ",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807063.9896681, 6, 4
"18,5 triệu VNĐ/m2","Thôn Năm Trại, Sài Sơn, Quốc Oai", 108m2, Đông bắc,,,,"Chính chủ gửi bán gấp mảnh đất thổ cư 108m2- Vị trí: Năm Trại, Sài Sơn, Quốc Oai, Hà Nội- Mặt tiền gần 6m đường ô tô vào được- Ngõ thông tứ tung- Giao thông đi lại thuận tiện- Gần trường mầm non, cấp 1, cấp 2, gần chợ- 5 phút ra đại lộ Thăng Long - Cách Trường THPT Phan Huy Chú 2km- Cách Khu Đô Thị Sunny Graden 2km- Cách Chùa Thầy gần 3km- Khu du lịch Tuần Châu 3km- Tiềm năng tăng giá cao.Mua Ở và Đầu tư đều rất phù hợpQuý A/c quan tâm xem đấtLH 0967.205.590",28/03/2022,Tin thường,batdongsan_so_com_vn_1673807065.4198406, 5,
71 triệu VNĐ/m2,"Khu DG02, Đường Bắc Nam, Thị Trấn Quốc Oai, Hà Nội", 86m2, Tây,,,," Lô Đất đấu giá 86m Khu DG02 Đường Bắc - Nam TT Quốc Oai.

- Vị trí: Trục đường Bắc Nam, thị trấn Quốc Oai, huyện Quốc Oai, TP Hà Nội.
- Đường trước mặt 24m,
- Đối diện khu Ngôi nhà mới
- Diện tích. 86m2
- Pháp lý sổ đỏ choét.
- Cơ sở hạ tầng đạt chuẩn đô thị.
- Khu kinh doanh đông đúc và sầm uất, dân trí văn minh
- Tiềm năng tăng giá, thanh khoản cao.
- Cách đại lộ Thăng Long 100m.
- Cách khu công nghiệp Thạch Thất 200m.
- Hotline: Đăng Thành 0967.205.590 xem đất
",05/04/2022,Tin thường,batdongsan_so_com_vn_1673807067.2503726, 5,
"61,5 triệu VNĐ/m2","Đại Lộ Thăng Long, Thị Trấn Quốc Oai, Hà Nội", 129m2, Bắc,,,,"
    E có Lô Đất Đấu Giá DG03 - 129m giá đẹp cho A/c đầu tư
- Mặt tiền: 8.6m
- Cách Đường đôi Bắc Nam, TT Quốc Oai 2 phút đi bộ
- Gần khu Ngôi Nhà Mới.
- Cách trung tâm hành chính huyện 1km
- Cách đại lộ thăng long 200m
- Khu vực đang xây dựng đi vào kinh doanh nhà hàng, Hotel, cafe ….vv.
Quý a/c qtam lhe e : 0967205590
",07/04/2022,Tin thường,batdongsan_so_com_vn_1673807069.0106637, 8,
60 triệu VNĐ/m2,Khu đất đấu giá CEO Sài Sơn, 90m2, Đông nam,,,,"Chính chủ cần tiền nhờ bán gấp mảnh đất đấu giá CEO 90m2 -.Mặt đường chính thông vào khu biệt thự liền kề Sunny Garden - Đối diện Trường cấp 3 Phan Huy Chú - Cách đường Tỉnh Lộ 421B 30m - Gần Chùa Thầy và khu Tuần Châu Sài Sơn - Đại Lộ Thăng Long 500m - Giao Thông thuận tiện rất thích hợp cho Quý A/C đầu tư ,kinh doanh hay để ở. - SĐCC LH 0967205590 Đăng Thành chuyên tư vấn BĐS Quốc Oai",19/04/2022,Tin thường,batdongsan_so_com_vn_1673807070.2984705, 5,
"23,5 triệu VNĐ/m2","Ngọc Phúc, Ngọc Liệp, Quốc Oai, Hà Nội", 92.1m2, Nam,,,,"Chủ rất cần tiền bán gấp nên Đại Hạ giá - Nhanh sẽ còn, chậm thì mất.  Cần thanh khoản gấp mảnh đất tại Ngọc Phúc - Ngọc Liệp. DT: 92m2, Hiện trạng là đất trống. Mặt tiền 4.51m, hậu 4.60m Cách ĐL Thăng Long 500m. Cách Viện Nhi, Phụ Sản Trung ương 1km. Vị trí tuyệt đẹp view thoáng, Đường trước đất ô tô tránh, xe 4 chân đi vô tư. tương lai vị trí này có thể kinh doanh sầm uất phù hợp rất nhiều mục đích, KD, Xây CHDV, an sinh... pháp lý sổ đỏ rõ ràng sẵn sàng giao dịch Quý khách quan tâm vui lòng liên hệ. Mr Thành 0967205590 để cọc đất",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807071.5694811, 4,
950 triệu VNĐ,Đường Đền Gióng phường Phù Linh, 72m2,,,,,"
    + Tại: Cộng Hòa, Phù Linh, Sóc Sơn+ Cách 50m ra trục chính kinh doanhGiá chỉ 950 triệu - bao mọi chi phí thủ tục sang tên đổi chủ - cam kết không mất thêm chi phí
",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807072.8261154, 5,
"1,6 tỷ VNĐ",Đường Tỉnh lộ 135 phường Quang Tiến, 83m2,,,,,"Đất kinh doanh được tại Xuân bách - quang tiến - sóc sơn.Diện tích : 83m2 - Cách khu công nghiệp Nội Bài & đường quốc lộ 131 : 200m- Đi ra sân bay nội bài chỉ 10 phút - Cách chợ Xuân Bách, Trường mầm non Quốc t, trường cấp 1, cấp 2, uỷ ban xã... : 100m.+ Đường 5m ô tô tránh nhau+ Cách KCN CN2 CN3 đang xây dựng 1 kmGiá chỉ 1x tr cam kết rẻ nhất khu vực mua là lãi ạCall :0368.898.638 để gặp chính chủ và xem đất!",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807074.1486633, 4,
"5,3 tỷ VNĐ",Đường Khoan Tế phường Đa Tốn, 80m2,,,,,"

HÀNG HIẾM LÔ GÓC ÔTÔ KINH DOANH Khoan Tế Gia Lâm 80m Đất mt 6,2m 5.3 tỷ 

+ Đường trước mặt ô tô tránh rộng 7m, đường bên cạnh ngõ 4m, khe thoáng phía sau 60cm.

+ Quy hoạch đường mở rộng 11,5m có vỉa hè.

+ Cách đường 379 Giác Hải 30m, cách Ecopack 500m. - Cách Vinhomes Ocean Park 800 m, cách công viên Vinpearl Land sắp triển khai 100m.

+ Vị trí trung tâm mật độ dân cư cao, thuận lợi cho nhu cầu xây dựng định cư lâu dài, xây dựng nhà hàng, kinh doanh buôn bán.

+ Sổ đỏ chính chủ 0904264580.

+ Phù hợp với nhu cầu đầu cơ, tích trữ, Tiềm năng lớn: Đón đầu khi Gia Lâm lên quận năm 2023, khu vực đang nâng cấp hạ tầng khủng. Bảo đảm sinh lời/2 lần/năm ",22/08/2022,Tin thường,batdongsan_so_com_vn_1673807075.3863947, 6,
