price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
80 triệu VNĐ/m2,252 Tây Sơn-Đống Đa - Hà Nội, 60m2,"🏠🏠🏠 BÁN ĐẤT TRUNG TÂM HÀ NỘI Ô TÔ VÀO NHÀ 80 TRIỆU/M2. Bán Nhà ngõ 252 Tây Sơn-Đống Đa - Hà Nội, trung tâm thủ đô HN ô tô 🚘 vào tận nhà, đỗ trước cửa ngày đêm thoải mái. DT: 60m2 x 2 tầng, Mặt tiền hơn 5m. Giá chào bán: 3,8 tỷ Nhà ngay ngã tư Chùa Bộc Thái Hà, sầm uất, trung tâm Đống Đa. Ngõ rộng ô tô 🚘 vào thoải mái, đỗ ngày đêm vô tư. Kinh doanh spa, nail tóc ngon lành. trước mặt nhà là hồ bán Nguyệt cảnh đẹp, cây xanh thoáng mát.  Liên hệ : 0936057645",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834706.6325443,, 3, 3, 3, 5,
34 triệu VNĐ/m2,279 Hoàng Mai, 76m2,"❄️Thấy Noel là thấy Tết  Căn 2PN – 3PN Chỉ Từ 2,7x tỷ - 4 tỷ. Chìa khóa trao tay chỉ 900 triệu trả trước.🎁Ông già Noel tặng quà, mua nhà Feliz lại nhận xe. #FELIZ_HOMES_HOANG_MAI 𝐂𝐡𝐢́𝐧𝐡 𝐬𝐚́𝐜𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐚́𝐩 𝐝𝐮̣𝐧𝐠:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷCăn hộ 2PN diện tích 76m2 giá từ 2.8 tỷ TIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km Với vị trí là huyết mạch cửa ngõ Đông Nam của Thủ ĐôNổi lên như một hòn đảo ngọc xanh tươi giữa lòng Thành Phố, một bông hoa điển hình về thiết kế các khu đô thị trung và cao cấp.Quý cư dân nơi đây sẽ được sử dụng tới hơn 40 tiện ích khép kín cao cấp như:Khu vui chơi nhạc nước âm sàn.Bể bơi bốn mùa công nghệ ion- , khu BBQ trên tầng mái, tổ hợp thể thao ngoài trời, Vườn dạo bộ chân mây, TTTM... -----------------------------------------------------------------------------------------Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834708.574985,,,,,,
,Bằng liệt hoàng mai ha noi, 36m2,"+Nhà tự xây chắc chắn,đẹp,5 tầng,4 ngủ. Ngõ nông,gần ô tô tránh. +Trước nhà rộng thoáng,sach.Môi trường sống thân thiện ,dân trí cao. +Chủ là công chức nhà nước nên thiết kế rất tỉ mỉ,xây dựng cẩn thận,hài hòa thích hợp cho sinh hoạt gia đình. +Nhiều tiện ích : gần chợ,bãi gửi xe,nhiều trường MN ,THCS CHU VĂN AN. Cạnh rạp phim CGV,TTTM VINMART KĐT Tây Nam Linh Đàm, tổ hợp chung cư HH Linh Đàm,nhiều dịch vụ ẩm thực,giải trí  VIP +Giao thông kết nối rất thuận tiện : di chuyển vào TTTP với nhiều ngả đường.gần vành đai 3,cao tốc Pháp Vân,bến xe,bệnh viện. +Gía 3.6 tỷ (có thương lượng). +Sổ đỏ đẹp,sẵn sàng giao dịch. LH Mr Phúc 097.8895.889zalo-0912.338.038. ",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834710.8691266,,,,,,
,Hoàng mai, 75m2,Chính chủ cần bán liền kề mặt phố đi bộ trong dự án The Manor CenTral Park Nguyễn Xiển Nhận nhà vào ở ngay hợp đồng mua bán rõ ràng không phải chờ Giá rẻ hơn giai đoạn 2 ( x tỉ ),24/12/2021,Tin thường,batdongsan_so_com_vn_1673834712.6735103,,,,,,
"10,8 tỷ VNĐ",Vương Thừa Vũ Thanh Xuân, 59m2,"Mô tả:  ️⛳️ Vị trí: Nhà Vương Thừa Vũ Nằm ở Vị Trí siêu đắc địa:- Đường rộng thênh thang, Ôtô ra vào thỏa mái, Đường thông Nhà thoáng- Cách mặt đường Vương thừa Vũ 8m, trước nhà oto 4 chỗ tránh nhau, vào nhà tốt, vị trí đẹp có thể kinh doanh nhiều loại hình. Ngõ thông sang 164 Vương Thừa Vũ, Khương Trung, 50m ra Hoàng- Nhà nằm trong khu phân lô cán bộ, dân trí cao, an ninh tốt.- Khu vực yên tĩnh, thoáng mát quanh năm, ở sướng.- Nhà 5 tầng thang máy, xây dựng hiện đại và rất cẩn thận, chủ đầu tư uy tín. Thang máy và thang bộ ở giữa chia mỗi tầng 2 phòng.+Tầng 1: Phòng khách + nhà bếp + VS+Tầng 2,3,4: Mỗi tầng 2 ngủ + VS+Tầng 5: 1 phòng + sân phơi 📘 Sổ đỏ chính chủ, pháp lý chuẩn. Sẵn sàng giao dịch ngay ☎ Liên hệ ngay: Mr Đông. call. zalo+ Miễn phí xem nhà.+ Tận tâm, Tận tình đến khi nhận sổ",20/09/2021,Tin thường,batdongsan_so_com_vn_1673834714.9958491, Nam, 5, 6, 6, 4, 5
"3,48 tỷ VNĐ",Phố Phùng Khoang, 35m2,"NHÀ ĐẸP Ở NGAY - CHỦ MỚI CHỈ VIỆC SÁCH VALY VỀ Ở CHỦ TẶNG 90% NỘI THẤT – Ô TÔ CÁCH VÀI BƯỚC CHÂN - AN NINH, AN SINH ĐỈNH + Chính chủ cần bán gấp nhà tại Phố Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội. + Liên hệ: 0902.083.139 Mr.Hiển Diện tích 35m². Nhà 5 tầng mới hiện đại Mặt tiền rộng 3.3m ô tô cách 30m + Giá chào 3 tỷ 48 ( Có thương lượng với khách thiện chí) + Vị trí nhà cách chợ Phùng Khoang chỉ 150m, khu Phùng Khoang gần nhiều trường ĐH Hà Nội, An Ninh, Kiến Trúc, Bưu Chính .... cách đường ô tô tránh chỉ tầm 29m, ngõ BA GÁC phi vèo vèo, khu vực cực đông dân sinh, nhiều sinh viên ở, thuận tiện mua cho con cái học hành. + Nhà xây theo phong cách kiến trúc hiện đại với đầy đủ công năng với đầy đủ nội thất khách mua chỉ xách vali về ở luôn. Tầng 1 với phòng khách, bếp, wc Tầng 2,3,4 gồm 3 phòng ngủ và wc Tầng 5 gồm phòng thờ và sân phơi. + Sổ đỏ chính chủ, vuông đẹp.",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834717.0091896,, 5, 4, 4, 3,
"7,8 tỷ VNĐ",Ngọc Hà - Ba Đình - Hà Nội, 85m2," TRUNG TÂM BA ĐÌNH DIỆN TÍCH RỘNG GIÁ HẠT RẺ GIÁ CHƯA ĐẾN 100TR/M2 QUÁ HIẾM  Ngôi nhà  nằm trên con phố VIP quận Ba Đình. Giao thông vô cùng thuận tiện. An ninh tuyệt đối , an sinh tuyệt đỉnh . Vài bước ra chợ Ngọc Hà, Đi bộ ra Lăng Bác và lên Hồ Tây hóng gió. Diện tích rộng, giá hợp lý. Nhà chủ tự xây tâm huyết, chủ là dân thiết kế, homestay đẹp lộng lẫy.   Thiết kế: Tầng 1 có 1 phòng khách, 1 phòng ngủ, 1 bếp, wc, sân trước sân sau. Tầng 2 có 2 phòng ngủ có 2wc riêng. Tầng 3 có 2 phòng ngủ, 2wc riêng.  Tầng tum có sân phơi. * TỔNG 5 NGỦ - 5 WC SỔ ĐỎ CHÍNH CHỦ SẴN SÀNG GIAO DỊCH. ",18/12/2021,Tin thường,batdongsan_so_com_vn_1673834719.235705,, 4, 5, 5, 5, 2
7 tỷ VNĐ,Tô Vĩnh Diện - Thanh Xuân - Hà Nội, 80m2," 💕💕💕NHÀ ĐẸP - TRUNG TÂM THANH XUÂN- Ở SƯỚNG.💕💕💕⏩ Ngõ rộng, ô tô tránh xe máy thoải mái, nhà bán cách mặt ngõ khoảng 30m ra ô tô , ⏩ Nhà 2 mặt thoáng trước sau, sau nhà là sân Nhà hát múa rối Việt Nam. Sổ 80m, trong đó 18m2 là cổng chung của 3 nhà, nhưng 2 nhà kia sử dụng lối đi khác nên nhà mình được sử dụng toàn bộ. ⏩ Nhà chủ thuê thiết kế hợp lý, tận dụng hết công năng căn nhà, nhà còn như mới, khách về chỉ xách đồ ở. Tầng 1: sân để xe, bếp, phòng khách.Tầng 2,3 mỗi tầng 2 ngủ, WC.Tầng 4: Phòng thờ, sân phơi.Sổ đỏ nở hậu sẵn sàng giao dịch.",18/12/2021,Tin thường,batdongsan_so_com_vn_1673834721.4359915,, 4, 4, 3, 5, 2
"9,9 tỷ VNĐ","Định Công , Hoàng Mai, Hà Nội", 50m2," 💥💥💥 HAI MẶT THOÁNG, Ô TÔ TRÁNH, THANG MÁY, CHỦ TỰ XÂY ĐẸP MÊ LY 💥💥💥 + Nhà phân lô , hai mặt thoáng trước sau.  + Ngõ ô tô tránh, xung quanh là tổ hợp của chung cư biệt thự đang thi công. + Chủ làm quan chức, tự tay thuê thiết kế, xây dựng cực kì tỉ mỉ, tâm huyết vô cùng luôn. Đồ nội thất toàn nhập khẩu xịn xò  + Tầng 1: Thông sàn.+ Tầng 2: Chủ đang ngăn ra làm hai phòng ngủ, có thể dỡ vách ngăn để thành 1 ngủ master.+ Tầng 3: 2 ngủ rộng, vệ sinh giữa.+ Tầng 4:phòng khách và bếp.+ Tầng 5: Phòng thờ sân phơi. + Nhà đẹp, nội thất sang, thang máy nhập khẩu. + Sổ đỏ vuông đẹp, nở hậu sẵn sàng giao dịch",20/12/2021,Tin thường,batdongsan_so_com_vn_1673834723.712083,, 5, 4, 4, 4, 6
17 tỷ VNĐ,"Vương Thừa Vũ, Thanh Xuân, Hà Nội", 110m2,"Bán nhà Vương Thừa Vũ, Thanh Xuân, KIẾN TRÚC ĐẸP 110m, 6 tầng, 6.5m mặt tiền, nhỉnh 17 tỷ. Vị trí: Cực đẹp, dân trí cực tốt, khu cán bộ quân đội, gần quận Đống Đa. Tiện ích: Trung tâm thương mại ngầm lớn nhất ĐNA Vincom Royal city, Lotte Mart Tây Sơn, Bảo tàng Phòng Không Không Quân, Bệnh viện Đại học Y Hà Nội, Bạch Mai, các trường đại học Y Hà Nội, học viện Ngân Hàng, Thủy Lợi, Công Đoàn…vv. Mô tả: Nhà cực đẹp, thoáng và đẳng cấp, tặng nội thất. T1: Gara oto, bể cá Koy, kho. T2: Phòng khách, bếp, 1vệ sinh. T3: 1 phòng ngủ khép kín, 1 phòng làm việc. T4,5: Mỗi tầng 2 phòng khép kín rộng. T6: Sân vườn bàn trà, phòng thờ, sân phơi. Giao thông: Gần Ngã Tư Sở, Trường Chinh, Vương Thừa Vũ, Hoàng Văn Thái, Tô Vĩnh Diện, Tây Sơn, Thái Thịnh, Thái Hà..vv. Pháp lý: Sổ đỏ chính chủ nở hậu, chủ nhà là người nổi tiếng, lịch sự sẵn sàng tiếp khách để thương lượng. Lh: Hoàng 0902253303 (miễn trung gian môi giới)",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834725.8747466,, 6, 4, 5, 6,
