price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
"8,3 tỷ VNĐ","mặt phố Kim Giang, Thanh Liệt, Thanh Trì, Hà Nội", 44m2,"Chính chủ bán nhà mặt phố Kim Giang, Thanh Liệt, Thanh Trì, Hà Nội- Nhà cấp 4 diện tích: 44m2 - Mặt tiền: 4m - dài: 11m - Nhà hướng Đông Nam- Vỉa hè rộng 5m, kinh doanh sầm uất- Vị trí thuận tiện giao thông, gần khu đô thị Linh Đàm- Khu an ninh rất tốt, đầy đủ tiện ích xung quanh- Hiện nhà đang cho thuê: 6,5 triệu/ thángGiá bán: 8,3 tỷ -  Có thương lượngLiên hệ chủ nhà: 0394597823 - Sổ đỏ chính chủ  Nguồn:  http://nhadathanoi.net.vn",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825659.9897234,,, 4,,, Đông nam
"5,9 tỷ VNĐ",Đường Đào Tấn phường Cống Vị, 42m2,"Siêu phẩm quận Ba Đình Nhà Đẹp Gần Phố. Bán nhà chính chủ Đào Tấn 42m2 Chỉ 5,9 tỷ. Cần bán gấp trong tuần căn nhà phố Đào Tấn, lõi quận Ba Đình khu vực cực kì đắc địa hàng xóm Lotte, CV Thuỷ Lệ, trước nhà ba gác tránh, mặt ngõ kinh doanh sầm uất ngõ thông tứ tung.- Nhà xây 5 tầng chắc chắn, đủ công năng sử dụng khách mua về  ở ngay...- Khu an sinh cực đỉnh, tiện ích bạt ngàn, giao thông các quận Đống Đa, Cầu Giấy Ba Đình, Tây Hồ  vô cùng tiện.- Sổ đỏ đẹp, giao dịch chính chủ.Lh tôi Diện 0963909350 hỗ trợ AC mua được giá tốt nhất. ",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825661.2134492, 5, 4, 4, 3, 4,
7 tỷ VNĐ,Cầu Giấy, 56m2,"Bán Nhà 30M Ra Đường Xuân Thuỷ,Cầu Giấy,6 Tầng,6.5m Mặt Tiền,Giá  7Tỷ. + Nhà trong khu dân cư đông đúc, nhiều các trường Đại Học, Học Viện, Cao Đẳng, nhiều toà nhà văn phòng. + Kinh doanh buôn bán các mặt hàng rất tốt. + Nhà thiết kế có thể chuyển công năng thành chung cư mini. . + 56 m2, tầng 2 chở lên 62m, tiện ích xung quanh vô vàn. ——————————– + Vị trí trung tâm của quận Cầu Giấy, phía tây giáp quận Nam Từ Liêm và quận Bắc Từ Liêm, phía đông giáp quận Ba Đình. + Khu vực có tốc độ đô thị hoá với tốc độ cao. + Các công trình nổi bật ở khu như: công viên Cầu Giấy, công viên Nghĩa Tân, bệnh viện 198, bệnh viện y học cổ truyền. + Các công trình đang làm và dự kiến hoàn thành trong tương lai như: hoàn thành đường Nguyễn Văn Huyên kéo dài qua đường Cầu Giấy, đại sứ quán Mỹ. ——————————— + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hỗ trợ khách hàng có nhu cầu vay vốn ngân hàng. + Chủ nhà cần bán gấp giá cả thương lượng, đàm phán. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936. + Sẵn sàng tư vấn pháp lý, ngân hàng liên quan đến bất động sản.",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825662.2602875,,,,,,
"12,7 tỷ VNĐ",Lạc Long Quân, 73m2,"Cần bán gấp nhà Lạc Long Quân ngõ rộng, thoáng, mát, oto vào nhà, gần phố, lô góc. Tiện ích xung quanh nhà không thiếu thứ gì. Giao thông thuận tiện sang các con phố lớn như Tây Hồ, Phố đi bộ, phố cổ Thiết kế: T1:gara+bếp+khách T2:2 phòng ngủ+Wc T3:1 phòng ngủ lớn+sân chơi+Wc T4: 2 phòng ngủ+WC T5:Phòng thờ+sân phơi +Tầng 6: view hồ( ăn nướng buổi tối thì hết ý) LH:0962370591-Nguyễn Phúc Lộc ",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825663.329428, 6, 5,,, 3,
"4,8 tỷ VNĐ",Văn Quán - Hà Đông, 35m2,"Nhà Văn Quán – Hà Đông, 5 tầng nhà đẹp, Ô TÔ, kinh doanh đỉnh chỉ hơn 4 tỷ (30/35)m2 Vị trí ngôi nhà nằm ở trung tâm quận Hà Đông, tiện ích xung quanh không thiếu gì. Thuận tiện ra đường Trần Phú, 19/5, Nguyễn Khuyến và nhiều KĐT lớn. Năm sát khu đô thị Văn Quán, Hà Đông. Đường trước nhà rộng, ô tô chạy, thông các ngả. Phù hợp kinh doanh nhiều loại hình như tạp hóa, spa, văn phòng. + Nhà kết nối nhiều tuyến đường lớn như Trần Phú, 19/5, Văn Quán. Tiện ích khu đô thị Văn Quán, làng Việt Kiều Châu Âu, trường học đủ cấp. Đường thông các ngả, ô to phi vèo vèo thuận tiện mọi loại hình kinh doanh + Nhà xây 5 tầng, nhà khung BTCT chịu lực, thiết kế hiện đại, tối ưu công năng. Nhà mới, đẹp, chủ tự xây tâm huyết. Khách mua chỉ việc xách va ly đến ở và kinh doanh .  Nhà thiết kế tổng 3 phòng ngủ, wc từng tầng, tối ưu công năng sử dụng. + Pháp lý sổ đỏ vuông vắn, sẵn sang giao dịch. Giá mong muốn 4.8 tỷ (  có thương  lượng) Liên hệ Mr Luyện Thổ Cư 0911 779 569 ( Miễn trung gian – Môi giới)",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825664.3965726, 5, 3, 3, 5, 4,
"4,1 tỷ VNĐ",Vạn Phúc - Hà Đông, 30m2,"Chỉ nhỉnh 4 tỷ có ngay nhà 6 tầng Ngô Thì Sỹ- Vạn Phúc ô tô đỗ cửa, kinh doanh đỉnh.(30 m2) Vị trí ngôi nhà trung tâm Quận Hà Đông, tiện ích xung quanh không thiếu gì, đường thông các ngả ra đường Vạn Phúc, đường Tố Hữu, nhà ngay cạnh làng Lụa Vạn Phúc, đường trước nhà rộng 4m, ô tô đỗ cửa phù hợp kinh doanh nhiều mặt hàng như tạp hóa, spa, quầy thuốc …. + Nhà thiết kế: Tầng 1 phòng khách làm được cửa hàng + Tầng 2 lửng có bếp và WC + Tầng 3,4,5 mỗi tầng 1 phòng ngủ + wc + Tầng 6 có tum và sân phơi. Cách nhà 20 m là khu vui chơi chung của phường Liên hệ Mr Luyện thổ cư: 0911779569 ( miễn trung gian – môi giới)",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825665.568499, 6, 3, 3, 4, 4,
"4,75 tỷ VNĐ",Hà trì- Hà Đông, 53m2,"Bán nhà 5 tầng ngõ Hà Trì 1, diện tích 53 m2, mặt tiền 3.9m giá hơn 4 tỷ Vị trí : Nhà nằm trung tâm Quận Hà Đông, ngõ thông rộng, ô tô đỗ cách nhà 20m, gần trường cấp 1,2 LÊ LỢI, gần bệnh viện Quân Y 103, nơi giao thông thuận tiện tới các khu đô thị HuynDai, khu đô thị XALA, khu đô thị Kiến Hưng, đi 5 phút tới trung tâm thương mại Meetro Hà Đông. + Nhà thiết kế 5 tầng, tầng 1 phòng khách+ bếp+WC + Tầng 2,3 phòng ngủ WC cầu thang giữa, có tầng lửng, sân để xe máy. + Sổ đỏ chính chủ sẵn sàng giao dịch. Liên hệ: Mr Luyện: 0911779569",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825666.6077154, 5, 3, 3, 3, 3,
"5,95 tỷ VNĐ",Hà Đông - Hà Nội, 44m2,"Bán nhà 3 tầng, ngõ thông lô góc 2 mặt thông thoáng diện tích 44m2, mặt tiền 6,8m kinh doanh đỉnh. Vị trí: Nhà nằm sau bưu điện Hà Đông, khu kinh doanh sầm uất, giao thông đi lại thuận tiện gần trường tiểu học Nguyễn Trãi, Yết Kiêu Hà Đông, gần chợ, siêu thị Vinmac số 8 Quang Trung, Vườn hoa Hà Đông + Nhà xây  tầng gồm 2 phòng ngủ và 2 vệ sinh, mặt tiền rộng, lô góc thoáng + Sổ đỏ sẵn sàng giao dịch Liên hệ: Mr Luyện thổ cư: 0911779569",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825667.718741, 3, 2, 6, 3, 2,
"39,6 tỷ VNĐ","mặt đường 381 Trường Chinh. Mặt ngã Tư Sở, Thanh Xuân", 97.4m2,"Chính chủ bán nhà mặt đường 381 Trường Chinh. Mặt ngã Tư Sở, Thanh XuânDiện tích: 97,4m2. Mặt tiền: 4,2m, nở hậu 4,5m, sâu 22,39m.Tọa lạc hướng Đông Bắc. Gồm 2 tòa liền kề.Tòa ngoài 4 tầng thông sàn, 3 vệ sinh, 3 ban công.Tòa trong 5 tầng, 5 phòng rộng, 5 vệ sinh khép kín, 4 ban công.Vị trí ngay Ngã Tư Sở, thuận tiện kinh doanh mọi mô hình, thuận lợi đi mọi hướng.Giá bán: 39,6 tỷ  - Có thượng lượng cho khách thiện chí.Chính chủ: 0924558336  Nguồn:  http://nhadathanoi.net.vn",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825668.69114, 5, 5, 4,, 5,
5 tỷ VNĐ,phố Khương Hạ - Thanh xuân, 66m2,"+ Chủ đã mua nhà mới nên cần bán gấp căn nhà với DIỆN TÍCH rộng 65m2, MT 4.5M, 4T, Nhỉnh 5 TỶ, đặc biệt là chủ tặng lại toàn bộ nội thất trên hiện trạng căn nhà. + Căn nhà với vị trí đắc địa thông thương sang nhiều tuyến đường lớn, Chường Trinh, Khương Đình, Nguyễn Trãi, là giao thoa của các trường Đại học nổi như: Trường Đại học Khoa học Xã hội và Nhân Văn, trường Đại học Đại Nam, Đại học Đông Đô, rất gần với trường học các cấp thuận tiện cho việc con em đi học. + Vị trí đỉnh, 5 phút ra Royal City, gần bệnh viện Thanh Xuân, cách đường lớn gần 100m, đi thêm gần 200m nữa ra siêu thị và gần với chợ Khương Trung. + Khu dân cư đông đúc, hàng xóm hiền lành, thân thiện, dân trí cao, đặc biệt ở đây an ninh được đánh giá rất tốt nên không xảy ra tệ nạn, thích hợp cho hộ gia đình ở và cho thuê dòng tiền mỗi tháng mang lại thu nhập cao. + Chủ là dân thiết kế nên căn nhà được xây dựng rất tâm huyết, thiết kế hiện đại; nội thất cao cấp, sang trọng, được xây dựng kiên cố, chắc chắn, đầy đủ công năng sử dụng. + Giá thỏa thuận. + Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh sẵn sàng dao dịch. + Liên hệ: Mr. Hoan – chuyên thổ cư Hà Nội, 0925088355, tư vấn hỗ trợ pháp lý, phong thủy, vay vốn ngân hàng, miễn phí xem nhà 24/7.",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825669.7064855, 4, 4, 4,,,
