price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Mặt tiền,Số toilet,Hướng
"7,6 tỷ VNĐ","Hoàng Hoa Thám, Hà Đông, Hà Nội", 35m2," # Mặt phố Hoàng Hoa Thám, Hà Đông, vỉa hè, ô tô tránh kinh doanh tấp nặp. DT 35m2, 5T, mt 5.5m giá chỉ 7.6 tỷ. + Vị trí trục lõi phố cổ đắc địa kinh doanh sầm uất nhất nhì quận Hà Đông. + Đường trước nhà ô tô tránh, vỉa hè kinh doanh, giao thông thuận lợi.  + Khu vực buôn bán sầm uất phù hợp nhiều loại hình. + Nhà thiết kế thông sàn các tầng, công năng đầy đủ + Chủ mới mua về chỉ việc đến ở, kết hợp ở làm VP hoặc kinh doanh theo lĩnh vực của mình. + Giá 7.6 tỷ.( Vị trí hiếm nhiều khách tìm ). + Sổ đỏ vuông chính chủ, pháp lý chuẩn, giao dịch nhanh. # HotLine: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông - Hà Nội ).",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823220.2753065, 10, 5, 4, 5,,
19 tỷ VNĐ,Đường Huỳnh Thúc Kháng phường Láng Thượng, 86m2,"+Diện tích 86m2 x 5 tầng, mt 4.5m. +Sổ đỏ chính chủ, pháp lý chuẩn. +Giá 19 tỷ -Hoàn thiện nội thất cao cấp, khách mua chỉ việc xách vali về ở ngay. -Nhà tự xây được vài năm còn rất mới, thiết kế sang trọng và hiện đại, tối ưu công năng sử dụng. -Vị trí đắc địa, không lỗi phong thủy, thiết kế mỗi tầng 2 phòng ngủ. -Xung quanh nhà trường học các cấp, TTTM, siêu thị, công viên, các trung tâm chăm sóc sức khỏe dành cho mọi gia đình,… -Khu vực dân trí cao, an ninh tốt, hàng xóm thân thiện. -Đường trước nhà ô tô tránh, thông sang phố Trúc Khê và Nguyên Hồng. -Giao thông thuận tiện đi lại giữa các tuyến phố như: Nguyễn Chí Thanh, Chùa Láng, Đường Láng, Nguyễn Công Hoan,… -Khu vực trung tâm quận Đống Đa, quy hoạch ổn định, cơ sở hạ tầng đầy đủ và đông bộ, tiện ích ngập tràn. Liên hệ Trang để được tư vấn và xem nhà miễn phí: 0968588737.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823221.6047943, 1, 5, 4,, 1,
23 tỷ VNĐ,"đường Thiên Hiền, phường Mỹ Đình 2", 58m2,"Cần bán căn nhà mặt đường Thiên Hiền, phường Mỹ Đình 2, quận Nam Từ Liêm. Toà nhà 8 tầng đẹp nhất mặt đường Thiên Hiền – một khu vực có các hoạt động kinh doanh sầm uất ngày đêm. Hiện đang cho thuê 2 tầng dưới, sinh dòng tiền hàng tháng 70 triệu. Mặt tiền 5m, diện tích 58m2, xây 8 tầng có thang máy đẹp xịn sò với cấu trúc: Tầng 1 : thông sàn kinh doanh. Tầng 2 : thông sàn. Tầng 3,4,5,6,7 : mỗi tầng 2 phòng vệ sinh khép kín. Tầng 8 : bếp, sân phơi. Chủ nhà thiện chí bán, sổ đẹp, sẵn giao dịch Giá: 23 tỷ VNĐ. Liên hệ: ĐC Ngọc – 0344.978.570. Hỗ trợ vay vốn ngân hàng, thủ tục đơn giản, giải ngân nhanh.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823222.637035,, 8, 10,, 10,
"12,9 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Đô, 75m2," Bán nhà phố Hoàng QuốcViệt - Nhà đẹp thông số hiếm - hai thoáng - phân lô - ô tô vòng quanh  + Diện tích : 75m  + Mặt tiền : 7.7m  + Tầng : 5 tầng + Vị trí nhà đẹp, phân lô cán bộ viện KHVN, ô tô, thông bàn cờ, gần phố, ngay sát công viên và trường học. Thuộc khu VIP dân trí cao, an sinh tốt, tiện ích, liền kề khu đô thị Nghĩa Đô, Romatic, KĐT Tây Hồ Tây Starlake. Sổ phân lô đẹp từng milimet vuông A4,sẵn sàng giao dịch Địa chỉ tài sản : số 9 ngõ 106/8 đường Hoàng Quốc Việt, Cầu Giấy, Hà Nội ",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823223.837823, 1, 5, 9, 7, 4,
"4,2 tỷ VNĐ",Quan Nhân, 45m2,"+ Bán nhà Quan Nhân, Nhân Chính, 45m, 5 tầng, mặt tiền 4m, ô tô đỗ gần, vài bước chân ra mặt phố. + Nhà mới đẹp lung linh, nội thất sang trọng, hiện đại, tầng nào cũng có ban công thoáng sáng, khách chỉ việc xách vali đến ở. + Nhà vị trí trung tâm Ngã Tư Sở, giao thông thuận tiện, ngõ nông thông nhiều hướng, chỉ 1 phút ra Royal City, Vũ Trọng Phụng, Lê Văn Lương, Láng, Trường Chinh, Tây Sơn. + Liên hệ: Phùng Trang  0975124520.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823224.855099,,,,,,
45 tỷ VNĐ,Đường Hồng Tiến phường Bồ Đề, 50m2,,25/05/2022,Tin thường,batdongsan_so_com_vn_1673823225.851433, 4, 5, 4, 5, 5,
"3,45 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 33m2,"-    Nhà đối diện Đại Sứ Quán Hàn Quốc, công viên Ngoại Giao Đoàn. -    Ôtô đỗ gần nhà, từ nhà ra đường 2 ô tô 30m. -     Nhà cách trường học cấp 1, 2, 3 Xuân Đỉnh 500m. -    Nhà mới,ở kết hợp kinh doanh . -    Giá 3.45 tỷ (có thương lượng ). -    Liên hệ : A Vũ - 0347676600 (để gặp chính chủ và xem nhà miễn phí.Miễn các bạn trung gian). ",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823226.8896558,,,,,,
"2,369 triệu VNĐ",Đường đìa nam hồng  phường Nam Hồng, 51m2," Bán đất Nam Hồng Đông Anh đường thông 4m oto tránh xe máy
Diện tích: 51.5m
Mặt tiền: 4m.
Ngõ rộng 4m . oto vào tận đất
Cách 15m ra đường oto tránh nhau 
Cách đường QL 23B 150m.
Cách đường Võ Văn Kiệt 200m, đi sang trung tâm Hà Nội hoặc 
sân bay Nội Bài chỉ mất 10p.
Cách khu công nghiệp Bắc Thăng Long, trường THPT Bắc 
Thăng Long, siêu thị Mê Linh Plaza 2km… phù hợp để an cư 
lập nghiệp.
 Em Linh : 0989.454.787 
Xem thêm : https://donganhland.vn/.../ban-dat-xa-bac-hong-dong-anh.../",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823227.8800051,,,, 4,,
"13,6 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 57m2,"Bán nhà ngõ 165 Cầu Giấy  Mô tả : + Diện tích : 57.2m  + Tầng : 5 tầng + Vị trí nhà lô góc 3 mặt thoáng Địa chỉ tài sản : số 8 ngách 18 ngõ 165 Cầu Giấy, Hà Nội Liên hệ Mr.Quyết để được tư vấn và xem nhà miễn phí",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823228.8823237, 1, 5, 4, 7, 3,
"11,3 tỷ VNĐ",An Hoà- Hà Đông, 52m2,"Bán nhà mặt phố An Hoà, Hà Đông, 52m, 8 tầng thang máy, vỉa hè KD, mặt tiền khủng Anh trai gửi bán nhà mặt phố An Hoà đẹp nhất Hà Đông, vỉa hè kinh doanh kinh doanh đỉnh cao, mặt tiền rất rộng hiếm, nhà xây 8 tầng thang máy cực hiếm phù hợp kinh doanh đủ loại hình: siêu thị, ngân hàng, văn phòng, spa, tóc, nail, … Nhà gần các trường đại học lớn, bệnh viện, siêu thị,…đi đâu cũng thuận tiện thông ra làng Việt Kiều Châu Âu, sang Nam Từ Liêm hay di chuyển lên Thanh Xuân rất thuận tiện. Anh tôi là doanh nhân thành đạt, nhà rất có lộc, nay cần bán gấp trong 1 tháng để mua thêm máy móc Sổ đỏ chính chủ, pháp lý sạch. Giá: 11.3 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823229.991358,, 8,,,,
