price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Hướng,Lộ giới
25 tỷ VNĐ,Võ Chí Công, 105m2,"Chủ cần tiền đầu tư, thanh khoản gấp mảnh đất phố Võ Chí Công. Vị trí cực đẹp, ngay cạnh ngã 4 chợ Bưởi. đường trước nhà to rộng oto đỗ cửa. mặt tiền cực lớn. Khu vực kinh doanh sầm uất.Diện tích: 105m2, mặt tiền 8mGiá: 25 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)ĐẤT VỊ TRÍ CỰC ĐẸP - OTO ĐỖ CỬA - XÂY TÒA VĂN PHÒNG - KINH DOANHLiên hệ xem thực tế và nhận thông tin chi tiết: 0981367887Thửa đất vuông đẹp nở hậu, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",31/12/2021,Tin thường,batdongsan_so_com_vn_1673834010.7512977,, 8,,,, 13
"2,5 tỷ VNĐ","Phố Lụa, Vạn Phúc", 35m2,"+ Chủ nhà làm ăn phát đạt đã mua nhà to hơn, cần bán nhà tại Phố Lụa, Hà Đông diện tích 35m2, 5 tầng có vị trí gần trường mầm nom, tiểu học Vạn Phúc, gần GoldSilk Vạn Phúc, gần chợ, bệnh viện, bưu điện Hà Đông.+ Ôtô vào nhà cách vài bước chân, dân trí cao, an ninh tốt.+ Nhà xây khung cột bê tông rất chắc chắn, 3 mặt thoáng.+ Nhà 5 tầng, 4 ngủ, 4WC.+ Sổ đỏ chính chủ, sẵn sàn giao dịch. + Giá nhỉnh 2,5 tỷ, ưu tiên khách thiện chí mua có thể “Thương lượng”. + Vui lòng liên hệ tôi Mr Hiển 0866485199 xem nhà trực tiếp.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834012.6512876, 5, 3, 4, 4,,
85 triệu VNĐ/m2,Vân Canh - Hoài Đức - Hà Nội, 38m2,"3 Ô đã bán 2, còn duy nhất 1 ô đất siêu đẹp DT: 38m2, MT 3.8m Sát An Lạc Symphony 5 phút đến SVĐ Mỹ Đình Tiện ích đầy đủ Liên hệ chủ đất: 0968285568",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834015.3008816,, 3,,,,
"3,4 tỷ VNĐ",Mậu Lương, 30m2," Mậu Lương  + Vị trí cực đẹp, cách 1 nhà ra mặt phố   + Chủ nhà xây 2 căn, hiện đã bán căn trong, nhà hoàn thiện cực đẹp, khách mua chỉ việc xách vali về ở. + Thiết kế hiện đại: Tầng 1: Phòng khách, bếp. Tầng 2+3+4: Mỗi tầng 1 phòng rộng. Tầng 5: Phòng thờ và sân phơi. giá 3.4 tỷ",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834017.3773975,,,,,,
"4,85 tỷ VNĐ",mậu lương, 33m2,"
    
khu vực đang phát triển mạnh, nhà mới xây xong, ô tô chạy vòng quanh nhà , dân cư vô cùng thân thiện, hàng xóm đông đúc.


- Nhà cách chợ Mậu Lương 200 mét, trong vòng bán kính 2km là Học viện Quân Y 103, Đại Học Bưu Chính Viễn Thông…Bệnh viện K Tân Triều, Bệnh viện Bỏng, Bệnh viện quân y 103, Cách trung tâm hà đông chưa đầy 2km.


- Giao thông đi lại thuận tiện.


- Thiết kế phong cách hiện đại.


+ Tầng 1 phòng khách, bếp,vs
+ Tầng 2,3,4 mỗi tầng một phòng ngủ to đẹp+vs


+Tầng 5 : Phòng thờ , sân phơi


-Nhà đã đầy đủ nội thất, chủ bán nhà chỉ mang đi có 1 chiếc tivi và cái sập gỗ lim


- Sổ đỏ vuông vắn

",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834019.776402,,,,,,
"3,25 tỷ VNĐ","lê đức thọ ,mỹ đình ,nam từ liêm", 34m2,"Nhà cách ô tô chỉ mấy chục mét, ngõ rộng chỉ vèo cái là ra đến đường lớn. Ngõ chính thông nhiều hướng Lê Đức Thọ, Mỹ Đình, Nguyễn Hoàng. Là khu vực sầm uất của quận Nam Từ Liêm, xung quanh tiện ích cực phong phú khi gần nhiều KĐT lớn, trung tâm thương mại, siêu thị, chợ dân sinh, bệnh viện, trường học các cấp từ mầm non đến Đại học… Nhà 34m2 nổi bật với sự chắc chắn được chủ nhà tâm huyết xây dựng. Nhà đẹp thiết kế hài hoà, thoáng sáng, đầy đủ công năng cho mọi sinh hoạt sống. Khu vực an ninh, dân trí cao, hàng xóm văn minh lịch sự. Giá chào 3 tỷ 250 triệu (khách đàm phán trực tiếp với chủ). Sổ đẹp cất két, sẵn giao dịch. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn nhà ở Từ Liêm 0932382236",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834021.904775,,,,,,
"1,9 tỷ VNĐ",đa sĩ kiến hưng, 34m2,"+ Nhà cấp 4 có gác xép, khách mua nhà chưa có điều kiện vẫn có thể ở bình thường, sau này xây lên sẽ rất đẹp. + Ngõ thông, ba gác đỗ tận cửa. Vị trí trung tâm quận Hà Đông, xung quanh nhà đầy đủ tiện ích, gần chợ Hà Đông. giá 1.9 tỷ",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834023.9882803,,,,,,
"2,4 tỷ VNĐ",mậu lương, 30m2,"- Vị trí tuyệt vời, cách mặt ngõ ô tô chạy chỉ vài bước - Tầng 1: Sân để xe + Phòng khách + Bếp và - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + 1wc + - Tầng 5: phòng thờ, sân phơi. + Sổ đỏ chính chủ giá 2.4 tỷ",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834026.0020044,,,,,,
"4,25 tỷ VNĐ","Phố Khương Hạ, phường Khương Đình, quận Thanh Xuân, Hà Nội.", 35m2,"BÁN NHÀ KHƯƠNG HẠ, NHÀ ĐẸP ĐÓN TẾT, GẦN HỒ, GẦN Ô TÔ, TẶNG NỘI THẤT, GIÁ CHỈ 4.25 TỶ. - Diện tích 35m2 trên sổ, nhưng thực tế 38m2 x 5 tầng, 3 phòng ngủ, giá 4.25 tỷ.- Nhà thiết kế hiện đại, đẹp, nội thất xịn sò, chủ tặng toàn bộ nội thất, ngõ trước nhà rộng, thoáng, sáng. Vài bước chân ra ô tô, ra hồ điều hòa. - Sổ đỏ đẹp, nở hậu, sẵn sàng giao dịch, (có thương lượng).- Chi tiết liên hệ chị Yến ĐT, Zalo.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834027.947639,,,,,,
5 tỷ VNĐ,"Nguyễn Sơn, Ngọc Lâm", 70m2,"NHÀ PHỐ NGUYỄN SƠN - TRUNG TÂM TIỆN ÍCH Mô tả: + Hướng: Tây Bắc.+ Nhà vị trí đẹp, sổ là 57m2 nhưng thực tế là 70m2, ngõ thông sang phố Ngô Gia Khảm, đối diện Bến xe Gia Lâm,gần ngay hồ Ngọc Lâm, gần vườn hoa Gia Lâm, không gian xanh, quanh năm thoáng đãng. Nhà cách mặt phố Nguyễn Sơn khoảng 80m, cách mặt phố Nguyễn Văn Cừ 100m, cách chợ Ngọc Lâm 2 phút đi bộ, giao thông đi lại thuận lợi vô cùng.+ Nhà tự xây, chắc chắn, thiết kế vừa ở vừa cho thuê cực hợp lý.Tầng 1: Phòng khách+bếp+vệ sinh+1 phòng trọ riêng biệt.Tầng 2: Hai phòng ngủ + vệ sinh + 2 phòng trọ riêng biệt.Tầng 3: 4 phòng trọ riêng biệt + sân phơi.Các phòng trọ có lối đi riêng.+ Hiệu suất cho thuê mỗi tháng từ 12-15 triệu, rất phù hợp cho các khách hàng vừa ở vừa đầu tư giữ tiền.+ Sổ đỏ chính chủ, pháp lý sạch, sang tên trong ngày.+ Liên hệ: Ms Mai 0983724773.",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834030.2979693,,,,,,
