price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
15 tỷ VNĐ,Đường Vũ Trọng Phụng phường Thanh Xuân Trung, 73m2,, 5, 6, 8, 5,"VIU VỊ TRÍ CỰC ĐẸP...KINH DOANH BUÔN BÁN BẤT CHẤP _PHỐ sầm uất nhất khu vưc _THANH XUÂN ,,sát ROYALCYTI ...NGUYỄN TRÃI ..NGỤY NHƯ KONTUM Vui chơi giải trí khỏi nghĩ ..... SỔ ĐỎ CHÍNH CHỦ 1 TÊN ..SỬ DỤNG VĨNH VIỄN.....NÉT NHƯ SONY _liên hệ với chúng tôi để có thông tin chi tiết về sản phẩm_TƯ VẤN MIỄN PHÍ_ĐƯA ĐÓN TẬN NƠI..... TRAO TAY GỬI TẶNG",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808261.319258, 10
"6,8 tỷ VNĐ",bạch mai, 55m2,,,,,,"Mô Tả: Chính chủ cần bán nhàBạch Mai, Hai Bà Trưng, gần các khu vực Bạch Mai, Minh Khai, Trương Định, Thanh Nhàn, Đại Lai, Phố Huế, Trần Khát Chân, Đại Cồ Việt,…. Diện tích: 55m2. + Gần các trường đại học lớn: Kinh tế quốc dân, Bách Khoa, Xây Dựng, Mở, …. Nhà đẹp, ngõ nông, ô tô đỗ cửa khi cần. Trung tâm quận Hai Bà Trưng, 3p ra chợ mơ... Tiện ích xung quanh đầy đủ, gần các trục đường lớn Minh Khai, Ngõ Quỳnh, Trương Định, Trường Chinh,…… Nhà thích hợp vừa ở, vừa kinh doanh rất thuận tiện. Thiết kế 4 tầng khung cột, chắc chắn, tổng 4 phòng ngủ. Sổ đỏ chính chủ. + Giá: 6.8 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808262.4033573,
21 triệu VNĐ,Đường 21B phường Bình Minh, 120m2,, 5,,,,,16/08/2022,Tin thường,batdongsan_so_com_vn_1673808263.7861707,
23 tỷ VNĐ,Đường  phường Mễ Trì, 215m2,, 8, 7, 22, 23,"
    Vị trí trung tâm gần KS JW Merrioot đẳng cấp.Sổ đỏ hoa hậu sẵn sàng giao dịch.LH 0917340682
",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808264.9560428, 4
"7,9 tỷ VNĐ",Khương Hạ Thanh Xuân Hà Nội, 52m2,,,,,,"Vị trí nhà cách mặt phố 20m. Ngõ thông, oto chạy. tiện ích ngập tràn.+ Cạnh nhà là sân chơi, bãi đỗ xe khu X1 Khương Hạ. Nhà có thể kinh doanh, làm văn phòng. + Chủ nhà rất tâm huyết, sửa sang đẹp, nội thất xịn, nhà cực CHẤT ( ảnh nhà thật 100%)+ Nhà 2 mặt thoáng trước sau, nên phòng nào cũng ngập tràn ánh sáng.Thiết kế : Tầng 1 : Gara, Bếp, WCTầng 2 : Phòng khách, PN, WC Tầng 3 : 2PN, WCTầng 4 : 1 PN, sân phơi👉 Chủ thiết kế để giếng trời nhà cực thoáng, có thể thiết kế thang máy, cột chờ lên thêm tầng.+ Sổ đỏ cất két sẵn sàng giao dịch.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808266.2396073,
23 tỷ VNĐ,Đường  phường Mễ Trì, 215m2,, 8, 7, 22, 23,"
    Vị trí trung tâm gần KS JW Merrioot đẳng cấp.Sổ đỏ hoa hậu sẵn sàng giao dịch.LH 0917340682
",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808267.574038, 4
"4,2 tỷ VNĐ",Đường Nguyễn Đình Chiểu phường Lê Đại Hành, 26m2,, 5,,,,"
    Chính chủ bán nhà Nguyễn Đình Chiểu, Hai Bà Trưng, 26m2x5, 3 THOÁNG, Ô TÔ, KINH DOANH, nhỉnh 4 tỷ.                                                      + Vị trí trung tâm quận Hai Bà Trưng, vỉa hè rộng, Ô TÔ đỗ ngay sát nhà, KINH DOANH các lĩnh vực cực kỳ thuận tiện.  Xung quanh nhà tiện ích bạt ngàn: Chợ, Trường, các Bệnh viện lớn..                                                                                                                                                           + Nhà mói, thiết kế hiện đại, thoáng 3 mặt, đầy đủ công năng, khách, ngủ, bếp, thờ phơi, Khách chỉ việc dọn về ở ngay.                               Sổ đỏ cất két, sẵn sàng giao dịch.                                                                                                                                                                                                 LH: Vạn Lộc Hưng, 0913215721, 0969576525 ( Tư vấn và hướng dẫn xem nhà miễn phí)
",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808268.8765547, 1
"7,3 tỷ VNĐ",Đường Tân Mai phường Tân Mai, 38m2,, 33, 5, 6, 4,"NHÀ MỚI PHỐ TÂN MAI-LÔ GÓC-Ô TÔ TRÁNH -GẦN TRƯỜNG ,CHỢ-BẤT CHẤP KINH DOANH SPA,VĂN PHÒNG,KINH DOANH ONLINE . + Tầng 1; Phòng khách thông +bếp +wc. + Tầng 2,3,4 ,tổng 6 phòng +wc .  + Tầng 5 , phòng thờ +sân phơi . + Sổ đỏ vuông vắn ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808270.6209269, 4
,phố hòng văn thái, 37m2,,,,,,"GẤP! GẤP! SIÊU VÍP BÁN NHÀ HOÀNG VĂN THÁI 37m2 x 4 T 5,9 TỶ Ô TÔ KD  +  Vị trí siêu đỉnh, 37 m2 x 4 tầng giá 5,9 tỷ, ô tô đỗ cổng, ngõ ô tô tránh, nhà phân lô quân đội, giao thông thuận tiện, khu vực an sinh đỉnh, dân trí cao. Ngõ thông tứ phía. + Nhà cách đường ô tô tránh 15m, buôn bán, kinh doanh sầm uất, tiện ích quanh nhà. + Nhà thiết kế hiện đại, mỗi tầng 2 phòng, cầu thang giữa. - Tầng 1: Khách, bếp, vệ sinh - Tầng 2,3: Mỗi tầng 2 phòng ngủ + vệ sinh - Tầng 4: 2 phòng + sân phơi. + Phòng nào cũng có cửa sổ thoáng sáng. +Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch. +LH: Hoàng Bắc, ĐT: 0377610275- 0913319643, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808271.7658231,
62 tỷ VNĐ,Hai Bà Trưng Hoàn Kiếm, 118m2,, 4,,,,"Diện tích 118m2, mặt tiền 4,5m, 62 tỷ Vị Trí : Nhà mặt phố rất thích hợp xây văn phòng, khách sạn.+ Thửa đất vuông vắn.- Nhà 2 tầng chủ xác định bán đất nên không có gì nhiều để mô tả!  + Sổ Nở hậu đẹp , sẵn sàng giao dịch.Giá 62 tỷ có thương lượng! Alo cho em để được tư vấn 0385 94 1802Miễn TG Quảng Cáo! ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808272.9446716,
