price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
"4,98 tỷ VNĐ",Trần Duy Hưng - Cầu Giấy - Hà Nội, 52m2,"+ Vị trí tuyệt vời, ngõ thông tứ phía, cách ô tô chỉ 50m, ngay gần BigC Thăng Long, tiện ích xung quanh không thiếu thứ gì gần nhiều trường học các cấp, chợ, TTTM... giao thông kết nối Nguyễn Chánh, Trung Kính, Trung Hòa, Nguyễn Ngọc Vũ, Nguyễn Khang, Nguyễn Thị Định, Đỗ Quang... đi lại thuận tiện. + Nhà thiết kế xây 4 tầng, 2 mặt thoáng trước sau nên phòng nào cũng đón ánh sáng tự nhiên. - Tầng 1: Phòng khách, bếp, vệ sinh.- Tầng 2, 3: Mỗi tầng 2 phòng + vệ sinh.- Tầng 4: Phòng thờ và sân phơi. + Sổ đỏ vuông vắn, sẵn sàng giao dịch. + Giá: 4.98 tỷ (Thương lượng). + Liên hệ: Mr. Tiến Hoàng - 0368190444 - Tư vấn nhiệt tình, tận tâm, miễn phí 24/7.+ Vị trí tuyệt vời, ngõ thông tứ phía, cách ô tô chỉ 50m, ngay gần BigC Thăng Long, tiện ích xung quanh không thiếu thứ gì gần nhiều trường học các cấp, chợ, TTTM... giao thông kết nối Nguyễn Chánh, Trung Kính, Trung Hòa, Nguyễn Ngọc Vũ, Nguyễn Khang, Nguyễn Thị Định, Đỗ Quang... đi lại thuận tiện. + Nhà thiết kế xây 4 tầng, 2 mặt thoáng trước sau nên phòng nào cũng đón ánh sáng tự nhiên. - Tầng 1: Phòng khách, bếp, vệ sinh.- Tầng 2, 3: Mỗi tầng 2 phòng + vệ sinh.- Tầng 4: Phòng thờ và sân phơi. + Sổ đỏ vuông vắn, sẵn sàng giao dịch. + Giá: 4.98 tỷ (Thương lượng). + Liên hệ: Mr. Tiến Hoàng - 0368190444 - Tư vấn nhiệt tình, tận tâm, miễn phí 24/7.",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822361.1935287,,,,,
"4,95 tỷ VNĐ",mỗ lao, 50m2,"+ Bán nhà. Thamh Bình, Hà Đông. Ô tô Kinh Doanh 50m2 x 3 tầng. Giá 4.95 tỷ.  Ô TÔ ĐỖ CỬA – KINH DOANH THUẬN TIỆN - 2 MẶT THOÁNG + Nhà chủ tự xây chắc chắn lên tầng thoải mái + Nhà nằm trung tâm Hà Đông giao với các đường: Trần Phú, Quang Trung, Phùng Hưng, Tố Hữu. Giao thông quá thuận tiện. Nhà gần các trường đại học như Học Viện Bưu Chính Viễn Thông, Đại Học Kiến Trúc. Gần Chợ Hà Đông, Siêu thị Bigc Hồ Gươm và rất nhiều tiện ích xung quanh. + Sau quy hoạch nhà ra sát phố. Thiết kế 3 tầng: + Tầng 1: Phòng khách và bếp + Tầng 2: 2 phòng ngủ và wc + Tầng 3: Phòng thờ, sân phơi  + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0988960891  ",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822362.4447584,, 3,, 3, 2
"6,2 tỷ VNĐ",Phố Khương Hạ, 50m2,"+ Ngõ thông sang phố Bùi Xương Trạch, Vũ Tông Phan - kinh doanh gara ô tô gần nhà có bãi đỗ ô tô ngày đêm.+ Khu vực trung tâm tiện ích không thiếu thứ gì: Trường mầm non đến cấp 3, siêu thị, chợ…+ Hàng xóm công chức nhà nước, không gian sống yên tĩnh.+ Sổ đỏ sẵn sàng giao dịch,pháp lý sạch.",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822363.53285, 4, 4,, 4,
,"TĐC Vai Réo, Phú Cát, Quốc Oai, Hà Nội", 100m2,"Khu TĐC Vai Réo lõi đô thị vệ tinh Hoà Lạc DT = 100m2 giá mềm nhất thị trường- Gần nhà máy in tiền lớn nhất QG- Gần tổ hợp 8 nhà máy của tập đoàn Phelika- 5' di chuyển đến ĐHQG Hà Nội- Giao thông kết nối hoàn hảo với QL21 và Đại lộ Thăng Long- Hạ tầng đồng bộ đường 10m, vỉa hè 3mLH 0978862329 Mr Hoàng để biết thông tin và đi xem đất",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822364.9082053, 5,, 10,,
"5,6 tỷ VNĐ","đường Nguyễn Viết Xuân, phường Quang Trung", 48m2,"+ Cần bán gấp nhà Nguyễn Viết Xuân-phường Quang Trung 48m2*4tầng chỉ 5,xtỷ + hãy xem căn này,ngỡ ngàng với lợi ích không ngờ, nhìn là thích, xem là mê + Một nhà ra phố , ô tô đỗ cửa,ô tô tránh,+ ngõ thông tứ tung đường trước, đường sau, tha hồ thoáng+ tiện ích xung quanh vô vàn thuận lợi, gần Bệnh viện Hà Đông, Bv Mắt, chợ Vồ Nguyễn Thái Học, cách 200m ra phố Bế Văn Đàn, ra KĐT Ngô Thì Nhậm…công viên , giải trí ,mua sắm ,không thiếu gì…+ thiết kế hiện đại đầy đủ công năng sử dụng, 4 phòng ngủ,wc….+ sổ đỏ đẹp chính chủ sẵn sàng giao dịch + giá tham khảo 5,6tỷ (có thương lượng)+ Gọi ngay Mrs Hương 091,6144,766 Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822366.0022418,, 5,, 4, 4
2 tỷ VNĐ,"Chính chủ bán nhà vị trí đẹp tại Tổ 8, Phú Lãm, Hà Đông, hơn 2 tỷ, 0912536483", 50m2,"Chính chủ bán nhà vị trí đẹp tại Tổ 8, Phú Lãm, Hà Đông, hơn 2 tỷ, 0912536483 Tôi chính chủ cần bán gấp lại căn nhà do chuyển đổi mục đích sử dụng chuyển nhà ra mặt phố và làm kinh doanh buôn bán. Nhà mới xây lại và các thiết bị, nội thất.... đều mới tinh và rất hiện đại. Và căn nhà này ở rất có lộc.  + Diện tích: 50m2, ,MT: 7m, nhà xây 4 tầng + Pháp lý: Sổ đỏ chính chủ.  + Thiết kế ngôi nhà gồm: 4 phòng ngủ,1 phòng khách,1 phòng bếp,1 phòng thờ ,1 sân phơi  + Nhà hướng đông nam nên vô cùng khô ráo, sạch sẽ và mát mẻ  + Nhà nằm trong khu vực dân cư đông đúc, nhưng yên tỉnh, dân trí cao, an ninh cực kỳ tốt  + Nhà nằm gần các trung tâm thương mại, dịch vụ, bệnh viện trường hoc, chợ đầu mối... nên vô cùng tiện ích   Giá bán 2 tỷxx có thương lượng cho Khách thiện chí và mua sớm.  Liên hệ chính chủ:Mr Phượng 0981859196 - 0912536483       http://www.sanbatdongsanviet.com.vn",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822366.9877324,,,,,
"3,15 tỷ VNĐ","Đường Thanh Lân, Phường Thanh Trì.", 37m2,"Mô tả: + Nhà mặt ngõ to, ô tô đỗ cửa.         + Nhà MỚI xây 4 tầng, THIẾT KẾ HIỆN ĐẠI, kiên cố, chắc chắn, về sẵn ở, an ninh tốt, hang xóm thân thiện.+Tầng 1 phòng khách, Bếp. +Tầng 2,3 Mỗi tầng 1 phòng ngủ + WC rộng. + Tầng 4 với 1 Phòng ngủ và 1 phòng thờ. + TẶNG TOÀN BỘ NỘI THẤT SỊN XÒ TRONG NHÀ. + Bán kính 500m Gần các trường học như cấp 1,2,3 , chợ Nam Dư, Chợ Lòng Thuyền, 2km ra Bệnh viện Thanh nhàn, Bạch Mai, và các trường ĐH lớn Như Bách Khoa, KTQD, Xây Dựng…. + Giá chào 3.15 tỷ,  Có gia lộc. + Diện tích 37m2. + Sổ đỏ sắn giao dịch. + Anh/Chị xem nhà vui long Liên Hệ: Mr Nguyễn Dương – 0825920555.",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822368.1217372, 3, 4, 3, 3,
"4,85 tỷ VNĐ","Mỗ Lao, Hà Đông", 45m2," MỖ LAO – HÀ ĐÔNG, PHÂN LÔ -Ô TÔ ĐỖ CỬA, 45M2 – 4.85 TỶ Khu vực Mỗ Lao – Hà Đông, thông thương Vũ Trọng Khánh, Nguyễn Văn Lộc, Tố Hữu, Thanh Bình, Trần Phú. Khu vực phát triển, ngay gần Làng Việt kiều Châu Âu. Có quy hoạch mở đường nhà chỉ cách phố 2 nhà, tương lai sáng lạn. Nhà vị trí cực đẹp, ô tô đỗ cửa, cách mặt phố 20m. Nhà xây kiên cố kết cấu 3 tầng chủ cũ đã sửa sang, chỉ việc về ở, dễ dàng cải tạo thêm phòng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ: Phương - 0918120568",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822369.2896132, 3, 4,, 3,
"2,79 tỷ VNĐ",Viện rau khu B -Trâu Quỳ - Gia Lâm - Hà Nội, 60m2,"- Cần bán nhanh thửa đất đẹp vuông vắn không lỗi phong thủy tại viện rau khu B thị trấn Trâu Quỳ - Gia Lâm – Hà Nội. - Khu vực dân cư đông đúc tiện ích xung quanh đầy đủ trong bán kính 500m có chợ dân sinh, trường học các cấp, trạm y tế và bệnh viện, trung hành chính thị trấn và huyện,…. - Giao thông thuận tiện cạnh đường gom cao tốc, nút giao Cổ Linh di chuyển dễ dàng đi Long Biên, vào nội thành, cầu Thanh Trì, vành đai Trâu Quỳ, Ngô Xuân Quảng,… - Không khí trong lành, an ninh tốt, nhiều cây xanh thoáng mát vô cùng, khu phân lô bàn cờ cho cán bộ của trường Nông Nghiệp I, dân trí cao, an ninh tốt. - Thửa đất vuông vắn trước sau như một mặt tiền 4m, mặt trước đường bê tông 5m mặt sau đường thoát hiểm 1m, gần ngã tư thông các ngả. - Sổ đỏ chính chủ, pháp lý chuẩn giá hợp lý nhất khu vực trâu quỳ và thời điểm hiện tại chỉ 46.5tr/m2. Liên hệ xem đất và biết thêm thông tin chi tiết E.Nhật: 0982852808, 0948584888.",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822370.4904008, 4,, 5,,
"5,09 tỷ VNĐ",Đường Tiên Kha phường Tiên Dương, 72m2,"Bán đất đấu giá X5 Trung Oai Tiên Dương Đông Anh ✅ Lô A02  Diện tích 80.99m2 Mặt tiền 5m, 2 mặt đường trước sau Vỉa hè 3m, đường 7m kinh doanh ngày đêm ✅ Lô A04  Diện tích 83.21m2 Mặt tiền 5m, 2 mặt đường trước sau Vỉa hè 3m, đường 7m kinh doanh ngày đêm✅ Lô A17  Diện tích 71.7m2 Mặt tiền 4.2m Vỉa hè 3m, đường 7m ✅ Vị trí khu đấu giá:  Đất đấu giá X5 Trung Oai Ngay cạnh đường Cao Lỗ kéo dài chuẩn bị mở
 Cách 50m về phía Nam là Dự án Tổ hợp Y tế - Chăm sóc sức khỏe Công nghệ cao TH Medical quy mô số 1 ĐNÁ
 Cách Dự án Công viên Văn hóa du lịch vui chơi giải trí Kim Quy 300m
 Ngay sát đường Võ Nguyên Giáp, chỉ 3p lái xe ra cầu Nhật Tân, 10p lái xe có mặt tại sân bay Nội Bài
 Cách trung tâm hành chính Đông Anh 1.5km
 
 Em Tùng 0979.090.313
– Tư vấn nhà đất Đông Anh miễn phí.
– Kiểm tra quy hoạch mới nhất giá rẻ.
– Hỗ trợ vay vốn ngân hàng
",31/05/2022,Tin thường,batdongsan_so_com_vn_1673822371.5156584, 4,,,,
