price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet
"2,4 tỷ VNĐ","lô góc 20m ra mặt phố Đội Cấn, Quận Ba Đình", 19m2, 4,"CHÍNH CHỦ BÁN NHÀ LÔ GÓC, 20M RA MẶT PHỐ ĐỘI CẤN, BA ĐÌNH,19m2, GIÁ 2.4 TỶNhà lô góc, ngõ thẳng, nông, ngõ rộng 2m . Ra mặt phố chỉ 20m - Sổ đỏ chính chủDiện tích thực tế: 19m2- Nhà xây 3,5 tầng KCBT chắc chắn, thiết kế hợp lý gồm có: 2 phòng ngủ, 2 vệ sinh- Nhà lô góc 2 mặt  thoáng, rất tốt cho sức khỏe*** Vị trí đắc địa, giao thông vô cùng thuận tiện đi các phố, đi mọi hướng- Nhà nằm vị trí trung tâm, gần Lăng Bác, gần Hồ Tây- Rất nhiều tiện ích xung quanh gì cũng cóGiá bán: 2,4 tỷ - Sổ đỏ chính chủ giao dịch ngayLiên hệ EM LAN: 0985883152 - Miễn tất cả Môi Giới, Trung Gian",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826308.144878, 2,,, 2
"1,7 tỷ VNĐ","số 55 ngõ 76 An Dương, Phường Yên Phụ, Quận Tây Hồ", 60m2, 2,"Chính chủ bán nhà số 55 ngõ 76 An Dương, Phường Yên Phụ, Quận Tây Hồngõ 76 An Dương, 2 tầng, MB 60m2, ôtô đỗ cửaDiện tích: MB 60m2, diện tích sử dụng 100m2, mặt tiền 4,5m- Nhà xây 2 tầng - Ô tô đỗ cửa- Khu giao thông thuận tiện, an ninh rất tốt, dân cư văn minh, thân thiệnGiá bán: 1,7 tỷ - Miễn TGChính chủ: 0901166526    Nguồn:  http://nhadathanoi.net.vn",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826309.2279806,, 4,,
"1,9 tỷ VNĐ",Thanh Nhàn - Hà Nội, 35m2,,"Nhà xây 3 tầng trên thiết kệ hiện đại tiện nghi là tâm huyết của chủ nhà dân xây dựng chăm chút từng viên gạch đường vữaVị trí đẹp thuộc đường Thanh Nhàn  là 1 trong những trung tâm của khu vực Hai Bà Trưng cũng như thủ đô. Giá đất chỉ có lên chứ không có xuống , khu dân trí cao, an ninh đảm bảo, căn nhà là tâm huyết cả đời của chủ khung cột bê tông cực kỳ chắc chắn, Giao thông cực kỳ thuận tiện, gần mặt phố ngõ thông tứ phía, kết nối Bạch Mai, Lê Thanh Nghị, Kim Ngưu gần các trường đại học lớn như ĐH Xây Dựng, ĐH Bách Khoa, Đại Học Y, ĐH Kinh Doanh Công Nghệ. Gần các bệnh viện như: BV Bạch Mai, BV Thanh Nhàn, BV 108, ….Giá chào 1.9 tỷ có thương lượng cho khách hữu duyên.Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826310.1654727,,,,
"15,7 tỷ VNĐ",Hà Nội, 75m2,,"Chính chủ cần Bán nhà đường Hồ Đắc Di quận Đống Đa, kinh doanh khủng.Liên hệ xem nhà 24/7: 0366 555 258.Ngõ phân lô ô tô tránh, thông tứ phía, an sinh đỉnh, nhộn nhịp, kinh doanh tấp nập suốt ngày đêm.Nhà ở vị trí cực đẹp, đất lành nhiều lộc, dân trí cao, an ninh tốt, nhiều tiện ích.Diện tích 75 m2 thiết kế rất đẹp, xây dựng chắc chắn 6 tầng thang máy.Nội thất cao cấp nhập khẩu châu Âu, chỉ việc về ở luônSĐCC, nở hậu, giao dịch ngayGiá chào bán chỉ 15.7 tỷ thương lượng, giảm sâu cho người mua nhanh gọn.Xem nhà miễn phí 24/7 liên nhanh Nguyễn Thanh - SĐT: 0366 555 258.",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826311.266612,,,,
,"Bán Nhà Nguyễn Văn Linh, Long Biên, 3 bước ra phố,60m2 ,4.75 tỷ", 60m2,,"Vị trí: mặt tiền rộng- kinh doanh- gara oto- nhà đẹp ở luônThiết kế: Nhà Khung cột bê tông cốt thép kiên cố.Tầng 1: phòng khách+gara , WC, bếp.Tầng 2+3 : 2 ngủ + WcTầng 4: phòng thờ, sân phơi.Nhà cũ bán đất tặng nhà , nhà mình nằm vị trí rất đẹp giữa cầu Vĩnh tuy và Chương dương . Trước nhà oto tránh nhauSổ đỏ chính chủ, vuông vắn sẵn sàng giao dịch 24/7Liên hệ (call/zalo): 0965492571 Mr: Trác",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826312.280859,, 5,,
"3,1 tỷ VNĐ",Định công thượng, 38m2, 4," Nhà 4 tầng, 4 ngủ,  đủ công năng. + Ngõ rộng thênh thang, SH quay đầu thoải mái + ô tô gần nhà, cách nhà 10 bước chân + Giao thông thuận tiện: gần cầu Lủ, sát phố Vũ Tông Phan, Khương ĐÌnh, Kim Giang, Hoàng Đạo Thành. + gần trường học các cấ, chợ trung tâm + sổ đỏ chính chủ, sẵn sàng giao dịch Giá 3.1 Tỷ ( có thương lượng) Liên hệ: Ms THU 0886981095 ( THU THỔ)liên hệ ngay với THU THỔ để được tư vấn mua được căn nhà ưng ý nhất. Dịch vụ miễn phí 24/7! “Khách hàng mua được nhà là niềm vui của tôi!”   ",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826313.3958757, 4, 3, 38, 3
2 tỷ VNĐ,"Phố Đê La Thành, Đống đa", 22m2, 5,"+ Chính chủ cần bán nhà Phố Đê La Thành, Đống Đa, nhà lô góc, cực thoáng, ngõ ba gác quay đầu thoải mái, tổng diện tích xây dựng gần 100m2, mặt tiền 4m, nhà 5 tầng. + Nhà Trung tâm quận Đống Đa, thông phố Hào Nam, tiện lợi ra phố Giảng võ, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ. + Sổ đỏ đẹp, sẵn sàng giao dịch Giá thoả thuận Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826314.3672774, 3, 4,, 3
"4,3 tỷ VNĐ","Láng Hạ, Đống Đa", 35m2,,"Bán nhà phố Láng Hạ, DT 35m2, MT 7,2m, 5 tầng, Nhà mới, Khu an sinh tốt nhất khu vực. + Trung tâm tiện ích nhiều, gần chợ, gần trường ĐH Ngoại Thương, ĐH Ngoại Giao. + Ngõ trước nhà  ba gác tránh, thoáng sáng trước, sau. Nhà đi vào được bằng nhiều hướng. + Sổ đỏ nở hậu chính chủ giao dịch ngay. + Liên hệ em Thái để được xem luôn và ngay.",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826321.1737602,,,,
3 tỷ VNĐ,Phường Mỹ Đình, 32m2,,"Cực Hót..Bán nhà Đình Thôn 32M2. Ô tô tránh xe máy,ba bước chân ra chợ . Giá 3 tỷ.+  Nhà xây thiết kế mới chắc chắn, công năng đầy đủ tiện ích.+Tuyến phố có nhiều Trường học các cấp, Dân cư tập trung đông đông đúc, nhiều cư dân Hàn Quôc sinh sống khu văn hóa văn minh, an ninh tốt,nhiều sinh viên kinh doanh buôn bán tấp nập.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá:3 tỷ.Liên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7. ",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826322.0264537,,,,
"5,53 tỷ VNĐ",Vạn Phúc- Hà Đông, 47m2,,"Cần bán nhà 47mx 4 tầng, ô tô tránh, dân xây, Vạn Phúc, Hà Đông Cần bán nhà đẹp vị trí nằm trên con phố nổi tiếng với làng Lụa, Vạn Phúc, nhà dân xây chắc chắc, các tầng thoáng sáng chỉ việc xách vali đến ở, ngõ ô tô thông vòng quanh, đường trước nhà ô tô tránh rất hiếm tầm tiền không có căn thứ 2. Cạnh nhà cách chợ Hà Đông chỉ 100m, gần với siêu thị Metro, di chuyển qua phố Lê Lợi, thông ra Hà Cầu, cắt ngang qua Hoàng Diệu, vài bước ra Văn Quán. Khu văn minh, môi trường trong lành toàn cán bộ cấp cao, an ninh tuyệt đối. Sổ đỏ vuông như A4, sẵn sàng giao dịch. Giá: 5.53 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",01/05/2022,Tin thường,batdongsan_so_com_vn_1673826322.8362932,,,,
