price,address,Lộ giới,Details,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
"4,5 tỷ VNĐ",Trương Công Định,,"Chỉ 4,5 tỷ có ngay nhà 39m x 5 tầng Lô góc, Ô tô đỗ cửa, vị trí siêu đẹp, trung tâm phố cổ Trương Công Định Hà Đông. ✅ VỊ TRÍ : - 3 MẶT THOÁNG, tầng thượng view Chung cư , đường thông tứ tung, Ngô Gia Khảm, Phan Huy Chú, Nguyễn Thái Học... Đường trước nhà 4m, ô tô đỗ cửa thoải má. ✅ Vị trí siêu đắc địa, khu vực trung tâm và sầm uất nhất Hà Đông, di chuyển đi đâu cũng gần. Phục vụ mọi nhu cầu học tập, giải trí, an sinh tiện ích. Hàng xóm thân thiện, an ning tuyệt vời! ✅ THIẾT KẾ : Tầng 1 Thông sàn khách + bếp + wc. Tầng 2,3,4: Mỗi tầng 1 phòng + wc siêu rộng + siêu thoáng mát . + Tầng 5: Phòng thờ + sân phơi + tiều cảnh vường thượng uyển thưởng trà . ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.  LH NGỌC SƠN 0812316789 ( Thổ Cư Hà Đông ). + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng! ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797343.756572, 39m2,, 5,,
31 tỷ VNĐ,Đường Vĩnh Phúc phường Vĩnh Phúc,,"
    Em Hưng bất động sản thật, giá trị thật.
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797344.9128995, 197m2, 8,,,
"3,75 tỷ VNĐ",Đường Phú Kiều phường Phúc Diễn, 3,"Bán gấp nhà Phú Kiều, Bắc Từ Liêm, 4 tầng x 42m2, ô tô đỗ, 3.75 tỷ - Nhà nằm vị trí đẹp, rông thoáng ra Cầu Diễn, Mỹ Đình rất gần. - Khu vực xung quanh an sinh xã hội tốt, gần nhiều trường mầm non, c1,c2,.. - Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Liên hệ Thế Tuấn ĐỂ XEM NHÀ VÀ TƯ VẤN PHÁP LÝ: 0389001010",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797346.1397815, 42m2, 6, 4, 4, 3
"5,3 tỷ VNĐ",Đường Đê La Thành phường Ô Chợ Dừa, 2,"
    - Vị trí nhà nằm ở phố Đê La Thành to, đoạn gần phố Ô Chợ Dừa, ngõ thông sang Hào nam, Vũ Thạnh, nhà mình bán cách chỗ ô tô đỗ khoảng 40m, đường vào nhà rộng rãi, trước nhà có sân để khoảng 2 3 xe máy thoải mái - Thuộc khu vực dân trí cao, dân cư đông đúc, gần các trường Nhạc Viện, Đại học Văn Hóa, Đại học Mỹ Thuật công nghiệp, THPT Đống Đa, mọi tiện ích chỉ cách nhà vài bước chân bao gồm siêu thị Winmart, chợ dân sinh, hồ Hoàng Cầu - Nhà đẹp long lanh, lô góc 3 mặt thoáng vĩnh viễn, diện tích chuẩn 40m2 xây 4 tầng thiết kế 3 Phòng ngủ rộng rãi, mặt tiền lớn 4m ===> giá chỉ 5.3 tỷ ( có thương lượng )- Chủ nhà làm ăn phát đạt, con cái học hành giỏi giang, rất có lộc nay rất thiện chí bán- Sổ đỏ nở hậu, pháp lý chuẩn, giao dịch trong ngày Liên hệ Mr Tú ( Call.Sms.Zalo ) - cam kết thông tin và hình ảnh là thật ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797347.3805225, 40m2, 4, 4, 3, 3
6 tỷ VNĐ,Đường Núi Trúc phường Kim Mã, 4,"Bán nhà Núi Trúc, Ba Đình 55m2 4T 6 tỷ. MỚI ĐẸP, Ở NGAY 0912288365. Khu vực rất ít nhà bán, vị trí vô cùng đẹp cách mặt phố 35m, không lỗi phong thuỷ. Thiết kế hiện đại, đầy đủ công năng, nội thất nhập ngoại. Giao thông thuận tiện Kim Mã, Giảng Võ, Nam Cao, Đào Tấn… Sổ đỏ chính chủ pháp lý rõ ràng. Giá bán 6 tỷ LH Call/Zalo Cường Nhà Phố 0912288365. ( Miễn phí xem nhà, hỗ trợ pháp lý, cùng hàng nghìn căn nhà đẹp giá tốt )",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797348.753929, 55m2, 5, 4, 4, 4
"6,1 tỷ VNĐ",đường Đình Quán, 3,"GIÁ RẺ NHẤT, ĐẦU TƯ, KINH DOANH, Ô TÔ VÀO NHÀ, XÂY CHUNG CƯ MINI,… LH: 0345752279 S = 102m, mặt tiền 6m, giá 6.1 tỷ Địa chỉ: Đường Đình Quán, quận Bắc Từ Liêm. + Nhà gần nhiều tiện ích: Chợ, trường học các cấp, các trường Đại học lớn: Đh Công Nghiệp, Đh Thành Đô, Cao đẳng FPT, Cao đẳng Công nghiệp In, Cao đẳng Y dược Tuệ Tĩnh, Cao đẳng Kinh tế Công nghệ,… + Giao thông các tuyến: Cầu Diễn, Hồ Tùng Mậu, Cầu Giấy, bến xe Mỹ Đình, Xuân Phương, Phú Diễn, Ngọa Long, Nguyên Xá,… + Sổ đỏ chính chủ, nở hậu nhẹ cực đẹp, chủ nhà thiện chí. * Liên hệ em Bình để xem đất miễn phí, không tiếp môi giới.",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797350.243649, 102m2, 6, 1,,
"5,4 tỷ VNĐ",Đường Ngõ Quỳnh phường Thanh Nhàn, 3,Tầng lửng: Khách + bếp. + Sổ đỏ vuông đẹp. ,04/10/2022,Tin thường,batdongsan_so_com_vn_1673797351.9098861, 40m2, 4, 5, 4, 4
"15,5 tỷ VNĐ",Đào Tấn Ba Đình Hà Nội,,"- Dt 55m2 X5 Tầng. Mt 6m.  Giá bán 15.5 tỷ ( có thương lượng )  - Nằm trong khu vực cực kỳ đông đúc và sầm uất. Kinh doanh mọi loại hình. - Ngõ 12 Đào Tấn ô tô tránh, thông sang Phan Kế Bính, Linh Lang. Khu vực trung tâm toàn cán bộ cấp cao và người Nhật - Hàn sinh sống.  - Nhà Lô góc thoáng sáng, ô tô vào nhà!  - Thiết kế 5 tầng đầy đủ công năng sử dụng!  - Sổ đỏ chính chủ. Pháp lý chuẩn.  Liên hệ với em để được tư vấn.  Miễn ( TG Quảng Cáo )",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797353.782875, 55m2, 6, 5, 3, 3
11 tỷ VNĐ,Đường Việt Hưng phường Việt Hưng, 10,,04/10/2022,Tin thường,batdongsan_so_com_vn_1673797355.0659592, 110m2, 5, 3, 3, 3
15 tỷ VNĐ,Đường Việt Hưng phường Việt Hưng, 10," - Biệt thự xây 6 tằng chắc chắn, thiết kế hiện đại,view vườn hoa thoáng sáng, đủ công năng sử dụng. ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797356.4741704, 90m2, 6, 6, 5, 5
