price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng
"9,5 tỷ VNĐ",Cầu giấy, 50m2,,"BÁN NHÀ DƯƠNG KHUÊ VỀ QUÊ 50M 4T Ô TÔ NHỈNH 9 TỶVị trí siêu ĐẸP HOT Trung tâm phát triển.Giữa Cầu Giấy và Mỹ Đình, Xung quanh là Bến xe, các Đường chính lớn, Phạm Hùng, Hồ Tùng Mậu, Lê Đức Thọ, Hàm Nghi.. Trường Đại Học Thương Mại, Sư Phạm, Quốc Gia.. Công viên điều hòa.Sổ đẹp, pháp lý sạch, sang tên nhanh gọn.Thiện trí xem nhà gọi Em Trung 0812212525",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814255.568797,,,,,
4 tỷ VNĐ,Ngõ 59 Mễ Trì Hạ, 36m2,,"Bán gấp nhà 5 tầng ngõ 59 Mễ Trì Hạ36m2 x 5 tầngMặt tiền rộng 5mNhà mới xây, khung cột chắc chắn, trang bị đầy đủ chỉ việc ở Sổ đỏ chính chủ, sẵn sàng giao dịch Xung quanh đầy đủ tiện ích của các khu đô thị đẳng cấp như The Garden, Golden Palace, Vinhomes Green BayGiá 4 tỷ",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814256.8294234, 5, 5,,,
"999,999 triệu VNĐ",Đường 1 phường Cổ Đông, 60m2,,"Pháp lý rõ ràng, an toàn:- Cách QL21 chỉ 200m.- Cách trục hồ Tây Ba Vì 1km.- Tiếp giáp với QL21A dễ dàng kết nối trọng điểm trung tâm Hà Nội.Liên hê e Thành 0986004390 để xem đất",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814258.1648552, 5,,,,
"3,1 tỷ VNĐ",Đường Bưởi phường Vĩnh Phúc, 33m2, 3,"
    




Tôi cần bán nhà phố đường Bưởi, Ba Đình, Hà Nội. Vị trí đường Bưởi, gần lối rẽ đường Hoàng Hoa Thám, đường Thụy Khê, đường Vĩnh Phúc, DT 33 mét x 5 tầng khép kín x mặt tiền hơn 4 mét, cầu thang cuối, 4 phòng ngủ khép kín, 1 phòng thờ và phòng giặt phơi đồ, nhà xây khung cột rất chắc chắn, có sân chung để xe máy rộng, phía ngoài cổng ngõ rộng thoáng, đường thông, cách ngõ chính 10 mét. Không gian sống thoáng đãng, đi lại thuận tiện, hàng xóm thân thiện. Người có nhu cầu mua để ở hoặc đầu tư trữ tiền, cho thuê, đầu tư lướt bán OK.

Giá 3.1 tỷ có TL, sổ chính chủ, bao sang tên, thủ tục ra sổ.

Gọi ngay để xem nhà miễn phí, LH 0949769696
",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814259.5700908, 4, 5, 4, 4,
17 tỷ VNĐ,"Cầu Giấy, Hà Nội", 70m2,,"Chỉ 17 tỷ có nhà Cầu Giấy-70m2x5 tầng- nhà mới ở luôn - Nhà thiết kế 70m2, 5 tầng, 1 tum, 7 phòng ngủ, 5wc - Vị trí đẹp, đường trước mặt 5m, vỉa hè 2m, thoáng sau 3m, có hốc chờ để lắp thang máy - Nội thất cao cấp, đầy đủ * Sổ đỏ chính chủ, sẵn sàng giao dịch => Giá thương lượng: 17,7 tỷ AC quan tâm liên hệ em Thắm 0868266138",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814261.266553,,,,,
"7,9 tỷ VNĐ",la khê, 58m2,,"Bán Nhà, Lê Trọng Tấn, Hà Đông. Ô Tô Kinh Doanh 58m2 x 5 tầng. Mặt Tiền 4m Giá 7.9 Tỷ.   MẶT PHỐ  – KINH DOANH SẦM UẤT – NỞ HẬU – NHÀ MỚI KÍNH KOONG  + Nhà mặt phố Lê Trọng Tấn, trung tâm Hà Đông, giao với Đường Quang Trung, đường Trần Phú đi Ngã Tư Sở, Bến Xe Yên Nghĩa, Láng Hoà Lạc, Tố Hữu, giao thông rất thuận tiện cho việc di chuyển nội thành và các tỉnh lân cận khác. + Nhà gần trường học các cấp, gần Uỷ Ban Nhân Dân và Công An Phường La Khê, gần chùa Bia Bà, bệnh viện Đa Khoa Hà Đông, Siêu Thị Mêtroo, Trung Tâm Thương Mại AON, Nhà gần tuyến xe buýt nhanh và ga tàu điện trên cao. Giao thông thuận tiện, an ninh an toàn, đầy đủ tiện ích xung quanh. + Nhà mặt phố thuận tiện cho việc kinh doanh các mặt hàng và các dịch vụ thiết yếu.  + Nhà thiết kế 5 tầng:                                                                                                          - Tầng 1: Phòng khách, bếp, wc, - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5: Phòng thờ và sân phơi. + Nhà chủ tự xây, khung cột bê tông chắc chắn, nhà nở hậu rất đẹp, mặt tiền khủng. Chủ bán để vào Nam sinh sống với con.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814262.6059701, 4, 5, 6, 4,
"13,2 tỷ VNĐ","Đặng Xá, Gia Lâm, Hà Nội", 132m2,,"Cần Bán Căn Shophouse 4 Tầng Lan Viên KĐT Đặng Xá, Gia Lâm, Hà Nội  Diện tích 132m2. Mặt tiền 6m. Đường rộng vỉa hè Nhà phố Lan Viên thiết kế hiện đại, là khu nhà phố thương mại, kinh doanh Bàn giao hoàn thiện mặt ngoài và thô mặt ttrong, thiết kể theo sở thích từng gia đình.  Vị trí đắt địa, gần khu thương mại, dịch vụ kĐT Đặng Xá, Đường giao thông đồng bộ Quần thể dân cư đông đúc, dân trí cao, khuôn viện rộng lớn. Không khí trong lành, ánh sáng đầy đủ.  Đầy đủ tiện ích: Trường học các cấp, Bể bơi, dịch vụ ăn uống, văn phòng... Riêng khu Lan Viên dân cư đã về ở hơn 50%. Là khu nhà ở thấp tầng cuối cùng trong khu đô thị, vị trí đẹp nhất.  SĐT 0399 643 640 gặp Mr Công để xem nhà  #KĐT_Đặng_Xá, #Khu_đô_thị_đặng_xá #congbdsgialam",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814264.0042422,,,,,
"6,9 tỷ VNĐ",trích sài, 50m2, 4,"""Bán nhà phố Trích Sài _Hồ Tây.Thông các phố Thuỵ Khê- Trích Sài Diện tích sổ đỏ 46 dt sử dụng hơn 50 mét.Thiết kế Tầng 1 Bếp ,để xe .Tầng lửng phòng khách.Tầng 2 ,3 mỗi tầng 2 ngủ 1 WCTầng 4 2 ngủ ,1wcTầng 5 phòng thờ,sân phơi.Tầng 6 tum và vừon trồng hoa.Nhà có sân để xe.Đáp ứng căn hộ đầy đủ công năng sử dụng.Gía 6 tỷ900 Gọi cho mình đt 0903446991.Cảm ơn các bạn quan tâm.""",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814265.4154663, 4, 6, 6, 6,
"1,35 tỷ VNĐ",Đường Tân Phú phường Phú Cường, 42m2, 4,"BÁN NHÀ 3 TẦNG TẠI TÂN TRẠI PHÚ CƯỜNG GIÁ 1.350TYR 42M2- CÁCH QL2 200M-SÂN BAY NỘI BÀI 500M Vị trí : thôn Tân Phú - Xã Phú Cường - Sóc Sơn.CÒN CĂN TỪ 15 ĐẾN 22 VÀ 24NHÀ XÂY KIÊN CỐ RIÊNG MÓNG VÀ TƯỜNGNhà 3 tầng được thiết kế công năng như sau.Tầng 1 phòng khách + phòng vệ sinh + bếp ăn.Tầng 2 2 phòng ngủ + phòng vệ sinh.Tầng 3 sân phơi + ban thờ. Đường ô tô 7 chỗ thoải mái.Khu dân cư đông đúc gần nhiều tiện ích như sau.+ Cách Quốc Lộ 2 300m.+ Cách đường Võ Nguyên Giáp 2KMm+ Cách sân bay Nội Bài 500m.- Cách đường Võ Văn Kiệt 1km+ Khu hành chính công, chợ, trường cấp 1.2.3 bán kính 1.5km ",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814266.6441662, 4, 3, 2, 2,
"4,2 tỷ VNĐ",Kim Giang, 36m2,,"PHỐ KIM GIANG - THANH XUÂN - 5 TẦNG - MT 3.6m - Ở - Ô TÔ GẦN - 4.2 TỶ. + Trung tâm Phố Kim Giang, thông sang nhiều đường lớn: Nguyễn Xiển, Hoàng Đạo Thành, Khương Đình.+ Vị trí nhà đẹp, gần trường Cấp 1,2,3 Kim Giang. Chợ cách nhà 50m, gần bệnh viện, TTTM, Ô TÔ đỗ gần.+ Nhà cách đường lớn 70m, ngõ nông rộng, đường trước nhà rộng ba gác tránh xe máy. + Thiết kế nhà hiện đại, nội thất cao cấp, đầy đủ công năng sử dụng, khách mua về ở ngay. + Giá: 4.2 Tỷ ( Có thương lượng).+ Sổ đỏ chính chủ, pháp lý chuẩn, sang tên nhanh. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814268.289764, 3, 5,,,
