price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet,Mặt tiền
"7,85 tỷ VNĐ","Phan Xá, Uy Nỗ, Đông Anh", 120m2,,,"+ Bán thửa đất 120m , mặt tiền= mặt hậu =8m, khu đấu giá phân lô cách trục chính Cao Lỗ 1 đoạn. + Vị trị đẹp của TT Đông Anh, gần NVH  Đông Anh mới, gần UBND huyện Đông Anh, chợ TT Đông Anh. + Gần BV Đa Khoa Đông Anh, trường học Nguyễn Huy Tưởng, các ngân hàng, kinh doanh sầm uất. + Gần ngã tư Đản Mỗ quy hoạch đi Quang Minh và QL3 mới, tiềm năng vô cùng sáng. +Pháp lý chuẩn, sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá chào 7x tỷ có thương lượng, (Miễn Trung Gian & MG) + LH :  0889995548/0915126183 Đồng Thái Dự .",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823561.7710044,,, 8
"7,6 tỷ VNĐ","Quang Trung, Hà Đông, Hà Nội", 126m2,,," # Bán đất giá đầu tư, chia 3 lô tuyệt đẹp, mặt tiền rộng, 126m2 giá chỉ trên 7 tỷ.  + Vị trí mặt ngõ đẹp nhất trục đường Quang Trung quận Hà Đông.  + Đường trước nhà 3 gác tránh SH, 30m ra mặt phố chính Quang Trung, giao thông vô cùng thuận lợi.  + Gần chợ, trường C1, C2, trung tâm phố nhiều tiện ích.  + Hiện trạng đất chia thoải mái 3 lô vuông đẹp hoặc xây luôn tòa CCMN, đỉnh của đỉnh.  + Giá chỉ 7.6 tỷ.  + Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch.  # HotLine: 0983858722 Tình nhà phố ( chuyên nhà đẹp, nhà phố, dòng tiền, tiềm năng có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823562.8202043,,, 5
"7,5 tỷ VNĐ","Phú Diễn ,Từ Liêm", 60m2, 1, 2,"Mô tả: -Nhà nằm vị trí siêu của đẹp ,oto tránh nhau dư thêm vài chiếc xe máy. -Khu phân lô dân trí cao vỉa hè, oto đỗ cửa ngày đêm giao thông thuận tiện di chuyển. -Tương lai đường Hoàng Quốc Việt kéo dài cách nhà vài bước chân. -Khu vực đông dân cư ,tập chung nhiều sinh viên ,kinh doanh ,cho thuê mặt bằng ,văn phòng đều ok hết. -Diện tích 60m2 sổ vuông đét ,combo thêm chục mét vỉa hè kinh doanh cho đã. -Nhà cấp 4 hiện chủ đang cho thuê của hàng 15tr/tháng. -Chủ nhà hiền lành ,thiện chí bán để đầu tư kinh doanh. Liên hệ ngay Em Triệu 0986971596 để biết thêm chi tiết.",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823563.8125498, 10,, 3
"5,6 tỷ VNĐ",Đường Nguyễn Chí Thanh phường Láng Hạ, 45m2, 3, 1,"SIÊU PHẨM ĐỐNG ĐA 45m2 x3 TẦNG chỉ 5,6 TỶ***CAM KẾT HÌNH ẢNH THẬT 100% KHÔNG MẤT THỜI GIAN CỦA KHÁCH HÀNG  MÔ TẢ:Vị trí: Vip của vip, hàng xóm với Trung tâm thương mại Vincom và Bệnh viện Nhi TW. - Gần nhà là Đài truyền hình VN, trường ĐH Ngoại Thương, ĐH Ngoại Giao, ĐH Luật HN. Xung quanh dịch vụ, tiện ích tận răng.- Sổ đỏ nở hậu, 2 mặt ngõ, 7 chỗ đỗ cửa.Nhà do kiến trúc sư thiết kế, chủ làm tâm huyết để ở, cửa, sàn gỗ, cầu thang… full gỗ lim, nội thất toàn hàng đắt tiền và sẵn đủ mọi đồ, chỉ việc xách va ly về ở. + Sổ Đỏ chính chủ, có thương lượng, pháp lý chuẩn sẵn sàng giao dịch ngay.LH: Mr.Tiến- Thành thật tận tâm - Dẫn nhà thật - Tiết kiệm thời gianBên cạnh đó, còn vài chục căn nhà trên địa bàn quận và các tuyến phố lân cận với đa dạng phân khúc phù hợp với mong muốn của quý anh/chịChúc Quý anh/chị bình an và thật nhiều sức khoẻ!",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823564.90862, 1, 1, 4
"13,2 tỷ VNĐ",la khê, 65m2, 5, 8,"+ Bán nhà. Tố Hữu, Hà Đông. Ô tô Kinh Doanh 65m2 x 5 tầng, Mặt tiền 5m. Giá 13.2 tỷ.  SIÊU PHẨM MẶT PHỐ - KINH DOANH ĐỈNH - VỈA HÈ ĐÁ BÓNG  + Nhà mặt phố Tố Hữu kinh doanh, buôn bán siêu thuận tiện. Nhà gần trường học, siêu thị, chợ và các trung tâm thương mại lớn. Giao thông thuận tiện giao với các đường Lê Trọng Tấn, Lê Văn Lương Kéo Dài, an ninh an toàn. Nhà thiết kế 5 tầng thông sàng kinh doanh. Tầng 1,2,3,4 thông sàn, vs cầu thang cuối. Tầng 5: phòng thờ, sân phơi...  + Sổ đỏ cất két, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179 ",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823566.0754972,, 4, 5
,Đường Võ Chí Công phường Xuân La, 281m2, 3, 5,"- Hình thức sở hữu: Sổ đỏ lâu dài (được giới đầu tư quan tâm nhất).- Tên dự án: Udic Westlake Tây Hồ.- Diện tích: 281m2.. Các căn ki ốt/shophouse có mặt tiền rộng, trần cao, diện tích tính theo diện tích thông thủy, hệ số sử dụng mặt sàn 100%.4. Shophouse Udic Westlake nằm trên đường Võ Chí Công thuộc KĐT Ciputra, thừa hưởng toàn bộ những tiện ích sẵn có của Ciputra, cơ sở hạ tầng hiện đại, đẳng cấp vượt trội, cộng đồng có nếp sống văn minh cao, hội tụ các chuyên gia, giới thượng lưu sinh sống.- Giá bán: 58 triệu/m2 sổ đỏ lâu dài.
",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823567.0528793, 35, 4,
"7,6 tỷ VNĐ","Hoàng Hoa Thám, Hà Đông, Hà Nội.", 35m2, 5, 3," # Mặt phố Hoàng Hoa Thám, Hà Đông, vỉa hè, ô tô tránh kinh doanh tấp nặp. DT 35m2, 5T, mt 5.5m giá chỉ 7.6 tỷ. + Vị trí trục lõi phố cổ đắc địa kinh doanh sầm uất nhất nhì quận Hà Đông. + Đường trước nhà ô tô tránh, vỉa hè kinh doanh, giao thông thuận lợi.  + Khu vực buôn bán sầm uất phù hợp nhiều loại hình. + Nhà thiết kế thông sàn các tầng, công năng đầy đủ + Chủ mới mua về chỉ việc đến ở, kết hợp ở làm VP hoặc kinh doanh theo lĩnh vực của mình. + Giá 7.6 tỷ.( Vị trí hiếm nhiều khách tìm ). + Sổ đỏ vuông chính chủ, pháp lý chuẩn, giao dịch nhanh. # HotLine: Tình nhà phố 0983858722 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông - Hà Nội ).",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823568.08113, 10,, 5
"3,9 tỷ VNĐ","Nguyễn Văn Cừ, Long Biên, Hà Nội", 46m2, 5, 3,"Bán nhà riêng tại Nguyễn Văn Cừ, Long Biên, Hà Nội, nhà còn rất mới, nội thất xịn xò, có hành lang để xe bên ngoài   Vị trí: Nhà rất gần phố, Gara ô tô 24 /7. + Nhà gần bệnh viện lớn Tâm Anh, gần trường tiểu học Ngọc Lâm, cấp 2, gần khu vui chơi, giải trí, 5 phút là sang phố cổ trung tâm. Đường Nguyễn Văn Cừ to đẹp, đầy đủ tiện ích xung quanh. + Nhà có hành lang 2m để gần 10 xe máy của 2 nhà an ninh camera 24/7, ĐIỂM CỘNG LÀ KHÔNG BAO GIỜ PHẢI DẮT XE VÀO NHÀ, giúp cho nhà mình luôn sạch đẹp. - Tầng 1: Khách + bếp + WC - Tầng 2,3,4 : mỗi tầng 1 ngủ lớn,WC khép kín - Tầng 5 Phòng thờ+ sân phơi. - Giếng trời ánh sáng tự nhiên, lan tỏa cả căn nhà. + Sổ đỏ cất két, pháp lí chuẩn, sẵn sàng giao dịchLiên hệ Thịnh ( Zalo) 0368601632",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823569.283911,, 4, 6
"15,8 tỷ VNĐ",Ngọc Thụy Long Biên Hà Nội, 80m2, 6, 4,"
    + Bán nhà mặt phố Ngọc Thụy, gần cầu Long Biên, DT 80m2, 6 tầng, mặt tiền 4,5m, đường ô tô tránh, phù hợp kinh doanh hoặc cho thuê làm văn phòng…
+ Vị trí nhà sầm uất nhất phố đoạn đầu cầu Long Biên, hiện cho thuê 26tr/tháng tầng 1.
+ Thiết kế hiện đại T 1,2,3 thông sàn WC cuối, từ tầng 4 trở lên mỗi tầng 2 PN.
+ Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.
+ LH xem nhà 24/7 miễn phí: Dũng chuyên BDS thổ cư Hà Nội 0948677782.
",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823570.3520544, 6, 6, 4
"3,3 tỷ VNĐ","Đường Nguyễn Văn Linh, Phường Phúc Đồng, Long Biên, Hà Nội", 30m2, 5, 3,"Bán Nhà Nguyễn Văn Linh, Phường Phúc Đồng, Long Biên 30m2, 5T giá 3,3 tỷ Tầng 1: Phòng khách, bếp, vs. Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + vs khép kín. Tầng 5: Phòng thờ, sân phơi. Nhà thiết kế móng cọc bê tông cốt thép chắc chắn, kết nối thuận tiện các hướng như đường Nguyễn Văn Linh, Nguyễn Lam, Tân Thụy, Mai Phúc.. bán kính không xa Cầu Vĩnh Tuy, TTTM AEON, Sài Đồng, sân Gold Long Biên.. + Pháp lý rõ ràng, sẵn sàng giao dịch.",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823571.3304765,,, 4
