price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
34 tỷ VNĐ,"Đường Kim Mã, Kim Mã, Ba Đình", 127m2, 10, 4,"Bán nhà Kim Mã, Quận Ba Đình. -DT 127M2, 4 tầng, mặt tiền 6.2, giá 34 tỷ Khu vực nhiều tòa văn phòng, kinh doanh, ô tô tránh trước cửa. Đường trước nhà rộng, vỉa hè, hiện nhàđang cho thuê kinh doanh Nhà thoáng trước sau, khu dân cư người nước ngoài sinh sống nhiều, dân trícao, tiện ích ngập tràn.  - Tầng 1: 1 phòng + bếp +wc + để xe. - Tầng 2,3: mỗi tầng 2 phòng khép kín.  - Tầng 4: Phòng thờ, sân phơi - Sổ đỏ vuông đẹp, sẵn sàng giao dịch.  Lh: Ms Lan. 0977.130.938 ",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790306.8898084, 6,,,
"5,5 tỷ VNĐ","Đường Láng Thượng, Láng Thượng, Đống Đa", 45m2, 3, 5,"+ Chính chủ cần bán căn nhà Phố Đường Láng, Phường Láng Thượng, Quận Đống Đa, diện tích 45m2 x 5 tầng mặt tiền rộng giá 5,5 tỷ kinh doanh nhỏ. + Vị trí tuyệt đẹp, cách ô tô chỉ 30m, ngõ thông các ngả, xung quanh nhiều trường ĐH danh tiếng, khu vực Sinh viên nhiều nhất Hà Nội, nên đầu tư cho Sinh viên thuê tuyệt vời. + Thiết kế: Nhà chủ tự xây 5 tầng kiên cố và chắc chắn, kiểu cách cổ kính, chỉ cần thêm nước sơn là long lanh. Nhà lên thêm tầng và cải tạo thành nhiều phòng thoải mái. - Tầng 1: phòng khách, bếp và wc. - Tầng 2, 3 và 4 là 6 phòng ngủ, Wc ở giữa. - Tầng 5 là phòng thờ, sân phơi. + Truóc nhà có sân để xe thoải mái, khu dân trí cực kỳ thân thiện, sạch sẽ và yên tĩnh, an sinh không thiếu thứ gì, giá cả Sinh viên. + Sổ đỏ chính chủ vuông đẹp như tờ A4. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790308.5264306, 4, 6,,
"1,8 tỷ VNĐ","Phúc Tiến, Phú Xuyên", 230m2,,,"Chính chủ cần bán gấp lô đất Phúc Tiến, Phú Xuyên, 230m2, đường thông, ô tô đỗ cửa, LH: 0986 270 765Thông tin chi tiết- Vị trí: Phúc Lâm, Phúc Tiến, Phú Xuyên- Diện tích: 150m2 (tặng 84m2 lưu không)- Pháp lý: Sổ hồngThông tin mô tả- Khu vực có nhiều tiềm năng phát triển mạnh và tăng giá cao trong tương lai, gần quy hoạch KCN Nam Hà Nội.- Cách 200 ra đường 428 đang thi công mở rộng lên 24m đi Hà Nam, Hưng Yên.Cách QL1 chỉ 2km, cách trung tâm huyện Phú Xuyên chỉ 3km, đi bộ 5 ra đến trường cấp 3 Phú Xuyên B.- Pháp lý: Có sổ hồng riêng, sang tên công chứng trong ngày- Giá bán: 1.8 tỷ, có thương lượng cho khách hàng thiện chí mua nhanh.- Liên hệ: 0986.270.765 (Mr Vượng)",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790310.0104587,,,,
"13,5 tỷ VNĐ",ngõ 132 phố Cầu Giấy, 50m2, 4, 7,"Bán nhà mặt ngõ 132 phố Cầu Giấy, Nguyễn Văn Huyên, Dương Quảng Hàm, phường Dịch Vọng, quận Cầu Giấy. Tổng diện tích 50 m2, Mặt tiền 4.5m, xây 7 tầng thang máy thông sàn ô tô vào nhà, tiện kinh doanh tốt. Nhà thiết kế để ở, kết cấu KBT chắc chắn, thiết kế hợp lý, tối ưu diện tích sử dụng vừa ở vừa kết hợp kinh doanh do nay gia đình không có nhu cầu sử dụng nên muốn bán để phù hợp công việc gia đình, Tầng thiết kế 1 kinh doanh, hoặc để ô tô, wc. Tầng 2 + 3 + 4 + 5 thiết kế mỗi tầng 1 phòng ngủ rộng + wc, tầng 6 bếp, khách + wc. Tầng 7 phòng thờ, sân phơi. Cầu thang đá, tay vịn gỗ, cửa thông phòng làm bằng gỗ Lim nguyên khối, hệ thống sàn gỗ cao cấp, thiết bị vệ sinh nhập khẩu, có vách tắm đứng. Nhà nằm trong khu phố kinh doanh sầm uất, dân trí cao, giao thông đi lại thuận tiện đi các tuyến phố: Xuân Thủy, Trần Quý Kiên, Dương Quảng Hàm, Nguyễn Khánh Toàn, Nguyễn Phong Sắc... Nhà cách chợ Quan Hoa 100m, gần các trường ĐH lớn như: Quốc Gia, Sư Phạm, Ngoại Ngữ, Báo Chí, sđcc, sang tên ngay cho khách chỉ sau một nốt nhạc. Giá bán: 13,2 tỷ.Liên hệ chủ nhà Anh Toàn 0981720298.",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790312.0270643, 4, 5, 6, Tây bắc
"2,75 tỷ VNĐ","Đường Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm", 32m2, 3, 4,"+ Chính chủ cần bán nhà Phố Hồ Tùng Mậu, Quận Nam Từ Liêm, diện tích 32m2 x 4 tầng giá 2,75 tỷ. + Nhà Hồ Tùng Mậu ngay sát Cầu Diễn, 300m ra khu độ thị Vinhome Gardenia, cách Đại học Thương Mại 500m. + Nhà nằm trong khu dân cư yên tĩnh, ô tô đỗ cổng. Chủ tự xây tâm huyết, rất chắc chắn. - T1: Khách, bếp, vs. - T2,3: Mỗi tầng 1 PN rộng, vệ sinh ngoài. - T4: Phòng thờ, sân phơi. + Sổ đỏ đầy đủ, pháp lý minh bạc, sẵn sàng dao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790313.563953, 4, 3, 1,
"9,25 tỷ VNĐ","Đường Lê Đức Thọ, Mỹ Đình 1, Nam Từ Liêm", 77m2,,,"
    Cực Hiếm Bán Đất Lê Đức Thọ, Mỹ Đình, Nam Từ Liêm 77m, , Ô tô, nhỉnh 9 tỷ
- Đầu tư bất chấp, Xây Văn phòng, Siêu thị Mini, Building, CCMN cực đỉnh.
- Vị trí đẹp. Gần các trường Đại Học Thương Mại, ĐH Sư Phạm, ĐH Quốc Gia, C. Đ Múa..
- Giao thông thuận tiện,Ô tô vào nhà Đường thông các ngả Châu Văn Liêm, Lê Quang Đạo, Lê Đức Thọ, Dương Khuê, Trần vỹ, Mai Dịch, Hồ Tùng Mậu...
- Sổ Hoa Hậu CC, Pháp lý rõ ràng sang tên nhanh gọn.
- Xem nhà, tư vấn, pháp lý gọi Mr Đức Nhà Đẹp.
Rất nhiều Nhà, Đất đẹp đầu tư , ở, Kinh doanh nhiều phân khúc Anh Chị Em nhé.
",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790315.4409325, 6,,,
"4,4 tỷ VNĐ","Đường Lễ Pháp, Tiên Dương, Đông Anh", 125m2,,,"Chủ bán 125 Đất Lễ Pháp, Tiên Dương, Mt6.2, ôtô, kinh doanh, đầu tư, 0375555372 + Lô đất nằm bìa làng Lễ Pháp rộng rãi, ô tô 7 chỗ, khu dân cư đông đúc, sầm uất, cơ sở hạ tầng được nâng cấp hiện đại từng ngày. + Tiện ích xung quanh ngập tràn : 100m Trường mầm non, chợ, nhà văn hóa, 5p đến trường cấp 1,2 Tiên Dương, cách công viên Kim Quy 150m, QL3 500m, cách nhà văn hóa huyện 3km, Bệnh Viện Đa Khoa Đông Anh 3.2 km, 500 m ra đường VÕ NGUYÊN GIÁP, đi sân bay Nội Bài 12 Km  ... + Thích hợp xây dựng nhà ở cao tầng, chung cư mini, nhà ở thương mại, nhà nghỉ, nhà trọ hiện đại. + Giá : 4.5 tỷ ( có gia lộc cho người thiện chí) + Sổ đỏ cất két, pháp lý rõ ràng, sẵn sàng giao dịch.Liên hệ với em Hưng để được làm việc trực tiếp với chủ nhà. ----------- HƯNG THỔ CƯ - CHUYÊN NHÀ ĐẤT ĐÔNG ANH CHÍNH CHỦ - 0375555372",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790316.9129944, 6,,,
"2,3 tỷ VNĐ","Đường Văn Phú, Phú La, Hà Đông", 32m2, 3, 4,"+ Không cần phải nói, Phố Văn Phú Hà Đông hiện tại là khu phố phát triển bậc nhất, hệ thống cơ sở đồng bộ với một loạt các KĐT mọc lên như : KĐT Văn Phú, KĐT Lascta, KĐT The Kpark, KĐT Victoria+ Căn nhà có rất nhiều tiện ích và dịch vụ có sẵn như : siêu thị Metro, trung tâm hành chính quận Hà Đông, gần đường tàu điện trên cao Cát Linh – Hà Đông, tuyến xe buýt nhanh BRT, trường quốc tế Ban Mai+ Căn nhà được gia chủ thiết kế chắc chắn và tâm huyết đến từng viên gạch thước sơn, chủ nhà để lại hết nội thất, khách chỉ việc xách vali về ở+ Sổ đỏ chính chủ, sang tên phút mốt+ Liên hệ: Em Thảo Thảo: 0823928393, để đi xem nhà miễn phí, và được tư vân tận tâm nhất, TRÂN TRỌNG!!! ",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790318.5087242, 3, 4, 3,
"4,2 tỷ VNĐ","Đường Minh Khai, Vĩnh Tuy, Hai Bà Trưng", 35m2, 3, 5,"- Cần bán nhà mới thêm mùi sơn phố Minh Khai, giao thông thuận lợi, xung quanh là chợ, trường, bệnh viện, khu vui chơi, thương mại... tiện ích an sinh đầy đủ- Nhà 35m2 - mặt tiền 6m - 5 tầng mới tinh, đủ công năng, 3 ngủ khép kín- Nhà lô góc, mặt tiền rộng cực thoáng sáng- Sổ đỏ sẵn sàng, giao dịch ngay Liên hệ : Phương Anh 0903209588",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790319.8471441,, 3,,
1 tỷ VNĐ,"Đường Văn Hương, Hàng Bột, Đống Đa", 17m2, 1,,"+ Bán nhà Phố Tôn Đức Thắng, Trung Tâm Quận Đống đa, Gần Phố Cát Linh, Nguyễn Thái Học, Chu Văn An, Độc Nhất, Siêu Hiếm, ... + Nhà đẹp ở ngay, Ô tô cách nhà vài bước chân, Tiện ích gần trường học các cấp, Chợ, Thể thao, Hồ Văn Chương Vài bước chân...,  + Sổ Đỏ Chính Chủ Sẵn sàng giao dịch. + Giá: nhỉnh 1 tỷ.+ Liên hệ: Mr Vượng – 912949598. Chuyên môi giới Bất Động Sản Đống đa,Tận tâm, Uy tín KHÁCH HÀNG ĐƯỢC TRỰC TIẾP GẶP CHỦ NHA, xem nhà miễn phí 24/7.",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790321.806901,,,,
