price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Hướng,Lộ giới,Số toilet
"3,65 tỷ VNĐ",105.7.36 Bạch Mai, 25m2, 4,"
    
NHÀ ĐẸP LÔ GÓC 2 THOÁNG, NGÕ KINH DOANH TẤP NẬP, CHỦ TẶNG HẾT NỘI THẤT 


+ Nhà hộ khẩu Hai Bà, cực kì đẹp, long lanh.


+ Lô góc 2 mặt thoáng.


+ Chủ tặng hết nội thất khách chỉ việc về ở luôn.


+ Ngõ thông thoáng rộng rãi, kinh doanh tấp nập.


+ Tổng 2 ngủ rộng mênh mang, vệ sinh khép kín, phòng khách, phòng thờ, sân phơi đầy đủ.


+ Sổ đỏ chính chủ, vuông đét.
+ Vị trí đắc địa Giao thoa với các trục đường Trần khát chân , Đại cồ việt , Phố Huế , Bà Triệu , Đại La , Minh Khai , Trương Định , Gần các Trường Tiểu Học , Trung Học , Đại Học lớn thuộc Top các trường có bề dầy kinh nghiệm giảng dậy phụ huynh có thể yên tâm khi cho con em học tập .
+ Ngoài ra còn rất nhiều dịch vụ tiện ích xung quanh như Chợ , VinMart , Hiệu Thuốc , Khu vui chơi , Bệnh viện , Trung tâm thương mại , Rap chiếu phim 3 bước chân là có thể đến ngay những dịch vụ mình mong muốn còn chần chờ ngại chi khi không gọi ngày cho Em Long Chuyên Gia tư vấn môi giới Nhà đất Thổ cư để được Phục vụ Tận Tình , Tư vấn hết mình và đến xem nhà ngay ạ.
Rất mong được làm việc và gặp gỡ A/Chị

",01/03/2022,Tin thường,batdongsan_so_com_vn_1673830725.3654864, 4, 2, Nam,, 2
"3,55 tỷ VNĐ",105.48 Bạch Mai, 41m2, 3," TT HAI BÀ TRƯNG - GẦN PHỐ - MẶT TIỀN RỘNG - 2 THOÁNG TRƯỚC SAU - GIÁ TỐT. 


Mô tả:


+ Ngõ 105 to rộng khoảng 3 - 4m, là ngõ chợ. Từ nhà ra mặt phố Bạch Mai chỉ khoảng hơn 100m chút.


+ Nhà bán là nhà 3 tầng, 3 ngủ, 2 WC, đầy đủ công năng. Nhà tuy cũ nhưng còn rất chắc chắn, cải tạo nhẹ ở thêm dư chục năm hoặc đập đi xây mới 5, 6 tầng.


+ Sau nhà là đất trống, cạnh nhà là khe thoáng nên nhà sáng, thông thoáng vô cùng.


+ Sổ đỏ chính chủ, pháp lý chuẩn, chủ gửi bank cho thơm mùi mực.

",03/03/2022,Tin thường,batdongsan_so_com_vn_1673830730.0844646, 5, 3, Đông nam,, 2
"5,1 tỷ VNĐ",10.9 Ngõ Mai Hương, 43m2, 5,"NHÀ MỚI KÍNH KOONG - TRUNG TÂM HAI BÀ TRƯNG - NGÕ THẲNG GẦN PHỐ - SỔ ĐẸP. Mô tả: - Thiết kế: + Tầng 1: Phòng Khách, bếp, wc, sân để xe. + Tầng 2, 3, 4 : 1 PN rộng + wc khép kín + Tầng 5 : Phòng thờ, sân phơi. - Nhà vị trí vô cùng thuận tiện, 60m ra phố Bạch Mai, Tạ Quang Buử, Lê Thanh Nghị, gần quần thể các trường đại học nổi tiếng như Bách Khoa, Kinh Tế, Xây Dựng, bệnh viện lớn như Bạch Mai, Việt Pháp, Việt Nhật.. V. V, tiện ích không thiếu gì. - Nhà đã hoàn thiện xong. - Sổ đỏ đẹp, sẵn sàng giao dịch.",01/03/2022,Tin thường,batdongsan_so_com_vn_1673830733.1993144, 5, 5,,, 5
"3,75 tỷ VNĐ",DV 02- lk 64 Tràng Cầy- Huyền Kỳ Phú Lãm Hà Đông, 49m2,,"- Chính chủ bán lô Dv2 - Lk 64 Tràng Cầy - Huyền Kỳ - Phú Lãm - Hà Đông.- Diện tích 49m2. Đường 12m cả vỉa hè cây xanh. Mt 4m. Vuông đẹp.- Khu đất dịch vụ nên dân trí cao nhiều tiện ích, công viên trường học cây xanh.- Liên hệ chính chủ Mr. Khắc Anh 0968608331.",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830734.1238737, 4,, Đông nam,,
"5,3 tỷ VNĐ","Võ Chí Công, Tây Hồ, Hà Nội", 148m2, 1,"💯💯💯 Sở hữu căn hộ 4PN cao cấp thượng đặng tại Udic Westlake Tây Hồ giá cực ưu đãi CĐT♦️ Chỉ với ~ 2,65 tỷ=50% sở hữ ngay căn hộ♦️ Đã bàn giao♦️ Chiết khấu lên tới 4% GTCH♦️ Hỗ trợ vay 50% với lãi suất 0% 24 tháng♦️ Tầng trung-View hồ cực kỳ đẹp☎️ Liên hệ ngay:👉 Em Vân AnhĐể được tư vấn nhiệt tình,chu đáo đưa đón tận nơi xem dự án 24/7",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830735.1352077,, 4, Đông nam,, 2
"6,8 tỷ VNĐ",Sơn Đồng-Hoài Đức - Hà Nội, 92m2,,"✅Shophouse Sơn Đồng Center:- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: Geleximco.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề và shop house.- Diện tích từ: 62m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.Dự án khu đấu giá Sơn Đồng Hoài Đức nằm trên mặt đường TL422 và đường quy hoạch Trịnh Văn Bô kéo dài (Trần Hữu Dực Mỹ Đình) giúp cho việc kết nối tới các quận, huyện xung quanh như: Mỹ Đình, Từ Liêm, Hà Đông, Đan Phượng, Quốc Oai trở nên dễ dàng, thuận tiện.- Phía Bắc: Giáp tỉnh lộ 422B Sơn Đồng, Vân Canh.- Phía Nam: Giáp làng Lại Yên, đất dự phòng phía Bắc khu đô thị An Khánh, giáp đường trục huyện từ ngã tư Phương Bảng, theo đường Lại Yên An Khánh.- Phía Tây: Giáp khu dân cư 2 xã Vân Canh và Lại Yên.- Phía Đông: Giáp với trục đường Sơn Đồng Song Phương.Từ dự án Sơn Đồng Center, dân cư có thể nhanh chóng di chuyển đến các địa điểm công lớn như:+ Trường Đại học Công Nghiệp Hà Nội di chuyển khoảng 20 phút.+ Trung tâm huấn luyện thể thao quốc gia Hà Nội di chuyển khoảng 30 phút.+ Chợ Nhổn di chuyển khoảng 15 phút.+ Giá bán chỉ từ 75tr/m2.+ Booking 100tr, đặt cọc mua 200tr, ký HĐ thanh toán 30%, bàn giao tháng 3/2022, dự án bàn giao thô và hoàn thiện mặt ngoài.✔️Quản lý sản phẩm: 0779.27.37.87✔️",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830736.3909292,,,,,
10 tỷ VNĐ,"Khuất Duy Tiến,Thanh Xuân, Hà Nội", 62m2,,"Chính chủ cần bán gấp nhà phân lô Khuất Duy Tiến DT 62m2*4 tầng, giá 10 tỷ.+ Nhà gần đường Khuất Duy Tiến, đường thông, vỉa hè ô tô đậu ngày đêm.+ Đường rộng ô tô tránh, phân lô bàn cờ, gần chợ, gần trường học, giao thông thuận tiện. Ngay sau quận ủy Thanh Xuân dân trí cao an ninh tốt.+ Vị trí kinh doanh văn phòng công ty.+ Nhà xây kiên cố có gara ô tô tầng 1, sàn và cầu thang là gỗ Lim, thiết kế hợp lý đủ công năng.- Tầng 1: Ga ra, bếp, phòng khách.- Tầng 2, 3: Mỗi tầng 2 phòng ngủ rộng.- Tầng 4: Phòng thờ, và sân phơi.+ Liên hệ: A Thành 0912525146",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830737.2137098,,,,,
930 triệu VNĐ,Tân Xã, 60m2,,"Pháp lý - 60m thổ cư - Phân lô rõ ràng - Sổ hồng từng ô rõ ràng - Công ti hỗ trợ hoàn thiện thủ tục pháp lý Khu đất - Đường nội khu 5-7m - Dân cư xung quanh đông đúc, dân trí cao - Hạ tầng hoàn thiện :đường đổ nhựa, bó vỉa, thoát nước, phân lô Vị trí - Sát tỉnh lộ 419 200m - Gần BV đa khoa Thạch Thất, chợ Trung Tâm - Sát vành đai khu CNC Hòa Lạc - Cách ĐH FPT 5p di chuyển - Cách thị trấn Liên Quan 3,5km Tiềm năng phát triển - Đầu từ ngắn hạn, dài hạn đều có tiềm năng phát triển 20-30% năm - Mục tiêu tái định cư: xung quanh đầy đủ tiện ích, nhu cầu về dịch vụ cư trú cao, hoàn toàn phù hợp để đầu tư  Liên hệ ngay em Hoàng qua sđt/zalo 0342615537 để được tư vẫn miễn phí và tặng vàng khi mua đất!!!!",28/02/2022,Tin thường,batdongsan_so_com_vn_1673830738.3207495, 4,, Tây, 5,
993 triệu VNĐ,"Thôn Sen Trì, Xã Bình Yên, Huyện Thạch Thất, Hà Nội", 62m2,,"Pháp lý - Full thổ cư, sổ hồng đầy đủ, yên tâm giao dịch - Công ti hỗ trợ hoàn thiện thủ tục pháp lý Khu đất - Đường nội khu 5-7m, 2 xe ô tô tránh nhau thoải mái - Dân cư xung quanh đông đúc, dân trí cao, có thể khai thác khu đất ngay - Hạ tầng hoàn thiện :đường đổ nhựa, bó vỉa, thoát nước hoàn thiện Vị trí - Sát tỉnh lộ 420 200m dễ dàng di chuyển tới các khu trung tâm xung quanh - Cách trường THSC Bình Yên 200m - Cách UBND xã BÌnh Yên 250m, trung tâm hành chính xã - Dễ dàng tiếp cận các tiện ích: Gần BV đa khoa Thạch Thất, chợ Trung Tâm, trạm y tế,.. - Tiềm năng gia tăng giá trị khu đât lớn: Sát vành đai khu CNC Hòa Lạc, tiềm năng gia tăng giá trị khu đât lớn - Dễ dàng di chuyển vào nội khu: Cách ĐH FPT 5p di chuyển - Cách thị trấn Liên Quan 3,5km Tiềm năng phát triển - Đầu từ ngắn hạn, dài hạn đều có tiềm năng phát triển 20-30% năm - Mục tiêu tái định cư: xung quanh đầy đủ tiện ích, nhu cầu về dịch vụ cư trú cao, hoàn toàn phù hợp để đầu tư  Liên hệ ngay em Hoàng qua sđt/zalo 0342615537 để được tư vẫn miễn phí và tặng vàng khi mua đất!!!!",02/03/2022,Tin thường,batdongsan_so_com_vn_1673830739.4686754, 5,, Tây, 5,
"5,4 tỷ VNĐ",159.26.15A Hồng Mai, 67m2, 3,"
    
GẦN PHỐ 2 THOÁNG SĐCC NỞ HẬU ĐẸP!
Nhà 3 tầng xây cực chắn chắn tường 20, vẫn ở cực tốt.
Tầng 1: khách, để xe, bếp, 1 gian ngủ, 1VS.
Tầng 2: 1 gian thờ, 1 gian ngủ, 1 gian làm việc và 1VS.
Tầng 3: tum, sân phơi quần áo rộng.


Vị trí: trước nhà xe ba gác qua, đi bộ ra chợ, đủ các tiện ích, khu vực yên tĩnh điện nước an ninh đảm bảo, có nhà xe để ngày đêm không mất. Bãi đỗ ô tô cách 30m.
Ngõ thông sang các ngả như Chùa Quỳnh, ngõ 187 Hồng Mai..

",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830740.5159197, 3, 3, Đông nam,, 2
