price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Lộ giới
"24,68 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 150m2, 8, 3,"Chú tôi có căn biệt thự sân vườn cực đẹp tại Khu đấu giá 31ha, Trâu Quỳ, Gia Lâm, Hà Nội cần bán GẤP. Diện tích đất 150m2. Mặt tiền hơn 8m, Đường trước nhà 15m, Container tránh nhauthoải mái. Trên đất có Biệt thự 3 tầng xây phong cách hiện đại, rất đẹp. Thông tin liên hệ: Người đưa tin – 0398381708.",23/08/2022,Tin thường,batdongsan_so_com_vn_1673784428.5427892, 5, 5, 15
"12,345678 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 123m2, 6,,"Bán gấp 123,4m2 đất mặt phố Cửu Việt kết hợp kinh doanh và phòng trọ, cc mini. Lh 0989894845. Chính chủ gửi bán GẤP lô đất tại mặt phố Cửu Việt – Sầm uất bậc nhất Trâu Quỳ, Gia Lâm, Hà Nội nối thẳng ra cổng chính Học viện Nông nghiệp. Diện tích đất 123,4m2. Mặt tiền cực rộng. Đường trước nhà rộng gần 10m, có vỉa hè. Bác nào có nhu cầu kinh doanh dòng tiền thì mua lô này cực kỳ hợp lý.  Kết hợp cho thuê tầng 1 kinh doanh, các tầng trên làm phòng trọ cho sinh viên hoặc chung cư mini hoặc chính chủ ở… Mà khu này xây Nhà nghỉ cũng ok lắm các bác ạ, nhu cầu các cháu sinh viên giờ lớn lắm. :VGiá chuyển nhương rất tốt. Liên hệ sớm với em: Mr. Vỹ (18t) - 0989894845.",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784429.7126656,,,
"2,999999 tỷ VNĐ",Đường Ngô Xuân Quảng phường Trâu Quỳ, 30m2, 3,,"Tôi có chút vốn cần mua đất tích lũy tại Trâu Quỳ, Gia Lâm, Hà Nội. Diện tích từ 30 – 35m2. Tài chính tầm 3 tỷ quay đầu. Đường trước nhà cố gắng trên 3m là ổn. Bác nào có đất báo em với ạ. Số điện thoại - 0936098052",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784435.6796014,,,
"1,155 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 60m2, 8, 25,"""'bán="""" căn="""" cc="""" blue="""" star="""" trâu="""" quỳ,="""" gia="""" lâm="""" suất="""" ngoại="""" giao="""" cực="""" rẻ.="""" thanh="""" toán="""" 1155tr.="""" lh="""" ngay="""" trần="""" danh="""" vỹ="""" -="""" 0989894845.span="""" class=""text/SPAN/SPAN/P"" p="""" hộ="""" tại="""" trung="""" tâm="""" lâm,="""" hà="""" nội="""" star.brdiện="""" tích:="""" 60m2.="""" 2="""" phòng="""" ngủ,="""" 1="""" vệ="""" sinh="""" span="""" roman""'="""">Khu căn hộ Hanhomes Blue Star Trâu Quỳ sẽ là điểm sống lý tưởng cho cư dân, với các tiện ích nội khu được đồng bộ như: Khu mua sắm, ăn uống, coffee, khu vui chơi cho trẻ em, phòng tập gym, spa, sân thể thao. ""'ngoài="""" các="""" tiện="""" ích="""" nội="""" khu,="""" còn="""" kể="""" đến="""" ngoại="""" khu="""" đáng="""" mơ="""" ước="""" như:="""" 2="""" phố="""" shophouse="""" bên="""" canh="""" là="""" thuận="""" an,="""" sông="""" hồng,="""" eurowindow,="""" higwway="""" 5="""" residences="""" và="""" cả="""" đô="""" thị="""" 31="""" hecta="""" cực="""" rộng="""" thoáng="""" đãng.="""" span="""" p="""" class=""MsoNormalSPAN"" roman""'chỉ="""" cách="""" đó="""" phút="""" đi="""" xe="""" vinhomes="""" ocean="""" park="""" với="""" như="""" biển="""" hồ="""" nước="""" mặn="""" 6,1="""" ha,="""" trung="""" tâm="""" thương="""" mại="""" vincom,="""" bệnh="""" viện="""" vinmec,="""" trường="""" học="""" quốc="""" tế="""" vinuni,="""" rất="""" nhiều="""" khác="""" hiện="""" đại="""" nhất.="""" roman""'="""">Suất ưu tiên từ chủ đầu tư nhưng không có nhu cầu sử dụng nên để lại cho khách thiện chí.Chỉ cần thanh toán 1155 triệu là ký hợp đồng cho căn gần 60m2 này. ",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784438.5555627, 2, 1, 50
"7,070707 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 60m2, 4,,"Tái định cư Trâu Quỳ, Gia Lâm, Hà Nội. 60m2 4x15 cực đẹp. Đường 20m. Lh ngay 0989894845. Sổ đỏ chính chủ cần gửi bán lô đất tại Khu tái định cư Trâu Quỳ, Gia Lâm, Hà Nội. Diện tích đất: 60m2. Rộng 4m, sâu 15m, khuôn đất vuông như tờ A4, chuẩn tỷ lệ vàng xây dựng. Đường trước nhà rộng 20m, vỉa hè mỗi bên 4m. Sổ đỏ chính chủ, không tranh chấp, không quy hoạch. Giá cực đẹp cho nhà đầu tư gom hàng. Thông tin liên hệ: Trần Vỹ - 0989894845.",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784439.4252756,,,
"6,666666 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 60m2, 4,,""",""serif"";="""" line-height:="""" 115%'bán="""" đất="""" tái="""" định="""" cư="""" trâu="""" quỳ,="""" gia="""" lâm.="""" dt="""" 60m2="""" 4x15.="""" Đường="""" 13="""" đến="""" 18m.="""" lh="""" ngay="""" 0989894845.="""" span="""" p="""" class=""MsoNormalSPAN"" 115%'khách="""" em="""" gửi="""" bán="""" một="""" số="""" lô="""" tại="""" khu="""" lâm,="""" hà="""" nội.="""" 115%'="""">Diện tích đất: 60m2 = 4m x 15m. "",""serif"";="""" line-height:="""" 115%'Đường="""" trước="""" nhà="""" từ="""" 13m="""" –="""" 18m.="""" span="""" p="""" class=""MsoNormalSPAN"" 115%'giá="""" bán="""" tùy="""" trục="""" đường="""" từ:="""" 105="""" 125="""" triệu="""" m2.="""" 115%'="""">Thông tin chi tiết xin vui lòng liên hệ: Trần Danh Vỹ - 0989894845",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784440.5104985,,,
"4,56789 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 65m2, 4,,"- Đường thông, ô tô thoải mái, thông 2 đầu đều ra mặt chính sinh viên, dân sinh tấp nập cực đẹp, vị trí trung tâm, mua đầu tư hoặc xây nhà trọ, kinh doanh đều hợp lý.- Sổ chính chủ, không tranh chấp, không quy hoạch. ",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784441.480933,,,
"3,21 tỷ VNĐ",Đường An Lạc phường Trâu Quỳ, 55m2, 4,,""",""serif"";="""" line-height:="""" 115%'có="""" lô="""" đất="""" làm="""" của="""" để="""" dành="""" nhưng="""" giờ="""" cần="""" tiền="""" nên="""" tiễn="""" đi="""" tìm="""" chủ="""" mới.="""" span="""" p="""" class=""MsoNormalSPAN"" 115%'Đất="""" tại="""" trâu="""" quỳ,="""" gia="""" lâm,="""" hà="""" nội.="""" 115%'="""">Diện tích 55m2. Mặt tiền rộng 4m. "",""serif"";="""" line-height:="""" 115%'Đường="""" trước="""" nhà="""" rộng="""" 5m.="""" Ô="""" tô="""" 7="""" chỗ="""" vào="""" thoải="""" mái,="""" không="""" phải="""" nghĩ.="""" span="""" p="""" class=""MsoNormalSPAN"" 115%'50m="""" ra="""" trục="""" ô="""" lớn="""" tránh="""" nhau="""" (trục="""" đường="""" 13m).="""" 115%'="""">Đất thổ cư, không tranh chấp, không quy hoạch. ",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784442.6877422,,,
"4,56789 tỷ VNĐ",Đường Ngô Xuân Quảng phường Trâu Quỳ, 45m2, 4,,"Tôi cần tìm đất khu vực Trâu Quỳ, Gia Lâm, Hà Nội. Diện tích từ: 40 – 50m2.Khuôn đất vuông vắn. Đường ô tô vào nhà. Tài chính 5 tỷ quay đầu. Bác nào có đất bán liên hệ: Mr. Dũng – 0936098052.",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784443.5927644,,,
"12,21 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 66m2, 7,,"Chính chủ bán GẤP 66m2 đất mặt phố kinh doanh sầm uất nhất Trâu Quỳ, Gia Lâm. Lh Trần Danh Vỹ - 0989894845. Vị trí: Ngay mặt chính ra khu đấu giá 31ha, Trâu Quỳ, Gia Lâm, Hà Nội. Tổng diện tích có thể xây dựng: 350m2.  Phố trước nhà rộng 35m. Vỉa hè rộng hơn 5m.  Nằm trên trục đường đi thẳng vào Ủy ban Quận Gia Lâm, chỉ 250m. Mặt phố hiện tại đang hót nhất Gia Lâm. Huyết mạch nối: Ủy ban Quận, Ngã tư Trâu Quỳ, ShopHouse Metro, TQ5, Euro, Thuận An, Sông Hồng, Vin. Đất thổ cư, sổ đỏ chính chủ, không tranh chấp, không quy hoạch nhưng lại gần kề rất nhiều dự án đã, đang và sẽ hoàn thiện. Thông tin liên hệ chính chủ: #Mr_Vỹ_0989894845. ",24/08/2022,Tin thường,batdongsan_so_com_vn_1673784444.892292,,,
