price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"8,7 tỷ VNĐ",Nguyễn Chính Hoàng Mai Hà Nội, 76m2, 4, 4,,"+ Cần bán nhà mặt phố Nguyễn Chính, vỉ hè, kinh doanh, vị trí cực kỳ đẹp. + Diện tích 76m2, tổng 4 phòng ngủ, mặt tiền 4.5m + Nhà tự xây nên rất chắc chắn, nội thất toàn là đồ xịn, cửa, bàn ghế, tủ, cầu thang đều làm bằng gỗ Hương. + Gia chủ rất thành đạt cần bán chuyển tới biệt thự để ở. + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 10 tỷ 300 triệu. + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833185.0043578, 4
"4,15 tỷ VNĐ",21/41 Trường Trinh, 35m2, 5, 7,,"🏡 Bán nhà sổ đỏ chính chủ ngõ 41 Trường Chinh , diện tích 35m , 5 tầng , 7 phòng như hình đang cho thuê ổn định, khách mua vào chỉ việc thu tiền . 🏡 Ngõ 41 nằm ở ngã tư Giải phóng , Trường Chinh đối diện bệnh viện Bạch mai gần các trường đại học vị trí trung tâm quận Thanh Xuân . 💰 Giá chỉ 4,15 tỷ . ☎️ LH 0975336685  để xem & mua nhà.",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833186.4205682,
"1,4 tỷ VNĐ",Ngọc Hà Ba ĐÌnh, 15m2,,,,"Cần Bán nhà  15m2 , 3 tầng,  từ tầng 2 là 18m2 ,3m mặt tiền , Ngọc Hà Ba Đình  1.4 tỷ + Gia đình  cần bán căn nhà 3 tầng, để chuyển nhà mới. + Dân trí cao, an ninh đảm bảo, yên tĩnh, ngõ cách đường to 200m, ngõ trước nhà xe máy tránh. + Gần nhiều khu tiện ích  .Chỉ vài bước chân là đến chợ Ngọc Hà  nhiều thực phẩm tươi ngon, Hồ Tây, Lăng Bác…. + Lăng Bác cách nhà vài bước chân tiện thể thao, Sân Bóng, Trường Tiểu học … + Giao thông thuận tiện thông ra các phố Đội Cấn, Hoàng Hoa Thám….. + Sổ đỏ : Chính chủ không tranh chấp thế chấp. + Giá: Thỏa thuận. Liên hệ: Minh Đức 0966680584 , xem nhà miễn phí 24h/ 24h.Hỗ trợ tư vấn miễn phí cho đến khi mua được nhà.Hỗ trợ ngân hàng 24/24.",07/11/2021,Tin thường,batdongsan_so_com_vn_1673833187.7410357,
"2,35 tỷ VNĐ","đức giang ,hoài đức", 68m2,,,,"Nhà 68m2 được chủ tự tay xây dựng tâm huyết, tỉ mỉ. Nhà thiết kế đẹp, hài hoà nổi bật với sự thoáng sáng khi có 2 mặt ngõ. Đầy đủ công năng và có thêm sân để xe rộng rãi, sạch sẽ. Đường vào rộng rãi, cách ô tô chỉ mấy chục mét. Rất gần trục đường 422, gần UBND cấp xã, cấp huyện, sát bệnh viện Đa khoa huyện; xung quanh tiện ích chợ, trường, trạm đủ cả. Giao thông thì cực kì thuận lợi, thông các hướng đường 32, đường 422B, Kim Chung, Trôi, Nhổn… Là khu vực dân cư đông đúc, tiềm năng lớn khi Hoài Đức sắp lên quận, Giá chào chỉ 2 tỷ 350 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833188.7702825,
9 tỷ VNĐ,Phố An Hòa, 54m2, 7, 10, 10,"MÁY IN TIỀN, KHU VỰC CHƯA BAO GIỜ HẾT HOT - CĂN HỘ DỊCH VỤ 13 PHÒNG KHÉP KÍN -7 TẦNG THANG MÁY CHẠY VÙ VÙ - DOANH THU ÍT NHẤT 60TR/ THÁNG! + Cần bán nhanh nhà trọ cao cấp khu vực Phố An Hòa, Phường Mỗ Lao, Quận Hà Đông, gần chợ Phùng Khoang, Làng Việt Kiều Châu Âu, phố thông Nguyễn Trãi, Trần Phú, Vũ Hữu, Phùng Khoang, Nguyễn Văn Lộc, Ao Sen, ô tô 4 chỗ đỗ cửa.+ Gần nhiều trường Đại học: An Ninh, Kiến Trúc, Tuệ Tĩnh, Hà Nội, Bưu Chính... , khu vực tiềm năng, cho thuê luôn kín phòng của Mỗ Lao, Phùng Khoang.+ Nhà trọ cao cấp phù hợp vừa ở, kinh doanh, cho thuê Dòng tiền cao, đều, ổn định cho tầm tiền trên 9 tỷ. Đều đặn thu hàng tháng 50-60tr đã trừ chi phí.+ Tổng thiết kế 13 phòng, căn hộ cho thuê cao cấp, full nội thất giường, tủ, nóng lạnh, điều hòa, máy giặt, tủ lạnh như hình, phòng nào cũng thoáng sáng, công năng đầy đủ, vệ sinh khép kín. .+ SĐCC, 54m2, sẵn sàng giao dịch, chủ thiện chí bán. + Giá chào 9 tỷ  có thương lượng.+ Liên hệ xem nhà: 0902.08.31.39 ",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833189.9053516, 4
,21 Thanh Am, 30m2, 5, 3, 4,"+ Nhà thiết kế 5 tầng, hiện đại đời mới, khung cọc bê tông, nội thất xịn đẹp. + Thiết kế 3 phòng ngủ, phòng thờ, sân phơi, 4 wc. + Giá phù hợp với nhiều khách hàng, chỉ nhỉnh 2 tỷ, có nhà mới đón Tết ngay. + vị trí cách phố Thanh Am khoảng 80m, ngõ 3 gác tránh xe máy. 📱 Mua nhà liên hệ: 0968668121",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833191.043307, 4
"2,5 tỷ VNĐ","vân canh ,hoài đức", 37m2,,,,"Nhà 5 tầng rất đẹp, đẹp từ tổng thể đến từng chi tiết. Lô góc nhiều cửa sổ cực thoáng sáng, đầy đủ công năng. Chất lượng hoàn thiện cao và thiết bị vệ sinh, đèn điện xịn xò. Đường vào nhà rộng rãi, ngõ ba gác đua, cách ô tô chỉ mấy chục mét. Rất gần đường vành đai 3,5 sẽ thông xe đầu 2022. Giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình. Xung quanh tiện ích phong phú khi gần KĐT An Lạc và Vân Canh, trường học các cấp, chợ dân sinh. Là khu vực dân cư đông đúc, tiềm năng cực lớn khi Hoài Đức sẽ lên quận. Giá chào chỉ 2 tỷ 500 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833192.124416,
12 tỷ VNĐ,"KĐT Bắc Linh Đàm, Hoàng Mai, Hà Nội", 82m2,,,,"Chính Chủ Cần Bán gấp Nhà KĐT Bắc Linh Đàm. Dt 82m*4t giá 12 tỷ.+ Khu vực đang phát triển nhanh, đường trước nhà rộng, có vỉa hè rất phù hợp ở hoặc cho thuê văn phòng Công ty+ Nằm trong KĐT Linh Đàm, giao thông đi lại thuận tiện, sát vành đai 3, giải phóng. Trung tâm thương mại đầy đủ, khu vực an ninh tốt, dân trí cao.+ Nhà 4 tầng khung cột bê tông chắc chắn với thiết kế tuyệt đẹp, toàn bộ cửa, sàn và cầu thang bằng gỗ lim cao cấp.- Tầng 1: Gara, phòng khách, phòng bếp, wc.- Tầng 2,3: Mỗi tầng 2 phòng ngủ, wc.- Tầng 4: Phòng thờ, sân phơi, giá có thương lượng.+ Liên hệ: Đức Thành. 0912525146",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833195.7467613,
"4,25 tỷ VNĐ",La Khê- Hà Đông, 50m2, 4,,,"Tôi cần bán nhà 50m, 4 tầng, nhỉnh 4 tỷ, ngõ thông, nở hậu, gần chợ Bông Đỏ, Hà Đông. - Cần bán nhà đẹp vị trí đắc địa sầm uất bậc nhất Hà Đông, gần chợ Bông Đỏ, thông sang Ngô Thị Nhậm, Quang Trung, Tố Hữu, Ngô Quyền, Văn Khê. - Ngõ rộng thoáng, thông tứ tung, dân cư đông đúc, hàng xóm thân thiện, văn minh. Chủ nhà tự mua đất xây nhà rất mới ở vài năm, phòng ngủ sang rộng, đất nở hậu, nhà đẹp nhất khu tầm tiền hiếm không có căn thứ 2. - Chủ nhà làm ăn phát nay chuyển sang ở biệt thự nên cần bán gấp trước tết. Con cháu đuề huề, nhà rất có lộc. - Giá:  4.25 tỷ ( có thương lượng). - Sổ đỏ vuông, sẵn sàng giao dịch. - Liên hệ xem nhà : 0965472910",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833199.1445878,
8 tỷ VNĐ,Thái Hà - Đống Đa, 50m2, 5, 5,,"Bán nhà phố Thái Hà, Đống Đa 50m, 5 tầng, NHÀ ĐẸP, XÂY 4 NĂM, nhỉnh 8 tỷ. Vị trí: Phố Thái Hà phố vip, phố trung tâm giao thương, kinh doanh sầm uất nhất của quận Đống Đa. Đặc biệt nhà RẤT ĐẸP, RẤT HIỆN ĐẠI, Ô TÔ ĐỖ CỬA MỚI XÂY 4 NĂM, Ở NGAY TẶNG LẠI NỘI THẤT. Tiện ích: Phố rộng, sạch đẹp, dân trí cao, vừa ở vừa kinh doanh văn phòng, thời trang, nhà hàng, rất đa dạng. Vị trí trung tâm đắc địa gần các trường đại học Thủy Lợi, Ngân Hàng, Công Đoạn…vv. Các bệnh viện Bạch Mai, Bệnh viện Đại học Y Hà Nội…vv. Ga tàu điện Thái Hà, tiếp giáp các con phố kinh doanh sầm uất khác. Giao thông: Gần ngay Ngã Tư Sở, Thái Hà thông với Hoàng Cầu, Thái Thịnh, Tây Sơn, Chùa Bộc, Nguyễn Lương Bằng, Đặng Tiến Đông, Láng Hạ…vv. Pháp lý: Sổ đỏ vuông vắn chính chủ sẵn sàng thương lượng. Lh: A Hoàng 0902253303. Miễn trung gian môi giới.",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833200.2984486,
