price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
6 tỷ VNĐ,Đường Đào Tấn phường Ngọc Khánh, 50m2, 4,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-thickness:="""" initial;="""" text-decoration-style:="""" text-decoration-color:="""" user-select:="""" text'bán="""" nhà="""" phố="""" Đào="""" tấn="""" ngõ="""" oto="""" 50m2="""" 5t="""" mt4.5m="""" 6tỷ="""" ba="""" Đình="""" span="""" p="""" pspan="""" text'siÊu="""" phẨm="""" lÊn="""" sÓng="""" -="""" lÔ="""" gÓc="""" 2="""" mẶt="""" tiỀn="""" ngÕ="""" thÔng="""" tỨ="""" phÍa="""" nhÀ="""" mỚi="""" Ở="""" ngay="""" lÕi="""" trung="""" tÂm="""" thoÁng="""" sÁng="""" text'="""">- Chủ bán cần bán gấp đầu tháng 8, chuyển vào Sài Gòn với gia đình"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-thickness:="""" initial;="""" text-decoration-style:="""" text-decoration-color:="""" user-select:="""" text'br-="""" nhà="""" lô="""" góc,="""" 2="""" mặt="""" tiền,="""" không="""" có="""" gì="""" ngoài="""" ánh="""" sáng="""" và="""" gió="""" trời="""" tự="""" nhiên="""" span="""" p="""" pspan="""" text'-="""" thiết="""" kế="""" tầng="""" 1,2,3="""" thông="""" sàn,="""" 4="""" là="""" phòng="""" ngủ="""" ,="""" 5="""" thờ,="""" sân="""" phơi="""" rộng="""" text'="""">- ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807890.2718632,, 4, 5, 4, 4
4 tỷ VNĐ,Đường Phú Mỹ phường Mỹ Đình 2, 50m2, 4,"
    Giá sập sàn Phố Phú Mỹ Nam Từ Liêm 50M nhỉnh 4 tỷ gửi oto200M LH 0845681666Nhà Mỹ Đình Nam Từ Liêm  gần nhiêu đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Nhà dân xây chắc chắn nhiêu ngủ thoáng mát.Vị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quốc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tốt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng
",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807891.5963206,, 2, 4, 3, 3
,Đường Lĩnh Nam phường Lĩnh Nam, 3000m2, 100,"Siêu Hiếm! Lô đất toạ lạc tại mặt đường vành đai 3 với diện tích 3000m2 mặt tiền 100m, lô góc ba mặt thoáng. - Vỉa hè đá bóng xe ba chân đỗ thoải mái. - Pháp lý: Sổ 50 năm, phù hợp xây nhà xưởng, toà nhà chung cư, Trung Tâm Thương Mại. - Cách bến xe nước ngầm chỉ 2km, rất thuận tiện di chuyển đi các tỉnh lộ phía Đông. -Diện tích 3000m2, Mặt Tiền 100m. - Giá chào 115 tỷ, Có thương lượng) - Gọi ngay em Tấn Thương Lượng Trực Tiếp Với Chủ.",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807892.8629317,, 1,,,
"4,3 tỷ VNĐ",Đường Hạ Đình phường Hạ Đình, 43m2, 3,"
    + Bán nhà ngõ phố Hạ đình, Thanh Xuân, Hà Nội,  ngõ to cách phố Hạ đình vài bước chân. Gần các trường đại học: Trường đại học Khoa học xã hội và Nhân văn, Đại học Công nghệ giao thông vận tải, Đại học Hà Nội, Học viện Công nghệ bưu chính viễn thông, tiện ích ngập tràn:  bệnh viện, trường học, công viên, siêu thị không thiếu thứ gì.+ Nhà 3 tầng, 43m2 mới tinh, dân trí tốt. Nhà thông thương với Nguyễn Trãi, Khương đình, Kim Giang, Nguyễn Xiển+ Chủ nhà xây để ở, xây tâm huyết + Sổ đỏ chính chủ, pháp lý chuẩn, cất két sẵn sàng giao dịch.+ Cam kết: Không thu bất cứ loại phí gì kể cả giao dịch thành công.+ Giá: 4.3 tỷ (có thương lượng với khách thiện chí).+ Miễn tiếp trung gian và môi giới.+ Liên hệ Mr Ngọc nhiệt tình, tận tâm để đi xem nhà ngay 0936244984.
",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807894.2138178,, 4, 3,,
"4,04 tỷ VNĐ",Tái định cư gđ1 - Trâu Quỳ - Gia Lâm - Hà Nội, 40m2, 3," - Chính chủ gửi bán thửa đất 40m2 tại khu tái định cư giãn dân thị trấn Trâu Quỳ - Gia Lâm – Hà Nội. - Thửa đất vuông vắn mặt tiền rộng 3.16m đường trước đất 11m vỉa hè 3m View thoáng vài bước chân ran ngay đường 22m Nguyễn Mậu Tài và hồ điều hòa. - Giao thông vô cùng thuận tiện đi Lý Thánh Tông, Nguyễn Khiêm Ích, Ngô Xuân Quảng, Cửu Việt, Thành Trung,...tiện ích xung quanh vô cùng đầy đủ: bệnh viện, trường học từ cấp mẫu giáo đến đại học ,trung tâm hành chính các cấp,.... - Nằm trong vùng lõi phát triển kinh tế của thị trấn và huyện Gia Lâm tiềm năng tăng giá và thanh khoản cực tốt, xung quanh là các dự án nhà ở thương mại giá đã khá cao như: Sông Hồng, Hải Phát, Euro Window, Metropolitan,... - Sổ đỏ chính chủ ,giá cực tốt rẻ nhất khu vực chỉ 101tr/m2. Liên hệ xem đất và biết thêm thông tin chi tiết E.Nhật: 0982852808, 0948584888.",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807895.7657063, Tây nam, 12,,,
"2,9 tỷ VNĐ",Đường Đông Ngạc phường Đông Ngạc, 51m2, 5,"+ Vị trí quá đẹp, đầu Đông Ngạc thông Kẻ Vẽ Tân Xuân, ngay trường Tiểu học Đông Ngạc. + Vài bước chân ra mặt phố ô tô tránh, đi lại thuận tiện ngõ thông các ngả phố Đông Ngạc Kẻ Vẽ, Tân Xuân. Khu dân cư văn minh lịch sự, dân trí cao, tiện ích xung quanh đầy đủ. + Cách đường Phạm Văn Đồng, An Dương Vương, Thụy Phương, Hoàng Tăng Bí, Bệnh viện Nam Thăng Long... 1km.  Bán kính 3 km gồm các trường đại học: Đại học Tài nguyên và Môi trường, Đại học Mỏ, Đại học Y tế Công Cộng, Học viện Tài chính... + Sổ đỏ, pháp lý chuẩn sẵn sàng giao dịch.",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807898.8159142,,,,,
"5,2 tỷ VNĐ","Đa Sỹ, Hà Đông, Hà Nội.", 40m2, 5," # Bán nhà quận Hà Đông phường Kiến Hưng đường Đa Sỹ, LH: Tình Nhà Đất 0983858722. + Chính chủ cần tiền bán gấp nhà Đa Sỹ. DT 40/45mT2, 4T, MT 5m, nhà xây chắc, ô tô đỗ cửa, ô tô vào nhà, 5m ra ô tô tránh, giá nhỉnh xíu 5 tỷ. + Vị trí trung tâm: Khu dân trí cao, an ninh tốt, tiện chợ, gần trường học, bệnh viện, trung tâm mua sắm (  Chợ Lớn Hà Đông, Sân Vận Động Hà Đông, Siêu Thị Melinh Plaza, Viện 103 ). + Nhà thiết kế cơ bản gồm: 4 phòng ngủ rộng, 3 ws, phòng khách, bếp, phòng ăn, phòng thờ, sân phơi, nội thất đầy đủ về ở ngay. + Sổ đỏ vuông đẹp chính chủ, sẵn sàng giao dịch. # HotLine: 0983858722 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, tận tâm, nhiệt tình, tư vẫn, hỗ trợ 24/7 ).",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807902.2365608,, 5, 4, 4,
"11,6 tỷ VNĐ","Cầu Giấy, Hà Nội", 50m2,,"Chủ nhà xây tâm huyết ở được 1 năm, hiện đã mua nhà trong khu liền kề nên chuyển nhượng lại+ Phố Phùng Chí Kiên toàn các quan chức sinh sống, đầu phố là Tràng An Complex cực vip, hàng xóm xung quanh dân trí cao, an sinh đỉnh. + Nhà cách mặt phố khoảng 50m, ô tô 7 chỗ vào nhà. + Diện tích 50m2, 7 tầng thang máy, MT 4.2m- Tầng 1: gara ô tô, chủ nhà hiện đang kinh doanh tại nhà. - Tầng 2: phòng khách- Tầng 3,4: 4 phòng ngủ khép kín- Tầng 5: bếp, phòng ăn- Tầng 6: phòng thờ, sân tập thể dục- Tầng 7: sân chill cực đẹp. + Tặng toàn bộ nội thất, chỉ mang đi những đồ kỉ niệm. + Giá 11.6 tỷ+ Sđcc vuông vắn phân lôLiên hệ: Thành 0986763000",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807903.8014328,,,,,
"3,7 tỷ VNĐ",hoàng mai hà nội, 52m2,,"5+Nằm ở vị trí trung tâm, Giáp Giải Phóng, Tam Trinh, Tân Mai, bx Giáp Bát, Hưởng trọn tiện ích cc Magarin, Hòa Phát, k35, đi bộ ra Hồ Đền Lừ, 10 phút ra time city, gần trường dh Kinh Tế, Bách khoa, Xây Dựng, bv Bạch Mai.+Nhà còn mới đẹp khách mua về ở ngay, chủ tự xây để ở chắc chắn, nhà đẹp phù hợp cho hộ gia đình, móng có thể nên 3,4 tầng.+Sổ đỏ chính chủ đảm bảo pháp lí, sẵn sàng giao dịch0346363362 : Phú Gia chuyên nhà phố Hà Nội.+kho hàng phong phú đa dạng trên địa bàn.+hỗ trợ khách hàng sang tên ,công chứng, hỗ trợ vay vốn ngân hàng …Trân trọng !",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807905.2346709,,,,,
"9,6 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Gia Thụy, 75m2, 7,  - Sổ đỏ vuông vắn để két giao dịch ngay. ,18/08/2022,Tin thường,batdongsan_so_com_vn_1673807906.4794464,, 4, 3, 3, 3
