price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Số tầng
3 tỷ VNĐ,"Đường Phú Đô, Phú Đô, Nam Từ Liêm", 35m2,, 5, 4, 5,,"+ - Chính chủ cần bán nhà trong ngõ Phú Đô, + Nhà xây mới đep, sổ đỏ chính chủ sẵn sàng giao dịch ngay và luôn, + Ngõ rộng thoáng, gần chợ lớn Phú Đô, đường đua F1, sân vận động Mỹ Đình, gần bệnh viện quốc tế Hồng Ngọc,Trung tâm Hội nghị Quốc gia, bến xe khách Mỹ Đình,…vv LH: Anh Bắc, Chuyên Bất động sản,nhà đất Hà Nội,dẫn khách và tư vấn miễn phí 24/7.  ",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783259.7275753, 5
"3,4 tỷ VNĐ","Đường Tôn Đức Thắng, Quốc Tử Giám, Đống Đa", 32m2,, 46, 2, 3,,"Nhà đẹp ở ngay trước tết phố Tôn Đức Thắng, 5 bước chân ra mặt phố, 6 bước là lên taxi đi muôn nơi.  Vị trị đẹp, phố VIP quận Đống Đa, xung quanh ngập tràn tiện ích, dân trí cao, an sinh đỉnh. Gần Văn Miếu, Lăng Bác, Viện Xanh Pôn cùng trường học các cấp, chỉ 5 phút lên Hồ Tây lộng gió, hồ Trúc Bạch…  Nhà xây 5 tầng kiên cố ,đầy đủ công năng phù hợp với gia đình 2-3 thế hệ.  Chủ trẻ tuổi chuyển lên ở chung cư cao cấp bên Tân Hoàng Minh nên muốn bán gấp để có tài chính sắm nội thất bên nhà mới.  Sổ đỏ chính chủ , giao dịch ngay. Liên hệ em Phước Đức : 0369699998 để đi xem nhà miễn phí Nhà đẹp - Ở sướng – Dễ thanh khoản Em Đức tận tâm, chuyên nghiệp, hiệu quả! Xin cảm ơn!!",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783260.7897341, 5
"4,45 tỷ VNĐ","Đường Ô Cách, Đức Giang, Long Biên", 30m2,, 3, 7, 3,,"– Nhà ô cách ngay đường lớn Ngô Gia Tự đi vào , ô tô tránh đỗ cửa ngày đêm – Nhà gần chợ , các trường học lớn , giao thông thuận tiện thông tứ ngả , UBND phường , dân cư đông đúc, dân trí cao , an sinh đỉnh không thiếu gì – Nhà tự xây 5 tầng thiết kế trẻ trung hiện đại , DT 30m2, MT 3.5m, thoáng trước sau nội thất đầy đủ chỉ việc xách vali về ở ngay",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783261.880815, 5
"7,35 tỷ VNĐ","Đường Đại lộ Thăng Long, An Thượng, Hoài Đức", 150m2,, 6,,,,"
    Cực Hiếm có 1 0 2, Bán nhanh trước Tết, Bán Đất An thượng, Hoài Đức 150m chỉ 7,x tỷ
- Nhanh tay Đầu tư sinh lời ngay khi cọc, CCMN, Chia lô...
- Vị trí cực đẹp. Hàng xóm Học Viện Chính Sách, Gần các trường học cấp 1,2,3 Kinh doanh, cho thuê, tương laitrung tâm phát triển, gần Thiên Đường Bảo Sơn, Khu đô thị, KCN.. TTTM Vincom Mega Mall, AEon Mall,.. Khu vực phát triển mạnh, Tương lai lên Quận Hoài Đức.
- Giao thông thuận tiện, Đường Đại lộ Thăng long, Lê Trọng Tấn, TL 70, vành đai 4, vành đai 3.5
- Sổ CC, sang tên nhanh gọn. Giá thương lượng. Chủ thiện chí
Thông tin chi tiết liên hệ Mr Đức Nhà Đẹp.
Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783262.8851292,
"18,3 tỷ VNĐ",PHƯỜNG NGHĨA TÂN, 45m2,,,,,,"ĐẬP HỘP NHÀ MỚI GIÁ SỐC HẠ CHÀO 500 TRIỆU CHỈ 1 NHÀ SAU PHỐ TRẦN CUNG 8 TẦNG THANG MÁY.+ DT. 45M2*8 TẦNG THANG MÁY – MẶT TIỀN 5M 1 PHÚT RA MẶT PHỐ HOÀNG QUỐC VIỆT. TIỆN ÍCH MIỄN BÀN.+ GIÁ.13.8 TỶ CẦU GIẤY. TIỆN ÍCH MIỄN BÀN.+  Vị trí. Chỉ 1 nhà sau phố, đường ô tô tránh, khu phân lô Bộ công an. Thông tứ tung, tiện ích vô vàn gần Bệnh viện - trường học - chợ dân sinh - công viên - Ngân hàng…+ Nhà mới kính koong, hiện đại, thang máy, nội thất xịn sò, công năng thoải mái. Phù hợp ở kết hợp kinh doanh văn phòng. - T1: Thông sàn làm gara hoặc kinh doanh, wc. - T2: Phòng khách master hoặc làm vp kd, wc.- T3,4,5: 3 Ngủ master khép kín. - T6: Bếp, phòng ăn, wc. - T7: Phòng thờ, vườn trà. - T8: Tum phơi.+ Sổ đỏ cất két giao dịch ngay.+ Giá có thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, thủ tục sang tên nhanh gọn.+ Tư vấn 24/7.",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783264.0610178,
3 tỷ VNĐ,"Chính chủ bán CHCC tại KĐT Kim Văn - Kim Lũ (Golden Heart) Hoàng Mai, 3 tỷ; 0915166558", 83m2,,,,,,"Chính chủ bán CHCC tại KĐT Kim Văn - Kim Lũ (Golden Heart) Hoàng Mai, 3 tỷ; 0915166558 Diện tích sử dụng 82.9m2.Hướng chính Tây Nam, Ban công Đông Nam,Gồm 3 ngủ, nội thất hiện đại, trẻ trung, full nội thất, 3 điều hòa 2 chiều, nóng lạnh, sàn gỗ, tủ lạnh, 4 cánh, máy rửa bát.....nhìn chung chỉ việc xách đồ về ở  Giá bán: 3 tỷ, bao phíLiên hệ chính chủ : 0915166558       http://www.sanbatdongsanviet.com.vn",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783265.0802557,
"8,9 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 50m2,, 4, 3, 4, 5,"+ Cần bán nhà phố Thái Hà - Trung Liệt - Đống Đa. Diện tích: 50m2 x 6 tầng x mặt tiền 4.5m. Khu dân trí cao, an ninh tốt. + Vị trí đẹp, ngõ ô tô thông, gần phố. Tiện ích bạt ngàn, gần trường học các cấp, hồ Đống Đa, Công viên văn hóa Đống Đa, vườn hoa Trần Quang Diệu, TTTM, chợ, Bệnh viện nội tiết TW, tòa nhà văn phòng, ngân hàng, bãi đỗ xe. + Giao thông thuận tiện đi các ngả. Kết nối phố Thái Hà - Yên Lãng - Tây Sơn - Vĩnh Hồ - Thái Thịnh - Đặng Tiến Đông - Trung Liệt - Nguyễn Văn Tuyết - Láng Hạ. + Nhà xây 6 tầng mới koong, khung cột bê tông chắc chắn, thiết kế thang máy nhập khẩu sịn xò, đầy đủ công năng. + Sổ đỏ chính chủ sẵn sàng giao dịch. Liên hệ ngay Mr Liệu để xem nhà miễn phí, làm việc chính chủ.",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783266.3094761, 6
620 triệu VNĐ,Trầm Lộng, 74m2,,,,,,"Trục chính đường liên xã - Cách đường tỉnh lộ 426 chỉ 100mMặt tiền 4 - 5,5m. Đường trước mặt rộng 4 - 6mCách nút giao đường cao tốc Tây Bắc QL5 với đường Cienco 5 chỉ 100mCách thị trấn Vân Đình QL 21 khoảng 7kmCách thị trấn Tế Tiêu 6kmBán kính 500m đầy đủ tiện ích gồm trường học các cấp, chợ, trạm y tế, UBND xã...Cách KCN Đồng Văn Hà Nam 5kmCách nút giao Pháp Vân - Cầu Giẽ 15 Phút đi xe.Cách ngã ba Ba La Hà Đông khoảng 30km.",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783267.4434433,
"6,8 tỷ VNĐ","Đường Nguyễn Hoàng, Mỹ Đình 1, Nam Từ Liêm", 60m2,, 4, 8, 10, 11,"
    
Bán gấp nhà dòng tiền cho thuê 10 phòng khép kín mặt ngõ kinh doanh đầu phố Nguyễn Hoàng thông Mỹ Đình 55m2 5tầng mặt tiền 4.2m chào 6.8tỷ.

MỸ ĐÌNH - GÀ ĐẺ TRỨNG VÀNG - CĂN HÔ DÒNG TIỀN - 10PHÒNG KHÉP KÍN CHO THUÊ - DOANH THU 600TR/NĂM

+ Vị trí đẹp, nhà mình bán ngay cạnh bến xe Mỹ Đình, khu vực nhiều các trường CĐ - ĐH danh tiếng của HN. Lượng sinh viên thuê trọ và dân LĐ tập chung đông. Nhu cầu thuê trọ rất cao - Treo biển là lấp kín phòng.

+ Nhà mình bán nằm trong khu vực Kinh Doanh cực kỳ sầm uất với đầy đủ các tiện nghi. Giao thông thuận tiện các tuyến đường lớn Nguyễn Hoàng - Hồ Tùng Mậu - Phạm Hùng - Phạm Văn Đồng - Đường Vành Đai ... cửa ngõ ra vào Thủ Đô nên đi đâu cũng tiện.

Thiết kế: Nhà xây 5 tầng, móng chắc 7 tầng ( khách có thể cai tạo thêm ). Tổng 10phòng kk Full nội thất cho thuê. Doanh thu cả dịch vụ ~ 60tr/th.
- Sổ đỏ chính chủ , pháp lý chuẩn. Sẵn giao dịch
Chú ý: Nhà đất cuối năm giao dịch cực nhanh xem ngay kẻo lỡ!
1. LH: A. Hoàng Anh 0934266313 (tư vấn, lọc nhà, xem nhà miễn phí)
",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783268.5006177, 5
"6,5 tỷ VNĐ","Đường Nguyễn Hoàng, Mỹ Đình 1, Nam Từ Liêm", 52m2,, 4, 3, 9, 9,"
    Cực Hiếm, Cần Bán gấp CCMN Nguyễn Hoàng, Mỹ đình, Nam Từ Liêm 52m 5 tầng , Ô tô 5m chỉ 6,x tỷ
- Vị trí đẹp, Nhà đẹp, rộng, thoáng, DT cực tốt, gần Ô tô, Đường thông các ngả
- An ninh cực tốt, Chống trộm, PCCC, Full Nội Thất. Sẵn khai thác.
- Tiện ích ngập tràn, hàng ngàn lợi thế, rất đông sinh viên người đi làm.
- Gần các Trường Đại Học lớn, ĐH Sư Phạm, ĐH Quốc gia, ĐH Thương Mại..
- Giao thông thuận tiện, Đường thông các ngả, Mỹ Đình, Lê Đức Thọ, Phú Đô, Lê Quang Đạo, Bến xe Mỹ đình..
- Sổ Hoa hậu, CC, Pháp lý rõ ràng, sẵn sàng sang tên.
- Giá thương lượng, Chủ thiện chí, Ngân hàng hỗ trợ 24/24
Rất nhiều nhà đẹp, các Khu vực, các phân khúc cho Anh Chị Em.
- Xem nhà, Tư vấn, pháp lý gọi Mr Đức Nhà Đẹp .
",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783269.6560197, 5
