price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"3,45 tỷ VNĐ",Cầu Am- Hà Đông, 47m2, 4,"SIÊU HIẾM nhà đẹp Cầu Am, Hà Đông, gần ô tô, ngõ thông, 47mx4 tầng Nhà hiếm đẹp có 1-0-2 trung tâm Quận Hà Đông vạn Phúc tuyến phố huyết mạch. Giao thông di chuyển thuận lợi các phố: Yết Kiêu, Nguyễn Trãi, Văn Quán, Trần Phú, Vạn Phúc,Ngô Quyền, Tố Hữu..... Nhà được thiết kế công phu, khung cột bê tông đẹp chắc chắn mang phong cách hiện đại ấm cúng. Phòng nào cũng có ban công cửa sổ vô cùng thoáng sáng, view trước nhà rất đẹp, chỉ việc đến ở ngay. Xung quanh đầy đủ tiện ích gần phố: Siêu thị, ngân hàng, trường học, bệnh viện, cạnh chợ bước chân ra phố mua được cả thế giới. Hàng xóm xung quanh toàn công chức thân thiện, nếp sống hiện đại, văn minh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.45 tỷ ( có gia lộc). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835660.845179,,,,,
"12,8 tỷ VNĐ","KĐT Định Công, Hoàng Mai, Hà Nội", 82m2,,"Cần bán nhà KĐT mới Định Công kinh doanh. DT 82m2 * 4T giá 12.8 tỷ.+ Nằm ở vị trí trung tâm KĐT mới Định Công, gần UBND phường Định Công, bể bơi bốn mùa, khu vui chơi thể thao, công viên cây xanh, gần chợ Xanh và Bệnh Viện Bưu Điện.+ Đường trước nhà ô tô tránh, có vỉa hè rộng, phù hợp với các loại hình như kinh doanh cafe, thông ra đường Vành Đai 2,5.+ Nhà thiết kế 4 tầng khung cột rất chắc chắn, thửa đất vuông vắn, pháp lý sạch sẽ.+ Nhà trước nhà có sân để xe. Tầng 1 đang kinh doanh. Tầng 2,3 mỗi tầng 2 phòng ngủ rộng khép kín, Tầng 4 làm phòng thờ sân phơi rất rộng. Tổng 4 phòng ngủ khép kín.+ Khu vực dân trí cao, an sinh xã hội tốt.+ Liên hệ: A Thành, 0912525146",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835662.8984814,,,,,
"2,75 tỷ VNĐ",Đa Sỹ- Hà Đông, 41m2,,"Bán nhà gần sân bóng Đa Sỹ, Hà Đông, 41m, MT 4m, nhỉnh 2 tỷ, gần ô tô, ngõ thông Nhà nằm vị trí đắc địa trung tâm Quận Hà Đông, xung quanh các khu đô thị lớn: Xa La, Văn Phú, Phú Lương, Thanh Hà. Thông thương các phố:Mậu Lương, Yên Xá, Yên Phúc, Tân Triều, Phùng Hưng, gần bến xe bus thuận tiện đi lại. Nhà ngõ rộng thông thoáng, gần đường ô tô, xung quanh nhiều tiện ích: chợ, trường học các cấp, bệnh viện lớn ,ngân hàng... Nhà được thiết kế chuẩn công năng sử dụng, khung cột chắc chắn, phòng nào cũng cửa sổ mở thoáng sáng rất tốt cho sức khỏe, nhà mới chỉ việc xách vali đến ở. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 2.75 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835664.7097526, 4,,,,
"6,42 tỷ VNĐ",Quang Trung- Hà Đông, 55m2, 5,"SIÊU PHẨM Quang Trung, Hà Đông, gara ô tô, ngõ thông, 55m2, 5 tầng siêu hiếm Cần bán ngay nhà đẹp trong tháng, nhà mới cách bố trí phòng cổ điển theo phong cách biệt thự Pháp, các tầng thoáng sáng đầy đủ công năng sử dụng. Nhà đẹp nhất khu. Đường thông thoáng, gara ô tô vào nhà, phố thoáng ô tô chạy vòng quanh, dân trí xung quanh toàn quan chức về đây tụ họp, khu phố văn minh, ở quá yên tĩnh. Vài bước chân ra mặt phố Quang Trung kinh doanh sầm uất. Xung quanh các chợ, siêu thị, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, vài bước chân ra phố mua gì cũng có, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Hà Cầu, Cầu Đơ, Nguyễn Trãi, Ngô Thì Nhậm,Quang Trung, Văn Phú..., nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.42 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835666.8726308,,,,,
"5,55 tỷ VNĐ",Mậu Lương- Hà Đông, 50m2, 5,"Bán nhà Phố Mậu Lương, Hà Đông, 50mx5 tầng, vỉa hè, ô tô tránh, kinh doanh Đỉnh Tôi cần bán Liền kề Mậu Lương, vị trí cực đắc địa trung tâm, khu vực đẹp nhất phố, bao quanh là trường học, tòa chung cư Mipec, sân bóng, chợ,...không thiếu thứ gì. Gần chợ đầu mối 365. Vỉa hè rộng thoáng, mặt tiền 5m, dân cư tập chung đông đúc, vỉa hè rộng ô tô chạy vòng quanh tránh nhau, kinh doanh đa dạng các loại hình . Nhà xây rất kiên cố, nội thất hiện đại, các phòng thoáng sáng, chỉ việc xách vali đến ở. Tiếp giáp các Khu đô thị lớn: Văn Phú, Thanh Hà, Phú Lương, Xa La, Văn Quán,...giao thông quá thuận lợi di chuyển các tuyến phố chính. Giá: 5.55 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý chuẩn. Liên hệ : 0965472910- 0363703491 ( miễn trung gian).",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835668.9510593,,,,,
31 tỷ VNĐ,"KĐT Ciputra, Tây Hồ, HN", 140m2,,"Cần bán căn biệt thự kiến trúc lâu đài BT5B-15, căn góc, trong khu biệt thự siêu Vip Green Center Villas, số lượng có hạn tại khu đô thị Ciputra, giá 245tr/m2- Tổng diện tích: 225,4 m2, Diện tích xây dựng: 112 m2- Vị trí: sở hữu vị trí đắc địa có 1-0-2, kết nối với đường Võ Chí Công rộng 64m, “Một bước chạm Hồ Tây”- Mặt tiền rộng 12-16,7m, phô được kiến trúc của biệt thự lâu đài, giao giữa 2 mặt đường nội khu rộng gần 20m- Tận hưởng bầu không khí trong lành với gần 70% diện tích cây xanh lớn, vườn hoa và diện tích mặt nước siêu siêu rộng từ hồ điều hòa, hồ Tây và sông Hồng  xung quanh dự án- Kiến trúc biệt thự lâu đài duy nhất tại Hà Nội, số lượng có hạn chỉ 81 căn. Khẳng định vị thế độc tôn tại quận Tây Hồ- Thông số các tầng, thoải mái để ở hay kinh doanh:+  Hầm: 108,9m2+ Tầng 1: 112,4m2+ Tầng 2: 116,6m2+ Tầng 3: 106,6m2+ Tầng mái: 20,7m2 👉 100% đã có sổ đỏ👉 HTLS 0% trong 12 tháng👉 Chiết khấu thanh toán sớm lên đến 5% 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835671.2434654,,,,,
30 triệu VNĐ/m2,"279 đường Hoàng Mai, phường Hoàng Văn Thụ, quận Hoàng Mai, Hà Nội", 108m2, 10,"Feliz Homes Hoàng Mai – Nghỉ dưỡng tại nhà Địa chỉ: 279 đường Hoàng Mai, phường Hoàng Mai, HN Hướng Tân Mai - Pháp Vân Cầu Rẽ: (30 mét), Yên Duyên, Yên Sở (40 mét) Tầng 1: Trung tâm thương mại, tầng 2-17 nhà ở 40 tiện ích tại dự án: Hồ bơi, vườn dạo bộ trên mây, Cafe vườn, khu vui chơi trẻ em, Yoga.. Bàn giao nội thất cơ bản, chỉ 31.000 / 1 m2 Liên kết với 4 siêu thị: Hoàng Mai Market, Thành Đô, Mark Lĩnh Nam, Sendo supermarket 5 công viên: cv Yên Sở, Park Hill Times City, KĐT Vĩnh Hoàng, vườn hoa Đền Lừ... 6 hồ nước: hồ Yên Sở, hồ Vĩnh Hoàng, hồ Đền Lừ, hồ Thanh Nhàn, hồ Quỳnh... 7 chợ: chợ Mai Động, chợ đầu mối, chợ Gốc Đề, chợ Tạm Tân Mai, chợ đêm Lĩnh Nam 35 trường học: Victoria, Wanderland, Thịnh Liệt, tư thục Tâm Mai, THCS Đền Lừ, ĐH.... 9 bệnh viện: bv Bạch Mai, bv tai mũi họng TW, bv Nhiệt Đới, bv Thanh Nhàn, bv Phổi.... 5 phút ra bx Giáp Bát, chợ Giáp Bát, siêu thị Thành Đô 5 phút ra trạm xe bus Tam Trinh: 04, 20, 26, 38 10 phút ra tiểu học Tân Mai, THPT Trương Định, ĐH bách khoa, xây dựng, kinh tế 15 phút ra cv Yên Sở và ga Hà Nội 20 phút ra nhà hát lớn và hồ Hoàn Kiếm Ký hợp đồng mua bán tại thời điểm này được: Chiết khấu 2% KPBT và 1 năm KPVH bằng vốn tự có hoặc 0% gốc và lãi trong 18 tháng nếu vay ngân hàng Để đăng ký nhận chính sách ưu đãi liên hệ: 0396 447 955 - Email: tunglvt@phutailand.vn ",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835673.1886876,, 3, 2,,
165 tỷ VNĐ,Trung Phụng, 265m2,,"Hiện tại có 2 đơn vị cần thuêSữa dinh dưỡng 6 tỷ/nămAnh Ngữ nếu góp cổ phần 15 tỷ/nămKhách mua nhà , gia đình sẽ giới thiệu đơn vị cần thuê",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835674.9643831, 10,,,,
"18,9 tỷ VNĐ","Bán nhà mặt phố Trường Chinh Bán nhà mặt phố Đại La, Bán nhà mặt phố Bạch Mai, bán nhà mặt phố Vọng", 55m2, 7,"Bán nhà mặt phố Trường Chinh Phương Liệt Thanh Xuân Hà Nội. sổ đỏ 50m xây dựng 55m2 x 7 tầng cực đẹp, giá 18,9 tỷ, KD tốt.Nhà diện tích 55m2, mặt tiền 4,2m đất vuông vắn thiết kế 7 tầng thang máy cực kỳ hợp lý.Mỗi tầng gồm 1 phòng rộng 40m2 còn lại là thang máy, thang bộ, vệ sinh rộng và kho đồ.-Thiết kế bao Gồm: T1,2,3,4,5,6 thông sàn 1 vệ sinh rộng-T7 phòng thờ sân phơi rộng.:Nội thất hoàn thiện cao cấp với thang máy Nhật Bản, sàn gỗ Malaysia, thiết bị vệ sinh nhập khẩu.Vị trí cực kỳ đẹp trước mặt là vỉa hè rộng và mặt đường đôi 60m vừa hoàn thiện xong. Rất phù hợp cho việc kinh doanh cửa hàng ở dưới, làm văn phòng công ty ở các tầng trên kết hợp ở. Hoặc làm showroom, phòng khám đa khoa, Spa, cửa hàng thiết bị điện lạnh điện dân dụng, VLXD.Gần Ngã Tư Giải Phóng, Phương Liệt, Phố Vọng, trên trục đường vành đai đi lại tấp nập.Sổ đỏ chính chủ, giá 18.9 tỷ có thương lượng.liên hệ chị Yến ĐT 0702138238",14/12/2021,Tin thường,batdongsan_so_com_vn_1673835677.0003417, 4, 5, 6, Bắc, 50
"10,5 tỷ VNĐ","Bán nhà ngõ 17 Tạ Quang Bửu, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 48 Tạ Quang Bửu", 55m2, 4,"Bán nhà PL Giảng viên ĐH Bách Khoa, Hai Bà Trưng. Nhà năm trong khu phân lô Giảng Viên ĐH Bách Khoa, phố Tạ Quang Bửu. Diện tích 60m2, nhà xây 4 tầng kiên cố chắc chắn, đường trước nhà 2 ô tô tránh nhau, vỉa hè rộng. Thiết kế hiện đại gồm sân vườn phía trước, Khách, Bếp và 4 PN, 4 Vệ Sinh. Nội thất hiện đại, sàn gỗ, cầu thang gỗ, hệ thống cửa làm bằng gỗ Lim nguyên khối, Hệ thống tiết kiệm điện. Vị trí đắc địa, cách MP Tạ Quang Bửu 10m, gần SVĐ Bách Khoa, Bể Bơi, Siêu thị Vinmart, gần 3 trường ĐH Lớn Bách Khoa – Xây Dựng – Kinh tế. Khu dân trí cao, an ninh tốt. SĐCC, Giá bán 10.5 tỷ ( có thương lượng) liên hệ chính chủ ĐT:0702138238",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835678.8421526, 3, 4, 3, Tây, 6
