price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng,Số toilet
"6,3 tỷ VNĐ",ngõ 383 Trần Đại Nghĩa, 55m2, 3, 5, 6,"Bán nhà ngõ 383 Trần Đại Nghĩa, Hai Bà Trưng, Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn led trang trí hiện đại, tiết kiệm điện- Tầng 1: Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh  - Tầng 5: Phòng thờ, sân phơi trước sau. Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 50m, sát đường Trần Đại Nghĩa kéo dàiGiao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích:  gần nhiều trường ĐH lớn, cách bệnh viện Bạch Mai, Việt Pháp không quá 1kmSDCC, giá 6.3 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831803.167507, 3, Đông nam, 4
"15,5 triệu VNĐ",ngõ 128 Đại La, 80m2, 7, 6, 10,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128C Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,đã cho thuê full phòng.doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ khép kín.Nội thất hoàn thiện đầy đủ 100%, đã cho thuê full phòng mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831804.226674, 3, Nam, 10
"4,5 tỷ VNĐ",Hồ Ba Mẫu Đống Đa HN, 35m2, 5, 5, 3,"BÁN NHÀ CÁCH MẶT HỒ BA MẪU 30M, NGÕ RỘNG 3M, 35M2 LÔ GÓC 2 MẶT NGÕ, 5 TẦNG,giá 4.5 tỷ.- Vị trí : từ nhà ra Hồ Ba Mẫu chỉ 20m, từ tầng 3 lên tầng 5 ra ban công có thể thấy Hồ Ba Mẫu, nhà lô góc 2 mặt ngõ rộng 3m cực kì rộng rãi và sáng thoáng, khách đến chơi để xe bên ngoài thoải mái, cách cụm đại học Bách- Kinh- Xây và viện Bạch Mai 1km- Diện tích : 35 m2- Mặt tiền : 5.25 m- Xây dựng : 5 tầng khung cột, mở được cửa sổ cả 2 mặt ngõ+ Tầng 1 : phòng khách, bếp, wc+ Tầng 2, 3, 4 : mỗi tầng 1 phòng, 1 wc+ Tầng 5 : phòng thờ, sân phơi- Nội thất : cửa và tay vịn cầu thàng gỗ Lim Nam Phi; sàn gỗ Malaysia; trần thạch cao Vĩnh Tường; hệ thống đèn led chiều sáng toàn bộ căn nhà; rèm cửa Hàn Quốc; kệ ti vi, sofa + bàn, tủ bếp, tủ quần áo, giường làm từ gỗ An Cường; thiết bị vệ sinh TOTO; Thiết bị bếp, 2 tivi, 1 điều hòa, quạt trần, toàn bộ là đồ nhập khẩu ( đầy đủ hóa đơn, bảo hành ở Nguyễn Kim )- Pháp lý : sổ đỏ chính chủ- Giá : 4.5 tỷ ( có thương lượng ) liên hệ chị Yến ĐT:0702138238",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831805.4594119, 3, Đông nam, 4
,KIM ĐỒNG HOANG MAI HA NOI, 46m2,,,,"+Khu p/lô bàn cờ,ô tô tránh,ngõ thông các phố.ở đẳng cấp,kinh doanh văn phòng đỉnh. +Vị trí rất đẹp,nằm trên con phố trung tâm quận.Phố đẹp nhất quận tiếp giáp quận Hai Bà. +Gần hồ, công viên.nhiều chung cư : MadarinGaden Tân Mai,Nam Đô Trương Định. +Nhà thiết kế ,xây rất đẹp.Thông số vàng:dt46m,5tầng,mặt tiền 4m.6 ngủ sáng, thoáng. +Khu vực dân trí cao,văn minh,ở sang trọng. +Với tiện ích bạt ngàn :gần chợ, trường học các cấp,trung tâm Thương mại,các dịch vụ giải trí VIP 5 sao. +Giao thông kết nối thuận tiện với : bến xe Giáp Bát, bệnh viện, trường ĐH,ngã tư Vọng,vành đai 2,5,vành đai3,cao tốc Pháp Vân. +Sổ đỏ đẹp vuông đét chính chủ. +Gía 9.2 tỷ có thương lượng ạ. LH Mr Phúc 0978895889zalo-0912338038. ",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831806.5305107,,,
47 tỷ VNĐ,KĐT Trung Hòa - Nhân Chính, 120m2, 16, 4,,"Chủ ra nước ngoài định cư, nhờ bán căn biệt thự song lập lô góc phố Hoàng Đạo Thúy (KĐT Trung Hòa - Nhân Chính).Biệt thự 3 mặt tiền view vườn hoa - Nằm trong KĐT Trung Hòa Nhân Chính. Trung tâm Ngân hàng, tài chính và kinh doanh thương mại Quận Cầu Giấy Hệ thống hạ tầng đầy đủ và phát triển nhất tại Hà NộiDiện tích: 120m2 x 4 tầng, mặt tiền 16m (bao gồm 3 PN, 1PK, 1 Bếp + Ăn)Giá: 47 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BIỆT THỰ SONG LẬP - PHỐ TRUNG TÂM - KINH DOANH - LÔ GÓCLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp, lô góc. Sổ pháp lý chuẩn cất két sẵn sàng giao dịch",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831808.0954118, 15,,
15 tỷ VNĐ,Hà Nội, 81m2,,,,"Chính chủ gửi bán gấp nhà phân lô, ô tô tránh, phố Tô Vĩnh Diện - LH: 0856 968 656.Mô tả: + Vị trí đắc địa, trung tâm Hà Nội, khu dân trí cao, an ninh tốt. Gần Ngã Tư Sở, đại học Y Hà Nội, Viện Y học Phòng không - Không quân, bảo tàng Phòng không – Không quân… + Ngõ đẹp, mặt tiền đẹp. Ô tô cất trong nhà, kinh doanh tấp nập. + Với diện tích 81m2, thiết kế đẹp lung linh, 8 tầng vừa ở vừa kinh doanh, đủ công năng cho đại gia đình. + Trang bị toàn bộ nội thất cao cấp, thang máy nhập khẩu. - Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào bán chỉ 15 tỷ thượng lượng sâu, bao sang tên, tặng full nội thất xịn.LH 24/7: em Bình 0856 968 656 để được tư vấn và xem nhà miễn phí.",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831810.3360913,,,
"15,5 tỷ VNĐ",Hà Nội, 69m2,,,,"Bán gấp nhà phân lô phố Vương Thừa Vũ ô tô tránh, kinh doanh sầm uất - LH: 0856 968 656. + Vị trí nhà nằm tại trung tâm Hà Nội, quy hoạch ổn định, đường rộng thênh thang., ôtô dừng đỗ, kinh doanh tấp nập. + Nhà thiết kế 7 tầng, thang máy xịn, nội thất cao cấp. + Nhà rất phù hợp để ở kết hợp làm văn phòng hoặc đầu tư cho các công ty thuê mở phòng khám bệnh, thẩm mỹ viện spa… + Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào bán: 15.5 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hê miễn phí 24/7: Mr. Bình - 0856 968 656",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831814.9519885,,,
15 triệu VNĐ/m2,"Mỹ Lộc, Thanh Lâm, Mê Linh, Hà Nội", 110m2, 5,,,"Chính chủ bán đất thổ cư sổ đỏ gần sân bóng, trục chính Mỹ Lộc, Thanh Lâm, Mê Linh, Hà Nội.- Khu dân cư sầm uất, ngay cạnh sân bóng, cách QL23 300m, KCN Quang Minh 4km, công ty Honda VN 2km, Bệnh viện đa khoa phúc yên 1.5km, bệnh viện 74 trung ương 600m, cao đẳng công nghiệp và thương mại 3km, bán kính 2km là trường học, siêu thị, ngân hàng, đầy đủ mọi tiện ích. Đường trục chính thông các ngả.- Diện tích 110m2, mặt tiền rộng 5m.- Đường trục chính thông các ngả, rộng 5m ô tô đi lại thoải mái.- Hướng ĐN.- Pháp lý: Sổ đỏ sẵn sàng giao dịch.- Giá 15tr/m bao sổ, có thương lượng với khách thiện chí.A. C có nhu cầu liên hệ: 0976099407 (Hiếu) để biết thêm thông tin chi tiết.",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831816.0590186, 5, Đông nam,
222 triệu VNĐ,Đa Tốn Gia Lâm Hà Nội, 80m2,,,,80,22/02/2022,Tin thường,batdongsan_so_com_vn_1673831817.117442,,,
"12,5 tỷ VNĐ",Hà Nội, 78m2,,,,"Bán nhà Nguyễn Trãi 78m2, 7 tầng, mặt tiền 7 m - SĐT: 0366 555 258. + Vị trí cực đẹp cách tổ hợp chung cư hơn 10m, đường thông các ngả Kim Giang, Hoàng Đạo Thành, Nguyễn Xiển...  + Khu dân trí cao, giao thông thuận lợi, tiện ích không thiếu thứ gì, kinh doanh văn phòng, spa, trường học, hay cho thuê… + Nhà lô góc, đường trước nhà ô tô tránh, có vỉa hè, xây 7 tầng chắc chắn, cực hiện đại. + Nội thất xịn, thiết kế tỷ mỷ, phòng nào cũng có cửa sổ đón sinh khí và tài lộc, cầu thang máy chạy vù vù, khách xem trong là mê luôn. + Sổ đỏ vuông vắn, giá cả đàm phán trực tiếp với chủ nhà. + Giá chào 12.5 tỷ thương lượng sâu.Nguyễn Thanh 0366 555 258 - Chuyên phân khúc dòng tiền, mặt phố.Cam kết tư vấn tận tâm và hỗ trợ cô chú, anh chị 24/7 mua nhà với giá tốt nhất thị trường. - Chuyên bất động sản các loại, tất cả các phân khúc. - Chuyên săn nhà theo nhu cầu của quý khách nhanh, tiết kiệm thời gian và hoàn toàn miễn phí.",22/02/2022,Tin thường,batdongsan_so_com_vn_1673831818.0522907,,,
