price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Số tầng
3 tỷ VNĐ,Đường Đại Mỗ phường Đại Mỗ, 46m2, 4, 3,"-Lô góc, mặt tiền đẹp, vừa miếng xây nhà 5 tầng cực đẹp -Liên hệ : Anh Quân 0568098386  ",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799053.1608262,,,,
"1,3 tỷ VNĐ",Đường Trần Khát Chân phường Thanh Lương, 25m2, 4, 1,"Khắp Hà Nội kiếm đâu ra căn thứ 2 trong tầm tài chính này .Chỉ 1.36 tỷ có ngay nhà 5 lầu xách vali về ở. Ba bước ra oto đỗ ngõ thông hè thoáng nhà mới về ở luôn đẹp ngất ngây.Trần Khát Chân là khu phố đã quy hoạch ổn định trị chỉ có lên chứ không có xuống , thuận tiện di chuyển khắp ngả như Bờ Hồ, Tây Hồ, Time City,…. Hoặc sang các trườngĐại học lớn như Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân….",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799055.1343126,, 4, 4, 5
3 tỷ VNĐ,Đường Đội cấn phường Đội Cấn, 30m2, 4, 2,"
    BÁN  NHÀ MẶT NGÕ ĐỘI CẤN BA ĐÌNH : 30M2 X3 TẦNG CHỈ 3 TỈ 💥💥💥NHÀ ĐẸP Ở NGAY, PHÂN LÔ - TT BA ĐÌNH Mô tả:+ Trung tâm quận Ba Đình, ngập tràn tiện ích, nhà cách ô tô tránh 68m, cực gần mặt phố, cách hồ Tây 1km, trường học, chợ ngay bên cạnh+ Nhà 3 tầng chắc chắn, chủ tự xây tâm huyết : diện tích thực tế 30m2, mặt tiền 3,5m Thiết kế:Tầng 1: Để xe, khách, vệ sinh, tầng lửng (có thể ngủ được)Tầng 2: Phòng ngủ, vệ sinh.Tầng 3: Sân phơi, bếp.+ Sổ đỏ đẹp sẵn sàng giao dịch. KHÁCH CÓ NHU CẦU MUA Ở LIÊN HỆ CHÍNH CHỦ : 0853541669",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799056.4493454,, 4, 3, 3
"6,7 tỷ VNĐ","Đường Trường Chinh, Ngã Tư Sở, Thanh Xuân", 40m2, 4, 3,"Bán Nhà Ngã Tư Sở, Thanh Xuân, Ngõ Ô Tô, Ở Luôn, Thoáng 2 Mặt, DT 40m2 x4T,Chỉ 6.7 TỷVị trí: Khu vực trung tâm quận Thanh Xuân – Ngã TƯ SỞ, nhà thuộc khu phân lô cho cán bộ Văn Hóa Bộ Ngoại Giao, Khu phân lô cấp nhà cho cán bộ ngành văn hóa, dân trí cao, an sinh tuyệt vời, xung quanh vô vàn tiện ích, hàng xóm thân thiện, đường trước nhà rộng 5m, ô tô ra vào.Thiết Kế: Nhà xây 4 tầng chủ tự xây khung cột BTCT chắc chắn.+ T1: Phòng khách, bếp + WC.+ T2,3: Mỗi tầng 2 phòng ngủ rộng + WC.+ T4: Phòng thờ, kho + sân phơi đồ.Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịchGiá bán: 6.7 Tỷ ( Có thương lượng)Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799057.894154,, 4, 3, 4
"6,7 tỷ VNĐ","Trường Chinh, Ngã Tư Sở, Thanh Xuân", 40m2, 4, 3,"Bán Nhà Ngã Tư Sở, Thanh Xuân, Ngõ Ô Tô, Ở Luôn, Thoáng 2 Mặt, DT 40m2 x4T,Chỉ 6.7 TỷVị trí: Khu vực trung tâm quận Thanh Xuân – Ngã TƯ SỞ, nhà thuộc khu phân lô cho cán bộ Văn Hóa Bộ Ngoại Giao, Khu phân lô cấp nhà cho cán bộ ngành văn hóa, dân trí cao, an sinh tuyệt vời, xung quanh vô vàn tiện ích, hàng xóm thân thiện, đường trước nhà rộng 5m, ô tô ra vào.Thiết Kế: Nhà xây 4 tầng chủ tự xây khung cột BTCT chắc chắn.+ T1: Phòng khách, bếp + WC.+ T2,3: Mỗi tầng 2 phòng ngủ rộng + WC.+ T4: Phòng thờ, kho + sân phơi đồ.Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịchGiá bán: 6.7 Tỷ ( Có thương lượng)Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799059.4478488,, 4, 3, 4
"3,2 tỷ VNĐ","khuất duy tiến, thanh xuân, hà nội.", 42m2,,,"Mô tả. +Căn Nhà Siêu Hót, Khuất Duy Tiến, Thanh Xuân 42m 5 Tầng 3.5Tỷ. Thiết kế đẹp, ánh sáng ngập tràn, nội thất đầy đủ, khách mua về ở luôn. + Tầng 1: 1Phòng khách, 1Bếp, 1wc. + Tầng 2,3,4: 2phòng ngủ,1wc. + Tầng 5: 1phòng thờ, khu phươi.  + Gần các đường như. Hoàng Minh Giám, Nguyễn Xiển, Ngụy Như Kon Tum, Lê Văn Lương, Nguyễn Trãi, …..  Khu vực dân cư đông đúc kinh doanh sầm uất. Di chuyển 10 phút Hồ Linh Đàm, 15 ,phút đến Royal City, có nhiều khu vui chơi và hưởng thụ dẳng cấp. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; Mr Quân-0911303899. Tư vấn, xem nhà, miễn phí. Hỗ trợ cùng khách mua nhà với giá tốt nhất.",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799061.0822551,, 6, 4, 5
"3,2 tỷ VNĐ","hoàng mai, hà nội", 50m2,,,"+Bán nhà Quận Hoàng Mai, 50m, 5t, mt 4m, 3,2 tỷ. Trung tâm Quận Hoàng Mai, nhà siêu đẹp chủ tự xây cực kì tâm huyết, cẩn thận vô cùng, + Nhà đẹp lô góc 2 thoáng, có giếng trời không khí lưu thông khắp nhà, khách vào xem muốn ở luôn.+ Ngõ rộng thoáng văn minh toàn quan chức ở, ở sướng.- T1: khách, bếp, wc- T2,3,4 ; 5 ngủ + wc- T5: Phòng sinh hoạt, phòng thờ, sân phơi.+ Gần bến xe Giáp Bát, Trương Định, Giải Phóng, Kim Đồng, Tam Trinh, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bệnh viện Bạch Mai+ Sổ đỏ hoa hậu. Sẵn sàng giao dịch.Lh: 0346363362 or 0989035951 : Phú Gia chuyên nhà phố Hà Nội.",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799062.7759457,,,,
"3,5 tỷ VNĐ",Đường Sài Đồng phường Sài Đồng, 34m2, 4, 3,Diện Tích: 35m2 ,26/09/2022,Tin thường,batdongsan_so_com_vn_1673799064.7076702,, 4, 4, 5
"5,85 tỷ VNĐ",Chùa Hà Dich VỌng Cầu Giấy Hà Nội, 50m2,,,"Cần bán gấp nhà phố Chùa Hà Cầu Giấy 50m2 5T chỉ 5.85 tỷNhà  cách mặt ngõ 30m, cách bãi gửi xe ô tô 20m thông ra ngõ 260 Cầu Giấy. Nhà xây chắc chắc tỉ mỉ có gu thẩm mỹ cao có thể làm hài lòng bất kỳ khách hàng khó tính nào đến xem. Gần nhà tiện ích, an sinh đầy đủ, trường tiểu học trung học san sát nhau tạo nên 1 quần thể vô cùng đáng sống. Thiết kế:- Tầng 1: Khu để xe, phòng khách, bếp vệ sinh.- Tầng 2: 2 ngủ, vệ sinh.- Tầng 3: Thiết kế lệch tầng 2 ngủ, vệ sinh.- Tầng 4: Phòng thờ sân phơi. + Pháp lý chuẩn, sổ đỏ vuông đẹp chính chủ, giao dịch trong ngày.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799066.3870683,,,, 5
"2,98 tỷ VNĐ",Đường Đa Sĩ phường Kiến Hưng, 31m2,, 2,"- Cần bán nhà 5 tầng mới xây vài năm tại Đa Sỹ - Kiến Hưng - Hà Đông.  - Nhà nằm tại vị trí trung tâm của quận, di chuyển thuận tiện ra Văn Phú, Xa la, Phùng Hưng, khu phố cổ Hà Đông... Gần chợ lớn của khu vực như chợ Hà Đông, chợ đầu mối 365. Gần bệnh viện 103, viện K Tân Triều... Tiện ích không thiếu thứ gì.  - Nhà cách đường ô tô chỉ vài bước chân, hàng xóm xung quanh hiền lành, thân thiện, dân trí cao.  - Nhà xây 5 tầng, khung cột chắc chắn, chủ tự xây tâm huyết. Tất cả các phòng đều thoáng, sinh khí tốt.  - Sổ đỏ nợ hậu nhẹ, giao dịch ngay trong ngày.  - Giá tốt trong khu vực chỉ 2.98 tỷ - Liên hệ em Nhung chuyên nhà Hà Đông để tìm được nhà ưng ý.",26/09/2022,Tin thường,batdongsan_so_com_vn_1673799068.0210605,, 4, 3, 5
