price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Hướng,Số phòng ngủ,Mặt tiền,Số toilet,Lộ giới
28 tỷ VNĐ,"553 Giải Phóng, Giáp Bát", 130m2,"   + Vị trí mặt tiền nhìn ra sông, tuyến đường thuận tiện đi Giải Phóng, Tương Mai, Bách Khoa, Kim Đồng... Trước nhà là đường bờ sông rộng rãi 2 làn xe tải, đỗ ngày đêm. Khu phố an ninh tốt, dân trí cao.    + Diện tích 130m2 vuông chữ Điền, xây kín. Có vỉa hè, mặt tiền 6m thuận tiện kinh doanh, làm văn phòng, cà phê, nhà hàng.    + Sổ đẹp vuông vắn. Giá 28 tỷ( có thương lượng). L.Hệ Mr. Dũng 0345822200 xem nhà, gặp chủ trực tiếp. (không mất phí, miễn trung gian)",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827725.4715505,,,, 6,, 7
"11,4 tỷ VNĐ","Doãn Kế Thiện, Cầu Giấy", 45m2,"+ Bán gấp nhà Doãn Kế Thiện, Cầu Giấy lô góc, S:45m2, 6 tầng, mặt tiền 5.5m, kinh doanh đỉnh.+ Tầng 1: Thông sàn. Tầng 2345: Mỗi tầng 2 ngủ khép kín. Tầng 6: Sân phơi, có cột chờ. Có thể lên 8 tầng. Chủ xây chắc chắn, vững chắc không thấm dột.+ Nhà về ở ngay, có thể làm Gara để ô tô nếu không kinh doanh. Kinh doanh Spa, siêu thị mini, cửa hàng thuốc... đều rất phù hợp.+ Vị trí nhà giao thông thuận lợi, thông ra nhiều đường lớn như Hồ Tùng Mậu, Phạm Văn Đồng, xung quanh là hệ thống các trường đại học, cao đẳng. Tiện ích không thiếu gì.+ Sổ đỏ chính chủ, vuông vắn trước sau như một, pháp lý sạch đẹp.+ Liên hệ: Em Đức Anh để được xem nhà – 0975517689.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827726.5466716, 6,, 8, 5,,
"5,547 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168.1m2,"🏵️ Giá chỉ 2,5tỷ (45%) sở hữu ngay căn hộ 3 ngủ 168m khu vực Tây Hồ với lãi suất 0% ân hạn gốc và lãi 24 tháng, miễn 2 năm phí dịch vụ. Giao dịch nhanh chóng-sổ đỏ trao tay.☎ Hotline: 0977568223 (zalo 24/7)📌Vị trí: Mặt đường Võ Chí Công (Ciputra) - Đối diện Lotte Mall, quận Tây Hồ, Hà Nội 🔆 CHÍNH SÁCH ƯU ĐÃI- Quà tặng mùa thu vàng lên tới 30 triệu trừ thẳng giá bán.- Chiết khấu lên đến 4% khi thanh toán sớm.- Hỗ trợ vay lên đến 70% giá trị căn hộ.- Ân hạn gốc lãi 24 tháng.- Chiết khấu thêm 0,5% ONLINES khi liên hệ tại đây. ✳️ MÔ TẢ CĂN HỘ-Phòng khách siêu rộng: 70m2-Phòng bếp: 6m2 + Logia: 5m2-Phòng ngủ: 3 phòng (2 ngủ thường + 1 ngủ Master)-Vệ sinh chung: 7m2",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827727.7065783,, Đông nam, 3,, 2,
16 tỷ VNĐ,Hà Nội, 71m2,"Bán nhà đường Đào Tấn ô tô vào nhà Ba Đình - SĐT: 0366 555 258.Nhà đẹp nhiều lộc - Siêu thoáng - Gara ô tô - Kinh doanh - Ba Đình Quận.Mô tả: - Vị trí đắc địa, ngõ trước nhà ô tô tránh, thông Linh Lang, Liễu Giai, Văn Cao, Kim Mã, Phan Kế Bính… - Chủ nhà tự tay xây tâm huyết, vô cùng chắc chắn, nội thất trong nhà toàn đồ nhập khẩu, quý hiếm. - Diện tích 71 m2, mặt tiền 5 m. - 6 tầng thang máy, thoáng mát, sinh khí tốt. - Thiết kế đầy đủ công năng. - Tầng 1: Gara, phong khách, bếp, WC. - Tầng 2, 3, 4, 5: Nhiều phòng đẹp, WC. - Tầng 6: Phòng thờ, sân phơi. - Khu vực an ninh tốt, dân trí cao. - Chủ ở có lộc hiện đã chuyển ra biệt thự Vinhomes. - Sổ đỏ chính chủ, pháp lý chuẩn.Gía chào chỉ 16 tỷ ra lộc cực mạnh.* Liên hệ miễn phí 24/24, Ms. Thanh - SĐT: 0366 555 258.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827728.875443,,,,,,
"3,8 tỷ VNĐ",khương đình, 35m2,"- Nhà gần chợ, gần bãi gửi xe ô tô, ngõ trước nhà 3 gác, cách ô tô chỉ 10m. - Nhà lô góc 2 mặt thoáng, phòng nào cũng có cửa sổ, ngập tràn ánh sáng. - Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo tuyệt đối. - Sổ chính chủ, vuông vắn, sẵn sàng giao dịch. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội. ",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827730.1370826, 5,, 5,,,
"9,05 tỷ VNĐ","Chính chủ cần bán nhà chung cư mini 7 tầng, số 7A ngõ 21/50 Yên Xá, Thanh Trì, 9,05tỉ; 0989130927", 60m2,"Chính chủ cần bán nhà chung cư mini 7 tầng, số 7A ngõ 21/50 Yên Xá, Thanh Trì, 9,05tỉ; 0989130927  Diện tích: 60m2 x 7 tầng - Hướng ĐN - Nhà xây kiên cố, mặt tiền 4.6m, nở hậu 5.2m, đường trước nhà 4m, sổ đỏ chính chủ,  - Vị trí đắc địa ,cách Viện Bỏng, Viện 103, Viện K Tân Triều khoảng 200m, đang kinh doanh tốt với 10 phòng trọ đã có nội thất cơ bản.  -  Gần các trường đại học như: bưu chính, Kiến Trúc, An ninh và nhiều tiện ích khác  Giá bán: 9,05 tỷ (có thương lượng).  Khách có nhu cầu mua nhà, vui lòng liên hệ sớm để được giá tốt nhất (MTG). - Liên hệ chủ nhà: anh Tiếp 0989.130.927      http://www.sanbatdongsanviet.com.vn",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827731.3458343,,,,,,
"15,9 tỷ VNĐ",Hà Nội, 76m2,"Bán nhà phố Phạm Huy Thông Ba Đình - LH: 0856 968 656.THANG MÁY - Ô TÔ TRÁNH - KINH DOANH ĐỈNH - VIP BA ĐÌNH. - Nhà nằm trên mặt ngõ phố Phạm Huy Thông thông sang Kim Mã. - Ô tô tránh, kinh doanh sầm uất, dân trí cao, đầy đủ tiện ích, giao thông thuận lợi. - Thiết kế 7 tầng thang máy, kinh doanh sầm uất. - Diện tích 76 m2, mặt tiền 6m, phù hợp vừa ở vừa kinh doanh. - Khu vực phân lô VIP hiện giờ rất hiếm. - Sổ đỏ cất két. - Giá chào chỉ 15.9 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 - 0856 968 656.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827732.3950267,,,,,,
205 triệu VNĐ/m2,"Phường Phúc Tân, Quận Hoàn Kiếm, TP Hà Nội", 60m2,"+ Bán nhà 2 mặt tiền tại Phường Phúc Tân Quận Hoàn Kiếm, nhà 7 tầng, có thang máy, DTSD 70m2. Nhà xây rất đẹp hiện đang cho thuê 70tr/tháng. + Vị trí nhà cực kỳ sầm uất thuận lợi để kinh doanh về mọi mặt. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá: nhỉnh 12 tỷ. + Liên Hệ xem nhà miễn phí: Dũng 0948677782 Chuyên BDS thổ cư Hà Nội.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827733.4307706, 7,, 10, 4,, 7
"1,4 tỷ VNĐ","Vĩnh Hưng, Hoàng Mai, Hà Nội.", 24m2,"          Bán nhà Vĩnh Hưng, dân tự xây, 24m2, 1.4 tỷ. Chủ nhà làm ăn phát đạt đã chuyển về nhà mới to đẹp hơn. Nhà 24m2, chủ xây để ở nên rất chắc chắn, nhà còn mới đẹp, cửa cuốn,cầu thang gỗ lim xịn xò… Bán nhà Vĩnh Hưng, Hoàng Mai, Hà Nội, gần chợ Đình Tân Khai, xung quanh tiện ích đầy đủ không thiếu thứ gì: siêu thị, trường học cac cấp,trường Đại Học Kinh Doanh Công Nghệ, Đại học Mở, Đại học Kinh tế Kỹ Thuật Công Nghiệp. Mất 5 phút di chuyển sang Time City, Aone Long Biên. Giá 1,4 tỷ ( có thương lượng) Liên hệ Mrs Hoài để được xem nhà miễn phí: 0988220038",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827734.364273,,,,,,
,"Đường Phúc Diễn, Tây Mỗ, Nam Từ Liêm, Hà Nội", 210m2,"Chính chủ cần tiền nên bán gấp mảnh đất( hoặc một nửa), mặt đường gần cuối đường Phúc Diễn, mặt tiền 10 m.- Diện tích: 210m2, mặt tiền 10m. Có thể bán một nửa hoặc cả mảnh.- Tiện ích xung quanh: gần Dự án làm đường và cầu nối khu đô thị của vingroup kết nối đường Phúc Diễn xuyên sang sân vận động Mỹ Đình, Phú Đô đang triển khai.+ Giao thông thuận tiện, gần khu an sinh dân trí cao, gần chợ, gần trường học. - Rất thuận tiện làm nhà xưởng hoặc đầu tư.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827735.575118,,,, 10,,
