price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Hướng
"4,3 tỷ VNĐ",ngõ 104 Nguyễn An Ninh HBT Hà Nội, 40m2, 5,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hai Bà Trưng,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách phố 100m giao thông thuận tiện, ngõ trước nhà 2 xe tránh nhau thoải mái, SH quay đầu.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832033.152159, 5, 3, 3, 3, Tây
,Kim Giang Thanh Xuân Hà Nội, 40m2, 4,"Bán nhà lô góc phố Kim giang 40m ba gác đỗ cửa, 20m ra ô tô tránh chỉ 3.9 tỷ  Đã cọc tiền mua nhà mới cần tiền bán gấp căn nhà không lỗi phong thủy Phố Kim Giang - Thanh Xuân- Vị trí trung tâm khu vực giao thông thuận tiện nối Kim Giang - Nguyễn Xiển- Lô góc, 2 thoáng vĩnh viễn- Nhà 5 tầng, thiết kế hiện đại, đầy đủ công năng sử dụng- Ngõ nông, thẳng tắp, ba gác tránh xe máy, 20m ra ô tô tránh- Gần bãi gửi xe, vài bước ra trường học các cấp, tiện ích ngập tràn an ninh an sinh đỉnh- Diện tích 40m, mặt tiền 4m- Sổ chính chủ, pháp lý sạch- Giá 3.9 tỷ ( thương lượng trực tiếp chủ nhà)Liên hệ ngay em Thái chuyên Thổ cư Hà Nội qua sđt  để được đi xem nhà và được tư vấn miễn phí ",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832034.205376, 4, 4, 4,,
"3,5 tỷ VNĐ",Xa La- Hà Đông, 36m2, 5,"Bán nhà gần ô tô, dân xây, tặng nội thất xịn, 36mx5 tầng, Xa La, Hà Đông Bán nhà đẹp trung tâm cạnh Khu đô thị Xa La- Hà Đông, khu trung tâm hành chính, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nội thất sang xịn gỗ Lim chủ để lại gần hết nội thất, 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện. Chỉ việc xách vali đến ở. Giao thông di chuyển thuận lợi: Văn Quán, Phùng Hưng, Yên Xá, Mậu Lương, Đa Sỹ,... Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, ngân hàng, trung tâm mua sắm, chợ, siêu thị,.... tiện ích không thiếu thứ gì: Sổ đỏ vuông, pháp lý sạch. Giá: 3.5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832035.4230826,,,,,
"1,8 tỷ VNĐ","số 177 ngõ An Lạc, Trâu quỳ, Gia Lâm, Hà Nội", 70m2,,"Chính chủ bán nhà số 177 ngõ An Lạc, Trâu quỳ, Gia Lâm, Hà NộiDiện tích: 70m2, mặt tiền: 4m, nhà cấp 4 điện nước đầy đủ, ở thoải mái.Ngõ rộng thoáng, gần đường đang mở thông ra quốc lộ 5 và ngã tư trâu Quỳ.Tương lai gần nhà 2 mặt tiền, mặt sau quay ra đường mặt sông Cầu bây.Thửa đất vuông vắn, có hồ sơ kỹ thuật thửa đất, đóng thuế đất hàng năm.Giá: 1,8 tỷ.Chính chủ: 0836402319    Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-so-177-ngo-an-lac-trau-quy-gia-lam-ha-noi-3508.html",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832036.6717417,,, 4,,
"2,1 tỷ VNĐ",quận cầu giấy - hà nội, 37m2, 4,"💥💥💥Nhà đẹp như Ngọc Trinh,rẻ như đậu phụ,Tây Tựu, Bắc Từ Liêm,DT 37m2, 4 tầng ,MT 5m, 2.1 tỷ ,nhà mới ,ô tô đỗ cửa, vị trí đỉnh, 6 phòng ngủ ,sổ đỏ đẹp ,sát hồ Điều Hòa, anh chị em quan tâm liên hệ ngay số điện thoại :☎️☎️☎️ 037 269 1055, để được xem nhà miễn phí ,(🤝🤝🤝 hỗ trợ vay vốn ngân hàng) cam kết ảnh thật 💯💯💯% Cảm ơn bạn đã đọc tin 💞💞💞chúc bạn luôn hạnh phúc.✍✍✍ ngoài ra",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832037.6950955,,, 5,,
"12,5 tỷ VNĐ","dự án Kim Văn, Phường Đại Kim, Quận Hoàng Mai", 83m2, 4,"Chính chủ bán nhà 4 tầng thuộc dự án Kim Văn, Phường Đại Kim, Quận Hoàng MaiDiện tích đất: 82,5m2 - Diện tích vỉa hè riêng :35 m2Diện tích sàn xây dựng: 330m2- Nhà xây 4 tầng - Mặt tiền: 6,82m - Sâu 11,75 m2 - Đất nở hậu- Nhà đã có ô chờ thang máy, Có 2 nguồn điện. Trước cửa có cột điện 3 pha. Nhà xây trên đất dự án Năm 2012+ Ngõ rộng 6 m,Nhà cách đường Kim Giang 50 m.+ Nhà này thích hợp với làm văn phòng công ty, Nhà ở và khách sạn-  Gần khu đô thị Linh Đàm và liền kề đại học Thăng Long- Tiện ích xung quanh không thiếu thứ gì, gần chợ, gần trường, UBND phường, trung tâm thương mại, gần bệnh viện, các trường đại học lớn.+ Gần các tuyến phố lưu thông nhiều đường trục chính như Nguyễn Xiển, Khương Đình, Định Công, Giải Phóng, thuận tiện cho việc di chuyển đi các tỉnh, và đi vào trung tâm thành phố.- Khu này an ninh tốt, Giao thông đi lại thuận tiện, Dân trí cao và thân thiện.Giá bán: 12,5 Tỷ (Có thương lượng)Liên hệ chủ nhà: Anh Hòa: 0903419435 - Miễn trung gian   Nguồn:  http://nhadathanoi.net.vn/biet-thu-lien-ke/chinh-chu-ban-nha-4-tang-thuoc-du-an-kim-van-phuong-dai-kim-quan-hoang-mai-3379.html",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832038.9378142,,, 6,,
"2,8 tỷ VNĐ","Số 19 ngõ 119/93 Giáp Bát, Quận Hoàng Mai, Hà Nội", 40m2, 2,"Chính chủ bán nhà số 19 ngõ 119/93 Giáp Bát, Quận Hoàng Mai, Hà NộiDiện tích: 40m2 x 2 tầng - Mặt tiền: 3,93m - Nhà nở hậu: 3,95m- Nhà có ngách sau là ngõ 553 đường Giải Phóng , đường ô tô chạy tránh nhau đươc* Vị trí: Gần các tuyến phố Tân Mai, Kim Đồng, Giải Phóng, Trương Định, Tương Mai... An ninh đảm bảo, yên tĩnh.- Nhà gần trường gần chợ, Ngân hàng, siêu thị, gần bệnh viện Bạch Mai,  gần nhiều trường Đại Học chính của Hà Nội...- An ninh rất tốt. Dân cư văn minhGiá bán: 2,8 tỷ  - Nhà cũ nên có bớt để xửa chữaLiên hệ chủ nhà: 0983636786 - sổ đỏ chính chủ   Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-so-19-ngo-119-93-giap-bat-quan-hoang-mai-ha-noi-3511.html",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832039.972003,,, 3,,
"6,3 tỷ VNĐ",Quận Cầu giấy - Hà Nội, 36m2, 5,"Mua ngay căn nhà ấm cúng Vạn người mê Cầu Giấy DT 36m2 5 tầng MT 4m 6.3 tỷ (tặng nội thất tiền tỷ). Anh chị em quan tâm liên hệ em Nguyệt số : 037 269 1055 để được xem nhà miễn phí (hỗ trợ vay vốn ngân hàng ) 👉lưu ý : gọi điện trực tiếp Với mình, vì mình rất ít thời gian online.",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832041.1132002,,, 4,,
"13,5 tỷ VNĐ","KĐT mới Định Công, Hoàng Mai, Hà Nội", 85m2,,"Chính chủ cần Bán Nhà KĐT Mới Định Công, diện tích 85m, 13.5 tỷ+ Nhà liền kề Khu Đô Thị Mới Định Công, Quận Hoàng Mai, Hà Nội.- Diện Tích 85m * 4 tầng, giá 13.5 tỷ.- Tầng 1: Gara, phòng khách, phòng bếp.- Tầng 2 và 3: Mỗi tầng 2 phòng ngủ.- Tầng 4: Phòng thờ và sân phơi.+ Thuộc khu đô thị với cơ sở hạ tầng tốt & đầy đủ tiện ích của một Khu đô thị văn minh kiểu mẫu, Chủ yếu là công chức nhà nước, Dân trí cao, an ninh tốt, nhiều cây xanh. Trường học các cấp, bệnh viện Bưu Điện, siêu thị.+ Liên hệ: A. Thành 0912 525 146.",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832042.1674402,,,,,
"15,5 triệu VNĐ/m2","Chính chủ bán lô đất tại thôn 5, Phú Cát, Quốc Oai, (sát khu CNC Hòa Lạc). Giá rẻ nhất thị trường. 0986991558", 87m2,,"Chính chủ bán lô đất tại thôn 5, Phú Cát, Quốc Oai, (sát khu CNC Hòa Lạc). Giá rẻ nhất thị trường. 0986991558 – Diện tích : 86,7 m2 . – Giá bán; 15,5 triệu / m2 , có thương lượng.+ Tiện ích; Vị trí đẹp giáp khu CNC Hòa Lạc, gần nhà máy in tiền, tổ hợp y tế ….+ Dân cư đông đúc, đường ô tô rộng rãi, thông thoáng…+ Pháp lý rõ ràng, sổ đỏ chính chủ sang tên nhanh chóng, sổ đỏ mới 2021– Thích hợp đầu tư sinh lời , xây nhà trọ …Khách có thiện chí vui lòng liên hệ : 0986.991.558      http://www.sanbatdongsanviet.com.vn",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832043.462975,,,,,
