price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"3,25 tỷ VNĐ","Đường Tam Trinh, Lĩnh Nam, Hoàng Mai", 34m2, 2, 4, 4, 3,"🏠 ĐẦU TAM TRINH - ĐẸP - Ô TÔ GẦN - DÂN XÂY - 4 NGỦ Ở LUÔN!!!❤️❤️❤️❤️❤️🌹🌹🌹❤️❤️❤️❤️❤️, DT: 34m2 x 4 tầngGiá 3 tỷ 25 có thương lượng📱 0386569334. Liên hệ e Nam để làm việc chính chủ - Tiện ích ngập tràn xung quanh, an sinh đỉnh ko thiếu thứ gì - Nhà đẹp 4 tầng mỗi tầng 2 phòng, ô tô gần nhà dân xây chắc chắn, chủ thiện chí bán.- Sổ đỏ chính chủ tuyệt đẹp❤️",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791168.2187603, 3
"3,2 tỷ VNĐ",Lai Xá Kim Chung Hoài Đức, 33m2, 3, 5, 3, 4,"+ S=33m, 5 tầng, mặt tiền 4m, giá 3,2 tỷ. + Vị trí: Đối diện đại học thành đô, gần đại học CÔng nghiệp Hà Nội, cách Quốc lộ 32 chỉ 100m, gần kcn Kim Chung – Lai Xá + Giao thông: Quốc lộ 32, Cầu Diễn, Trạm Trôi, Hoài Đức,... + Thiết kế: 5 tầng, 3 ngủ, phòng thờ sân phơi. + Sổ đỏ vuông đẹp, pháp lý rõ ràng sẵn sàng giao dịch, chủ nhà thiện chí. + Liên hệ Trường : 0373680538 để được tư vấn và xem nhà miễn phí.",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791169.671871, 4
"7,3 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 134m2, 2,, 3, 3,"Khu phức hợp: Công viên cây xanh, siêu thị, trung tâm thương mại, khu vui chơi trong nhà và ngoài trời, hồ bơi hiện đại, phòng gym, spa, sân thể thao, trường học, cafe, nhà hàng, nhà thuốc... và nhiều tiện ích khác.Giao thông thuận tiện: Hai đầu có 2 đường lớn chạy qua, Đ-Phạm văn Đồng ( VĐ3 ) cắt ngay là Đ-Hoàng minh Thảo, Đ-Võ chí Công dọc theo Hồ Tây ….  Căn hộ tầng trung. Diện tích 134m². Phòng khách, bếp, rộng rãi thoáng mát.  3 phòng ngủ, 3 phòng WC. Ban công hướng nam view sang Starlake, cửa hướng Bắc. Thiết kế rất hợp lý, trần cao, phòng rộng, thông thoáng.Là chung cư cao cấp nên hệ thống trang thiết bị tốt nhất hiện nay: Thiết bị: đèn led, sàn gỗ Thái Lan, cửa gỗ chống cháy của An Cường, khoá từ Hafele.Thiết bị điện Panasonic, điều hoà 2 chiều Mitsubishi, 2 giàn nóng, 6 giàn lạnh. Thiết bị vệ sinh Toto, 4 hệ thống nước nóng, cửa kính Euro Windown.  Giá: 7.3 tỷ ( Đặc biệt giấy tờ hoàn chỉnh 95%, chờ lấy sổ ). Mọi chi tiết xin liên hệ Thành / 0947439555.Xin cảm ơn!",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791171.7902057,
"9,3 tỷ VNĐ","Đường Pháo Đài Láng, Láng Thượng, Đống Đa", 48m2, 30, 2, 2, 2,"
    💥 MẶT PHỐ PHÁO ĐÀI LÁNG ĐỐNG ĐA - LÔ GÓC - 48M2 2T MT KHỦNG 14M CHỈ 9.3 TỶ 💥 ⭕️ LH NGAY 0982833366 (SIÊU PHẨM MẶT PHỐ ĐỐNG ĐA THÔNG SỐ VIP GIÁ CỰC RẺ)---------------------------- MẶT PHỐ PHÁO ĐÀI LÁNG - TRUNG TÂM ĐỐNG ĐA - SÔ VUÔNG A4 CỰC HIẾMLÔ GÓC 1 MẶT PHỐ 1 MẶT NGÕ Ô TÔ TRÁNH- MẶT TIỀN KHỦNG 14M - Vị trí trung tâm, mặt phố Đống Đa giá dưới 200 triệu/m2.- Nhà 2 tầng cũ xác định bán đất xây toà Building.- Sổ đỏ chính chủ vuông vắn, pháp lý sạch giao dịch ngay---------------------------- 🚀 GIÁ BÁN CHỈ: 9.3 TỶ (NHÀ THẬT + THÔNG TIN THẬT + ẢNH THẬT + GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791173.1994345,
,"Đường An Dương Vương, Bưởi, Tây Hồ", 1000m2,,,,,"Cần sang nhượng đất tại địa chỉ 76 An Dương, Tây Hồ.Diện tích: 1000m2 (có cắt từ 360m2).Giấy tờ rõ ràng, chính chủView siêu đẹp, không khí thoáng mát, có rất nhiều cây xanh...Mặt đường rộng, giao thông rất thuận lợi, đường bê tông, điện, cáp, mạng vào tận nơi.Giao thông thuận lợi gần trường học các cấp 1, 2, 3, gần chợ, hàng quán nhiều. Cách Hồ Tây 1,5km, đến hồ Hoàn Kiếm 3kmNằm ở khu Dân cư đông đúc, sầm uất khu dân trí cao , an ninh tốt , xung quanh là các khu du lịch, cắm trạiPhù hợp mua để ở hoặc đầu tư sinh lời ..Giá cả: thương lượngLiên hệ xem đất: 0944493410 (zalo) _ 0987400890",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791174.6994214,
"2,063 tỷ VNĐ","Đường 23, Vân Nội, Đông Anh", 57m2,,,,,"Do không có nhu cầu sử dung, cần tiền bán gấp mảnh đất tại Đông Anh -Địa chỉ: Xóm Nhì, xã Vân Nội, huyện Đông Anh, Hà Nội  -Diện tích: 56.5m2  - Mặt tiền 4.75m, hậu 4.75m  Đường 2 ô tô tránh, ngõ thông.  -200 ra đường 23b, 500m ra đường võ nguyên giáp  -dân cư đông đúc, sầm uất, đầy đủ tiện ích.  tài chính ~ 2 tỷ. giá rất tốt để mua đươc lô đất đẹp để đầu tư, mua ở. gọi cho e ngay để đặt cọc.",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791176.1305938, 4
"3,35 tỷ VNĐ","Chính chủ bán Căn G1-0402 CC cao cấp Le Grand Jadin Long Biên; 3,35 tỷ; 0912782786", 84m2,,,,,"Chính chủ bán Căn G1-0402 CC cao cấp Le Grand Jadin Long Biên; 3,35 tỷ; 0912782786 - Diện tích: 84m2- Ban công hướng: Đông Nam- Địa chỉ: Huỳnh Văn Nghệ, Sài Đồng, Long Biên, Hà Nội- Công năng: 2 phòng ngủ, 2 wc, nội thất đầy đủ: điều hoà, tủ bếp, thiết bị vệ sinh, giường, tủ, kệ ti vi. Hiện đang cho thuê. Có thể chuyển nhượng nối tiếp HĐ cho thuê này. Bác nào có nhu cầu hoặc có quen ai có nhu cầu ib em chính chủ nhé. Thủ tục sang tên nhanh chóng- Pháp lý: Sổ hồng chính chủ - Giá bán: 3,350 tỷ- Liên hệ: 0912782786 Xem video chi tiết: https://www.youtube.com/watch?v=BXXYC42qrtE       http://www.sanbatdongsanviet.com.vn",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791178.494271,
"1,999 tỷ VNĐ","Đường Cao tốc Thăng Long Nội Bài, Vĩnh Ngọc, Đông Anh", 40m2,,,,,"Siêu hiếm nhỉnh 1tỷ có 40m2 Ngọc Chi Vĩnh Ngọc Đông Anh HN vị trí đắc địa giá đầu tư chỉ 4xtr. LH 097.141.5555  1. Thông tin:  - Diện tích 40m2 vuông vắn - Mặt tiền 4,2m. Chiều dài gần 10m - Thửa đất đẹp, đi lại nhiều lối thoáng sướng. Hạ tầng đường xá đồng bộ sạch sẽ, gần trung tâm nội thành. 2. Tiện ích:  - Vị trí đất ở trục đắc địa sầm uất bậc nhất khu vực, tiềm năng phát triển và sinh lời rất cao - Gần trung tâm hành chính của xã, xung quanh đầy đủ tiện ích: trường học đầy đủ các cấp, các siêu thị lớn Vinmart, FPT, UBND, Bệnh viện TW... - Gần hồ điều hòa, nhà văn hóa, chợ lớn trung tâm, khu vực đông dân cư, dân trí cực kì phát triển, tiện ích không thiếu thứ gì. - Giao thông thuận tiện mọi hướng, đi bộ là đường Võ Nguyên Giáp, cầu Nhật Tân, di chuyển 5 phút sang nội thành.  - Di chuyển 5 phút đến cầu Thăng Long, 15 phút đến Sân bay Nội Bài. - Cách KCN Bắc Thăng Long và KCN Mê Linh chưa đến 5km. - Cơ sở hạ tầng vẫn đang nâng cấp thêm, tiềm năng tăng giá nhanh chóng ",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791179.9274359, 4
"7,5 tỷ VNĐ",Ngõ 45 Phố Hồng Tiến, 42m2, 4, 6, 3, 4,Bán nhà ngõ 45 hồng tiến 42m 6 tầng gara ô tô ,01/11/2022,Tin thường,batdongsan_so_com_vn_1673791181.2429163, 3
"4,1 tỷ VNĐ",PHƯỜNG MỸ ĐÌNH QUẬN NAM TỪ LIÊM, 98m2,,,,,"BÁN CĂN HỘ CHUNG CƯ CAO CẤP FLC MỸ ĐÌNH LÔ GÓC 3 THOÁNG - SỐNG ĐẲNG CẤP GIÁ CHỈ 4.1 TỶ.+ DT. 98M2* 3 PN + KHÁCH + 2WC. LH Mr Đoàn. 0962745289+ Căn hộ chung cư Toà FLC Complex  Phạm Hùng lô góc với 3 phòng ngủ, 2 WC, 1 phòng khách rộng. Chủ nhà để lại 90% nội thất. + Tòa nhà tọa lạc tại vị trí đắc địa mặt đường Phạm Hùng, cạnh bến xe Mỹ Đình, di chuyển đường nào cũng rất tiện.+ Sổ đỏ chính chủ, giao dịch nhanh chóng. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, thủ tục sang tên nhanh gọn.+ Tư vấn 24/7.",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791182.3868566,
