price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới
"6,4 tỷ VNĐ","Võ Chí Công, Tây Hồ, Hà Nội", 148m2,, 4, 2,"-Quỹ 5 căn giá tốt còn lại tại Udic Westlake Tây Hồ+Cam kết giá tốt nhất khu vực +Thiết kế căn hộ đa dạng: 2N, 3N, 4N và Duplex+Chung cư đã hoàn thiện, bàn giao nội thất cơ bản CĐT+Hỗ trợ vay ngân hang lãi suất 0% trong 24 tháng+Miễn 2 năm phí dịch vụ+View sông Hồng, cầu Nhật Tân, Hồ Tây=>VPBH và tư vấn miễn phí: 0977568223",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830197.2536342, Tây bắc,,
17 tỷ VNĐ,Hà Nội, 65m2,,,,"Bán nhà phân lô căn góc mặt hồ phố Võ Thị Sáu - SĐT: 0366 555 258. - Diện tích 65m2, 5 tầng, mặt tiền 6 m.  - Full nội thất, thang máy cao cấp.Vị trí: Ngõ 88 Võ Thị Sáu. - Căn góc, mặt nhà hướng thẳng ra mặt hồ Võ Thị Sáu. - Đường rộng 2 làn ô tô, vỉa hè to, xe đỗ trước cửa. - Khu dân trí cao, an ninh tốt, giao thông thuận tiện…Gần công viên Tuổi Trẻ, bệnh viện Thanh nhàn, Bạch Mai, trường học, siêu thị, chợ...Sổ đỏ chính chủ.Giá chỉ 17 tỷ thương lượng mạnh.Điện thoại ngay liên hệ miễn phí 24/7: 0366 555 258.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830202.7216017,,,
"4,25 tỷ VNĐ",ngõ 559 Kim Ngưu HBT Hà Nội, 45m2, 5, 6, 4,"Bán nhà ngõ 559 Kim Ngưu Hai Bà Trưng , Hà Nội.Diện tích 45m2x 5 tầng xây mới, giá 4.25  tỷ . 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim._Thiết kế hiện đại bao gồm:- Tầng 1: sân để xe .Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4 Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa.- Tầng 5: Phòng thờ,sân phơi -Vị trí đẹp  khu dân trí cao xung quanh nhiều tiện ích Giao thông thuận tiện,cách mặt phố Kim Ngưu 100m  thông sang  khu đô thị Times City đi nên phố cổ mất 5 phút gần bệnh viện Thanh Nhàn, bệnh viện Bạch mai, bệnh viện việt pháp gần nhiều trường cấp 1,cấp 2, cấp 3 và nhiều trường Đại Học nổi tiếng như Bách Khoa, Xây Dựng, Kinh Tế-sổ đỏ chính chủ pháp lý sạch giá 4.25 tỷ có thương lượng .liên hệ chị Yến ĐT:0702138238",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830204.2713513, Nam, 3, 3
"21,9 tỷ VNĐ",ngõ 40 Tạ Quang Bửu Bách Khoa HN, 168m2, 5, 6, 4,"Chính chủ bán nhà Phân lô khu Giảng viên Đại Học Bách Khoa, mặt ngõ 40 Tạ Quang Bửu, hiện tại đang có nhà 4,5 tầng. Kinh doanh sầm uất, 2 mặt thoáng vĩnh viễn, trước nhà rộng phù hợp nhiều loại hình kinh doanh-Diện tích: 168m2x5T, mặt tiền gần 6m, nở hậu 6,8m- Gần các trường trọng điểm, top Quốc Gia: Mẫu giáo Bách Khoa, Cấp 1 Lê Văn Tám, Cấp 2 Ngô Gia Tự, Cấp 3 Thăng Long, Đại học Bách Khoa, Đại học Kinh Tế, Đại học Xây Dựng.- Khu dân trí cao, là khu nhà ở của cán bộ trường Đại học Bách Khoa, hàng xóm toàn giảng viên, giáo sư, tiến sĩ..- Bể bơi đối diện nhà cách 50m, sân vận động, công viên đi bộ đến nơi.- Nhà hướng Đông Nam mát mẻ.Sổ đỏ chính chủGiá: 21,9 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830205.4990807, Đông nam, 5, 4
14 tỷ VNĐ,Hà Nội, 58m2,,,,"Bán nhà phân lô mặt ngõ phố Lê Thanh Nghị - SĐT: 0366 555 258. Vị trí trung tâm đắc địa, nhu cầu thuê ở, kinh doanh, làm văn phòng… cực cao.Gần mặt phố, ngõ rộng ô tô tránh, khu vực dân trí, an ninh tốt. Full nội thất và thang máy cao cấp. - Diện tích 58 m2, 6 tầng, mặt tiền 6 m, thoáng trước sau. - Sổ đỏ chính chủ đầy đủ.Phù hợp vừa ở, vừa kinh doanh, đầu tư giữ tiền...Giá chỉ 14 tỷ.Giọi miễn phí ngay 24/7: Nguyễn Thanh - 0366 555 258.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830206.5452678,,,
13 tỷ VNĐ,phố Trung Phụng Đống Đa  HN, 52m2, 5, 6, 4,"Bán nhà KPL Bộ Công An Phố Trung Phụng, 360 Xã Đàn, Đống Đa, trước nhà 2 ôtô tránh, có vỉa hè, 10m ra phốDT 52m2x5T khung cột bê tông, Thiết kế hiện đại:Tầng 1: Phòng Khách  và Bếp ( Có thể làm Gara ôtô)Tầng 2,3,4: Mỗi tầng 2 phòng, vệ sinh giữaTầng 5: Phòng thờ, Sân PhơiVị trí giao thông thuận tiện, mặt đường trước nhà 2 ôtô tránh nhau, 10m ra mặt phố Trung Phụng 4 làn xe kết nối Xã Đàn và Khâm ThiênKhu phân lô dân trí cao, an sinh tốt, gần nhiều bệnh viên lớn, trường học, ....Sổ đỏ chính chủ, pháp lý rõ ràngGiá bán 13 tỷ có thương lượng liên hệ chị yến ĐT:0702138238",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830207.7181354, Nam, 3, 5
"4,3 tỷ VNĐ","ngõ 104 Nguyễn An Ninh Tương mai, Hoàng Mai, HN", 40m2, 5, 5, 4,"Bán nhà ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hoàng Mai,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách ĐH Kinh Tế, Bách Khoa, Xây Dựng 1km, ngõ trước nhà 2 xe tránh nhau thoải mái.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830209.0635335, Tây, 3, 3
"6,8 tỷ VNĐ",Sơn Đồng-Hoài Đức-Hà Nội, 92m2,,,,"☑️ĐÓN SÓNG HẠ TẦNG VÀNH ĐAI 3.5 VÀ HOÀI_ĐỨC LÊN QUẬN. SỞ HỮU LIỀN KỀ 4.5 TẦNG - HỖ TRỢ LÃI SUẤT 0% TRONG 12 THÁNG✔️✔️Trả trước 30% sở hữu ngay căn 4.5 tầng cùng gói vay lãi suất % /12 tháng✔️Chiết khấu 5.5% cho phương án thanh toán sớm.✔️Vốn đầu tư thấp - Đòn bẩy ngân hàng dài hạn - Dự án tốt nhất Hà Nội hiện nay cho phương án giữ tài sản.------------------------̣✔️Tại sao Liền kề Sơn Đồng Center lại HOT đến vậy??X2 công năng - X2 lợi nhuận. Vừa có thể để ở vừa có thể đầu tư sinh lời.✔️Hoài Đức lên quận theo đề án xây dựng huyện thành Quận năm 2023-2024.✔️Nằm ngay giao điểm Trịnh Văn Bô kéo dài và tỉnh lộ 422, di chuyển vào Cầu Giấy chỉ 15phút di chuyển.✔️Vị trí đắc địa nằm giữa hai tuyến đường huyết mạch vành đai 3.5 & vành đai 4.✔️Tiềm năng tăng giá lớn theo giai đoạn.✔️Giá từ 65tr/m2 - Diện tích từ 65m2 - 119m2.------------------------✔️Phòng Bán Hàng Chủ Đầu Tư: 0779.27.37.87",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830210.3684087,,,
"4,85 tỷ VNĐ","Bán Ccmn 46m2 Đống Đa, Lô Góc, 8 Phòng, Thu Gần 400 Triệu", 46m2, 5, 8, 8,"BÁN CCMN - LÔ GÓC – NGÕ THÔNG - TRUNG TÂM ĐỐNG ĐA - THU GẦN 400 TRIỆU/ NĂM - FULL 8 PHÒNG KHÉP KÍN + CCMN GẦN GA TRẦN QUÝ CÁP + DIỆN TÍCH 46M2, XÂY 5 TẦNG, MẶT TIỀN 9M, LÔ GÓC, NGÕ THÔNG, XE BA GÁC ĐỖ CỬA. 💥 Hàng đẹp dành cho khách đầu tư dòng tiền 💥 Chung cư mini mới xây dựng từ 2018, chủ nhà muốn bán đầu tư cái to hơn. 💥 Nhà lô góc, tất cả các phòng đều có cửa sổ. 💥 Gồm 8 phòng khép kín, phòng nhỏ 16m2, phòng lớn 30m2. 💥 Cách ô tô dừng đỗ 30m. 📕 Sổ đỏ đẹp, pháp lý chuẩn. ☎️ Đỗ Phong: 0929641121",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830211.9492364,, 9, 2
"4,75 tỷ VNĐ",đường Lương Khánh Thiện- Hoàng Mai- Hà Nội, 60m2, 5, 6,,"*Cần bán gấp nhà riêng phố Lương Khánh Thiện mới , đẹp, hiện đại, nội thất đẳng cấp, ở ngay. 0345752279 +Diện tích: 60m2, 5 tầng, 6 ngủ, mặt tiền 5m. +Vị trí: Ngõ 12 Lương Khánh Thiện, thuận tiện di chuyển Tân Mai, hồ Đền Lừ, Nguyễn Đức Cảnh, Trương Định,... +Trước nhà có sân rộng để được nhiều ô tô. +Giá chào 4.75 tỷ có thương lượng. +Sổ đỏ chính chủ giao dịch nhanh chóng. +Liên hệ ngay em Bình để được tư vấn và xem nhà hoàn toàn miễn phí. +Môi giới bỏ qua bài viết.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830213.1518006,, 5, 3
