price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
"4,9 tỷ VNĐ",Đường Tỉnh Lộ 422B phường Vân Canh, 65m2,,,"vị trí cực đẹp hàng hiếm còn sót lại  ."",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'giá="""" cả="""" hợp="""" lý="""" span="""" p="""" class=""MsoNormalSPAN"" vi'thông="""" tin="""" lô="""" đất="""" spanspanroboto="""" 107%'="""">Diện tích "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'65="""" spanspanroboto="""" 107%'m2="""" span="""" p="""" class=""MsoNormalSPAN"" vi'="""">M, "",serif;="""" background:="""" white;="""" color:="""" black;="""" mso-ansi-language:="""" vi'giá="""" bán="""" 74tr="""" m2="""" spanspanroboto="""" black'br="""" spanspan="""" vi'="""">nhà hướng đông quanh năm mát mẻ"",serif;="""" background:="""" white;="""" color:="""" black;="""" mso-ansi-language:="""" vi'-="""" spanspan="""" black'="""" vi'="""">Hạ tầng đã hoàn chỉnh, đường rộng từ 11m-15m-20m-24m-30m",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808756.445087, 4,,,
"4,2 tỷ VNĐ",Đường Tỉnh Lộ 422B phường Vân Canh, 55m2,,," :m2.m, Đường trước nhà rộng 11m "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'Đã="""" có="""" sổ="""" đỏ="""" span="""" p="""" class=""MsoNormalSPAN"" vi'giá="""" bán="""" 7x,="""" cần="""" nhanh="""" trong="""" tháng="""" nên="""" ai="""" nhu="""" cầu="""" xem="""" thực="""" tế="""" tất="""" cả="""" các="""" ngày="""" tuần="""" vi'="""">Cam kết hình ảnh và sản phẩm có thật",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808758.105684, 4,,,
"4,4 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 2, 40m2, 5, 3,"
    Bán nhà Phố Nhân Mỹ Nam Từ Liêm lô góc KD đương thông 40M 4.4 tỷ LH 0845681666Nhà Mỹ Đình Nam Từ Liêm đẹp gần nhiêu đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Nhà ngõ thông kinh doanh nhiều công năng đầy đủVị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quôc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tôt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng.
",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808759.7283535, 4, 3, 3,
"3,2 tỷ VNĐ",Đường An Trạch phường Quốc Tử Giám, 32m2, 3, 3,"
    + Nhà trung tâm Quận Đống Đa.
+ Gần Phố Đoàn Thị Điểm, Quốc Tử Giám, Tôn Đức Thắng, Bích Câu, Đặng Trần Côn, An Trạch và Cát Linh.
+ Gần nhà có bãi gửi xe ô tô.
+ Trước nhà có sân chung to thoáng sáng, rộng rãi.

Thiết kế: Mỗi tầng 1 phòng + WC.
+ Nhà xây KCBT chắc chắn. Có thể lên thêm tầng nếu thích.+ Sổ đỏ chính chủ sẵn giao dịch., chuyên nhà đất thổ cư khắp Hà Nội từ 1 - 333 tỷ. Tôi phục vụ khách hàng với tiêu chí giúp người là giúp chính mình, quý chữ tín hơn vàng, vươn tới tầm cao mới.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808761.168551, 4, 5, 4,
"8,6 tỷ VNĐ","nguyễn văn cừ,long biên, ha nội", 27m2,,,"+ Vị trí nhà đẹp nhất Phố Nguyễn Văn Cừ, trung tâm Phố, thích hợp tất cả các loại hình kinh doanh. + Nhà xây chắc chắn. Cầu thang cuối nên nhà trong rất rộng, chủ tự xây chắc chắn tâm huyết. - Diện tích 27m2, mặt tiền 3,3 m, 4 tầng + Nhà 4 tầng hiện đang cho thuê đã nhiều năm , rất đông khách + Tầng 1 + 2 thông sàn kinh doanh nhiều năm nay, làm ăn rất tốt. + các tầng trên để ở + Khách mua vừa ở vừa kinh doanh hoặc cho thuê tiếp kinh doanh, làm văn phòng thì tuyệt đỉnh. -Sổ đỏ đẹp, pháp lý chuẩn -Liên hệ Tuấn Dũng để làm việc trực tiếp chính chủ ĐT, zalo ",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808762.8071697,,,,
"2,35 tỷ VNĐ",hồng dương thanh oai hà đông hà nội, 73m2,,, Bán đất đấu giá gốc kéo hồng dương thanh oai hà đông hà nội Diện tích 73m2 Mặt tiền 5m Giá 2 tỷ 350 Liên hệ : A Thận: 0971389666 ,14/08/2022,Tin thường,batdongsan_so_com_vn_1673808764.3181245, 5,,,
"6,8 tỷ VNĐ",đường Đồng Me, 68m2, 5, 6,"SIÊU PHẨM NHÀ ĐẸP, NGÕ THÔNG, LÔ GÓC, Ô TÔ DỪNG ĐỖ NGÀY ĐÊMS =68m2, 5 tầng, mặt tiền 4.5m, giá 6.8 tỷ + Nhà dân xây, ô tô qua nhà. + Vài bước chân là ra mặt đường đôi Mễ Trì, 8 làn xe chạy , khu đô thị Mễ Trì, 300 ra KeangNam , sân Mỹ Đình , 10 phút ra bến xe Mỹ Đình , 3 bước chân ra Cầu Giấy,… + Thiết kế:  - Tầng 1:  Khách bếp.- Tầng 2,3,4: Mỗi tầng 2 ngủ, cầu thang giữa.- Tầng 5: Phòng thờ sân phơi. + Sổ đỏ chính chủ, giao dịch ngay. * Liên hệ em Bình để xem nhà miễn phí. ",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808765.7242324, 4, 5,,
"2,1 tỷ VNĐ",Đường Quốc Lộ 3 phường Mai Đình, 125m2,,,"+ Do công việc thay đổi nên cần bán gấp đứa con tinh thần! 125m2 đất Nội Phật - Mai Đình - Sóc Sơn Diện tích: 125m2 Mặt tiền: 5mMặt hậu: nở hậu 5.03mHướng: ĐÔNGĐường rộng: 4m Pháp lý: sổ đỏ chính chủ và thơm mùi mựcGiá bán:Do cần tiền gấp nên bán rẻ hơn thị trường vài trăm triệu.Vị trí đẹp phù hợp để ở hoặc đầu tư kinh doanhMảnh đất đẹp gần trợ UBND xã, trường học, chợ... Đường rộng giao thông thuận tiện.+ Với rất nhiều tiềm năng cũng như dự án từ quốc gia .thành phố. Cấp huyện. Như đường vành đai 4 . Tái định cư sân bay. Khu công nghiệp sạch….v v! Đây là khu vực dân cư đông đúc,dân trí cao,an ninh tốt.Mời khách hàng liên hệ với Em TrườngĐT:0368898638 Để được tư vấn trực tiếp và xem đất miễn phí.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808772.8634994, 5,,,
"4,6 tỷ VNĐ","Phố Trương Định, Quận Hai Bà Trưng, Hà Nội", 45m2, 3, 2,"+Vị trí; Thuộc phía Nam Quận Hai Bà Trưng, giao thoa với 3 Quận, Hoàn Kiếm,Hoàng Mai,Đống Đa. Vô cùng thuận tiện di chuyển 15p đến Bờ Hồ. + Tiện ích; Gần nhà có đầy đủ tiện ích xã hội như; Bến xe, chợ dân sinh, trường Đại Học, Bệnh Viện, khu vui chơi và nhiều tiện ích khác…. +Công năng; Nhà mới giá chỉ nhỉnh 3 tỷ, cho một căn nhà 5 tầng siêu đẹp 45m2,  cấu trúc nhà hiện đại, có ban công, của nhôm xịn xò đẳng cấp Châu Âu. + Sổ đỏ chính chủ sẵn sàng giao dịch. + Gọi ngay để có cơ hội sở hữu; Quân Nhà Đất-0911303899(zalo-messenger). Chuyên khu vực Hoàng Mai,Hai Bà Trưng.Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808774.0302138, 3,, 2, Đông nam
"9,8 tỷ VNĐ",Đường Quốc Lộ 35 phường Minh Phú, 1246m2,,,Siêu phẩm mới ra lò!!!+ Do công việc thay đổi nên cần bán gấp đứa con tinh thần! Cho ai cùng Đam mê!- Diện tích : 1426m2 . - Trục chính thôn Phú thịnh. Minh phú .Sóc Sơn. Hà Nội. - Đường trước đất 6m . vị trí đẹp xung quanh nhiều homestay - Lô góc 2 mặt tiền . + Tặng ngay homtays xây thô và bản thiết kế đẳng cấp 5 sao! + Sổ đỏ nét đẹp công chứng trong ngày. Bên cạnh bán 12-13tr . Lô này bán chỉ chưa đầy 8tr ! có phải quá rẻ ko ạ! mua là lãi+ Với rất nhiều tiềm năng cũng như dự án từ quốc gia .thành phố. Cấp huyện. Như đường vành đai 4 . Tái định cư sân bay. Khu công nghiệp sạch….v v! + Nhanh tay gọi em Lộc để xem đất và làm việc chính chủ!Holine : 0368898638,14/08/2022,Tin thường,batdongsan_so_com_vn_1673808775.3676357, 40,,,
