price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số toilet
"10,5 tỷ VNĐ","Hồ Tùng Mậu, Cầu Giấy", 40m2, 7,,"+ Chủ muốn bán gấp nhà phân lô khu Hồ Tùng Mậu, Cầu Giấy 7 tầng, mặt tiền rộng, có gara ô tô, vỉa hè 5m, ô tô tải tránh, kinh doanh đỉnh. + Thiết kế hiện đại, thông sàn, đủ công năng vừa ở vừa kinh doanh. + Xung quanh đẹp đồng bộ, ô tô tải tránh thông khắp ngả, kinh doanh văn phòng, phòng khám, spa, trung tâm..... + Thang máy nhập khẩu, lướt êm ru, điều hòa âm trần, rèm cửa đẳng cấp, khách chỉ việc xách va li và mở tiệc tân gia. + liên hệ em Đức Anh để xem nhà",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827417.8365655,, 5,
12 tỷ VNĐ,Phường Mỹ Đình, 50m2,,,"Bán Nhà tại Mỹ Đình. Mặt tiền Đường Lê Đức Thọ.50m2, 3Tầng,  nhỉnh 200tr/m2+ Nhà Mặt Tiền Kinh Doanh .+ Đang kinh doanh siêu thị MiNi + Đường lớn, thông ra đường Phạm Hùng, Bến xe Mỹ Đình, Nguyễn Hoàng…  + Gần khu Đô thị, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Giá: Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư.+ Tư vấn 24/7 miễn phí.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827418.8997128,,,
"15,5 tỷ VNĐ",Hà Nội, 77m2,,,"SIÊU PHẨM NHÀ ĐẸP - PHÂN LÔ ÔTÔ TRÁNH VÀO NHÀ - KINH DOANH.FULL NỘI THẤT NHẬP KHẨU - THANG MÁY CAO CẤP - SĐT: 0366 555 258.Bán nhà Lê Thanh Nghị - SĐT: 0366 555 258.Nhà chủ tự xây mất mấy tỷ, tặng lại khách full nội thất nhập khẩu.Diện tích 77 m2, 6 tầng thang máy, mặt tiền 5 m.Giá chỉ 15.5 tỷ thương lượng mạnh tay.Thiết kế: - Tầng 1: Gara, phòng khách (làm việc), bếp, vs. - Tầng 2, 3, 4, 5: Các phòng, vs. - Tầng 6: Phòng thờ, phòng gym, sân phơi, vườn nhỏ. + Sổ đẹp phân lô, ở quá sướng không có gì để chê.Liên hệ ngay - 0366 555 258.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827419.9658613,,,
"4,8 tỷ VNĐ",Đội Cấn - Ba Đình - Hà Nội, 42m2, 5, 5,"Nhà nằm ngay cạnh toà Lotte từ nhà ra mặt phố đúng 20m ngõ xe 3 gác vào tận nhà ngõ thông tiện di chuyển Diện tích trong sổ là 42m nhà mới hoàn thiện cuối năm 2019 gia đình ở giữ gìn còn như mới chủ mới mua về chỉ việc ở không cần sửa chữa gì Thiết kế tầng 1 để xe và phòng bếp , Tầng 2 1 phòng ngủ rộng và vệ sinh Tầng 3.4 mỗi tầng chia 2 phòng Tầng 5 phòng thờ sân phơi Nhà tự xây kiên cố thiết kế dạng khung cột bê tông vô cùng chắc chắn hiện trạng chưa thấm dột gì Sổ đỏ chính chủ 2 vợ chồng giao dịch trong ngày cũng được giá cả còn thương lượng cho người thiện chí LH: E Quân: 0964875503",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827420.9442465,,, 3
"15,9 tỷ VNĐ",Hà Nội, 79m2,,,"Bán nhà phố Trần Đại Nghĩa Hai Bà Trưng - LH: 0856 968 656.Nhà siêu đẹp ở khu phố văn minh dân trí cao.Diện tích 79 m2, 6 tầng.Mặt tiền 5 m.Thiết kế thang máy hiện đại.Nhà phù hợp vừa ở vừa kinh doanh đa dịch vụ.Cho thuê không cần quảng cáo.Nội thất đẹp.Vị trí trung tâm gần nhiều tiện ích.Giá chào chỉ 15.9 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay - 0856 968 656.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827422.0323727,,,
"5,547 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168.1m2,, 3,"🏵️ Giá chỉ 2,5tỷ (45%) sở hữu ngay căn hộ 3 ngủ 168m khu vực Tây Hồ với lãi suất 0% ân hạn gốc và lãi 24 tháng, miễn 2 năm phí dịch vụ. Giao dịch nhanh chóng-sổ đỏ trao tay.☎ Hotline: 0977568223 (zalo 24/7)📌Vị trí: Mặt đường Võ Chí Công (Ciputra) - Đối diện Lotte Mall, quận Tây Hồ, Hà Nội 🔆 CHÍNH SÁCH ƯU ĐÃI- Quà tặng mùa thu vàng lên tới 30 triệu trừ thẳng giá bán.- Chiết khấu lên đến 4% khi thanh toán sớm.- Hỗ trợ vay lên đến 70% giá trị căn hộ.- Ân hạn gốc lãi 24 tháng.- Chiết khấu thêm 0,5% ONLINES khi liên hệ tại đây. ✳️ MÔ TẢ CĂN HỘ-Phòng khách siêu rộng: 70m2-Phòng bếp: 6m2 + Logia: 5m2-Phòng ngủ: 3 phòng (2 ngủ thường + 1 ngủ Master)-Vệ sinh chung: 7m2",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827423.2600508, Đông nam,, 2
,Phường Mỹ Đình, 90m2,,,"Bán Nhà tại Mỹ Đình. 90m2, 4Tầng, MT6m. Phù hợp xây CCMN hoặc phân lô, nhỉnh 70tr/m2+ Đường trước nhà ô tô đỗ cửa, thông ra đường Phạm Hùng, Bến xe Mỹ Đình, Nguyễn Hoàng…  + Gần khu Đô thị, Doanh trại Quân đội, Trường học các cấp, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Giá: Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư.+ Tư vấn 24/7 miễn phí.    ",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827424.33617,,,
"1,75 tỷ VNĐ","Chính chủ Bán CH P.407 chung cư Vân Hồ, P.Lê Đại Hành, Hai Bà Trưng, 1,75 tỷ, 0904210165", 53m2,,,"Chính chủ Bán CH P.407 chung cư Vân Hồ, P.Lê Đại Hành, Hai Bà Trưng, 1,75 tỷ, 0904210165 - Có 2 thang máy, 2 giếng trời, cách công viên Thống Nhất 30m, gần chợ, trường họ, bệnh viện, nội thất - Diện tích: 53m2, đầu hồi hướng Đông Nam, 2 phòng ngủ, 1 phòng khách, các phòng có cửa sổ thông thoáng - Giá bán 1,750 tỷ * Liên hệ chủ nhà: 0904210165      http://www.sanbatdongsanviet.com.vn",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827425.316548,,,
,Phường Mỹ Đình, 60m2,,,"Cần bán Gấp mảnh đất Mặt Tiền tại Mỹ Đình – Quận Nam Từ Liêm. DT: 60m2, MT 6m.+ Vị Trí: Đắc địa. Kinh Doanh đỉnh. Mặt tiền 6m Trục đường chính ngay ngã 3xe ô tô tránh nhau, ngõ thông đi ra đường Phạm Hùng, Bến xe Mỹ Đình,  + Gần khu Đô thị, Doanh trại Quân đội, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Đất đẹp Kinh doanh đỉnh.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: Nhỉnh 9 tỷLiên hệ: Anh Đoàn:0962745289.+ Chuyên nhà đất – Đất thổ cư Tư vấn 24/7 miễn phí:",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827426.3378162,,,
3 tỷ VNĐ,Quận Hoàng Mai, 45m2,,,"Bán nhà đường Giáp Bát-Quận Hoàng Mai giá chỉ 3 tỷ. - Vị trí thuận tiện: ngay gần đường lớn Giải Phóng, bến xe Giáp Bát, gần các trường đại học Bách Khoa, đại học Xây dựng, Đại học Kinh tế quốc dân,… - Diện tích 45m2, 4 tầng, Mặt tiền rộng. - Sổ đỏ vuông vức, chính chủ, GIÁ CHỈ 3 tỷ. - Liên hệ:  em Đức 0395190901 (gọi hoặc inbox 24/24h). Miễn phí xem nhà- nguồn hàng phong phú- tư vấn nhiệt tình, tận tâm.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827427.6682556,,,
