price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng,Mặt tiền,Lộ giới,Số toilet
3 tỷ VNĐ,"10m oto tránh, nhà đẹp ở ngay Xuân Đỉnh, DT 45mx5T, MT 5m, chỉ 3 tỷ nhỉnh.", 45m2,,"Vài bước ra phố, ngõ thoáng sạch, 10m oto tránh. Nhà xây kiên cố, tâm huyết, tối đa công năng, về ở ngay. Xung quanh tiện ích vô vàn không thiếu thứ gì, hàng xóm thân thiện. Khu dân trí, an ninh tốt, gần Ủy ban, gần chợ đầu mối Xuân Đỉnh, gần trường Mần non, Tiểu học Xuân Đỉnh, ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra Công viên Hòa Bình, các tuyến phố lớn Phạm Văn Đồng, Võ Chí Công, Xuân La, Lạc Long Quân, Tây Hồ...Sổ chính chủ sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831117.706873,,,,,
21 tỷ VNĐ,Lê Trọng Tấn, 105m2, 7,"Chủ chuyển công tác cần nhượng lại căn nhà 7 tầng đã có đầy đủ nội thất, thang máy xịn.Khu phân lô phố Lê Trọng Tấn, Thanh Xuân. đường trước nhà to rộng thoáng thông tứ tung, oto vào nhàDiện tích: 105m2 x 7 tầng, mặt tiền 5mGiá: 21tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)GẦN MẶT PHỐ - Ô TÔ TRÁNH - KINH DOANH SẦM UẤT - TẶNG NỘI THẤT GẮN TƯỜNG.Liên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Khu phân lô nên thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831118.9754791,,, 5, 13,
33 triệu VNĐ,279 đường Hoàng Mai, 108m2,,"✨✨✨ Dự án kết hợp chất sống 𝑹𝑬𝑺𝑶𝑹𝑻 cùng tiện ích 5⭐ tại đất vàng trung tâm quận Hoàng Mai chỉ từ 2,8 tỷ ✨✨✨⛱⛱⛱ Tiện ích tại dự án:   🏖 2 hồ bơi điện phân đồng 420m2   🏖 Trung tâm thương mại 20.000m2   🏖 Vườn dạo bộ trên mây trên đỉnh 3 tòa nhà   🏖 Cafe vườn tại hồ bơi   🏖 Vườn thiền Yoga   🏖 Thiết kế để ô tô thông minh   🏖 View hồ sang chảnh🏘🏘🏘 Diện tích căn hộ xứng đáng với giá trị:   🏚 Căn 2PN 2WC + 1 - Giá từ 2,8 tỷ   🏚 Căn 3PN 2WC - Giá từ 3,3 tỷ💢💢💢 Liên kết vùng 3km:   ✅  5 phút tời hồ Đền Lừ, hồ Vĩnh Hoàng, Times City   ✅ 10 phút tới công viên Yên Sở, bến xe Giáp Bát, nước ngầm   ✅ 15 phút tời nhà hát lớn, hồ Hoàn Kiếm   ✅ Trung tâm giữa tuyến đường vành đai 2 + vành đai 2,5   ✅ 4 siêu thị + 5 công viên + 6 hồ nước + 7 chợ trung tâm + 9 bệnh viện + 35 trường học✴️✴️✴️ Ưu đãi lớn:   ❗ Sổ hồng lâu dài (Vĩnh viễn)   ❗ Bàn giao nội thất cơ bản   ❗ Chiết khấu 2% KPBT + 1 năm phí dịch vụ   ❗ Hỗ trợ lãi suất 0% + ân hạn nợ gốc 18 tháng   ❗ Quà bốc thăm ô tô Mercedes + xe máy điện Vinfas🍀🍀🍀 Hotline hỗ trợ tư vấn 24/7: 𝟎𝟑𝟗𝟔 𝟒𝟒𝟕 𝟗𝟓𝟓 🍀🍀🍀",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831120.272011, 3,,,, 2
4 tỷ VNĐ,"Gần Oto, ở Lạc Long Quân, Tây Hồ, DT 56mx5T, 4 tỷ hơn.", 56m2,,"Vài bước ra phố, ngõ thoáng sạch. Nhà chủ tự xây kiên cố, tâm huyết, về ở ngay. Xung quanh tiện ích vô vàn, hàng xóm thân thiện. Khu dân trí cao, an ninh tốt, gần chợ, gần trường ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra các tuyến phố lớn Võ Chí Công, Xuân La, Lạc Long Quân, Xuân Đỉnh, Tây Hồ...Sổ chính chủ sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831121.4169462,,,,,
15 tỷ VNĐ,Hà Nội, 68m2,,"Gia đình cần bán nhà mặt ngõ oto tránh, vỉa hè khủng phố Phạm Huy Thông - SĐT: 0366 555 258.Vị trí đắc địa đối diện TTTM Lotte gần khách sạn Daewoo sát hồ Ngọc Khánh... + Nhà đầu hồi, lô góc mặt đường thoáng, cửa mở trước sau. + Nhà xây 6 tầng, thang máy Nhật Bản, nội thất châu Âu. - Tầng 1: Gara ô tô, để 2 ô tô. - Sổ đỏ đẹp, thế đất vượng phát. - Diện tích: 68 m2. - Mặt tiền: 6m. - Giá chỉ: 15 tỷ thương lượng sâu. - Sổ đỏ pháp lý rõ ràng sẵn sàng giao dịch.Khu vực hầu như chỉ có người nước ngoài sinh sống.SĐT: 0366 555 258.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831122.4023106,,,,,
"4,65 tỷ VNĐ","đường Khương Đình, phường Hạ Đình", 32m2, 5,"Nhà đẹp mỹ miều - Ô tô đỗ cách nhà 5m - Sở hữu mặt tiền rộng - Sổ đẹp như hoa hậu - Tầm tiền bay nhanh. Thông tuyến: Hoàng Đạo Thành, Hạ Đình, Nguyễn Xiển; đi Cầu Dậu, đến ngã tư Sở, lên đường vành đai 3, qua Linh Đàm hay xuống Tân Triều… cực kỳ thuận tiện. Chỉ vài bước chân là ra tới: hồ điều hòa, trường học các cấp, chợ - trung tâm mua sắm - khu vui chơi, cơ sở y tế,… Vị trí cực đẹp, ngay sát chung cư, ngõ đi vào thoáng, rộng, SH quay đầu thoải mái, nhà cách chỗ đỗ ô tô chỉ 5m. Nhà xây 5 tầng mặt tiền 7m, vuông đẹp, phòng nào cũng có cửa sổ đón nắng ngập tràn. + Tầng 1 là phòng khách, bếp, vệ sinh. + Tầng 2,3,4,5 thiết kế mỗi tầng 1 phòng, vệ sinh riêng biệt. Sổ đỏ đẹp, sẵn sàng giao dịch ngay. Giá: 4,65 tỷ Thanh Xuân giờ giá lên vù vù, ACE cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831123.767695, 4,,,,
,giáp bát hoàng mai ha noi, 83m2,,"+Ngõ rộng trải nhựa đẹp .Ô tô 7 chỗ vào nhà,sát phố. +Thửa đất vuông đẹp còn sót lại .Phù hợp xây CCMN, vừa ở vừa kinh doanh Văn Phòng rất đẹp. +Vị trí nhiều tiện ích.kết nối GIải Phóng,Ngã Tư Vọng,nhiều trường Đại Học,nhiều bệnh viện lớn. +Cách Hồ Gươm chỉ 5.8km.Thuận tiện di chuyển đi TTTP.  +Sổ đẹp vuông đét,pháp lý chuẩn sẵn sàng giao dịch. +Gía 7.5 tỷ có thương lượng ạ. +LH Mr Phúc 0978.895,889zalo-0912.338.038",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831124.7902331,,,,,
20 tỷ VNĐ,Hà Nội, 68m2,,"Bán gấp nhà mặt phố Nguyễn Văn Ngọc, quận Ba Đình - LH: 0856 968 656.Mặt phố - Kinh doanh - Tầm tiền hiếm khi nhà bán - Hiện trạng đang kinh doanh cà phê. Phù hợp kinh doanh nhà hàng, cửa hàng vàng bạc, công sở, văn phòng, cửa hàng trưng bày sản phẩm, lưu niệm… + Diện tích: 68 m2, 5 tầng, mặt tiền 7 m, vị trí VIP đẹp, kinh doanh sầm uất. + Thiết kế đẹp, trang bị toàn bộ nội thất cao cấp, chỉ việc ở luôn. + Vị trí mặt phố rộng kinh doanh tốt, trung tâm Ba Đình, giáp với rất nhiều con phố lớn, giao thông thuận lợi, an ninh miễn bàn. + Sổ đỏ thông số vàng. + Giá chào chỉ 20 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.P/s: Ngoài khu vực này, em có rất nhiều thông tin nhà đẹp khác.Liên hệ 0856 968 656 để được xem nhà miễn phí, mua nhà tốt nhất thị trường.",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831125.7786045,,,,,
"2,5 tỷ VNĐ","kim chung ,hoài đức", 33m2,,"Ngõ rộng ô tô đỗ cửa, là ngõ thông sang KĐT, hưởng trọn tiện ích tương lai. Gần trung tâm hành chính huyện Hoài Đức, sát KĐT Kim Chung- Di Trạch. Nhà rất gần đường quốc lộ 32, đi Nhổn, Cầu Diễn, Xuân Phương, Trịnh Văn Bô, Nhổn, Hồ Tùng Mậu, SVĐ Mỹ Đình... rất nhanh chóng. Xung quanh nhà công viên, sân bóng, trường học, siêu thị...không thiếu thứ gì, cách nhà 30m lại có hồ điều hòa, không khí cực trong lành mát mẻ. Khu vực dân trí cao và cực tiềm năng khi Hoài Đức sắp lên quận. Giá chào thiện chí 2 tỷ 500 triệu (khách gặp chủ thương lượng trực tiếp). Sổ đỏ cất két, sẵn giao dịch ngay (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng).    Anh chị liên hệ em Sơn (thổ cư) ngay để xem nhà và rất nhiều căn nhà khác hoàn toàn miễn phí: 0932382236",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831127.052195,,,,,
"11,5 tỷ VNĐ","KĐT mới Định Công, Hoàng Mai, Hà Nội", 82m2,,"Cần bán nhà chính chủ KĐT mới Định Công. DT 82m2*4 tầng, giá 11.5 tỷ.+ Nhà nằm ở vị trí trung tâm KĐT mới Định Công, gần UBND Định Công, bể bơi bốn mùa, khu vui chơi thể thao, công viên cây xanh, gần trường PTTH Phương Nam, gần chợ Xanh và bệnh viện Bưu Điện.+ Đường trước nhà ô tô tránh, có vỉa hè rộng, phù hợp với các loại hình ở văn phòng, thông ra đường vành Đai 2,5 sắp được hoàn thiện.- Tầng 1: Phòng bếp riêng, phòng khách, wc.- Tầng 2, 3: Mỗi tầng 2 phòng ngủ, 2 wc, mỗi phòng ngủ đều có ban công.- Tầng 4: Phòng thờ và sân phơi.- Sổ đỏ chính chủ.+ Khu vực đi lại thuận tiện, dân trí cao, an ninh tốt.+ Liên hệ: A Thành 0912525146",04/03/2022,Tin thường,batdongsan_so_com_vn_1673831128.1043768,,,,,
