price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Số tầng,Hướng
32 tỷ VNĐ,"Đường Cầu vượt Mai Dịch, Dịch Vọng, Cầu Giấy", 185m2, 10,"Cường ơi - Tớ đang cần tìm nhà ở Hà Nội Có Sân Vườn?👍Hiện nay Cường đang có 1 căn Biệt Thự Nhà Vườn. Khu Vực Cầu Giấy. Nằm Ngay Khu Trung Tâm Cầu Giấy.🏠Lối Nhà Vườn 185m2  Biệt Thự Trung Tâm Quận, Để ở hay giữ tiền cực tiềm năng      Mặt Tiền 10m      Khu Vực Được Phân Lô. Biệt Thự 4 TẦNG - 4 PHÒNG NGỦ, Rộng.CÓ SÂN CHƠI - (Thiết Kế Vườn Hoa)CÓ SÂN THƯỢNG- Rộng Rãi.Đường oto. Đất Ở Hay Đầu Tư Đều Đẹp Sổ Đỏ Chính Chủ. ☎️Liên Hệ Với Cường : 0398 218 398 - 0869 356 605",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785289.738062, 2, 4, 5, 4, Tây nam
"6,6 tỷ VNĐ","Đường Trần Bình, Mai Dịch, Cầu Giấy", 55m2, 4,"
    Cực Hiếm Bán Nhà Phố Trần Bình, Mai Dịch, Cầu giấy 55m nhỉnh 6 tỷ
- Vị trí cực đẹp, xung quanh trường học các cấp 1,2,3. Đại học Thương mại, Đại học Quốc gia, Đại học Ngoại ngữ, Học viện Báo chí Tuyên truyền..
- Giao thông thuận lợi, Ô tô đỗ, Thông lê ĐứcThọ, Trần Bình, Nguyễn Hoàng, Hồ Tùng Mậu.. Bễn Xe Mỹ Đình..
- Khu vực Hot nối liền Mỹ Đình, Nam Từ Liêm với Cầu Giấy. Tiện ích Ngập tràn, phát triển sầm uất.
- Sổ CC Đẹp như hoa hậu. sang tên nhanh gọn
Xem Nhà Đất, tư vấn gọi Mr Đức Nhà Đẹp. Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785290.7284105, 5, 4, 3, 5,
"1,75 tỷ VNĐ","Đường Lĩnh Nam, Vĩnh Hưng, Hoàng Mai", 47m2, 4,"- Nhà mình bán ô tô đỗ cửa vào nhà. View hồ câu thoáng mát. - Nhà mình chủ vừa mới xây, khách ưng về lên đồ là ở luôn. Dành cho khách thích yên tĩnh và hưởng trọn không khí trong lành giữa thủ đô ồn ào tấp lập.Pháp lý:- Nguồn gốc đất NN chung gần 1000m.- Giao dịch công chứng hợp đồng mua bánThiết kế:- Tầng 1: Khách + bếp + vệ sinh + sân để xe.- Tầng 2: 02 phòng ngủ + vệ sinh. -------------------------Liên hệ xem nhà MIỄN PHÍ: 0965 399 689 (Mr Châu)",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785291.7586553, 8, 2, 2, 5,
"4,39 tỷ VNĐ",Phan Đình Giót, 35m2, 4,"+ Trình làng siêu phẩm Thanh Xuân, sẵn 5 tầng mới ở luôn, cực kì gần ô tô, dân trí cao, tầm tiền cực hiếm nhà bán khu này. + Thông số: Gia chủ xây dựng và thiết kế mục đích chính để ở và an sinh lâu dài, với con mắt của dân nghệ thuật cho ra đời một tổ ấm trong mơ, công năng hoàn hảo, nội thất đo đạc theo kích thước phòng, cốt móng kiên cố, vẫn thoải mái lên tầng khi cần. Tầng 1: Phòng khách, bếp, vệ sinh. Tầng 2-3-4: Mỗi tầng 1 phòng rộng, vệ sinh. Tầng 5: Phòng thờ, sân phơi. + Vị trí: Khu vực tập trung lượng dân trí cao, và có gần chục Công ty cổ phần, Đại Học, Trường học các cấp, cơ quan, bộ máy quan trọng, rất nhiều lối để vào nhà, đi từ Giải Phóng, hoặc đi từ Trường Chinh, ngõ thông các ngả, thuận tiện vô cùng. Sổ đỏ chính chủ,pháp lí sạch,sẵn sàng giao dịch. Liên hệ A Tuyên 0969945393 để được tư vấn và xem nhà miễn phí.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785292.8198173,, 3,, 5,
"17,2 tỷ VNĐ",Phạm Ngọc Thạch Đống Đa Hà Nội, 76m2, 4,"- Diện tích 76m2 x4 tầng, Mt 4m 17.2 tỷ ( có thương lượng )- Vị trí đẹp ngõ phân lô ô tô, kinh doanh Vip nhất Phạm Ngọc Thạch vừa ở vừa kinh doanh cách phố 20m. - Thiết kế 4 tầng 1 phòng khách, 1 bếp, 3 phòng ngủ to,  phòng thờ, sân phơi. - Chủ nhà có tuổi bán đi để an hưởng tuổi già! - Giao thông kết nối : Xã Đàn, Chùa Bộc, Đặng Văn Ngữ, Kim Hoa, Đào Duy Anh, Đông Tác, Tôn Thất Tùng! - Khu vực dân trí cao an ninh đảm bảo! - Sổ đỏ chính chủ sẵn sàng giao dịch.Liên hệ em Quân để được tư vấn và xem nhà!0385 94 1802 ",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785293.9128919,, 3, 3, 4,
"27,5 tỷ VNĐ","nam dư, lính nam, hoàng mai, Hà Nội", 145m2, 13,"+  SIÊU PHẨM CÓ 1 - 0 - 2 - 8 TẦNG THANG MÁY - LÔ GÓC -  VỪA Ở VỪA KINH DOANH - CHO THUÊ DOANH THU 150 TRIỆU/ THÁNG Mô tả:- Vị trí đắc địa: tại Nam Dư đẹp nhất phố, lô góc 2 mặt ngõ ô tô. - Chủ thiết kế tỉ mỉ chi tiết và làm rất tâm huyết: + Tầng 1: Gara ô tô xe máy, văn phòng, 2 vệ sinh+ Tầng 2: cho thuê Văn phòng + 1 ngủ, 2 vệ sinh+ Tầng: 3,4,5,6: mỗi tầng 6 phòng + 6 vệ sinh riêng+ Tầng 7: tổng 3 ngủ trong đó 1 phòng Víp cho thuê 8 triệu, sân phơi+ tầng 8 cho thuê 25tr/tháng.- Nhà hiện tại đang cho thuê văn phòng và thuê phòng doanh thu full cả nhà 150 triệu/ tháng.- Sổ đỏ phân lô, sẵn sàng giao dịch ngay.+ AC quan tâm zalo em Đỗ Hạnh : 0845 790 555 hoặc 0911 206 189 thanks.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785295.0778165, 6, 10, 10, 8,
"5,8 tỷ VNĐ","Đường Vương Thừa Vũ, Khương Mai, Thanh Xuân", 35m2,,"Nhà đẹp Vương Thừa Vũ, Thanh Xuân ở ngay kinh doanh, đường trước nhà ô tô tránh 35m2, 4 tầng giá 5,8 tỷ. Vị trí trung tâm Đống Đa khu vực cán bộ quân đội, dân trí cao, an ninh tốt. Giao thông thuận tiện thông khắp các đường lớn, xung quanh bạt ngàn tiện ích gần chợ, trường học các cấp. Nhà 4 tầng xây khung cột bê tông chắc chắn, đầy đủ công năng sử dụng phòng khách, bếp, 4 phòng ngủ, vệ sinh, phòng thờ, sân phơi. Sổ đỏ chính chủ. Giá 5,8 tỷ có thương lượng. Liên hệ ms Loan 0934306903 xem nhà ngay và được tư vấn miễn phí.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785296.2257156, 4, 4, 4, 4,
11 tỷ VNĐ,phường nghĩa đô, 60m2,,"GIÁ SẬP SÀN PHÂN LÔ HOÀNG QUỐC VIỆT  Ô TÔ 7 CHỖ VÀO NHÀ  KINH DOANH VĂN PHÒNG 0962745289+ DT. 60M2* 4 TẦNG – MẶT TIỀN 4.5 M. GIÁ 11 TỶ CẦU GIẤY+ + Vị trí đẹp, phân lô ô tô tránh, thông bàn cờ, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực+ Nhà nằm trong khu phân lô Đại Học Mỏ, ô tô 7 chỗ vào nhà, 1 phút ra chợ Nghĩa Tân, Công viên Nghĩa Đô, giao thông thuận tiện. + Nhà dân xây khung cột chắc chắn, Gara ô tô + khách + bếp, 5 phòng ngủ, đầy đủ công năng sử dụng.+ Sổ đỏ phân lô A4 cất két sẵn sàng giao dịch.+ Giá thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785297.2769008,,,,,
"3,3 tỷ VNĐ","Đường Phan Đình Giót, La Khê, Hà Đông", 40m2, 4,"
    

Mô tả:
+ Ngõ to ô tô đỗ, vị trí đẹp thuận tiện đỗ ô tô ngày đêm.
 
+ Nhà có gác xép khách mua về sơn qua lại ở vẫn tốt, hoặc xây mới.
 
+ Nhà chỉ cách ô tô tránh  đúng 20m.
 
+ Xung quanh Chợ, trường rất gần thuận tiện sinh hoạt.
 
+ Sổ đỏ vuông như tờ A4

Liên hệ: Công NHÀ TO Hà Đông 0931706698
Miễn trung gian, môi giới
",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785298.2383294, 4, 2, 3, 3,
800 triệu VNĐ,"Đường Giáp Bát, Giáp Bát, Hoàng Mai", 50m2,,"Chính chủ cần bán căn hộ chung cư mini ngõ 84 Giáp Bát 50m2 giá 800 triệu. Nhà nằm ngõ 84 Giáp Bát, cách 20m ra đường ô tô, gần bến xe, gần chợ và nhiều trường cấp 1,2. Khu vực nhiều tiện ích giao thông thuận lợi, Căn hộ tầng 7, 2 phòng ngủ, thiết kế đầy đủ công năng sử dụng. Sổ đỏ chính chủ. Giá 800 triệu có thương lượng. Liên hệ ms Loan 0904787781 ngay để xem nhà và tư vấn miễn phí.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785299.357337, 2, 2,, 7,
