price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng,Lộ giới,Số phòng ngủ,Số toilet
"3,6 tỷ VNĐ",Đa Sĩ Kiến Hưng Hà Đông, 32m2, 4,"-  Chính chủ cần bán nhà Đa Sĩ Kiến Hưng Hà Đông. 32m2. 4 tầng, giá 3.6 tỷ, ô tô qua nhà.- Hướng nhà Đông Nam. Vị trí nhà cực kì thuận lợi, gần chợ Đa Sĩ, trường cấp 1 cấp 2 Kiến Hưng, trường cấp 3 ... Đầy đủ tiện ích với Vinmart sân bóng, công viên, bể bơi...- Khu vực đông dân cư với dân trí cao, gần Chợ Hà Đông, TÔ Hiệu, Văn Quán....- Nhà 4 tầng xây dựng vững chắc đầy đủ tiện ích.+ Tầng 1 : Phòng khách Bếp vệ sinh+ Tầng 2 +3 : Phòng ngủ + vệ sinh+ Tầng 4: Phòng thờ sân phơi- Liên Hệ Mr. Khắc Anh để biết thêm thông tin.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829943.1240435, 4, Đông nam,, 4, 4
19 tỷ VNĐ,Hà Nội, 85m2,,"Bán gấp nhà phố Thanh Nhàn - SĐT: 0366 555 258. + Vị trí đắc địa, trung tâm giao thoa giữa các tuyến phố Võ Thị Sau, Lò Đúc, Trần Khát Chân, Lê Thanh Nghị… + Nhà đẹp, ngõ ô tô tránh, vài bước chân ra phố. + Xây 85m2 chắc chắn, thiết kế hiện đại, phòng nào cũng thoáng sáng. + Nhà 7 tầng, thang máy, nội thất xịn. + Sổ đỏ vuông vắn, nở hậu nhẹ, sẵn sàng giao dịch. + Liên hệ luôn ạ Ms Thanh - 0366 555 258. + Tư vấn xem nhà miễn phí, miễn trung gian.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829944.2131326,,,,,
"4,5 tỷ VNĐ",Khương ĐÌnh Thanh Xuân, 35m2, 5,"+ Nhà mới thiết kế hiện đại với 3 phòng ngủ rộng ngõ 3 gác, ngõ nông cách trục ô tô tránh 30m + T1 – phòng khách, bếp wc + T5 – phòng thờ và sân phơi + Khu vực đang phát triển mạnh của khương đình và hạ đình + Tiện ích vây quanh, Ủy Ban các cấp ,trường học các cấp,TTTM ngay cạnh đặc biệt còn gần ngã tư sở thần thánh giao thông đi khắp ngã. + AC: LH.em 0989204763 để xem nhà cụ thể ạ!",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829945.4627862, 3,, 2, 3, 4
"3,6 tỷ VNĐ","Ngõ phố 234, Hoàng Quốc Việt, Cầu Giấy, Hà Nội", 36m2, 5,"✅  Bán nhà tuyệt đẹp mặt ngõ thông 234 Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy. Hoặc có thể đi từ 297 Trần Cung, Bắc Từ Liêm. Nhà mặt ngõ thông, ô tô nhỏ đỗ cửa, kinh doanh (cửa hàng, tạp hóa, quầy thuốc...) cách khu đô thị Nam Cường 30m thuận tiện đi lại, sinh hoạt. ------------------------------------------------------------------------------------- ✔️  Nhà thiết kế Tân Cổ Điển sang trong đẳng cấp ngập tràn ánh sáng tự nhiên. - Diện tích 35 m2, 5 tầng mới đẹp, 4 phòng ngủ. - Tầng 1: Kinh doanh, buôn bán, bếp, để xe. - Tầng 2, 3: Mỗi tầng 1 phòng ngủ rộng, vệ sinh. - Tầng 4: Thiết kế 2 phòng ngủ, vệ sinh. - Tầng 5: Phòng thờ, sân phơi rộng thoáng. ✔️  Nội thất: - Trong nhà toàn hàng nhập ngoại: Sàn gỗ, cầu thang, cửa thông phòng đều được làm bằng gỗ lim, tủ âm tường, bếp điện từ, hút mùi, bình nóng lạnh, điều hòa... - Toàn bộ thiết bị nhà vệ sinh đều là hãng ToTo cao cấp, dây điện Trần Phú. ✔️  Vị trí: Nhà nằm ở vị trí đẹp, mặt ngõ thông, ô tô đỗ cửa,cách KĐT Nam Cường ,trường Cao Đẳng Y Dược Asean, trường Newton 50m. Thuận tiện đi lại sinh hoạt vô cùng. ✔️  Cam kết sổ đỏ chính chủ, đầy đủ HSTK, GPXD. ✔️  Giá thương lượng chỉ từ 3.6 tỷ- 4.6 tỷ (có thương lượng, bao sang tên) ✔️  Liên hệ  xem nhà trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG)",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829946.9478142, 3,, 2, 4, 4
36 triệu VNĐ/m2,"Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 195m2,,"Mở bán quý I Udic Westlake Tây Hồ⭐️   - Pháp lí thương mại, sổ hồng lâu dài- Diện tích căn hộ: 195m2- Giá chỉ từ 36tr/m2- Vị trí mặt đường Võ Chí Công- Tiện ích nội khu đầy đủ siêu thị, sân chơi, thể thao, gym, spa ......Liên hệ xem dự án : 0977568223",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829947.9960082,, Tây bắc,, 4, 2
"1,2 tỷ VNĐ","Thôn Đồi Sem, xã Bình Yên", 70m2,,"Thông tin cơ bản - Pháp lý rõ ràng, sẵn sổ, giao dịch uy tín - Giao thông thuận tiện, đi lại dễ dàng: + Đường nội khu 6m + Đường trục chính + cách Tỉnh lộ 420 300m + Cách khu công nghệ cao 5p di chuyển - Xung quanh đầy đủ tiện ích : trường cấp 1, cấp 2, cấp 3, bệnh viện đa khoa, trạm y tế, UBND, chợ,đối diện nhà văn hóa - Tiềm năng tăng giá lớn (khoảng30%/năm), thanh khoản nhanh LIÊN HỆ NGAY em Hoàng để được tư vấn miến phí và nhận được giá ưu đãi khi mua đất!!!!",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829949.2247229, 5, Đông nam, 6,,
"6,5 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 85m2, 4,"""Shophouse Sơn Đồng Center tinh hoa nghìn năm - khơi nguồn thịnh vượng - 150 lô liền kề diện tích từ 65m2 - 103m2- Mặt tiền từ 5,1m - 6,3m - mặt đường 10m- Tầng cao :4,5 tầngVị trí:- Nằm tại đường Tỉnh Lộ 422 Sơn Đồng - Song Phương -Hoài Đức- Cách ngã tư Trạm Trôi - Quốc lộ 32 chưa đến 3km - hạ tầng đã hoàn thành đồng bộ.- Nằm sát làng nghề đúc tượng - sơn - tạc tượng - đồ mỹ nghệ, đồ thờ nổi tiếng.- Pháp lý hoàn chỉnh:- Sổ đỏ chính chủ từng lô.""",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829950.5222504, 6, Đông nam,,,
38 triệu VNĐ/m2,"Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 168.1m2,,"Bán Chung Cư Udic Giá Siêu Rẻ💥✓ Diện tích: 168m2.✓ Thiết kế 3 phòng ngủ 2WC, 1 phòng khách, 1 bếp, 3 logia.✓ Hướng ban công Đông Nam, tầng trung view thoáng.✓ Có nội thất như hình.✓ Pháp lý: Sổ đỏ chính chủ, giấy tờ đầy đủ.✓ Tặng 5 chỉ Vàng cho 5 khách hàng đầu tiên.☎ Call/Zalo 0977568223",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829951.5514972,, Tây bắc,, 3, 2
"6,5 tỷ VNĐ",Sơn Đồng-Hoài Đức-Hà Nội, 92m2,,"☑️Dự án đấu giá Sơn Đồng Hottt nhất Hoài Đức.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837 m2.- Đất ở (150 lô): 12.191 m2.- Công viên cây xanh: 548 m2.- Bãi đỗ xe: 982 m2.- Đất hạ tầng kỹ thuật, giao thông: 12.116 m2.- Loại hình phát triển: Đất Liền kề, Shophouse.- Hình thức sở hữu: Sổ đỏ vĩnh viễn.- Nội khu: Công viên cây xanh, bãi đỗ xe, khu thể dục thể thao,...- Dự án nằm trên mặt đường TL 422 và đường quy hoạch Trịnh Văn Bô giúp Quý khách hàng dễ dàng kết nối tới các quận, huyện xung quanh như: Mỹ Đình, Từ Liêm, Hà Đông, Đan Phượng, Quốc Oai,...- Tiến độ thanh toán 3 tháng một lần mỗi lần 30%.Giá từ 65tr/m2 - Diện tích từ 65m2 - 119m2.✔️Liên hệ thêm thông tin : 0779.27.37.87",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829952.5787497,,,,,
14 tỷ VNĐ,Hà Nội, 58m2,,"Chính chủ gửi bán gấp nhà phố Trần Khát Chân, quận Hai Bà Trưng - LH: 0856 968 656. + Nhà phân lô, lô góc, 2 ô tô tránh, vỉa hè 2 bên, kinh doanh văn phòng… + Diện tích 58 m2, 5 tầng, mặt tiền 5 m. + Nhà 5 tầng đẹp, xây rất tâm huyết, chắc chắn, đầy đủ các công năng, phòng nào cũng thoáng mát, đón ánh sáng tự nhiên. + Hiện tại chủ nhà đang làm văn phòng công ty, quý khách mua về vừa ở vừa làm văn phòng thì quá tuyệt vời. + Nhà nằm vị trí trung tâm quận Hai Bà Trưng xung quanh có đầy đủ các tiện ích như: Siêu thị, TTTM, chợ, trường học các cấp như mầm non, cấp 1.2.3 các trường ĐH và các bệnh viện Viện 108 Quân Đội, Việt Xô, Thanh Nhàn… + Xung quanh là các tuyến phố lớn như Đại Cồ Việt, Lò Đúc, Kim Ngưu, Minh Khai, Võ Thị Sáu, Nguyễn Khoái… rất thuận lợi cho việc đi lại. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá chào chỉ 14 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. + Liên hệ ngay Mr Bình 24/7 để xem nhà và tư vấn miễn phí - 0856 968 656.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829953.5870528,,,,,
