price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
"3,6 tỷ VNĐ",phố Minh Khai, 42m2,,"+ Nhà năm tại Ngõ trên phố Minh Khai sầm uất, hiện đại, tiện ích và giao thông thuận lợi. + Gần các tuyến phố : Bạch Mai, Trương Định, Đại La, Kim Ngưu. + Nhiều tiện ích : Time City, Bệnh Viện Thanh Nhàn… + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối. + Ngõ thông, 80m ra phố Minh Khai. + Diện tích sổ đỏ 42m   x 5 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Chủ TẶNG TOÀN BỘ NỘI THẤT. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 3 Tỷ650 –  Tặng chi phí sang tên.  Liên hệ: em Dũng chính chủ  - 094 567 6597",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810111.919157,,,,
17 tỷ VNĐ,Đường Lâm Du phường Bồ Đề, 60m2, 5,,08/08/2022,Tin thường,batdongsan_so_com_vn_1673810115.2136047, 5, 5, 5, 8
"4,6 tỷ VNĐ",Mỹ Đình Nam Từ liêm, 37m2,,"Chỉ 4.6 tỷ có ngay nhà Mỹ Đình Nam Từ Liên 5T,MT5m kinh doanh LH :0845681666.Nhà Mỹ Đình Nam Từ Liêm mới rất đẹp gần nhiêu đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Nhà đẹp ở ngay ngã ba rất tiện kinh doanh, thiết kế 5 tâng, đầy đủ công năng sử dụng, THOÁNG SÁNG MÁT.Vị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quốc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tốt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng.",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810116.6617298,,,,
80 triệu VNĐ/m2,Quận Bắc Từ Liêm, 65m2,," Xuân Đỉnh nhà Đất 65m2  MT 4m ngõ ô tô tránh Giá 5.8 tỷ LH 0962745289+ Vị trí đắc địa trung tâm Quận Bắc Từ Liêm. vài bước chân ra phố Phạm Văn Đồng,  Võ Chí Công, Nguyễn Hoàng Tôn, công viên Hòa Bình. Tiện ích miễn bàn.+ Mặt tiền thoáng sáng, ô tô tránh, ô tô vào nhà, giao thông thuận tiện, gần chợ, trường học các cấp, khu Ngoại Giao Đoàn, Phạm Văn Đồng, Hồ Tây, 5p ra công viên Hòa Bình, Mê Trô Thăng Long. Tiện ích ngập tràn.+ Sổ đỏ chính chủ vuông vắn sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810118.0909066,,,,
"11,7 tỷ VNĐ",Đường Chính Trung phường Trâu Quỳ, 110m2,,"Bán lô góc đẹp giá đầu tư ngay trung tâm Trâu Qùy, Gia Lâm. -Diện tích : 110m2, mặt tiền 5.2m đường 15m ,hướng Đông Nam mát mẻ. -Nằm ngay vị trí đắc địa trung tâm huyện Gia Lâm, đối diện là KĐT 31ha, tổ hợp các dự án, shophouse, chung cư, biệt thự nhà phố…xung quanh các dịch vụ ăn uống, vui chơi giải trí đầy đủ không thiếu thứ gì. -Kết nối với các khu vực khác dễ giàng , chưa đầy 1km kết nối với KĐT Đặng Xá, trường Đại Học Nông Nghiệp, Vin Ocean Park hay sang nội thành ,đi các tỉnh…. -Đất full thổ cư , xây dựng 100% , thích hợp làm văn phòng ,nhà nghỉ, nhà xưởng,kinh doanh quán bia, trà sữa…. -Sổ đỏ đầy đủ Giá bán: 11 tỷ lẻ Lh:0346996426 để đi xem",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810119.8729718,,, 5,
"4,7 tỷ VNĐ","Ngọc Lâm, Long Biên", 39m2, 6,"+ Vị trí cực chất trung tâm của trung tâm Ngọc Lâm, Long Biên, từ nhà sang phố cổ chỉ 5 phút chạy xe, tiện ích không thiếu thứ gì. + Nhà 6 tầng tự xây rất chắc chắn, cực đẹp, phòng nào cũng ngập tràn ánh sáng, khách về ở ngay -  Khu vực dân trí cực cao, ngõ kinh doanh sầm uất, an ninh tốt, quanh quanh toàn người có tiền từ phố cổ sang đây sinh sống. - Thiết kế: 6 tầng. Từ tầng 2 đua ra. Các tầng có ban công. Tầng 1: PK, bếp, WC. Tầng 2: Phòng ngủ, WC khép kín. Tầng 3: Phòng thờ, Giặt, WC. Tầng 4: Phòng ngủ, WC khép kín. Tầng 5: Phòng ngủ WC khép kín.. Tầng 6: Sân phơi, tập gym, sân trồng cây. + Sổ đỏ vuông đẹp nằm két sẵn sàng sang tên chủ mới. - Lh em Trác: 0965492571( xem nhà và tư vấn miễn phí)  ",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810121.2991562, 3,, 4,
9 tỷ VNĐ,Đường Xóm Chuôm phường Xuân Canh, 100m2,,,08/08/2022,Tin thường,batdongsan_so_com_vn_1673810122.6724823,,, 5,
"4,7 tỷ VNĐ",Đường 1 phường Ngọc Thụy, 47m2, 4,"Gần cầu long biên, chợ, TTTM Mipec và Big C 4 tầng với mọi công năng sử dụng. rộng rãi thoải mái. Otongồi luôn cửa nhà, chánh thoải mái Sổ đỏ chính chủ, thiện chí thương lượng Liên hệ chi tiết: 0856316294 để đc tư vấn và xem nhà miễn phí",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810124.145219,,,, 3
"13,2 tỷ VNĐ",Đường Trần Quốc Hoàn phường Dịch Vọng Hậu, 60m2, 5,"HẠ LIỀN 2.5 TỶ, CHỦ MONG BÁN TỪNG NGÀY, ĐƯỜNG Ô TÔ TRÁNH TRẦN QUỐC HOÀN 60*5, MT6, Ở KINH DOANH VĂN PHÒNG, SPA, PHÒNG KHÁM NHỈNH 13 TỶ * CỰC HIẾM, DIỆN TÍCH RỘNG MẶT TIỀN LỚN, KINH DOANH DỄ DÀNG, DÒNG TIỀN ỔN ĐỊNH- Diện tích: 60m2.- Mặt tiền: 5.4m.- Hiện trạng: nhà 5 tầng khung cột bê tông, cải tạo thành văn phòng 7 tầng.- Vị trí: đường phân lô ô tô tải tránh phố Trần Quốc Hoàn, thông khắp ngả: Phan Văn Trường, Nguyễn Phong Sắc, Xuân Thủy. Khu vực dân trí cao, an ninh tốt, giao thông thuận lợi, phù hợp khách mua ở, làm văn phòng công ty hoặc kết hợp cả 2.- Pháp lý: sổ phân lô vuông đẹp, pháp lý sạch, giao dịch ngay.$ Giá Niêm Yết: 13.2 TỶ. * ĐÁNH GIÁ SẢN PHẨM- Vị trí đẹp, mặt đường lớn, kinh doanh đa dạng, ô tô tránh dừng đỗ thoải mái.- Mặt tiền rộng, phù hợp mọi loại hình kinh doanh.- Khu vực dân trí cao, nhu cầu thuê làm văn phòng hoặc cửa hàng rất lớn.- Khách mua về thêm giá trị cho bất động sản, tạo dòng tiền thu nhập hàng tháng. Liên hệ: Mr Mạnh 0902224679 (Fb/Zalo - 24/7) - Miễn trung gian, môi giới. Chỉ tiếp khách có nhu cầu thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác. Với kinh nghiệm 8 năm trong lĩnh vực bất động sản, Mr Mạnh sở hữu thông tin hơn 1000 căn nhà mặt phố, với đủ phân khúc lớn nhỏ từ chục tỷ cho đến hàng trăm tỷ, vị trí đẹp, tính thanh khoản cao, đáp ứng đầy đủ nhu cầu ở, đầu tư sinh lời của các khách hàng, tại các khu vực quận trung tâm Hà Nội như Ba Đình, Tây Hồ, Đống Đa, Cầu Giấy... giúp cho hàng trăm chủ nhà và khách hàng tìm được căn nhà ưng ý, tôi sẵn sàng hỗ trợ và tư vấn với sự nhiệt tình, kinh nghiệm, thông thạo khu vực, loại hình để đưa đến những thông tin nhanh và chính xác nhất. Các loại hình làm việc1. Nhà mặt phố kinh doanh2. Nhà mặt ngõ ô tô3. Tòa nhà dòng tiền: căn hộ, apartment, văn phòng, trụ sở công ty...4. Nhà ở yên tĩnh, biệt thự đẳng cấp5. Nhà phân lô các khu vực VIP Hà Nội Liên hệ ngay để được tư vấn và tham khảo nguồn hàng phù hợp nhất.",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810125.7230341, 5, 5, 5, 15
"3,7 tỷ VNĐ",Minh Khai Hai Bà Trưng Hà Nội, 40m2, 4,"+ Cần bán nhà 4 ngủ ở phố Minh Khai, Hai Bà Trưng, lô góc vị trí cực đẹp gần phố. + Ngõ to rộng sạch, khu văn minh, an ninh cực tốt, nhà mới xây được đôi năm, cực kỳ đẹp và chắc chắn. + Diện tích 40m2, 4 ngủ rộng đẹp, thoáng mát. + Vị trí đẹp, trong tầm tiền hiếm có căn thứ 2. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Tài chính 3.7 tỷ ( Thương lượng ) Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn )",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810128.3007936, 4,,,
