price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet
"2,65 tỷ VNĐ",Kiến Hưng- Hà Đông, 36m2,,, 5,,"Nhà đẹp ở ngay Kiến Hưng, Hà Đông, ngõ thoáng, gần ô tô, 36mx 5 tầng, nhỉnh 2 tỷ Người thân gửi bán nhà nằm vị trí trung tâm gần chợ lớn Hà Đông, bán kính xung quanh là trường , chợ, bệnh viện, ngân hàng, siêu thị không thiếu thứ gì. Ngõ rất thoáng, ô tô đỗ gần. Chủ nhà xây tâm huyết khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ công năng sử dụng, nhà rất đẹp nội thất xịn. Chỉ việc xách vali đến ở. Giao thông vô cùng thuận lợi di chuyển các phố: Văn Quán, Phùng Hưng, Đa Sỹ, Lê Lợi, Tô hiệu, Bà Triệu,... Môi trường trong lành, hàng xóm thân thiện, gia chủ thành đạt, khu văn minh đáng sống. Sổ đỏ vuông, pháp lý sạch. Giá: 2.65 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830823.3040411,,
"4,85 tỷ VNĐ","Phường tây Mỗ, Nam Từ Liêm, Hà Nội.", 72m2,,,,,"+ Kết cấu: 4 tầng, có sân thượng. ——————————– + Kết nối di chuyển thuận tiện vào trung tâm thành phố: Ngay gần mặt đường Hữu Hưng , đi 1.5km ra Thiên Đường Bảo Sơn đường Lê Trọng Tấn. + Khu dân trí cao, an ninh tốt, hàng xóm thân thiện. + Chủ nhà lớn tuổi đứng đắn cần bán để về ở với con giá nhỉnh 4 tỷ, có thương lượng. ",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830825.062952,,
"5,3 tỷ VNĐ","Nam Từ Liêm, Hà Nội.", 58m2, 6,, 5, 5,"+ Kết cấu: 4 tầng, 1 sân thượng. ——————————– + Kết nối di chuyển thuận tiện vào trung tâm thành phố: Ngay trường mầm non và trường cấp 3, ngã 4 keangnam landmark 72 Phạm Hùng, đường Mễ Trì, đường Dương Đình Nghệ, đường Lê Đức Thọ, đường Lê Quang Đạo, đường Nguyễn Hoàng, đường Hồ Tùng Mậu. + Gần tuyến đường vành đai 3 trên cao đi sân bay Nội Bài rất tiện chỉ. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà: 0963 005 936",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830826.958294,, 5
"3,7 tỷ VNĐ",Nam Từ Liêm, 41m2, 5,, 5, 4,"+ Kết cấu: 5 tầng, có sân thượng. ——————————– + Kết nối di chuyển thuận tiện vào trung tâm thành phố: Ngay trường mầm non và trường cấp 3, ngã 4 keangnam landmark 72 Phạm Hùng, đường Mễ Trì, đường Dương Đình Nghệ, đường Lê Đức Thọ, đường Lê Quang Đạo, đường Nguyễn Hoàng, đường Hồ Tùng Mậu. + Gần tuyến đường vành đai 3 trên cao đi sân bay Nội Bài rất tiện chỉ. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà: 0963 005 936",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830829.3921196,, 4
"4,65 tỷ VNĐ","Nam Từ Liêm, Hà Nội.", 43m2, 7,, 6, 1,"CHÍNH CHỦ CẦN BÁN CĂN NHÀ TẠI MỸ ĐÌNH HÀ NỘI, HÀNG RẤT HIẾM NGAY MẶT NGÕ RỘNG GIÁ 4,65 TỶ, LIÊN HỆ NGAY 0963005936. + Nhà ở vị trí đẹp đi lại giao thông thuận tiện sầm uất gần Công viên CV1 Cầu giấy, bến xe và sân vận động Mỹ Đình có nhiều tiện ích xung quanh. Ô tô 5 chỗ đến tận cửa. + Nhà có diện tích sử dụng là 43m2x 6 tầng, mặt tiền 7m. giá chỉ có 4.65 tỷ. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Cam kết hình ảnh thật 100% + MIỄN PHÍ TƯ VẤN, XEM NHÀ 100%. Alo 24/24 để được giới thiệu nhà chuẩn nhu cầu, sẵn sàng hỗ trợ nhiệt tình về mọi mặt như pháp lý, ngân hàng… đến khi thành công. + Liên hệ : Phan Phú Hiệp 0963005936 hoặc 0914340185.",27/02/2022,Tin thường,batdongsan_so_com_vn_1673830832.1590168,, 1
"3,4 tỷ VNĐ","phường Tây Mỗ, Nam Từ Liêm, Hà Nội.", 40m2,,,,,"+ Kết cấu: 4 tầng, có sân thượng. ——————————– + Kết nối di chuyển thuận tiện vào trung tâm thành phố: Ngay gần mặt đường Tây Mỗ sầm uất , đi 1.5km ra Thiên Đường Bảo Sơn đường Lê Trọng Tấn, gần chợ, trường học, nhà văn hoá… tiện ích xung quanh. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà: 0963 005 936.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830834.4680398,,
"9,5 tỷ VNĐ",Trịnh Đình Cửu - Hoàng Mai - Hà Nội, 70m2, 6,, 5, 6,"Bán nhà mặt phố Trịnh Đình Cửu, Định Công, quận Hoàng Mai, 70m, 6m mặt tiền chỉ 9.5ty. Vị trí: Mặt phố Trịnh Đình Cửu thuộc phường Định Công, quận Hoàng Mai, Hà Nội. Tiện ích: Phố Trinh Đình Cửu kinh doanh buôn bán sầm uất, vỉa hè đỗ xe, gần khu phân lô cán bộ công an, KĐT Đại Kim, KĐT Định Công,..vv. Gần bến xe Giáp Bát, Thanh Xuân, Hai Bà Trưng,…vv. Xung quanh là trường học các cấp 123, các trường đại học Y Hà Nội, Bách Khoa, Xây Dựng, Kinh Tế,..Các bệnh viện Bưu Điện, Bạch Mai, Y Hà Nội…vv. Mô tả: Nhà 70m2, 5 tầng, 6m mặt tiền, lô góc, thông số cực hoàn hảo cho tòa nhà văn phòng 7 tầng, 1 hầm. Giao thông: Phố Trịnh Đình Cửu kết nối Lê Trọng Tấn, Nguyễn Cảnh Dị, Định Công, Vành Đai 2.5, Giải Phóng..vv. Pháp lý: Sổ đỏ đẹp chuẩn sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303. Các bạn môi giới xin không làm phiền, xin cảm ơn.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830837.4029715,,
12 tỷ VNĐ,Tôn Thất Tùng- Đống Đa - Hà Nội, 80m2, 6,, 6, 10,"Bán nhà dòng tiền chung cư Tôn Thất Tùng, Đống Đa, THANG MÁY 110tr/th chỉ 12 tỷ. Vị trí: Trung tâm quận Đống Đa, trung tâm các trường đại học nổi tiếng nhất địa bàn quận là Đại học Y Hà Nội, Ngân Hàng, Thủy Lợi, Công Đoàn..vv. Tiện ích: Khu dân cư đông đúc, kinh doanh sầm uất, kế bên bệnh viện Đại Học Y Hà Nội, Bảo tàng Phòng Không Không Quân,..vv. Các tuyến phố kinh doanh thương mại như Tôn Thất Tùng, Phạm Ngọc Thạch, Chùa Bộc, Trường Chinh…vv. Các trung tâm thương mại Vincom Phạm Ngọc Thạch, Lotte Mart, Royal City, Big C Lê Trọng Tấn...vv. Giao thông: Nút giao Ngã Tư Sở, Ngã Tư Vọng..vv. Pháp lý: Sổ đỏ chính chủ sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303. Các bạn môi giới xin không làm phiền, xin cảm ơn!",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830843.4635613,,
,kim giang thanh trì ha noi, 40m2,,,,,"+Ngõ trước nhà xe3 gác,thoáng sạch sẽ,mấy bước ra ô tô.Gần phố. +Nhà tự xây còn như mới 6tầng chắc chắn,đẹp,khách mua xách va ly về ở ngay +Tầng 1 thông sàn.Tầng 2 lửng phòng khách.Tẩng 3,4,5 tổng 3 ngủ rộng và wc. +Khu dân cư dân trí cao,thân thiện .Gần chợ,trườngMN,THCS các cấp +Vị trí thuận tiện phát triển từng ngày với nhiều tiện ích : cạnh Themanor Nguyễn Xiển,CV Chu Văn An, kết nối KĐT Tây Nam Linh Đàm. +Giao thông thuận tiện khi di chuyển ,đi các ngả vào TTTP,gần vành đai 3,4,bến xe,bệnh viện +Gía 3.75tỷ(có thương lượng). +Sổ đỏ đẹp sẵn sàng giao dịch. +LH Mr Phúc 0978895889zalo - 0912338038 ",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830844.76991,,
,kim giang thanh trì ha noi, 40m2,,,,,"+Ngõ trước nhà xe3 gác,thoáng sạch sẽ,mấy bước ra ô tô.Gần phố. +Nhà tự xây còn như mới 6tầng chắc chắn,đẹp,khách mua xách va ly về ở ngay +Tầng 1 thông sàn.Tầng 2 lửng phòng khách.Tẩng 3,4,5 tổng 3 ngủ rộng và wc. +Khu dân cư dân trí cao,thân thiện .Gần chợ,trườngMN,THCS các cấp +Vị trí thuận tiện phát triển từng ngày với nhiều tiện ích : cạnh Themanor Nguyễn Xiển,CV Chu Văn An, kết nối KĐT Tây Nam Linh Đàm. +Giao thông thuận tiện khi di chuyển ,đi các ngả vào TTTP,gần vành đai 3,4,bến xe,bệnh viện +Gía 3.75tỷ(có thương lượng). +Sổ đỏ đẹp sẵn sàng giao dịch. +LH Mr Phúc 0978895889zalo - 0912338038 ",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830846.1580915,,
