price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"15,5 tỷ VNĐ","Chính chủ bán nhà ngõ 99/4 Nguyễn Chí Thanh, P.Láng Hạ, Đống Đa, 15,5 tỷ; 0983826777", 50m2,,,"Chính chủ bán nhà ngõ 99/4 Nguyễn Chí Thanh, P.Láng Hạ, Đống Đa, 15,5 tỷ; 0983826777  - Diện tích 50m2, mặt tiền rộng 4m, nhà 6 tầng, sổ đỏ chính chủ. + Tầng 1 : thông sàn, có gara ô tô, có cửa trước cửa sau rất thoáng.  + Từ tầng 2 - tầng 4 mỗi tầng gồm 2 phòng, cầu thang bộ và thang máy ở giữa,  + Tầng 5 bếp và phòng thờ.  + Tầng 6 : sân phơi và phòng karaoke mái 40m2 sản xuất điện năng lượng mặt trời. gần trường, chợ, an ninh tốt, dân trí cao, giao thông thuận tiện.  - Nội thất đầy đủ, cửa gỗ lim, các sàn gỗ hương.   - Giá bán : 15.5 tỷ  - Liên hệ : 0983826777      http://www.sanbatdongsanviet.com.vn",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800736.2818723,,,,
"3,6 tỷ VNĐ",Số 3 Ngõ 11 Trường Lâm - Đức Giang - Long Biên - Hà Nội, 30.5m2,, 5,"🔥 Còn 3 căn Đức Giang xây mới (trong dự án 6 căn):🏚 Địa chỉ: số 3 ngõ 11 phố Trường Lâm, Đức Giang, Long Biên, Hà Nội- Căn 2: giá 3,6 tỉ, hướng Tây Nam; DT 61m2 (sử dụng riêng: 30,1m2; sử dụng chung: 30,9m2)- Căn 5: giá 3,6 tỉ, hướng Đông Nam; DT 61,5m2 (sử dụng riêng: 30,6m2; sử dụng chung: 30,9m2)- Căn 6: giá 3,5 tỉ, hướng Tây Nam; DT 63,2m2 (sử dụng riêng: 32,3m2, sử dụng chung: 30,9m2) 🚲🛵 🚘 Ngõ trước nhà rộng 2m (ô tô đỗ cách 15m)💒 Kết cấu nhà: móng ép cọc bê tông cốt thép, riêng móng, riêng tường🏩 Nhà được thiết kế theo phong cách hiện đại, được trang bị nội thất chính hãng - chất lượng cao💒 Nhà xây 5 tầng:      ➡️Tầng 1: Phòng khách + Bếp      ➡️Tầng 2, 3, 4: 3 Phòng ngủ + Nhà vệ sinh khép kín      ➡️Tầng 5: Phòng thờ + Sân phơi 🌆Khu dân trí cao, an ninh tốt, hàng xóm thân thiện📕 Sổ đỏ chính chủ, không tranh chấp, không quy hoạch💐💰🎁🌺 Giá trên đã bao gồm: thuế, phí và hoa hồng☎️ Liên hệ: Mr. Tùng 0888925269🤝 Trân trọng!",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800737.7120466,, 3, 4, Đông nam
"4,5 tỷ VNĐ",Đường Giảng Võ phường Giảng Võ, 40m2, 3, 4,"Gia đình cần bán nhanh nhà đẹp ở cực thích,ngõ nông tại phường Ô Chợ Dừa ,quận Đống Đa,Hà Nội,sđcc,giá để bán nhanhDiện tích: 40m2 thiết kế 4 tầng với khung cột bê tông cốt thép cực kỳ chắc, mặt tiền rộng với ngôi nhà.Căn nhà chỉ cách mặt đường tầm khoảng 70m, Ngõ nông, rộng, thoáng đãng, sạch sẽ, mát mẻ, nhà bán nằm ở tại khu vực vô cùng đắc địa, nằm ngay giáp ngã tư Đường Hào Nam, Cát Linh, An Trạch, Giảng Võ, Giang Văn Minh, La Thành, Hoàng Cầu, kết nối với các phố Hào Nam, Cát Linh, An Trạch, Giảng Võ, Giang Văn Minh, La Thành, Hoàng Cầu, Trịnh Hoài Đức, trung tâm quận Đống Đa, dịch vụ tiện ích không thiếu thứ gì với các chợ như chợ Quan Thổ 1, chợ Hào Nam, chợ Vũ Thạnh, chợ An Trạch,…, các trường Tô Vĩnh Diện, Đống Đa, Trung Tự, Cao đẳng Y Tế Hà Nội, Hoàng Cầu, Thịnh Hào, Cát Linh,…, building, toà nhà tiện ích, quán ăn, siêu thị, Winmart,…, thuận tiện để đi lại đến mọi hướng của Thủ đô cũng như phục vụ đầy đủ nhất cho mọi nhu cầu sinh hoạt của mọi cư dân sống tại địa bàn.Căn nhà ở tại khu vực dân trí tốt, an ninh rất tốtNhà thiết kế 4 T với bố cục:+ Tầng 1: sân để xe, PK rộng rãi, vs +Tầng 2: Bếp, toilet và 1 phòng ngủ + Tầng 3: Hai PN, vs + Tầng 4: Sân phơiCực kỳ hợp lý cho 1 gia đình đến 6 người lớn sinh hoạt thoải mái với đầy đủ công năng.Do mục đích mong muốn bán nhanh để lo việc gia đình nên gia đình mong muốn bán với mức giá trên 4 tỷ.Giá trên có thoả thuận với khách nhiệt tình với ngôi nhà này.Hy vọng sẽ gặp được khách mua có nhu cầu thật liên lạc để không làm mất thời gian của các bên! Các bạn MG vui lòng không làm phiền.Tất cả sự quan tâm xin mời liên lạc trực tiếp đến số điện thoại để trao đổi rõ ràng hơn!Trân trọng!",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800739.04053, 4, 3, 3,
"3,3 tỷ VNĐ",Đường Xuân Đỗ phường Cự Khối, 70m2,,,"+ Vị trí đắc địa, ngay gần Khu TĐC Cự Khối, đất sát mặt hồ cực thoáng, giao thông kết nối với ngõ Bát Khối, đường Cổ Linh, Cầu Thanh Trì.+ Đường vào đất rộng thoáng, 2 ô tô tránh nhau, ô tô 7 chỗ đánh vào nhà thoải mái. + Thử đất 70m2x4m mặt tiền vuông đẹp, thoáng trước sau vĩnh viễn, phù hợp với mọi loại khách mua.+ Sổ đỏ chính chủ, vuông đẹp, giá chào 3.3 tỷ có thương lượng.+ Liên hệ: 0979057536 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800740.198396, 4,,,
"7,5 tỷ VNĐ",quang trung, 46m2,, 5,"Bán Nhà, Trần Đăng Ninh. Hà Đông. Ô Tô Kinh Doanh 46m2 x 5 tầng. Mặt Tiền 4.2m Giá 7.5 Tỷ.  MẶT PHỐ - KINH DOANH SẦM UẤT – VỈA HÈ RỘNG – Ô TÔ ĐỖ NGÀY ĐÊM  + Nhà mặt phố Trần Đăng Ninh, cách đường Quang Trung vài chục mét giao với các đường, Trần Phú, Nguyễn Trãi, Ngã Tư Sở, Vành Đai 3. Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp Quang Trung; gần Bệnh Viện Đa khoa Hà Đông, chợ Hà Đông, Siêu Thị MêTro Hà Đông, Nhà Thi Đấu Hà Đông, Bến Xe Yên Nghĩa, Ga Tàu Điện Trên Cao cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất, buôn bán, kinh doanh, sơpa văn phòng và các loại hình dịch vụ rất đa dạng và phát triển.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng Khách, Bếp, Wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân chơi + Nhà xây dựng bê tông cốt thép rất chắc chắn. Nhà mới đẹp long lamh.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800741.286485, 4, 6, 4,
165 tỷ VNĐ,Nguyễn Đình Hoàn Cầu Giấy, 600m2,, 10,"- Diện tích 600m2 x10 tầng. Mặt tiền 21m  Giá bán 165 Tỷ ( có thương lượng )  - Vị trí đắc địa toạ lạc tại mặt phố Cầu Giấy vỉa hè rộng kinh doanh sầm uất nhiều loại hình.  - Chủ nhà đã xin cấp 10 tầng. Chủ mới về chỉ việc xây tiếp!  Thiết kế 2 hầm 8 nổi toà nhà văn phòng hạng A  - Giá bán theo hiện trạng được xây lên.  Sổ đỏ chính chủ pháp lý chuẩn, sẵn sàng giao dịch!  ACE có nhu cầu liên hệ với em nha để được tư vấn.  Miễn ( TG Quảng Cáo )",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800742.705688, 21,,,
"2,65 tỷ VNĐ",đường đặng văn ngữ, 23m2, 2, 4,"Bán nhà ngõ Đặng Văn Ngữ #Quận Đống Đa DT 23m2 x 4tầng mt 3,6m giá chỉ nhỉnh 2 tỷ. Ngôi nhà xinh xắn,nhỏ nhắn - TRUNG TÂM ĐỐNG ĐA - GẦN PHỐ. Khách mua nhanh tay xuống cọc thì còn. - Vị trí: Ngõ 6 Đặng Văn Ngữ, nhà cách hồ Đắc Di 100m, khu vực an sinh đỉnh cao. - Thiết kế rất kiên cố, ae tư vấn đập cầu thang cũ đi lắp quả cầu thang inox soắn lên thì tuyệt đẹp. Thiết kế: Tầng 1: Khách, bếp. Tầng 2,3: Mỗi tầng 1 ngủ + vs Tầng 4: Phòng thờ, sân phơi. Sổ đỏ chính chủ, sẵn sàng giao dịch. + Chi Tiết Xin Liên Hệ Bùi Anh Thái. 1979 - 0987.862962.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800743.8416507, 3, 2, 2,
"18,9 tỷ VNĐ",Đường 8/3 phường Minh Khai, 83m2, 7, 7,"
    
+  NHÀ SIÊU ĐẸP, LÔ GÓC 2 MẶT THOÁNG, GARA Ô TÔ, THANG MÁY NHẬP KHẨU, AN SINH QUÁ ĐỈNH 

+ Trung tâm Hai Bà Trưng, nhà siêu đẹp chủ tự xây cực kì tâm huyết, cẩn thận vô cùng luôn. Chủ tự tay đi chọn từng viên gạch, lát gỗ, kì công xây dựng nên tổ ấm yêu thương của mình.

+ Nội thất toàn đồ xịn xò, sàn gỗ, cầu thang gỗ bóng loáng.

+ Thang máy nhập khẩu chạy vèo vèo.

+ Nhà thiết kế hiện đại, sang chảnh, hợp lý vô cùng luôn: 

- Tầng 1: Gara ô tô 7 chỗ, để thêm chục cái xe máy nữa, phòng tiếp khách nhỏ.
- Tầng 2: Phòng khách lớn đẳng cấp, bếp rộng thênh thang.
- Tầng 3, 4: Mỗi tầng 2 ngủ, vệ sinh khép kín,
- Tầng 5: Một phòng dành cho khách, 1 phòng làm việc.
- Tầng 6: Phòng thờ sân phơi.
- Tầng 7: Sân, tiểu cảnh trồng cây hoa lá cành.

+ Nhà đẹp lô góc 2 thoáng, lại có giếng trời nên không khí lưu thông khắp nhà, ánh sáng len lỏi từng ngóc ngách, khách vào xem chủ muốn ở luôn mà không muốn ra.

+ NHÀ CAO CỬA RỘNG, KHU VĂN MINH QUAN CHỨC Ở.

+ Sổ đỏ phân lô vuông đét đẹt, sổ đỏ sẵn sàng giao dịch.
",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800745.0544052, 75, 6, 10,
"7,5 tỷ VNĐ",Đường Đội cấn phường Đội Cấn, 55m2, 5, 5,"
    
NHÀ CỰC ĐẸP - GẦN PHỐ - CHỦ TỰ XÂY - HAI MẶT THOÁNG - GẦN BÃI GỬI XE - KINH DOANH ONLINE.
Diện tích 55m2 x 5 tầng x 5.5m mặt tiền
+ Ngõ 189 Đội Cấn nông, không gian rất yên tĩnh và văn minh.
+ Khu vực lõi Ba Đình nên chỉ vài bước là ra đến Lăng Bác, Hồ Tây, Công Viên và nhiều tiện ích khác.
+ Nội thất lung linh xây dựng chắc chắn. Thiết kế cầu thang góc cuối nhà, có giếng trời, phía sau nhà thoáng đẹp mở cửa sổ rộng
+ Tầng 1 : Sân + PK + Bếp + WC
+ Tầng 2 : 2 PN + WC
+ Tầng 3 : 1 PN khép kín
+ Tầng 4 : 2 PN + WC
+ Tầng 5 : Phòng thờ + Sân phơi
+ Sổ đỏ vuông vắn nở hậu cực đẹp, giao dịch ngay.
",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800746.463636, 5, 5, 5,
19 tỷ VNĐ,Đường Nguyễn Ngọc Vũ phường Trung Hòa, 64m2, 9, 7,"
    
CĂN HỘ DỊCH VỤ - 7 TẦNG THÔNG SÀN THANG MÁY - VIEW HỒ - OTO TRÁNH DỪNG ĐỖ NGÀY ĐÊM
NGUYỄN NGỌC VŨ- TRUNG HÒA- CẦU GIẤY, GIÁ CHƯA THƯƠNG LƯỢNG 19 TỶ.
Mô tả

-Nhà có diện tích lớn cực hợp lý 64m, mặt tiền rộng ô tô tải vào nhà 4,3m, 7 tầng thang máy.
- Nhà nhìn thẳng ra Hồ bán Nguyệt cực đẹp và mát.
- Oto vài cái dừng đỗ ngày đêm thoải mái.
- Thiết kế: 
+ Tầng 1,2,3: Thông sàn 1 phòng rộng to phù hợp kinh doanh văn phòng hoặc bán thiết kế thới trang…
+ Tầng 4,5,6: Mỗi tầng 1 căn hộ khép kín bao gồm: 2 phòng ngủ, vệ sinh bếp đầy đủ.
+ Tầng 7: Phòng thờ, sân nướng BBQ.
+ Chủ cực lộc quan chức to ngành hàng không. Con cái thành đạt đều du học Mỹ.
+ Sổ vuông A4, giao dịch nhanh chóng.
GỌI NGAY CHO EM 24/24 ĐỂ ĐƯỢC TƯ VẤN VÀ XEM NHÀ MIỄN PHÍ 0975119558
",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800748.6193793, 4, 6, 9,
