price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
4 tỷ VNĐ,Ngọc Lâm Long Biên Hà Nội, 40m2, 5,"
    + Bán nhà phố Ngọc Lâm, 5 tầng, MT 3,2m, oto 4 chỗ đỗ cửa, sân cổng riêng biệt, full nội thất, khách chỉ cần xách valy về ở.
+ Vị trí trung tâm Ngọc Lâm gần Mipec Long Biên, sang Phố cổ chỉ 10'.
+ Thiết kế đầy đủ công năng: sân để xe riêng biệt, phòng khách, bếp, 3 phòng ngủ…
+ Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.
+ LH xem nhà: Dũng chuyên BDS thổ cư 087502627.
",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823915.6682227, 3,, 3,,
"7,2 tỷ VNĐ",PHÚ LÃM, 58m2, 4,"+ Bán nhà. Phú Lãm, Hà Đông. Ô tô Kinh Doanh 58m2 x 4 tầng, Mặt tiền 4.5m. Giá 7.2 tỷ.  NHÀ PHÂN LÔ VỈA HÈ - ÔTÔ TRÁNH - THUẬN TIỆN Ở LÀM VĂN PHÒNG  + Vị trí trục chính khu phân lô ôtô tránh vừa ở và làm văn phòng, sát đường QL 21B cách ngã 3 ba là 300m thuận tiện di chuyển. + Tiện ích nội khu đầy đủ: Siêu thị Winmart, trường học, cách 50m ra đường QL21 đầy đủ mọi tiện ích + Nhà xây mới 5 năm, chất lượng còn rất tốt có thể lên thêm tầng, thiết kế thông thoáng, ôtô đỗ ngoài an ninh rất tốt. - Tầng 1 + lửng: Gara xe, phòng khách, bếp - Tầng 2,3: Mỗi tầng 2 phòng ngủ, WC giữa - Tầng 4: Phòng thờ, sân phơi   + Sổ đỏ chính chủ, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179 ",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823916.7583058, 4,, 4, 3,
"2,6 tỷ VNĐ","Ngọc Thụy, Long Biên", 37m2, 2,"- Vị trí lô góc, cách mặt ngõ ô tô tránh 15m. - Nhà cách MiPec, Cầu Long Biên 100m. 8 phút chạy xe là sang phố cổ hoa lệ tiện ích bạt ngàn. + Đất vuông vắn thông số đẹp phù hợp khách mua xây nhà ở hoặc mua đầu tư dữ tiền quá ok. + Hiện là nhà 2T cũ, xác định bán đất tặng nhà, chủ mới về nếu cần vẫn tận dụng được, hiện có 1PK, 2WC, 2PN và bếp. + Sổ đỏ cất két, giao dịch ngay",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823918.025343, 6,,,,
4 tỷ VNĐ,Thượng Đình - Thanh Xuân, 52m2, 5,"+Chính chủ bán nhà Thượng Đình - Thanh Xuân, 52m2, 5 Tầng, Mặt tiền 4m, Nhỉnh 4 tỷ. +Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn, gần bện viện, trường học các cấp và chợ, dân trí cao, an ninh tốt.+Nhà chủ xây để ở, mới đẹp, đường trước nhà rộng 2.5m thông các ngõ, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823919.1044545, 4,, 5,,
"14,5 tỷ VNĐ",Đường Đỗ Quang phường Nhân Chính, 50m2, 7,"
    
HIẾM! Nhà ĐẸP, MỚI, Đỗ Quang 50m x 7T. MT: 4.5m. P.Lô, Gara, Oto tránh, KD VP. Ở sướng. Giá: 14.5 tỷ. 0836797686

Vị trí: Khu vực văn minh, dân trí cao, nơi các công ty, doanh nghiệp hội tụ Ngõ 2 ô tô tránh, cách phố Đỗ Quang 20m. Giao thông thuận tiện thông các tuyến phố Đỗ Quang, Hoàng Ngân, Trần Duy Hưng.

Tòa nhà 7 tầng, thích hợp vừa ở vừa KINH DOANH VĂN PHÒNG, SPA, phòng khám. Nhà MỚI, ĐẸP, thiết kế hiện đại, đầy đủ công năng. Gara, khách bếp, phòng ngủ, phòng hát.

Sổ: VUÔNG, ĐẸP.

LH: Ngọc Duyên - 0836797686
",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823920.221487, 4, 7, 6, 6,
"3,65 tỷ VNĐ",Quan Nhân, 40m2,,"+ Bán nhà riêng phố Quan Nhân, Nhân Chính, diện tích 40m, 4 tầng, 4PN, 2 mặt thoáng, 50m ra mặt phố ô tô tránh. + Nhà KCBT chắc chắn, đẹp lung linh, khách chỉ việc sách vali đến ở. +Vị trí đẹp gần trung tâm Ngã Tư Sở, giao thông thuận tiện, ngõ thoáng, 3 gác tránh, tiện ích xung quanh không thiếu gì gần chợ, trường cấp 1,2,3 các trường Đại học, bệnh viện, Royal city... + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Liên hệ: Phùng Trang  0975 124 520.",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823921.4092891,,,,,
"5,6 tỷ VNĐ","THÁI THỊNH, ĐỐNG ĐA", 40m2,,"NHÀ ĐẸP Ở NGAY THÁI THỊNH, DT 40M2, 4 TẦNG, NGÕ BA GÁC, GẦN PHỐ, AN NINH TỐT. + Nhà nằm trên một ngõ rộng thông nhau, dân trí cao, nhộn nhịp. + Nhà 4 tầng chắc chắn móng lên tầng, thiết kế cực đẹp đẳng cấp. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823922.5452516,,,,,
92 triệu VNĐ,Đường Nguyễn Lương Bằng phường Quang Trung, 38m2, 6,"
    - Xây dựng 6.5 tầng mới, thiết kế đẹp theo phong cách hiện đại, tổng 4 phòng ngủ, công năng đầy đủ, rất thích hợp với 1 đại gia đình:+ Tầng lửng: Phòng ăn +Bếp.- Pháp lý nhà đầy đủ, sổ vuông đẹp, sẵn sàng giao dịch.
",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823925.7513115, 3, 5, 4, 4,
,Nghĩa Đô Cầu Giấy, 45m2,,"Bán nhà Nghĩa Tân, Cầu Giấy, mặt phố kinh doanh sầm uất, 7T thang máy 13.8 tỷ.Nhà mới chủ xây tân huyết, do không có nhu cầu kinh doanh nên muốn bán lại. Vị trí quá đẹp, đáng sống nhà mới về ở ngày, vừa ở vừa kinh doanh, hoặc cho thuê văn phòng.Diện tích 45, mặt tiền 4.2m thiết kể 7 tầng hiện đại công năng đầy đủ cho một toà nhà.Giá chỉ 13.8 tỷ rẻ nhất khu vực.Sổ đỏ sẵn sàng giao dịch.LH: Xem nhà 0845681666.",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823929.2593398,,,,,
,Nghĩa Tân Cầu Giấy, 45m2,,"Bán nhà Nghĩa Tân, Cầu Giấy, mặt phố kinh doanh sầm uất, 7T thang máy 13.8 tỷ.Nhà mới chủ xây tân huyết, do không có nhu cầu kinh doanh nên muốn bán lại. Vị trí quá đẹp, đáng sống nhà mới về ở ngày, vừa ở vừa kinh doanh, hoặc cho thuê văn phòng.Diện tích 45, mặt tiền 4.2m thiết kể 7 tầng hiện đại công năng đầy đủ cho một toà nhà.Giá chỉ 13.8 tỷ rẻ nhất khu vực.Sổ đỏ sẵn sàng giao dịch.LH: Xem nhà 0845681666.",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823930.253629,,,,,
