price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Mặt tiền,Hướng
"2,32 tỷ VNĐ","Yên Viên, thị trấn Trâu Quỳ, Gia Lâm, Hà Nội", 70m2,"Chủ nhà cần tiền bán gấp 2PN + 1(2VS), giá 2,32 tỷ bao phí tại S2.01 Vinhomes Ocean Park Gia Lâm.+ Thuộc tòa S2.01 tầng trung view đẹp, thuộc phân khu nhộn nhịp nhất dự án.+ Tầm View: Ban công Tây Bắc và Tây Nam nhìn thẳng ra công viên nội khu, công viên sông san hô, tầm nhìn xa, siêu thoáng mát.+ Tiện ích đầy đủ máy tập thể thao, vườn BBQ, bể bơi, trường học...+ Nội Thất: Đầy đủ, sang trọng, thiết kế thông minh.+ Diện Tích: 70m2 (Tim Tường), 64m2 (Thông Thủy).+ Giá (cắt lỗ): 2.32 tỷ bao mọi loại phí. Liên Hệ: em Đức 0963060369 (mess/zalo/viber)",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799617.4193692,,, 2, 2,,
"9,4 tỷ VNĐ","Phố Lê Trọng Tấn, Phường Khương Mai", 60m2,"NHÀ MỚI, PHỐ LÊ TRỌNG TẤN, THANG MÁY, 2 THOÁNG, SIÊU ĐẸP.+ Diện tích: 60 m.+ Sổ đỏ chính chủ, sẵn giao dịch.+ NHỈNH 9 tỷ.+ Tháng máy nhập khẩu chạy êm rủ.+ Thiết kế hiện đại, Nở hậu, ánh sáng tự nhiên tràn ngập ngôi nhà.+ Tầng 1 thông sàn.+ Tổng 8 ngủ khép kín, phòng thờ, sân phơi.+ khu vực trung tâm, tiện ích đẳng cấp gần nhà. + Phố Lê Trọng Tấn thông Tôn Thất Tùng, Trương chính, Trương định.....+ Gần Bệnh viện Đại học Y, gần các trường Đại học lớn....+ Anh chị quan tâm vui lòng liên hệNguyễn Dương: 0825920555.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799619.0704682, 7, 3, 8, 9, 4,
"9,4 tỷ VNĐ","Phố Lê Trọng Tấn, Phường Khương Mai", 60m2,"NHÀ MỚI, PHỐ LÊ TRỊNG TẤN, THANG MÁY, 2 THOÁNG, SIÊU ĐẸP.+ Diện tích: 60 m.+ Sổ đỏ chính chủ, sẵn giao dịch.+ NHỈNH 9 tỷ.+ Tháng máy nhập khẩu chạy êm rủ.+ Thiết kế hiện đại, Nở hậu, ánh sáng tự nhiên tràn ngập ngôi nhà.+ Tầng 1 thông sàn.+ Tổng 8 ngủ khép kín, phòng thờ, sân phơi.+ khu vực trung tâm, tiện ích đẳng cấp gần nhà. + Phố Lê Trọng Tấn thông Tôn Thất Tùng, Trương chính, Trương định.....+ Gần Bệnh viện Đại học Y, gần các trường Đại học lớn....+ Anh chị quan tâm vui lòng liên hệNguyễn Dương: 0825920555.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799620.8367708, 7, 3, 8, 9, 4,
,"Xã Sơn Đông, Sơn Tây, Hà Nội", 60m2,"Chính chủ bán nhanh 60m²full thổ cư đẹp tại Sơn Đông, Sơn Tây, giá rẻ đầu tư 0965 782 858/ 0988 368 509- Lô cách đường Tỉnh Lộ 82 khoảng 80m, vị trí đẹp, thuận tiện giao thông.- Xung quanh cách 500m có nhà văn hóa thôn, ủy ban, trường học, chợ, trạm y tế Sơn Đông, tiện ích hiện hữu.- Rất thích hợp mua để ở hoặc đầu tư sinh lời.- Sổ hồng pháp lí rõ ràng sang tên nhanh gọn.- Gía rẻ nhất thị trường: Chỉ 750tr.Liên hệ chính chủ: 0965 782 858/ 0988 368 509",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799622.9062357,,,,, 4, Đông nam
"2,3 tỷ VNĐ",Đường Cổ Dương phường Tiên Dương, 62m2,"NHỈNH 2 TỶ CÓ NGAY 62M2 ĐẤT TẠI CỔ DƯƠNG, TIÊN DƯƠNG Ô TÔ VÀO ĐẤT. ",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799624.3822844,,,,, 4,
"10,2 tỷ VNĐ",Đường Đại Cát phường Cổ Nhuế 1, 55m2," + Vị trí cực đẹp+ Kinh doanh bất chấp. thì đỉnh của + Khu vực đang phát triển mạnh+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.-0913319643
",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799625.7526193, 3, 25, 4,, 6,
19 tỷ VNĐ,Đào Tấn Ba Đình Hà Nội, 96m2,"- Diện tích 96m2 . Mt 7.3m 19 tỷ ( có thương lượng )  - Ngõ Đào Tấn gần ngã tư với Đường Bưởi, ô tô 7 chỗ ra vào thoải mái - Cách mặt phố chỉ 10m, lô góc 2 thoáng - Thửa đất vuông vắn xây gì cũng đep - Hiện trạng đất trống chủ mới về chỉ việc xây - Sổ đỏ nở hậu đẹp, sẵn sàng giao dịch.  ACE liên hệ với em để được tư vấn! Miễn ( TG Quảng Cáo )",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799626.9514112,,,,, 7,
"4,2 tỷ VNĐ",Khương Trung, 36m2,"+ Vị trí nhà đẹp, 1 nhà ra ô tô tải tránh, vài bước ra Hồ Đầm Hồng, bãi xe ô tô 30m, đường rộng thoáng, thông sang Hoàng Văn Thái, Nguyễn Ngọc Nai, Vương Thừa Vũ. - Diện tích rộng: 36m2, 5 tầng dân xây mới. - Nhà Lô Góc thoáng sáng phòng nào cũng có cửa sổ.+ Thiết kế nhà hiện đại, khung cột chắc chắn, kiên cố, khách mua xách vali về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799628.2309885, 5,,,,,
23 tỷ VNĐ,Đường Hoàng Hoa Thám phường Bưởi, 210m2,"Mô tả: + Siêu đầu tư, mặt phố kinh doanh, quy hoạch tương lai giá trị tăng cao, thửa đất đẹp nhiều lộc lá, phù hợp xây toà chung cư, chia lô thương mại. + Nhà 3 tầng khung cột, với thiết kế dạng biệt thự sân vườn, tiểu cảnh đẹp, nội thất đồ cổ cực độc lạ. + Vị trí: Trung tâm quận Tây Hồ, giáp danh giữa Ba Đình và Cầu Giấy, thuận tiện kinh doanh, sầm uất ngày đêm, gia chủ bán đất tặng nhà biệt thự, ở cực sướng, con cháu làm ăn thành đạt đã có nhà riêng, nay gia chủ nhiều tuổi cần thanh khoản gấp chia tài sản cho con cháu. + Liên hệ Mr Yên để biết thêm thông tin, nguồn hàng phong phú, nhiệt ti nhf, tận tâm.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799629.6531832, 4, 3, 4, 4, 10,
"7,4 tỷ VNĐ",Hoàng Đạo Thành, 48m2,"+ Trung tâm Quận Thanh Xuân, gần Chung Cư Five Star, chợ, trường học. Thông sang Nguyễn Xiển, Kim Giang, Khương Đình. + Vị trí nhà đẹp, mặt ngõ thông rộng, ô tô cất trong nhà. Khu vực hiếm nhà bán, khu dân trí cao, hàng xóm toàn cán bộ công an, giáo viên, an ninh tốt. + Nhà lô góc 2 mặt thoáng phòng nào cũng có cửa sổ, thiết kế 5 tầng dân xây mới, nội thất cao cấp, chủ tặng lại hết cho khách.  + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799630.7542393, 5,,,,,
