price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Hướng
"3,8 tỷ VNĐ","Tứ Hiệp, Thanh trì HN", 56m2,"Nhà 5 tầng, 3 ngủ, sạch đẹp ở luôn, sân rộng, gần mặt phố to.  + Vị trí nhà rất đẹp, gần Trung tâm thương mại, bệnh viện đa khoa Thanh Trì, đường Ngọc Hồi, gần mặt phố, tiện ích đầy đủ. + Nhà khung cột  chắc chắn, mỗi tầng 1 phòng rộng, 3 ngủ,wc khép kín, trước sau đều mở cửa. + Sân to rộng bày 6 mâm cỗ. + Sổ vuông đẹp, giao dịch ngay. ",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810585.105487,,,,,,
"4,3 tỷ VNĐ",Đường Bằng B phường Hoàng Liệt, 40m2,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'+="""" nhà="""" diện="""" tích="""" 40m,="""" mặt="""" tiền="""" 4.18m,="""" xây="""" xong="""" phần="""" thô.="""" vị="""" trí="""" cực="""" đẹp.="""" oto="""" tránh="""" cách="""" 50m.="""" khu="""" vực="""" đang="""" rất="""" phát="""" triển.="""" span="""" p="""" pspan="""" thiết="""" kế="""" 5="""" tầng="""" gồm="""" 3="""" phòng="""" ngủ,="""" 1="""" khách,bếp,phòng="""" thờ,sân="""" phơi.="""" initial'="""">+ Ngõ thông các ngả ra Hồ Linh Đàm, Bến Xe Nước Ngầm, Bằng Liệt,Bằng A…  "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'+="""" còn="""" nhỏ="""" tự="""" đi="""" bộ="""" đến="""" trường="""" học,="""" không="""" phải="""" đưa="""" đón.="""" span="""" p="""" pspan="""" initial'="""" #="""" gọi="""" cho="""" tôi="""" theo="""" sđt="""" span0912.587.566span=""""> để được xem nhà và tư vấn.",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810586.5964255, 5, 3, 4, 4, 2,
5 tỷ VNĐ,Đường Phan Đình Giót phường Phương Liệt, 45m2,"CHÍNH CHỦ CẦN BÁN NHÀ PHỐ PHAN ĐÌNH GIÓT THANH XUÂN NHÀ MỚI KOONG THIẾT KẾ HIÊN ĐẠI ,NỘI THẤT XỊN, GẦN CHỢ , TRƯỜNG HỌC, GIAO THÔNG THUÂN TIỆN, KHU DÂN TRÍ CAO +Tầng 1 Phòng khách+ Bếp +Tầng 2+3+4 Mỗi tầng 2 ngủ +Tầng 5 Phòng thờ+ Sân phơi ++SỔ ĐỎ CHÍNH CHỦ ++LH;  0936 360 229 +++Miền trung gian Môi giới",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810587.8490741, 5, 6, 4, 4, 3,
"2,7 tỷ VNĐ",Hồng Mai - Hà Nội, 35m2,"💥 MẶT PHỐ KINH DOANH BẤT CHẤP - MẶT TIỀN RỘNG - TRUNG TÂM QUẬN HAI BÀ TRƯNG - NHÀ LÔ GÓC - NGẬP TRÀN TIỆN ÍCH - GIAO THÔNG VÔ CÙNG THUẬN LỢI 💥💥💥 + Nhà Mặt Phố Kinh Doanh Sầm Uất. Vỉa Hè Rộng Rãi, Đường 2 Ô Tô tải tránh nhau vèo vèo. Từ Nhà Nên Hồ Hoàn Kiếm 10 Phút. Thông các tuyến phố Bạch Mai, Thanh Nhàn ,Minh Khai ,Đại La, Tạ Quang Bửu, ….. + Nhà Rất Gần Với Trường Tiểu Học Bạch Mai, Trường THCS Hai Bà Trưng....Rất Gần Với Các Trường Đại Học Lớn. Như Đại Học Bách Khoa, Đại Học Kinh Tế Quốc Dân.... Gần Trung Tâm Thương Mại Chợ Mơ, Và Rất Nhiều Các Tiện ích Khác... Nhà 2 tầng cũ còn vô cùng chắc chắn. Chủ đã mua biệt thự Tây Hồ nên vô cùng thiện trí giá trào chỉ 2.7 tỷ có thương lượng cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý  ",04/08/2022,Tin thường,batdongsan_so_com_vn_1673810589.6702015,,,,,,
"3,95 tỷ VNĐ",xã Ngọc Hồi, 43m2,"+ Bán nhà Ngọc Hồi, Thanh Trì, Hà Nội+ Nhà cách bến xe Nước Ngầm 100m, cách Trường Việt Nam Ba Lan chưa đến 100m, vài bước ra KĐT Pháp Vân, cách 20m ra đường ô tô, khu vực này đang phát triển tăng trưởng mạnh. + Lô góc 3 thoáng, nhà mới tinh, đẹp, sáng thoáng tự nhiên, được thiết kế tinh tế, hợp với gu thẩm mỹ của khách hàng khó tính nhất. + Sổ đỏ vuông, pháp lý sạch. Miễn TG. ",04/08/2022,Tin thường,batdongsan_so_com_vn_1673810591.1313438,,,,,,
"6,35 tỷ VNĐ",Hà Nội, 50m2,"
    BÁN CCMN LÊ ĐỨC THỌ, MỸ ĐÌNH 6T MT 8M NHỈNH 6 TỶ
+ Liền kề Đại Học, Bến xe, Giao thông thuận tiện. Nhỏ mà có Võ.
+ Gần ĐH Thương Mại , ĐH Quốc gia, ĐH Sư Phạm, Bến xe Mỹ Đình.. Trung tâm phát triển, tiện ích ngập tràn.
+ Sổ CC, sang tên nhanh gọn.
+ Giá thương lượng.
+ Thiện trí xem nhà gọi Trung Chủ Trọ 0812212525.
",04/08/2022,Tin thường,batdongsan_so_com_vn_1673810592.8876917,,,,,,
"4,7 tỷ VNĐ",xã Ngọc Hồi, 34m2,"+ Bán nhà Ngọc Hồi, Thanh Trì, Hà Nội+ Nhà thuộc khu phân lô, ô tô tránh. Khu vip, cực hiếm nhà bán, kinh doanh hay ở thoải mái. Nhà 2 thoáng trước sau vĩnh viễn.+ Nhà mới cứng, chủ làm bên xây dựng tự xây hết gần 1.5 tỷ nay có nhu cầu chuyển đổi nên bán đi. Thiết kế cực đẹp. + 50m ra đường Ngọc Hồi, 150m cầu Văn Điển, 200m KĐT Pháp Vân Tứ Hiệp, 250m Trường tiểu học thị trấn Văn Điển, 300m Chung Cư Rose Town Ngọc Hồi + Sổ vuông vắn cất két sẵn sàng giao dịch. Miễn TG. ",04/08/2022,Tin thường,batdongsan_so_com_vn_1673810594.0865664,,,,,,
"5,1 tỷ VNĐ","Trường Chinh, Thanh Xuân, HN", 42m2,"Nhà Sổ Đỏ Chính Chủ Trường Chinh, Thanh Xuân, 42m2x4T, Mới Đẹp, Chỉ 5.1 Tỷ Vị Trí: Nhà Khu trung tâm thành phố, gần mặt phố Trường Chinh, nơi giáp danh 3 quận, giao thông đi lại cực kỳ thuận lợi, an sinh cực đỉnh, xung quanh là các trường đại học lớn như ĐH Kinh Tế Quốc Dân, ĐH Xây Dựng, ĐH Bách Khoa, gần rất nhiều trường học cấp 1,2,3, 300 m đến bệnh viện lớn như Bệnh Viện Bạch Mai, Bệnh Viện Tai Mũi Họng, Bệnh Viện Việt Pháp… Thiết kế: Nhà xây 4 tầng còn mới đẹp, mặt tiền 5m thoáng vô biên, trước sau đều là ngõ thoáng, ngõ vào xe 3 gác, cầu thang ánh sáng quanh năm, nhà thiết kế tồng 4 phòng ngủ,3 phòng vệ sinh -         Tầng 1 là phòng khách + bếp +WC -         Tầng 4 là phòng thờ + Sân phơi Công năng sử dụng đầy đủ, ánh sáng ngập tràn Pháp lý; Sổ đỏ cất két sẵn sàng giao dịch Gía bán:5.1 tỷ (có thương lượng) Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG",04/08/2022,Tin thường,batdongsan_so_com_vn_1673810595.440001, 4, 4, 3, 5, 2, Tây bắc
"8,35 tỷ VNĐ",Đường Ngô Gia Tự phường Đức Giang, 42m2,"+ Vị trí. Mặt phố, trung tâm Ngô Gia Tự, vỉa hè 7m, phố rộng 30m. Địa điểm kinh doanh đa dạng, sầm uất. Lô góc thoáng sáng. + Thiết kế. Nhà mới. Tầng 1: Thông sàn, Cửa hàng kinh doanh hoặc gara ô tô, 1 cửa ngách đi từ ngõ sau, tầng lửng, 1 wc. Tầng 2,3: Từ tầng 2 đua ra 70cm, diện tích là 42m2, mỗi tầng 2 phòng ngủ, 1 ngủ có wc khép kín. Tầng 4: phòng thờ, kho, ban công phơi phóng. + Pháp lý. Sổ đỏ đẹp, giao dịch ngay. Quy hoạch ổn định. Liên hệ. Nguyễn Công Hoan để thêm thông tin chi tiết 911130965.",04/08/2022,Tin thường,batdongsan_so_com_vn_1673810596.8159392, 4, 4, 4, 3, 30,
"19,5 tỷ VNĐ","Cầu Diễn, Minh Khai, Bắc Từ Liêm", 127m2,"🔥🌹 TOÀ NHÀ CHUNG CƯ MINI 7 TẦNG - 35 PHÒNG, THANG MÁY NHẬP KHẨU. DÒNG TIỀN 140 TRIỆU/ THÁNG. NỘI THẤT NHƯ KHÁCH SẠN 4 🌟🌟🌟🌟 - CẦU DIỄN - MINH KHAI - BẮC TỪ LIÊM. - Toà nhà đồ sộ 7 tầng xây trên diện tích 126.6m2 có 35 phòng nội thất 4* khép kín. Nhà mới tinh, nội thất đẹp. Điều hoà, nóng lạnh đầy đủ. - Giao thông thuận tiện đường xá rộng rãi ô tô 7 chỗ vào nhà. - Khu vực đông dân cư và nhiều trường Đại học như Đại học Công Nghiệp, Trường Tài Nguyên môi trường vv. - Nhà đã cho thuê kín phòng thu nhập 140 triệu/tháng. Sẵn sàng thuê vận hành nếu chủ mới cho khoán. Khu vực nhiều tiện ích, đi lại di chuyển các vùng thuận tiện. Sổ đỏ đẹp sẵn sàng công chứng sang tên. Giá nhỉnh 19 tỷ Liên hệ : Mr Dũng 0825237636 zalo 0996839398🌺🌺🌺",04/08/2022,Tin thường,batdongsan_so_com_vn_1673810598.0476785, 7,,, 14, 4,
