price,address,Diện tích,Hướng,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"1,72 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 47m2,,,"
    - Căn hộ tại phân khu s2 - Vinhomes smart city - Vô vàn tiện ích xung quanh như bệnh viện, trường học, trung tâm thương mại, công viên. Dưới chân đế rất nhiều hàng quán, gym, spa... tiện ích vô vàn.- Căn hộ tầng trung, thoáng mát, view đẹp. Chủ để lại nội thất cơ bản. Thích hợp cho cặp vợ chồng trẻ, các bạn trẻ.- Nhà đã có sổ đỏ, công chứng trong ngày, cỏ thể vay ngân hàng.- Anh chị quan tâm liên hệ em Nhung 0965301955 để xem nhà.
",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796246.5491092, 20, 18, 1, 1
"25,8 tỷ VNĐ",Đường Nguyễn Xiển phường Đại Kim, 75m2,, 5,""",""sans-serif"";="""" color:="""" #0070c0;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'+="""" mặt="""" phố="""" mới="""" nguyễn="""" xiển="""" –="""" xa="""" la,="""" đại="""" lộ="""" chu="""" văn="""" an,="""" thuộc="""" shophouse="""" của="""" dự="""" án="""" the="""" manor="""" central="""" park="""" xiển.="""" span="""" p="""" class=""MsoNormalSPAN"" diện="""" tích="""" 75m,="""" nhà="""" 5="""" tầng,="""" mặt="""" tiền="""" 5m.="""" vi'="""">+ Vị trí đẹp nhất dự án, đối diện cây xăng Vạn Thuận. "",""sans-serif"";="""" color:="""" #0070c0;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'+="""" Đường="""" trước="""" nhà="""" rộng="""" 60m,="""" vỉa="""" hè="""" 5m,="""" nằm="""" ngay="""" cạnh="""" tòa="""" chung="""" cư="""" và="""" án="""" nhân="""" dân="""" thành="""" phố="""" hà="""" nội.="""" span="""" p="""" class=""MsoNormalSPAN"" hoàn="""" thiện="""" mặt="""" ngoài,="""" bên="""" trong="""" đang="""" thô="""" tiện="""" cho="""" chủ="""" mới="""" về="""" theo="""" ý="""" thích="""" của="""" mình.="""" vi'="""">+ Mặt sau cũng là ngõ ô tô, nên thiết kế các phòng đều có cửa sổ rất thoáng. "",""sans-serif"";="""" color:="""" #0070c0;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'+="""" thiết="""" kế="""" cơ="""" bản="""" phòng="""" nào="""" cũng="""" có="""" ban="""" công:="""" span="""" p="""" class=""MsoNormalSPAN"" vi'span="""" span-="""" tầng="""" 1:="""" cửa="""" hàng="""" kinh="""" doanh="""" hoặc="""" văn="""" phòng.="""" vi'="""">- Tầng 2: Phòng khách, phòng bếp + phòng ăn. "",""sans-serif"";="""" color:="""" #0070c0;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'span="""" span-="""" tầng="""" 3:="""" phòng="""" ngủ="""" master,="""" thay="""" đồ,="""" thư="""" viện.="""" span="""" p="""" class=""MsoNormalSPAN"" 4:="""" 2="""" ngủ.="""" vi'="""">- Tầng 5: Phòng thờ, vườn trên mái, phòng giặt đồ. "",""sans-serif"";="""" color:="""" #0070c0;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'+="""" sổ="""" đỏ="""" chính="""" chủ,="""" mới="""" cứng,="""" sẵn="""" sàng="""" giao="""" dịch.="""" span="""" p="""" class=""MsoNormalSPAN"" giá="""" chào="""" để="""" bán:="""" 25.8="""" tỷ="""" vi'="""">+ Liên hệ xem nhà: 0902083139 ",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796248.4604812, 30, 5, 4, 4
"1,72 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 47m2,,,"
    - Cần bán căn hộ 1n+1 tại Vinhomes smart City. Căn hộ thuộc phân khu s2 cư dân đã về ở nên có rất nhiều các tiện ích.- Căn hộ thuộc tầng trung đẹp, thoáng mát. hàng xóm thân thiện, dân trí cao. Ở cực sướng.- Nhà đã có sổ đỏ nên có thể công chứng trong ngày.- Liên hệ ngay em Nhung 0965301955 để được xem nhà
",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796250.5730984, 20, 18, 1, 1
26 tỷ VNĐ,"Phố Chùa Bộc, Phường Trung Liệt, Quận Đống Đa, Hà Nội", 94m2,, 7,"Bán nhà 7 tầng thang máy, lô góc 2 mặt tiền tại phố Chùa Bộc - Phạm Ngọc Thạch, phường Trung Liệt, quận Đống Đa, Hà Nội:+ Vị trí trung tâm giao thoa giữa 2 quận sầm uất Đống Đa - Thanh Xuân, dân trí cao, tiện ích nhiều vô kể. Đường xá trải nhựa, rộng 8m - ô tô 16 chỗ đi vòng quanh thoải mái, quy hoạch ổn định.+ Thiết kế hiện đại, lô góc 2 mặt tiền thoáng sáng, nhà vừa ở vừa kinh doanh đều thuận tiện, bố trí công năng như sau:- Tầng 1,2,3: Thông sàn, vệ sinh.- Tầng 3,4: 2 phòng ngủ, vệ sinh khép kín.- Tầng 6: Phòng khách, bếp, vệ sinh.- Tầng 7: Phòng thờ, phòng giặt, sân phơi.+ Diện tích: 94m2 x 7 tầng. Mặt tiền 7m. Sổ đỏ chính chủ, vuông vắn trước sau.+ Giá: 26 tỷ có thương lượng.+ Liên hệ: 094.566.8585 - Quang ( Tư vấn Môi giới Bất động sản Hà Nội ).",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796251.9072287, 8, 7, 4, 7
8 tỷ VNĐ,Đường Đội cấn phường Đội Cấn, 45m2,, 6," ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui="""" historic"";="""" mso-ansi-language:="""" vi'bán="""" nhà="""" Đội="""" cấn="""" ngõ="""" ô="""" tô="""" tránh="""" kinh="""" doanhspan="""" spansầm="""" uất="""" 45m="""" 4="""" tầng="""" 8="""" tỷ="""" span="""" p="""" class=""MsoNormalSPAN"" vi'chính="""" chủ="""" bán="""" mặt="""" phố="""" cấn,="""" ba="""" Đình="""" diện="""" tích="""" 45m,="""" tầng,="""" giá="""" chào="""" tỷ,="""" sổ="""" đỏ="""" chính="""" sẵn="""" sàng="""" giao="""" dịch,="""" thiết="""" kế="""" khung="""" cột="""" chắc="""" chắn,="""" 1="""" thông="""" sàn,="""" doanh="""" sầm="""" uất.="""" roman"",serif;="""" background:="""" white;="""" #050505'="""">Liên hệ để xem nhà miễn phí: Minh Châu 0932856688 – 0976185932",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796253.741275, 6, 4, 4, 5
"1,95 tỷ VNĐ","Bắc Cầu, Ngọc Thụy HN", 60m2,,,"+ Thửa đất vuông vức như tờ A4, ô tô tải chạy qua vèo vèo. Đường nhựa láng bóng + Vị trí mặt phố, giá chỉ nhỉnh 30 tr/m2, sự lựa chọn số 1 với tầm tài chính này, không đâu có mảnh đất ô tô vào nhà mà lại rẻ đến vậy. + Thành Phố ven sông, thơ mộng, xinh đẹp. Môi trường sống trong lành, mát mẻ vừa ở vừa kinh doanh. + 2 Mảnh liền kề, mua cả giá trị càng tăng cao 169 m2 quá khủng luôn",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796254.8529987,,,,
18 tỷ VNĐ,Đường 800A phường Trung Hòa, 71m2,, 7,"    Mặt phố - lô góc- 3 mặt thoáng- kinh doanh đỉnh- vỉa vè- giá đầu tư - Nhà vị trí siêu đẹp, một mặt phố một mặt ngõ ,lô góc thoáng sáng ,vỉa hè kinh doanh mọi hình thức, tấp nập. -Khu vực dân trí cao, an sinh tốt, gần các trường đại học ,cao đẳng , chợ ...Mặt phố đông vui kinh doanh tấp nập. -Thiết kế: Nhà hiện trạng 5 tầng 1 tum,diện tích sổ là 60m,nhà đang xây trên diện tích sử dụng là 71m,ngăn làm 2 bên, 1 bên là chủ ở ,một bên cho thuê 32 triệu 1 tháng .Mỗi tầng 2 phòng ,2 cầu thang 2 bên, có ô chờ thang máy. -Tiện ích đủ thứ xung quanh,sổ đỏ chính chủ. - Liên hệ : Hoàng Yến 0854262906",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796255.9298291, 4, 5, 10, 11
"3,65 tỷ VNĐ","Tư Đình, Long Biên HN", 40m2,,,"- Vị trí nằm trong khu phân lô Quân đội, an ninh, dân trí cao, hàng xóm thân thiện, ô tô 10m , ngõ phân lô vòng quanh tứ ngã. -  Nhà 3 tầng tự xây rất cẩn thận, sàn gỗ, cầu thang toàn lim, tường móng kiên cố, chắc chắn, mua về lên thêm tầng nếu muốn. Thiết kế: + Tầng 1: phòng khách,  VS, bếp. + Tầng 2: 2PN, 1 VS. + Tầng 3: 1PN, phòng thờ, sân phơi.  - Sổ đỏ vuông vắn, nở hậu nhẹ, giao dịch ngay.",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796257.4402468,,,,
"5,1 tỷ VNĐ",Đường Ngọc Chi phường Vĩnh Ngọc, 80m2,, 5,"Bán đất ~80 đất tặng nhà C4 Vĩnh Ngọc, Đông Anh, ô tô, KD, giá nhỉnh 5 tỷ, 0375555372Do muốn mua nhà rộng hơn chủ cần bán nhà C4 :+ Vị trí : Vĩnh Ngọc, Đông Anh, Hà Nội.+ Thông tin : - Thửa đất vuông như bánh chưng, đường trước nhà ô tô 1.5 tấn đỗ cửa, ngõ thông hình bàn cờ, thông đi khắp ngả, nhà C4 chủ xác định bán đất tặng nhà,.- Vị trí giao thông thuận tiện : gần cầu Nhật Tân, tiện đi QL3, gần Công viên Kim Quy, sang Hồ Tây, đi sân bay,  đi nội thành dễ dàng,  xung quanh là các trường mầm non, cấp 1,2,3,  trung cấp Dược, trường C3 Ngô Quyền, chợ, trạm y tế, nhà văn hóa,...- Thích hợp xây nhà ở cao tầng, nhà ở thương mại,  cho thuê trọ, các dịch vụ liên quan đến giáo dục - đào tạo, tuyển dụng, ..- Sổ đỏ, pháp lý chuẩn, sẵn sàng giao dịch công chứng ngay. ( miễn TG/ MG).- Giá : 5.1 tỷ ( có gia lộc ).- Liên hệ ngay với em Hưng để làm việc trực tiếp với chủ nhà.--------EM HƯNG CHUYÊN THỔ CƯ ĐÔNG ANH - LÀM VIỆC CHÍNH CHỦ NHÀ ĐẤT - 0375555372
",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796259.1136281, 5, 1, 1, 1
88 tỷ VNĐ,Tây Hồ Hà Nội, 520m2,, 15,"- Diện tích 520m2, X3 Tầng mặt tiền 15m- Giá bán 88 tỷ - Khu vực Hồ Tây là một danh lam thắng cảnh đặc thù mang đậm dấu ấn của Thủ Đô Hà Nội!  - Căn Biệt thự toạ lạc trên thửa đất 520 m2, căn biệt thự thể hiện đẳng cấp, thành đạt và gia thế người sở hữu. - Lợi thế 4 mặt thoáng nên các phòng đều sáng và rất thoáng. - Thiết Kế! - Tầng 1: Gara, sân vườn, bể bơi, phòng khách rộng, bếp, phòng ăn! - Tầng 2: 3 phòng ngủ khép kín!  - Tầng 3: 2 phòng ngủ rộng, phòng thờ, sân phơi, ban công rộng tổ chức tiệc, bàn trà. - Biệt thự có kiến trúc vô cùng độc đáo, thiết kế tỉ mỉ, 4 mặt thoáng vĩnh viễn, nội thất tân cổ điển, giao thông thuận tiện! - Sổ đỏ đẹp nở hậu, sẵn sàng giao dịch Giá 88 tỷ ( còn thương lượng )Alo cho em để được hiểu rõ hơn về ngôi biệt thự.  0385 94 1802",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796265.2065408,, 5, 5, 5
