price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet
"7,4 tỷ VNĐ",Vạn Phúc- Hà Đông, 50m2, 5,,"Nhỉnh 7 tỷ, Vạn Phúc, Hà Đông, 50mx5 tầng,KD sầm uất, ô tô tránh, vỉa hè Bán nhà khu vực Vạn Phúc, Hà Đông với thông số vàng diện tích rộng 50m, với 5 tầng thoáng sáng, vừa ở kinh doanh hoặc làm văn phòng quá đẹp. Khu vực dân cư tập trung đông đúc, nhiều toà văn phòng, các chung cư cao tầng, nhiều công ty lớn nhỏ tập trung về đây rất nhiều. Khu vực cực hiếm nhà bán ra căn nào hết căn đó. Xung quanh đầy đủ tiện ích, giao thông thuận lợi cạnh Him Lam, vài bước ra đường Tố Hữu, giáp với Khu đô thị Văn Khê, chạy song song Nguyễn Thanh Bình, ra Đại Mỗ rất gần. Chủ nhà doanh nhân thành đạt, làm ăn thịnh vượng nay chuyển sang nhà biệt thự rộng hơn nên bán gấp trong tháng, gia lộc mạnh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 7.4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815891.5238457,,,
"12,5 tỷ VNĐ",Đường Xuân Thủy phường Dịch Vọng Hậu, 62m2, 7, 10,,07/07/2022,Tin thường,batdongsan_so_com_vn_1673815892.7305965, 4, 10, 10
2 tỷ VNĐ,Đường Nguyễn Mậu Tài phường Trâu Quỳ, 120m2,, 4,"🌈 BĐS KHU ĐÔNG HÀ NỘI TRỞ THÀNH TÂM ĐIỂM ĐẦU TƯ 2022 - HÀNH TRÌNH “CÁ CHÉP VƯỢT VŨ MÔN” ✨ Từ cuối năm 2021 trở lại đây, BĐS khu Đông Hà Nội dậy sóng với lượng giao dịch và mức giá tăng kỷ lục, có khu vực tăng tới 200% - 300% chỉ sau đúng một năm. Không khó để lý giải nguyên nhân BĐS khu Đông trở thành đích đến của các nhà đầu tư sành sỏi những năm gần đây bởi:📍 Quy hoạch hạ tầng hoàn thiện với hệ thống 7 cây cầu hiện hữu và 10 cây cầu tương lai bắc ngang sông Hồng giúp đẩy mạnh liên kết vùng “ĐÔ THỊ KẾT NỐI ĐÔ THỊ”, mở ra “chân trời thịnh vượng” mới cho BĐS khu Đông Hà Nội.📍 Thông tin GIA LÂM LÊN QUẬN sớm vào 2023 là cú hích khiến thị trường BĐS Đông Hà Nội giao dịch sôi động hơn bao giờ hết.✨ Trong bối cảnh thăng hoa đó của thị trường, các nhà đầu tư BĐS đang truyền tai nhau về “siêu phẩm đầu tư” Highway5 Residences sắp ra mắt trong tháng 06/2022, hội tụ đầy đủ yếu tố để BỨT PHÁ LỢI NHUẬN:🚩 Khẳng định giá trị KẾT NỐI ƯU VIỆT cùng tiềm năng TĂNG GIÁ VƯỢT TRỘI khi tọa lạc tại vị thế HUYẾT MẠCH ĐÓN ĐẦU QUY HOẠCH, trên mặt đường Nguyễn Mậu Tài, giáp Quốc lộ 5…🚩 Sở hữu đa dạng các tiện ích nội & ngoại khu hoàn hảo cùng CƠ SỞ HẠ TẦNG ĐỒNG BỘ do nằm trong khu quy hoạch mới và kề cận THẾ GIỚI TIỆN ÍCH HÀNG ĐẦU: Biển hồ nước mặn đầu tiên tại Việt Nam, VinWonders, Aeon Mall đầu tiên tại Hà Nội,....👉 Hãy cùng chờ đón Highway 5 Residences – Tâm điểm đầu tư mới phía Đông thủ đô!- - - - - - - - - - - - - - - -HIGHWAY5 RESIDENCES - LỢI NHUẬN ĐƯỜNG CHIM BAY Để được tư vấn chi tiết nhất vui lòng liên hệ Đất Xanh Miền Bắc ☎Hotline: 0902234100▪️ Địa chỉ: Trâu Quỳ, Gia Lâm, Hà Nội#Highway5Residences #Gialam #shophouse #loinhuanduongchimbay #shophousekieumy",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815894.0959508,, 10, 3
4 tỷ VNĐ,Đường Kim Mã Thượng phường Cống Vị, 38m2, 5, 4,"Chính chủ bán nhà Kim Mã Thượng , Ba Đình . 38m x 5T , nhà đẹp ở luôn . 4 tỷ+ Chủ nhà xây tâm huyết , nhà 5 tầng , lô góc  , mỗi tầng 1 ngủ rộng kép kín , nội thất xịn+ Khu vực trung tâm , ngõ ba gác tránh , ngõ thông . an sinh tốt + Sổ nở hậu , sẵn sàng giao dịchLH: Trung 0896695659",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815895.226926, 4, 2, 4
"3,95 tỷ VNĐ","Đường Định Công, Quận Hoàng Mai, Thành phố Hà Nội", 40m2, 5,,"+ Nhà gần mặt phố, yên tĩnh, ở sướng, mới, đẹp, tiện ích ngập tràn.+ Được xây dựng 5 tầng, diện tích 40m2.+ Sổ đỏ vuông, đẹp, giá chỉ 3,95 tỷ.+ Liên hệ : Phương Nam : 0386.702.912.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815896.8914716,,,
5 tỷ VNĐ,Vương Thừa Vũ, 39m2, 6, 4,"Bán nhà Ô TÔ dừng đỗ tại Phố Vương Thừa Vũ - Thanh xuân    Diện tích: 39m2, 6 Tầng xây mới.    Mặt tiền đẹp: 4m.    Giá: Nhỉnh 5 Tỷ ( Có thương Lượng).+ Vị trí nhà đẹp, thông sang Trường Chinh, Tô Vĩnh Diện, Nguyễn Ngọc Nại. Tiện ích vây quanh.+ Nhà cách mặt phố hơn 100m, đường trước nhà rộng Ô TÔ con đỗ cửa.+ Thiết kế nhà sang trọng, hiện đại, nội thất cao cấp, đầy đủ công năng sử dụng, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, miễn phí xem nhà 24/7.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815898.1475017, 4,,
"3,3 tỷ VNĐ","cổ nhuế, bắc từ liêm", 39m2, 4, 4,"Bán nhà ngõ 43 Cổ Nhuế, cạnh chung cư, 39m2 x 4 tầng, giá 3.3 tỷ + Nhà đẹp, vị trí đắc địa, trung tâm phường Cổ Nhuế 2, Bắc Từ Liêm + Vị trí nhà ngay đầu đường Cổ Nhuế kết nối với đường Phạm Văn Đồng + Hàng xóm thân thiện, khu dân trí cao, an ninh tốt + Nhà cách chợ Cổ Nhuế 100m, gần trường học cấp 1,2 Cổ Nhuế + Nhà thiết kế 4 tầng, 4 phòng ngủ, tầng nào cũng có ban công lấy sáng tự nhiên Sổ đỏ vuông đẹp, sẵn sàng giao dịch Lh Mr Tùng 0969541111( Chuyên Thổ Cư Hà Nội)",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815899.394167, 4,, 4
"4,9 tỷ VNĐ",Đầm Nấm, 31m2,,,"+ Đầm Nấm- Ngọc Thụy 31m2, Mặt tiền 10m - 4.9 tỷ - Mảnh đất siêu hiếm, 3 mặt đường: Đường chính 12m, Ngách 6m và 2m khoảng cánh 2 nhà, 3 góc thoáng. Vỉa hè rộng thênh thang, kinh doanh thôi rồi.-Thửa đất cam kết không có lô thứ hai.- Tiện ích, công viên, hồ điều hòa ( Khai Sơn chuẩn bị đào), trường học các cấp gần kề. - Sổ chính chủ sẵn sàng sang tên trong ngày.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815900.5301728,,,
"2,9 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 33m2, 5, 3,"+ Nhà mới tinh, rộng thoáng sáng, hàng xóm toàn gia đình trí thức, thân thiện, gần hồ điều hòa, công viên, chiều đến gia đình đi bộ tập thể dục, trẻ con có chỗ vui chơi. + Nhà 33m2 , 
",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815901.7092464, 4, 2, 4
,Tư Đình, 40m2,,,"- Vị trí nằm trong khu phân lô Quân đội, an ninh, dân trí, hàng xóm thân thiện, ô tô 10m , ngõ phân lô vòng quanh tứ ngã.-  Nhà 3 tầng tự xây rất cẩn thận, sàn gỗ, cầu thang toàn lim, tường móng kiên cố, chắc chắn, mua về lên thêm tầng nếu muốn. Thiết kế:+ Tầng 1: phòng khách,  VS, bếp.+ Tầng 2: 2PN, 1 VS.+ Tầng 3: 1PN, phòng thờ, sân phơi. - Sổ đỏ vuông vắn, nở hậu nhẹ, giao dịch ngay.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815905.9698508,,,
